symbol,variant_name,ema_fast,ema_slow,slope_lookback,pullback_lookback,pb_min_atr,target_r,year,oos_sessions,n_trades,net_pnl,profit_factor,sharpe_ratio,win_rate,average_trade,max_drawdown
M2K,impc_ef12_es34_sl3_pb3_pm0p3_tr2p5,12,34,3,3,0.3,2.5,2025,19,16,50.30156250001369,1.1885844499205815,1.1422334618730885,0.4375,3.1438476562508555,-118.23645833332989
MES,impc_ef12_es34_sl3_pb3_pm0p3_tr2p5,12,34,3,3,0.3,2.5,2025,19,22,-491.0638020833312,0.5100793461090777,-5.7678130540016195,0.2727272727272727,-22.321081912878693,-668.7890624999955
MGC,impc_ef12_es34_sl3_pb3_pm0p3_tr2p5,12,34,3,3,0.3,2.5,2025,18,14,34.804166666672245,1.2365987338725037,1.4209578264841711,0.42857142857142855,2.4860119047623033,-67.75624999999309
MNQ,impc_ef12_es34_sl3_pb3_pm0p3_tr2p5,12,34,3,3,0.3,2.5,2025,19,20,822.4151041666701,1.9681772084530604,5.6284686582476455,0.5,41.120755208333506,-443.8802083333285
M2K,impc_ef12_es34_sl3_pb3_pm0p5_tr2p5,12,34,3,3,0.5,2.5,2025,19,16,50.30156250001369,1.1885844499205815,1.1422334618730885,0.4375,3.1438476562508555,-118.23645833332989
MES,impc_ef12_es34_sl3_pb3_pm0p5_tr2p5,12,34,3,3,0.5,2.5,2025,19,22,-491.0638020833312,0.5100793461090777,-5.7678130540016195,0.2727272727272727,-22.321081912878693,-668.7890624999955
MGC,impc_ef12_es34_sl3_pb3_pm0p5_tr2p5,12,34,3,3,0.5,2.5,2025,18,14,34.804166666672245,1.2365987338725037,1.4209578264841711,0.42857142857142855,2.4860119047623033,-67.75624999999309
MNQ,impc_ef12_es34_sl3_pb3_pm0p5_tr2p5,12,34,3,3,0.5,2.5,2025,19,20,822.4151041666701,1.9681772084530604,5.6284686582476455,0.5,41.120755208333506,-443.8802083333285
