scope,total_trades,n_trades,net_pnl,gross_pnl,gross_profit,gross_loss_abs,sharpe_ratio,sortino_ratio,profit_factor,hit_rate,expectancy_per_trade,expectancy_per_day,avg_win,avg_loss,avg_gain_loss_ratio,max_drawdown,return_over_max_drawdown,calmar_ratio,ulcer_index,annualized_vol,mean_trades_per_day,median_trades_per_day,max_trades_per_day,avg_time_in_position_min,avg_exposure_pct,long_trade_share,short_trade_share,worst_losing_trades_streak,worst_losing_days_streak,median_recovery_days,max_recovery_days,rolling_sharpe_20d_median,rolling_expectancy_20d_median,rolling_hit_rate_20d_median,top_1_day_contribution_pct,top_3_day_contribution_pct,top_5_day_contribution_pct,top_10_day_contribution_pct,bottom_1_day_contribution_pct,bottom_3_day_contribution_pct,bottom_5_day_contribution_pct,bottom_10_day_contribution_pct,pnl_excluding_top_1_day,pnl_excluding_top_3_days,pnl_excluding_top_5_days,pnl_excluding_best_month,top_day_contribution_ratio,reference_r_usd,worst_daily_loss_usd,days_below_neg_0p25r_freq,days_below_neg_0p5r_freq,days_below_neg_1r_freq,red_streak_ge_2_freq,red_streak_ge_3_freq,red_streak_ge_4_freq,red_streak_ge_5_freq,trade_loss_streak_ge_3_freq,trade_loss_streak_ge_4_freq,trade_loss_streak_ge_5_freq,trade_loss_streak_ge_6_freq,daily_loss_limit_breach_freq,trailing_drawdown_breach_freq,profit_to_drawdown_ratio
overall,896,896,-3395.3645833333258,-1155.3645833333258,16957.109375000004,18112.47395833333,-0.8293521573095272,-0.6558861317932706,0.8258561806216889,0.36941964285714285,-3.789469401041658,-1.9435401163899975,48.64685611782478,-35.06739920563548,1.3872387807421722,-3576.5937499999927,-0.9493291160991747,-0.13693814382197597,3.419858533329183,0.011810956419746525,0.5128792215226102,0.0,3,37.583705357142854,0.049425388578222006,0.42075892857142855,0.5792410714285714,10,6,217.0,1503.0,-2.0206259448307886,-2.9078124999999204,0.35714285714285715,-0.08874231105520691,-0.235523308432146,-0.37269561749321245,-0.6399901826939319,0.08062462609869477,0.19603933058244274,0.2879845377429405,0.4760166280621568,-3696.6770833333258,-4195.052083333327,-4660.802083333325,-4179.6145833333285,0.6399901826939319,38.4375,-273.75,0.2455638236977676,0.20091585575271895,0.10475100171722954,0.2988165680473373,0.09171597633136094,0.020710059171597635,0.008875739644970414,0.39903846153846156,0.2692307692307692,0.16346153846153846,0.09615384615384616,0.0,0.24728105323411562,-0.9493291160991747
is,652,652,-1421.1093749999918,208.89062500000819,11768.421875000007,11559.53125,-0.5416723017815899,-0.4332183907105045,0.8865792066243505,0.3911042944785276,-2.179615605828208,-1.1629372954173418,43.562438725490225,-32.127003205128204,1.355944668954889,-1902.1614583333285,-0.7471023917418483,-0.15406694166853177,2.511501725817252,0.010820571680747905,0.5335515548281505,0.0,3,38.99539877300614,0.053348860632003024,0.4677914110429448,0.5322085889570553,10,5,217.0,978.0,-2.0921538344693977,-2.578125,0.375,-0.1778540093017137,-0.47946696572880404,-0.7222790293674675,-1.234071093226034,0.13589735132104186,0.33842398654220623,0.5205000494771943,0.9059823421402792,-1673.8593749999918,-2102.4843749999936,-2447.5468749999927,-2205.3593749999927,1.234071093226034,36.09375,-193.125,0.24222585924713586,0.19803600654664485,0.09574468085106383,0.2857142857142857,0.08823529411764706,0.025210084033613446,0.008403361344537815,0.36075949367088606,0.22784810126582278,0.12658227848101267,0.0759493670886076,0.0,0.0,-0.7471023917418483
oos,244,244,-1974.255208333334,-1364.255208333334,5188.687499999996,6552.94270833333,-1.370684085137384,-1.0681745353641565,0.7166659814851494,0.3114754098360656,-8.09120987021858,-3.760486111111112,65.70641447368416,-41.97555848393572,1.5653493806123002,-2099.0677083333358,-0.9405390786088061,-0.45145875773222693,2.158010952427476,0.01382729266758821,0.46476190476190476,0.0,2,33.81147540983606,0.040293040293040296,0.29508196721311475,0.7049180327868853,10,6,260.5,518.0,-2.156872449592089,-4.521874999999909,0.2857142857142857,-0.15262084594137507,-0.39138177107928207,-0.5807569837781651,-0.938550138897315,0.13865988492495848,0.3233814439517011,0.4337078592401669,0.6630665045098756,-2275.567708333333,-2746.942708333331,-3120.817708333334,-2272.442708333333,0.938550138897315,44.53125,-273.75,0.25142857142857145,0.22476190476190477,0.11428571428571428,0.33,0.1,0.01,0.01,0.52,0.4,0.28,0.16,0.0,0.045714285714285714,-0.9405390786088061
