name,description,policy_family,opposite_confirmation,opposite_breakout_buffer_ticks,opposite_breakout_confirm_bars,require_reclaim_vwap,require_reclaim_or_low_close,reclaim_confirm_bars,strategy_tag
baseline_no_opposite_invalidation,Current behavior: downside break before long does not invalidate the day.,baseline,none,0,1,False,False,1,orb_long_only
invalidate_on_opposite_touch__buffer_0,Invalidate the day as soon as a 1m low breaks below OR low minus buffer.,invalidate_for_day,touch,0,1,False,False,1,orb_long_only
invalidate_on_opposite_touch__buffer_1,Invalidate the day as soon as a 1m low breaks below OR low minus buffer.,invalidate_for_day,touch,1,1,False,False,1,orb_long_only
invalidate_on_opposite_touch__buffer_2,Invalidate the day as soon as a 1m low breaks below OR low minus buffer.,invalidate_for_day,touch,2,1,False,False,1,orb_long_only
invalidate_on_opposite_touch__buffer_4,Invalidate the day as soon as a 1m low breaks below OR low minus buffer.,invalidate_for_day,touch,4,1,False,False,1,orb_long_only
invalidate_on_opposite_close_1m__buffer_0,Invalidate the day on the first 1m close below OR low minus buffer.,invalidate_for_day,close_1m,0,1,False,False,1,orb_long_only
invalidate_on_opposite_close_1m__buffer_1,Invalidate the day on the first 1m close below OR low minus buffer.,invalidate_for_day,close_1m,1,1,False,False,1,orb_long_only
invalidate_on_opposite_close_1m__buffer_2,Invalidate the day on the first 1m close below OR low minus buffer.,invalidate_for_day,close_1m,2,1,False,False,1,orb_long_only
invalidate_on_opposite_close_1m__buffer_4,Invalidate the day on the first 1m close below OR low minus buffer.,invalidate_for_day,close_1m,4,1,False,False,1,orb_long_only
invalidate_on_opposite_n_closes_1m__buffer_0__confirm_2,Invalidate after N consecutive 1m closes below OR low minus buffer.,invalidate_for_day,n_closes_1m,0,2,False,False,1,orb_long_only
invalidate_on_opposite_n_closes_1m__buffer_0__confirm_3,Invalidate after N consecutive 1m closes below OR low minus buffer.,invalidate_for_day,n_closes_1m,0,3,False,False,1,orb_long_only
invalidate_on_opposite_n_closes_1m__buffer_0__confirm_5,Invalidate after N consecutive 1m closes below OR low minus buffer.,invalidate_for_day,n_closes_1m,0,5,False,False,1,orb_long_only
invalidate_on_opposite_n_closes_1m__buffer_1__confirm_2,Invalidate after N consecutive 1m closes below OR low minus buffer.,invalidate_for_day,n_closes_1m,1,2,False,False,1,orb_long_only
invalidate_on_opposite_n_closes_1m__buffer_1__confirm_3,Invalidate after N consecutive 1m closes below OR low minus buffer.,invalidate_for_day,n_closes_1m,1,3,False,False,1,orb_long_only
invalidate_on_opposite_n_closes_1m__buffer_1__confirm_5,Invalidate after N consecutive 1m closes below OR low minus buffer.,invalidate_for_day,n_closes_1m,1,5,False,False,1,orb_long_only
invalidate_on_opposite_n_closes_1m__buffer_2__confirm_2,Invalidate after N consecutive 1m closes below OR low minus buffer.,invalidate_for_day,n_closes_1m,2,2,False,False,1,orb_long_only
invalidate_on_opposite_n_closes_1m__buffer_2__confirm_3,Invalidate after N consecutive 1m closes below OR low minus buffer.,invalidate_for_day,n_closes_1m,2,3,False,False,1,orb_long_only
invalidate_on_opposite_n_closes_1m__buffer_2__confirm_5,Invalidate after N consecutive 1m closes below OR low minus buffer.,invalidate_for_day,n_closes_1m,2,5,False,False,1,orb_long_only
invalidate_on_opposite_close_5m__buffer_0,Invalidate on a completed 5m close below OR low minus buffer.,invalidate_for_day,close_5m,0,1,False,False,1,orb_long_only
invalidate_on_opposite_close_5m__buffer_1,Invalidate on a completed 5m close below OR low minus buffer.,invalidate_for_day,close_5m,1,1,False,False,1,orb_long_only
invalidate_on_opposite_close_5m__buffer_2,Invalidate on a completed 5m close below OR low minus buffer.,invalidate_for_day,close_5m,2,1,False,False,1,orb_long_only
invalidate_on_opposite_close_5m__buffer_4,Invalidate on a completed 5m close below OR low minus buffer.,invalidate_for_day,close_5m,4,1,False,False,1,orb_long_only
allow_reclaim_after_opposite_breakout_conservative__buffer_0__require_vwap_true,"Allow a later long only after reclaiming OR low on close, optionally VWAP, then breaking the long trigger.",reclaim_conservative,touch,0,1,True,True,1,failed_breakdown_reclaim_long
allow_reclaim_after_opposite_breakout_conservative__buffer_0__require_vwap_false,"Allow a later long only after reclaiming OR low on close, optionally VWAP, then breaking the long trigger.",reclaim_conservative,touch,0,1,False,True,1,failed_breakdown_reclaim_long
allow_reclaim_after_opposite_breakout_conservative__buffer_1__require_vwap_true,"Allow a later long only after reclaiming OR low on close, optionally VWAP, then breaking the long trigger.",reclaim_conservative,touch,1,1,True,True,1,failed_breakdown_reclaim_long
allow_reclaim_after_opposite_breakout_conservative__buffer_1__require_vwap_false,"Allow a later long only after reclaiming OR low on close, optionally VWAP, then breaking the long trigger.",reclaim_conservative,touch,1,1,False,True,1,failed_breakdown_reclaim_long
allow_reclaim_after_opposite_breakout_conservative__buffer_2__require_vwap_true,"Allow a later long only after reclaiming OR low on close, optionally VWAP, then breaking the long trigger.",reclaim_conservative,touch,2,1,True,True,1,failed_breakdown_reclaim_long
allow_reclaim_after_opposite_breakout_conservative__buffer_2__require_vwap_false,"Allow a later long only after reclaiming OR low on close, optionally VWAP, then breaking the long trigger.",reclaim_conservative,touch,2,1,False,True,1,failed_breakdown_reclaim_long
allow_reclaim_after_opposite_breakout_strict__buffer_0__reclaim_1,"After downside break, require closes back inside the OR, then a close above VWAP, then the long trigger.",reclaim_strict,touch,0,1,False,False,1,failed_breakdown_reclaim_long
allow_reclaim_after_opposite_breakout_strict__buffer_0__reclaim_2,"After downside break, require closes back inside the OR, then a close above VWAP, then the long trigger.",reclaim_strict,touch,0,1,False,False,2,failed_breakdown_reclaim_long
allow_reclaim_after_opposite_breakout_strict__buffer_0__reclaim_3,"After downside break, require closes back inside the OR, then a close above VWAP, then the long trigger.",reclaim_strict,touch,0,1,False,False,3,failed_breakdown_reclaim_long
allow_reclaim_after_opposite_breakout_strict__buffer_1__reclaim_1,"After downside break, require closes back inside the OR, then a close above VWAP, then the long trigger.",reclaim_strict,touch,1,1,False,False,1,failed_breakdown_reclaim_long
allow_reclaim_after_opposite_breakout_strict__buffer_1__reclaim_2,"After downside break, require closes back inside the OR, then a close above VWAP, then the long trigger.",reclaim_strict,touch,1,1,False,False,2,failed_breakdown_reclaim_long
allow_reclaim_after_opposite_breakout_strict__buffer_1__reclaim_3,"After downside break, require closes back inside the OR, then a close above VWAP, then the long trigger.",reclaim_strict,touch,1,1,False,False,3,failed_breakdown_reclaim_long
allow_reclaim_after_opposite_breakout_strict__buffer_2__reclaim_1,"After downside break, require closes back inside the OR, then a close above VWAP, then the long trigger.",reclaim_strict,touch,2,1,False,False,1,failed_breakdown_reclaim_long
