asset,variant_name,family,horizon,description,parameters_json,skipped_trades,downscaled_trades,losers_avoided,winners_sacrificed,losers_avoided_usd,winners_sacrificed_usd,downscaled_losers,downscaled_winners,downsizing_loss_saved_usd,downsizing_profit_given_up_usd,overall_net_pnl,overall_sharpe,overall_sortino,overall_max_drawdown,overall_profit_factor,overall_win_rate,overall_average_trade,overall_trade_count,overall_n_days_traded,overall_participation_rate,overall_trades_per_month,overall_longest_losing_streak_trade,overall_longest_losing_streak_daily,is_net_pnl,is_sharpe,is_sortino,is_max_drawdown,is_profit_factor,is_win_rate,is_average_trade,is_trade_count,is_n_days_traded,is_participation_rate,is_trades_per_month,is_longest_losing_streak_trade,is_longest_losing_streak_daily,oos_net_pnl,oos_sharpe,oos_sortino,oos_max_drawdown,oos_profit_factor,oos_win_rate,oos_average_trade,oos_trade_count,oos_n_days_traded,oos_participation_rate,oos_trades_per_month,oos_longest_losing_streak_trade,oos_longest_losing_streak_daily,oos_sharpe_delta_vs_baseline,oos_max_drawdown_improvement_vs_baseline,oos_trade_retention_vs_baseline,oos_net_pnl_retention_vs_baseline
MNQ,three_state_modulation__session__t85__m25,three_state_modulation,session,"Three-state sizing: 1.0 in favorable semivariance states, 25% in neutral states, 0 in hostile states.","{""horizon"": ""session"", ""multiplier"": 0.25, ""threshold"": 0.85}",100,196,49,51,23249.5,18976.0,107,89,51566.5,50408.0,52450.0,0.9700641007660677,0.8360995364056301,-7182.5,1.2265061905934074,0.4920273348519362,59.7380410022779,878,878,0.5025758443045221,10.554092730394963,10,5,19677.5,0.5251186052425291,0.4492937992485921,-6309.0,1.1153970208773165,0.47115384615384615,31.534455128205128,624,624,0.5106382978723404,10.72340425531915,10,5,32772.5,1.9812466813511598,1.729107493966828,-7118.5,1.5368932356940417,0.5433070866141733,129.0255905511811,254,254,0.4838095238095238,10.16,7,4,0.07596551582042177,0.2710189452124936,0.7492625368731564,0.9212227687983134
MNQ,three_state_modulation__session__t85__m50,three_state_modulation,session,"Three-state sizing: 1.0 in favorable semivariance states, 50% in neutral states, 0 in hostile states.","{""horizon"": ""session"", ""multiplier"": 0.5, ""threshold"": 0.85}",100,196,49,51,23249.5,18976.0,107,89,32609.0,31877.0,52023.5,0.947813926839452,0.8781196846469023,-8109.5,1.2076633063027282,0.49167482859941236,50.95347698334966,1021,1021,0.5844304522037779,12.273039496279337,10,8,18919.5,0.4979420063322677,0.45407783352307735,-7647.5,1.1033849634290616,0.473463687150838,26.423882681564248,716,716,0.5859247135842881,12.304418985270049,10,8,33104.0,1.9664441344583459,1.8868959140095423,-8109.5,1.49029888326076,0.5344262295081967,108.53770491803279,305,305,0.580952380952381,12.2,7,7,0.061162968927607864,0.16953405017921147,0.8997050147492626,0.9305411103302881
MNQ,adverse_hard_skip__30m__t85,adverse_hard_skip,30m,Skip trades when the directional adverse semivariance percentile is >= 85%.,"{""horizon"": ""30m"", ""multiplier"": null, ""threshold"": 0.85}",30,0,17,13,10094.0,9974.5,0,0,0.0,0.0,47137.5,0.7906837882840552,0.7424234314154459,-12447.5,1.159096201942062,0.4963768115942029,42.69701086956522,1104,1104,0.6319404693760733,13.270749856897538,10,8,10953.5,0.26709583596236425,0.24647302934713713,-12447.5,1.05092081437972,0.4753246753246753,14.225324675324675,770,770,0.630114566284779,13.23240589198036,10,8,36184.0,1.9544112272576053,1.8998043112787792,-9765.0,1.4457557484185304,0.5449101796407185,108.33532934131736,334,334,0.6361904761904762,13.36,7,7,0.04913006172686729,0.0,0.9852507374631269,1.0171187631763878
MNQ,chop_hard_skip__30m__t85,chop_hard_skip,30m,Skip trades when total realized variance and both semivariances are jointly >= 85%.,"{""horizon"": ""30m"", ""multiplier"": null, ""threshold"": 0.85}",26,0,14,12,8396.0,8636.5,0,0,0.0,0.0,46777.5,0.7825334255849815,0.7368275529834512,-12447.5,1.15698148539672,0.4954873646209386,42.21796028880866,1108,1108,0.6342301087578707,13.318832283915283,10,8,10593.5,0.2572965057193732,0.23840649222328616,-12447.5,1.0488615424353052,0.47416020671834624,13.686692506459949,774,774,0.6333878887070377,13.30114566284779,10,8,36184.0,1.9544112272576053,1.8998043112787792,-9765.0,1.4457557484185304,0.5449101796407185,108.33532934131736,334,334,0.6361904761904762,13.36,7,7,0.04913006172686729,0.0,0.9852507374631269,1.0171187631763878
MNQ,combined_overlay__30m__t85__m50,combined_overlay,30m,Skip choppy regimes and downsize adverse regimes to 50% of nominal risk at threshold 85%.,"{""horizon"": ""30m"", ""multiplier"": 0.5, ""threshold"": 0.85}",26,4,14,12,8396.0,8636.5,3,1,1132.0,892.0,47017.5,0.7884309031004165,0.7423144284820994,-12447.5,1.1583886083496997,0.4954873646209386,42.43456678700361,1108,1108,0.6342301087578707,13.318832283915283,10,8,10833.5,0.264052530489188,0.2445792765398312,-12447.5,1.0502307875989048,0.47416020671834624,13.996770025839794,774,774,0.6333878887070377,13.30114566284779,10,8,36184.0,1.9544112272576053,1.8998043112787792,-9765.0,1.4457557484185304,0.5449101796407185,108.33532934131736,334,334,0.6361904761904762,13.36,7,7,0.04913006172686729,0.0,0.9852507374631269,1.0171187631763878
MNQ,combined_overlay__30m__t85__m25,combined_overlay,30m,Skip choppy regimes and downsize adverse regimes to 25% of nominal risk at threshold 85%.,"{""horizon"": ""30m"", ""multiplier"": 0.25, ""threshold"": 0.85}",26,4,14,12,8396.0,8636.5,3,1,1698.0,1338.0,47137.5,0.7906837882840552,0.7424234314154459,-12447.5,1.159096201942062,0.4963768115942029,42.69701086956522,1104,1104,0.6319404693760733,13.270749856897538,10,8,10953.5,0.26709583596236425,0.24647302934713713,-12447.5,1.05092081437972,0.4753246753246753,14.225324675324675,770,770,0.630114566284779,13.23240589198036,10,8,36184.0,1.9544112272576053,1.8998043112787792,-9765.0,1.4457557484185304,0.5449101796407185,108.33532934131736,334,334,0.6361904761904762,13.36,7,7,0.04913006172686729,0.0,0.9852507374631269,1.0171187631763878
MNQ,adverse_downsize__30m__t85__m25,adverse_downsize,30m,Downsize to 25% of nominal risk when the directional adverse semivariance percentile is >= 85%.,"{""horizon"": ""30m"", ""multiplier"": 0.25, ""threshold"": 0.85}",0,30,0,0,-0.0,0.0,17,13,9834.5,8836.0,48016.5,0.805166889482361,0.7575483603966915,-12447.5,1.1619211411517743,0.4972972972972973,43.25810810810811,1110,1110,0.6353749284487693,13.342873497424156,11,8,12010.5,0.29273143949825847,0.2705849861673665,-12447.5,1.0558134671685486,0.4774193548387097,15.49741935483871,775,775,0.6342062193126022,13.318330605564649,11,8,36006.0,1.9444650588015793,1.896071282422223,-9765.0,1.4425924218677975,0.5432835820895522,107.48059701492538,335,335,0.638095238095238,13.4,7,7,0.039183893270841264,0.0,0.9882005899705014,1.0121152494729444
MNQ,three_state_modulation__session__t90__m25,three_state_modulation,session,"Three-state sizing: 1.0 in favorable semivariance states, 25% in neutral states, 0 in hostile states.","{""horizon"": ""session"", ""multiplier"": 0.25, ""threshold"": 0.9}",79,171,39,40,18815.5,13688.0,91,80,42566.0,42615.5,52096.0,0.9386571272514074,0.8206001543344351,-7720.5,1.2126406403382919,0.49174917491749176,57.31133113311331,909,909,0.5203205495134516,10.926731539782484,10,5,18892.5,0.49275211196357455,0.4268301615876066,-7347.0,1.105437782360344,0.4712286158631415,29.381804043545877,643,643,0.5261865793780688,11.049918166939444,10,5,33203.5,1.941823056230984,1.7248226121986794,-7504.5,1.5045051204910809,0.5413533834586466,124.82518796992481,266,266,0.5066666666666667,10.64,7,4,0.03654189070024594,0.2314900153609831,0.7846607669616519,0.933338018271258
MNQ,adverse_downsize__30m__t85__m50,adverse_downsize,30m,Downsize to 50% of nominal risk when the directional adverse semivariance percentile is >= 85%.,"{""horizon"": ""30m"", ""multiplier"": 0.5, ""threshold"": 0.85}",0,30,0,0,-0.0,0.0,17,13,6187.0,5936.5,47268.5,0.7906242902244529,0.7538683328591633,-12012.5,1.157461940770845,0.49381625441696114,41.756625441696116,1132,1132,0.6479679450486548,13.607326846021751,11,8,11442.5,0.277997167981175,0.2611911126541739,-12012.5,1.0524275670264165,0.473551637279597,14.411209068010075,794,794,0.6497545008183306,13.644844517184943,11,8,35826.0,1.9325986017888028,1.8955448509227224,-9765.0,1.4372410342155206,0.5414201183431953,105.99408284023669,338,338,0.6438095238095238,13.52,7,7,0.02731743625806482,0.0,0.9970501474926253,1.0070555165144062
MNQ,adverse_hard_skip__30m__t90,adverse_hard_skip,30m,Skip trades when the directional adverse semivariance percentile is >= 90%.,"{""horizon"": ""30m"", ""multiplier"": null, ""threshold"": 0.9}",16,0,8,8,5062.0,7084.0,0,0,0.0,0.0,44996.0,0.750816064136319,0.708850431333983,-12447.5,1.1493320943198977,0.49463327370304117,40.24686940966011,1118,1118,0.6399542072123641,13.439038351459645,11,8,9271.5,0.22447420592408,0.2086833294858712,-12447.5,1.042225329276957,0.4731457800511509,11.85613810741688,782,782,0.6399345335515548,13.438625204582651,11,8,35724.5,1.9272624907790201,1.875835305859892,-9765.0,1.437034363798735,0.5446428571428571,106.32291666666667,336,336,0.64,13.44,7,7,0.021981325248282113,0.0,0.9911504424778761,1.0042023893183416
