variant_name,family,horizon,asset_count,overall_net_pnl,overall_sharpe,overall_sortino,overall_max_drawdown,overall_profit_factor,overall_win_rate,overall_average_trade,overall_trade_count,overall_n_days_traded,overall_participation_rate,overall_trades_per_month,overall_longest_losing_streak_trade,overall_longest_losing_streak_daily,is_net_pnl,is_sharpe,is_sortino,is_max_drawdown,is_profit_factor,is_win_rate,is_average_trade,is_trade_count,is_n_days_traded,is_participation_rate,is_trades_per_month,is_longest_losing_streak_trade,is_longest_losing_streak_daily,oos_net_pnl,oos_sharpe,oos_sortino,oos_max_drawdown,oos_profit_factor,oos_win_rate,oos_average_trade,oos_trade_count,oos_n_days_traded,oos_participation_rate,oos_trades_per_month,oos_longest_losing_streak_trade,oos_longest_losing_streak_daily,oos_sharpe_delta_vs_baseline,oos_max_drawdown_improvement_vs_baseline,oos_trade_retention_vs_baseline,oos_net_pnl_retention_vs_baseline,oos_assets_sharpe_improved,oos_assets_dd_improved,oos_assets_with_value,verdict,threshold,multiplier
combined_overlay__session__t85__m50,combined_overlay,session,4,42461.25000000911,0.48064311295135537,0.5122902280614364,-27111.499999996835,1.063333573226184,0.45705098759761137,19.504478640334916,2177,963,0.845478489903424,40.13784021071115,12,7,22154.000000006985,0.36065564755702756,0.38376052214146467,-18090.249999996853,1.0478129265831957,0.4558139534883721,14.720265780735538,1505,666,0.835633626097867,39.65495608531995,12,7,20307.250000002125,0.7547617052035216,0.8071506881315016,-17047.749999999545,1.0980596670783336,0.45982142857142855,30.219122023812684,672,297,0.868421052631579,41.26315789473684,12,6,-0.0888117717262562,-0.24894228832035564,0.869340232858991,0.8448681144949252,1,1,0,no_value,85,50
combined_overlay__session__t90__m25,combined_overlay,session,4,40765.50000000933,0.45497350182970764,0.4883799800410528,-27920.74999999677,1.0593798728515897,0.4577559231113098,18.22329012070153,2237,972,0.8533801580333626,41.244073748902544,12,7,20220.500000007134,0.32530992709579376,0.34668879768461053,-20075.749999996806,1.042670467944408,0.4553686934023286,13.079236739978741,1546,671,0.8419071518193224,40.735257214554586,12,7,20545.00000000219,0.7490686438901709,0.8170267000990842,-16346.499999999534,1.096616540027452,0.4630969609261939,29.732272069467715,691,301,0.8801169590643275,42.429824561403514,12,6,-0.09450483303960688,-0.19756772102058373,0.8939197930142303,0.8547595273756059,1,0,0,no_value,90,25
combined_overlay__session__t85__m25,combined_overlay,session,4,43346.50000000894,0.49271960000051596,0.5249592410558577,-25423.499999996904,1.065189201179831,0.457182320441989,19.956952117867836,2172,962,0.8446005267778753,40.04565408252853,12,7,23239.00000000687,0.3805162906698551,0.40449484647305495,-16598.499999996944,1.0506087631624805,0.45539280958721706,15.47203728362641,1502,665,0.8343789209535759,39.575909661229616,12,7,20107.500000002074,0.7477659483043406,0.8004213386689404,-16961.99999999956,1.0977304375086692,0.46119402985074626,30.01119402985384,670,297,0.868421052631579,41.140350877192986,12,6,-0.09580752862543718,-0.2426601219803134,0.8667529107373868,0.8365576635047426,1,1,0,no_value,85,25
combined_overlay__30m__t90__m50,combined_overlay,30m,4,35941.0000000095,0.4095063458936953,0.4431559774513873,-26740.24999999734,1.0518421181690605,0.46048109965635736,15.438573883165594,2328,998,0.8762071992976295,42.92186128182616,13,8,16261.50000000705,0.2651184729782975,0.28626119383174103,-18080.24999999734,1.034112291668867,0.4607165304839723,10.220930232562571,1591,688,0.863237139272271,41.920953575909664,13,8,19679.500000002445,0.7448350865962158,0.8100028602787543,-19398.999999999047,1.090867744363345,0.4599728629579376,26.70217096336831,737,310,0.9064327485380117,45.25438596491228,12,6,-0.09873839033356202,-0.42119819044308104,0.9534282018111255,0.8187510401065239,2,1,1,no_value,90,50
three_state_modulation__30m__t90__m50,three_state_modulation,30m,4,32591.50000000795,0.42147995711426406,0.4545358135024454,-21843.99999999784,1.0558228959256786,0.45799457994579945,14.720641373083987,2214,977,0.8577699736611062,40.82001755926251,13,10,15755.500000005992,0.2893158974114358,0.3118208606410659,-14878.99999999784,1.038843556408598,0.45783926218708826,10.37911725955599,1518,678,0.8506900878293601,39.99749058971142,13,10,16836.000000001954,0.7365289108492776,0.7956153350404721,-15296.749999999569,1.0944657893961767,0.4583333333333333,24.1896551724166,696,299,0.8742690058479532,42.73684210526316,12,5,-0.10704456608050017,-0.12066155057789862,0.9003880983182406,0.7004493260109923,2,3,2,no_value,90,50
three_state_modulation__30m__t90__m25,three_state_modulation,30m,4,32733.50000000727,0.4387230581976983,0.47439420555874356,-20650.74999999806,1.0612500847876007,0.45415472779369626,15.632043935056002,2094,953,0.8366988586479368,38.60755048287972,12,8,17379.500000005548,0.3301561993488554,0.357051161763224,-14888.24999999805,1.0465610974589732,0.45467128027681664,12.027335640142248,1445,663,0.8318695106649937,38.07402760351318,12,8,15354.00000000172,0.699161419991319,0.7560027266403919,-13015.249999998736,1.0952708928621409,0.4530046224961479,23.65793528505658,649,290,0.847953216374269,39.85087719298246,12,7,-0.14441205693845882,0.04648436784558881,0.8395860284605433,0.6387918122815831,3,3,3,protective_but_mixed,90,25
three_state_modulation__session__t85__m50,three_state_modulation,session,4,41583.750000007494,0.5272477365006786,0.5511589887654682,-23586.24999999747,1.0729493720350134,0.45811393011010054,19.906055528964814,2089,943,0.8279192273924495,38.5153643546971,12,7,25856.75000000571,0.46636789669930073,0.4903387825081122,-16144.49999999821,1.0652450244731286,0.457182320441989,17.85687154696527,1448,654,0.820577164366374,38.153074027603516,12,7,15727.000000001784,0.6714226105659842,0.6923050543460795,-14588.99999999929,1.0905237044093514,0.46021840873634945,24.535101404058945,641,289,0.8450292397660819,39.35964912280702,11,6,-0.17215086636379362,-0.0688107840803196,0.8292367399741267,0.6543102013646263,2,3,1,no_value,85,50
three_state_modulation__session__t90__m50,three_state_modulation,session,4,35259.50000000796,0.43485339873813883,0.4610073853153762,-28125.74999999731,1.0588128836402595,0.45601105481345,16.241133118382294,2171,957,0.8402107111501317,40.02721685689201,12,7,20488.000000005995,0.36103526056377166,0.3828102602281356,-18998.249999997308,1.049288951304682,0.4550898203592814,13.631403858952758,1503,662,0.8306148055207027,39.60225846925973,12,7,14771.500000001963,0.6070391753307792,0.6432566492969475,-16118.999999999214,1.080345936537519,0.45808383233532934,22.113023952098747,668,295,0.8625730994152047,41.01754385964912,11,6,-0.23653430159899858,-0.1809007490979964,0.8641655886157826,0.6145573306706787,1,3,1,no_value,90,50
three_state_modulation__session__t85__m25,three_state_modulation,session,4,39870.000000006854,0.5230011087538052,0.5432568976194415,-23726.74999999755,1.0762132326587317,0.4587341772151899,20.18734177215537,1975,917,0.8050921861281826,36.41352063213345,12,7,26584.250000005195,0.4932727025690947,0.5158986397453446,-17033.99999999818,1.0727649831391934,0.4579100145137881,19.291908563138747,1378,638,0.8005018820577164,36.308657465495614,12,7,13285.750000001663,0.594984437341877,0.6078335640248306,-14154.249999999392,1.0841970676865766,0.46063651591289784,22.254187604692902,597,279,0.8157894736842105,36.65789473684211,11,6,-0.2485890395879008,-0.03696038388984508,0.7723156532988357,0.5527438009652308,1,3,1,no_value,85,25
three_state_modulation__session__t90__m25,three_state_modulation,session,4,31821.00000000734,0.4042223321027186,0.4254078415939544,-29305.249999997388,1.0571898163270854,0.45489815712900095,15.432104752670874,2062,937,0.8226514486391572,38.01755926251097,12,7,20792.500000005475,0.37617431960817677,0.3964964610330436,-19720.249999997395,1.0538086593317444,0.45359385903698535,14.50976971389077,1433,648,0.8130489335006273,37.75784190715182,12,7,11028.500000001866,0.4703667369541126,0.49315608864432864,-16021.999999999298,1.0648755329208817,0.4578696343402226,17.533386327506943,629,289,0.8450292397660819,38.62280701754386,11,6,-0.3732067399756652,-0.17379439183871154,0.8137128072445019,0.4588325844566785,1,3,1,no_value,90,25
