variant_name,family,horizon,asset_count,overall_net_pnl,overall_sharpe,overall_sortino,overall_max_drawdown,overall_profit_factor,overall_win_rate,overall_average_trade,overall_trade_count,overall_n_days_traded,overall_participation_rate,overall_trades_per_month,overall_longest_losing_streak_trade,overall_longest_losing_streak_daily,is_net_pnl,is_sharpe,is_sortino,is_max_drawdown,is_profit_factor,is_win_rate,is_average_trade,is_trade_count,is_n_days_traded,is_participation_rate,is_trades_per_month,is_longest_losing_streak_trade,is_longest_losing_streak_daily,oos_net_pnl,oos_sharpe,oos_sortino,oos_max_drawdown,oos_profit_factor,oos_win_rate,oos_average_trade,oos_trade_count,oos_n_days_traded,oos_participation_rate,oos_trades_per_month,oos_longest_losing_streak_trade,oos_longest_losing_streak_daily,oos_sharpe_delta_vs_baseline,oos_max_drawdown_improvement_vs_baseline,oos_trade_retention_vs_baseline,oos_net_pnl_retention_vs_baseline,oos_assets_sharpe_improved,oos_assets_dd_improved,oos_assets_with_value,verdict,threshold,multiplier
adverse_downsize__30m__t85__m50,adverse_downsize,30m,4,41756.7500000095,0.4765834214737683,0.5222069844081674,-21187.99999999659,1.0602726843964956,0.45869297163995065,17.162659268396837,2433,1014,0.8902546093064091,44.85776997366111,13,8,17950.500000007094,0.29357994919598535,0.31915814074638726,-17266.749999996602,1.037571877761903,0.45755568934376883,10.807043949432327,1661,698,0.875784190715182,43.76537013801757,13,8,23806.25000000241,0.8997393031230064,1.0036160176636812,-13990.749999999038,1.1107097515265227,0.46113989637305697,30.83711139896685,772,316,0.9239766081871345,47.40350877192983,13,6,0.05616582619322863,-0.02498214253008637,0.9987063389391979,0.9904414212015287,3,2,2,no_value,85,50
adverse_downsize__30m__t85__m25,adverse_downsize,30m,4,42882.50000000918,0.49969690491223484,0.544778438511825,-19887.99999999677,1.064357964302787,0.460125260960334,17.905010438417197,2395,1009,0.8858647936786654,44.15715539947322,13,8,19724.250000006818,0.3289125369424548,0.3563956068283739,-16473.499999997865,1.0428218559339988,0.4599877825290165,12.049022602325484,1637,694,0.8707653701380176,43.13299874529486,13,8,23158.25000000237,0.8963153075217539,0.9908085191719536,-14692.249999999049,1.1125823709714011,0.4604221635883905,30.551781002641647,758,315,0.9210526315789473,46.54385964912281,13,6,0.052741830591976124,-0.07637502518361933,0.9805950840879689,0.9634818605425184,3,2,2,no_value,85,25
three_state_modulation__30m__t85__m25,three_state_modulation,30m,4,34294.50000000678,0.475835404760413,0.5055146699407171,-16600.49999999821,1.0684171020311612,0.45582329317269077,17.21611445783473,1992,938,0.8235294117647058,36.726953467954345,12,8,15577.750000005239,0.3060673748402474,0.3245999569171832,-13759.249999998225,1.04427877772355,0.4559248554913295,11.255599710986445,1384,653,0.8193224592220828,36.466750313676286,11,8,18716.750000001546,0.884579449890417,0.9446582088158055,-12110.499999999325,1.1252413087045232,0.4555921052631579,30.78412828947623,608,285,0.8333333333333334,37.333333333333336,12,7,0.041005972960639236,0.11276763310681893,0.7865459249676585,0.7786965385255288,2,3,2,protective_but_mixed,85,25
combined_overlay__30m__t85__m25,combined_overlay,30m,4,41433.50000000904,0.4859211891460584,0.5222711060857326,-20546.99999999453,1.0631457586719169,0.4620168813860506,18.406708129724137,2251,987,0.8665496049165935,41.50219490781387,12,8,18945.25000000668,0.3176221596241423,0.3400289564538818,-15974.749999996855,1.041750914838749,0.46203763789746916,12.29412719014061,1541,681,0.8544542032622334,40.60351317440402,12,8,22488.25000000235,0.8781169574285708,0.9522929605281895,-15642.999999999052,1.111114542364185,0.4619718309859155,31.673591549299086,710,306,0.8947368421052632,43.59649122807018,12,6,0.03454348049879297,-0.1460283155369278,0.9184993531694696,0.9356070061574314,2,2,1,no_value,85,25
three_state_modulation__30m__t85__m50,three_state_modulation,30m,4,35532.50000000751,0.4735500855503798,0.505897851547144,-16781.999999998017,1.0642896721737996,0.4610328638497653,16.681924882632632,2130,961,0.8437225636523266,39.271290605794555,12,8,16114.500000005692,0.30482967893851204,0.324816108906878,-13654.499999997995,1.041784918326959,0.4604904632152589,10.97717983651614,1468,668,0.8381430363864492,38.680050188205776,12,8,19418.00000000182,0.876406287240354,0.9424542506091853,-11594.749999999354,1.1162474313825685,0.4622356495468278,29.332326283990664,662,293,0.8567251461988304,40.64912280701755,12,5,0.032832810310576166,0.15055220791588197,0.8564036222509702,0.8078715260442589,2,3,2,protective_but_mixed,85,50
combined_overlay__30m__t85__m50,combined_overlay,30m,4,39741.75000000917,0.4620188772847372,0.4961122412097882,-22465.499999994463,1.0596223881660767,0.46174259177355154,17.577067669176987,2261,991,0.8700614574187884,41.6865671641791,12,8,18152.000000006796,0.30177793191599384,0.32285419211314387,-17107.2499999968,1.0394741921050679,0.46188630490956073,11.72609819121886,1548,684,0.8582183186951067,40.78795483061481,12,8,21589.750000002365,0.8349630654958242,0.9040562006504059,-16117.999999999049,1.1044432430994349,0.46143057503506313,30.280154277703176,713,307,0.8976608187134503,43.780701754385966,12,6,-0.00861041143395358,-0.18082748768294002,0.9223803363518758,0.8982255782992232,2,2,1,no_value,85,50
adverse_downsize__30m__t90__m50,adverse_downsize,30m,4,37069.00000000969,0.4171657810647558,0.45660648502735307,-25151.749999996537,1.0522606845107956,0.4589153656532457,15.229663106002338,2434,1014,0.8902546093064091,44.876207199297625,13,8,15234.500000007245,0.24598576608022757,0.267032226518402,-18041.749999996522,1.0312379694756113,0.45755568934376883,9.171884406988106,1661,698,0.875784190715182,43.76537013801757,13,8,21834.50000000246,0.8112980639223504,0.9047008935144422,-17175.499999999032,1.098523245543296,0.46183699870633893,28.246442432085974,773,316,0.9239766081871345,47.46491228070176,13,6,-0.03227541300742742,-0.25830143409221934,1.0,0.9084082210018388,2,1,1,no_value,90,50
adverse_downsize__session__t85__m50,adverse_downsize,session,4,41906.50000000943,0.46880356696016784,0.5142801135890722,-23758.749999996748,1.059947893476685,0.4586435070306038,17.331058726223915,2418,1011,0.887620719929763,44.58121158911325,13,8,20033.00000000718,0.3224807511763103,0.35239706884569383,-17333.74999999677,1.041645033928983,0.4576271186440678,12.12651331719563,1652,697,0.8745294855708908,43.52823086574655,13,8,21873.50000000225,0.8025500268779064,0.8877773116138521,-14660.499999999518,1.1003339342314813,0.4608355091383812,28.55548302872356,766,314,0.9181286549707602,47.03508771929825,13,6,-0.04102345005187136,-0.07404897525599918,0.9909443725743855,0.9100307871526038,2,2,1,no_value,85,50
adverse_downsize__30m__t90__m25,adverse_downsize,30m,4,36503.25000000948,0.4176443433313523,0.4545384762594993,-25731.999999996653,1.052827445828664,0.4593698175787728,15.134017412939254,2412,1011,0.887620719929763,44.470588235294116,13,8,15572.500000007049,0.2552816491208214,0.2755930328642289,-17188.249999996646,1.0327357788030598,0.45813106796116504,9.449332524276121,1648,696,0.8732747804265998,43.4228356336261,13,8,20930.750000002437,0.7931284418835194,0.8792129199655212,-19260.249999999043,1.0972223189920582,0.4620418848167539,27.396269633511043,764,315,0.9210526315789473,46.91228070175439,13,6,-0.05044503504625841,-0.41103316910569293,0.9883570504527813,0.8708083707771789,2,1,1,no_value,90,25
adverse_downsize__session__t90__m50,adverse_downsize,session,4,39607.00000000966,0.43730116701389576,0.48118478923622804,-26363.99999999666,1.0556616007400703,0.4586435070306038,16.380066170392748,2418,1011,0.887620719929763,44.58121158911325,13,8,17878.00000000735,0.28423325331833976,0.3108841447506299,-19823.999999996675,1.0365142550197552,0.4576271186440678,10.822033898309533,1652,697,0.8745294855708908,43.52823086574655,13,8,21729.000000002314,0.7856712160288482,0.8759968183343244,-15019.999999999503,1.0979000972062616,0.4608355091383812,28.366840731073516,766,314,0.9181286549707602,47.03508771929825,13,6,-0.05790226090092965,-0.10038645396440127,0.9909443725743855,0.9040189715426886,1,1,0,no_value,90,50
adverse_downsize__session__t85__m25,adverse_downsize,session,4,44452.000000009066,0.5037254768700683,0.5468259759631068,-24317.999999996875,1.065942078164934,0.46025641025641023,18.996581196585073,2340,1000,0.8779631255487269,43.14310798946444,13,7,23303.75000000695,0.38034954399126386,0.4100930568358966,-16589.249999996904,1.0501182589826172,0.4583333333333333,14.492381840800341,1608,688,0.863237139272271,42.36888331242159,12,7,21148.25000000212,0.7842945319905708,0.8644462602682366,-15944.249999999556,1.101124173068153,0.4644808743169399,28.891051912571204,732,312,0.9122807017543859,44.94736842105264,13,6,-0.059278944939207046,-0.16809831681904105,0.9469598965071151,0.8798572973872496,2,2,1,no_value,85,25
combined_overlay__session__t90__m50,combined_overlay,session,4,40447.250000009444,0.4498299445801695,0.4840637421354353,-27393.49999999672,1.0585213704336445,0.45705384957721407,18.00055629728947,2247,975,0.8560140474100087,41.42844600526778,12,7,19198.000000007207,0.3076161424534278,0.3283035915139848,-20344.749999996748,1.0402198495160178,0.4551901998710509,12.37782076080413,1551,673,0.8444165621079046,40.86700125470515,12,7,21249.250000002234,0.7729100182368501,0.8472137252967777,-15474.749999999523,1.0993758973375791,0.46120689655172414,30.53053160919861,696,302,0.8830409356725146,42.73684210526316,12,6,-0.07066345869292767,-0.13370208245576945,0.9003880983182406,0.8840593276751554,1,0,0,no_value,90,50
combined_overlay__30m__t90__m25,combined_overlay,30m,4,35860.000000009386,0.41207267246366347,0.44517370058849703,-26569.99999999738,1.0523893127847377,0.46037898363479757,15.443583118005765,2322,997,0.8753292361720808,42.811237928007024,13,8,15763.500000006961,0.25925051671521393,0.2786961705087262,-17337.499999997377,1.033451391659396,0.4599873976055451,9.932892249531797,1587,687,0.8619824341279799,41.81555834378921,13,8,20096.50000000243,0.7667571898811378,0.8376596747905856,-20201.499999999047,1.094237056853377,0.46122448979591835,27.342176870751604,735,310,0.9064327485380117,45.131578947368425,12,6,-0.07681628704863996,-0.47999047601608114,0.9508408796895214,0.8361000166417186,2,1,1,no_value,90,25
adverse_downsize__session__t90__m25,adverse_downsize,session,4,41304.25000000941,0.4599191648760273,0.5020604223796755,-27984.749999996748,1.0595818878158343,0.46033092914722107,17.52407721680501,2357,1000,0.8779631255487269,43.45654082528534,13,7,20372.250000007192,0.3269428185559847,0.354022508786297,-20204.749999996784,1.0426137299577465,0.458975940777298,12.56770512030055,1621,688,0.863237139272271,42.711417816813054,12,7,20932.00000000222,0.7616771847265765,0.8466188143415088,-16302.49999999953,1.0972824628283464,0.4633152173913043,28.440217391307364,736,312,0.9122807017543859,45.192982456140356,13,6,-0.08189629220320127,-0.19434421875863706,0.9521345407503234,0.8708603761025151,1,0,0,no_value,90,25
