campaign_variant_name,scope,sizing_mode,risk_pct,max_contracts,skip_trade_if_too_small,fixed_contracts,initial_capital_usd,worst_trade_loss_usd,worst_day_pnl_usd,max_daily_drawdown_usd,days_below_minus_500_usd,days_below_minus_1000_usd,trades_loss_gt_250_usd,trades_loss_gt_500_usd,pass_target_3000_usd_without_breaching_2000_dd,days_to_target_3000_usd,max_trailing_drawdown_observed_usd,max_static_drawdown_observed_usd
fixed_1_contract,full,fixed_contracts,,,,1.0,50000.0,127.5,-127.5,482.203125,0,0,0,0,False,,482.203125,266.125
fixed_1_contract,oos,fixed_contracts,,,,1.0,50000.0,103.75,-103.75,370.59375,0,0,0,0,False,,370.59375,20.0
risk_pct_0p0025__max_contracts_3__skip_trade_if_too_small_true,full,risk_percent,0.0025,3.0,True,,50000.0,146.25,-146.25,1171.046875,0,0,0,0,True,1363.0,1171.046875,641.2968750000073
risk_pct_0p0025__max_contracts_3__skip_trade_if_too_small_true,oos,risk_percent,0.0025,3.0,True,,50000.0,130.0,-130.0,515.5312499999927,0,0,0,0,True,191.0,515.5312499999927,60.0
risk_pct_0p0025__max_contracts_3__skip_trade_if_too_small_false,full,risk_percent,0.0025,3.0,False,,50000.0,146.25,-146.25,1171.046875,0,0,0,0,True,1363.0,1171.046875,641.2968750000073
risk_pct_0p0025__max_contracts_3__skip_trade_if_too_small_false,oos,risk_percent,0.0025,3.0,False,,50000.0,130.0,-130.0,515.5312499999927,0,0,0,0,True,191.0,515.5312499999927,60.0
risk_pct_0p0025__max_contracts_5__skip_trade_if_too_small_true,full,risk_percent,0.0025,5.0,True,,50000.0,160.0,-175.0,1483.546875,0,0,0,0,True,1233.0,1483.546875,476.5156250000073
risk_pct_0p0025__max_contracts_5__skip_trade_if_too_small_true,oos,risk_percent,0.0025,5.0,True,,50000.0,156.25,-156.25,641.25,0,0,0,0,True,141.0,641.25,100.0
risk_pct_0p0025__max_contracts_5__skip_trade_if_too_small_false,full,risk_percent,0.0025,5.0,False,,50000.0,160.0,-175.0,1483.546875,0,0,0,0,True,1233.0,1483.546875,476.5156250000073
risk_pct_0p0025__max_contracts_5__skip_trade_if_too_small_false,oos,risk_percent,0.0025,5.0,False,,50000.0,156.25,-156.25,641.25,0,0,0,0,True,141.0,641.25,100.0
risk_pct_0p0025__max_contracts_10__skip_trade_if_too_small_true,full,risk_percent,0.0025,10.0,True,,50000.0,180.0,-206.25,1937.296875,0,0,0,0,True,648.0,1937.296875,657.1093750000146
risk_pct_0p0025__max_contracts_10__skip_trade_if_too_small_true,oos,risk_percent,0.0025,10.0,True,,50000.0,175.0,-175.0,701.609375,0,0,0,0,True,141.0,701.609375,140.0
risk_pct_0p0025__max_contracts_10__skip_trade_if_too_small_false,full,risk_percent,0.0025,10.0,False,,50000.0,180.0,-206.25,1937.296875,0,0,0,0,True,648.0,1937.296875,657.1093750000146
risk_pct_0p0025__max_contracts_10__skip_trade_if_too_small_false,oos,risk_percent,0.0025,10.0,False,,50000.0,175.0,-175.0,701.609375,0,0,0,0,True,141.0,701.609375,140.0
risk_pct_0p0025__max_contracts_15__skip_trade_if_too_small_true,full,risk_percent,0.0025,15.0,True,,50000.0,206.25,-237.5,1991.671875,0,0,0,0,True,622.0,1991.671875,472.4218750000218
risk_pct_0p0025__max_contracts_15__skip_trade_if_too_small_true,oos,risk_percent,0.0025,15.0,True,,50000.0,206.25,-206.25,876.6093749999927,0,0,0,0,True,141.0,876.6093749999927,140.0
