trade_id,session_date,direction,quantity,entry_time,entry_price,stop_price,exit_time,exit_price,exit_reason,risk_per_contract_usd,actual_risk_usd,trade_risk_usd,notional_usd,pnl_points,pnl_ticks,pnl_usd,fees,net_pnl_usd,variant_name,entry_signal_time,bars_held,position_sizing_mode,stop_distance_points,contracts_raw,initial_stop_price,campaign_variant_name,scope,alpha_variant_name,phase,account_size_usd,risk_per_trade_pct,risk_budget_usd,leverage_used,risk_pct_decimal,max_contracts,skip_trade_if_too_small,capital_after_trade_usd
1,2019-06-25,long,1,2019-06-25 10:30:00-04:00,2942.25,2937.5,2019-06-25 12:30:00-04:00,2937.25,stop,23.75,23.75,23.75,14711.25,-5.0,-20.0,-25.0,2.5,-27.5,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,2019-06-25 09:30:00-04:00,2,fixed_contracts,4.75,1.0,2937.5,fixed_1_contract,full,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,is,,,,,,,,
2,2019-07-01,long,1,2019-07-01 10:30:00-04:00,2970.25,2969.5,2019-07-01 11:30:00-04:00,2969.25,stop,3.75,3.75,3.75,14851.25,-1.0,-4.0,-5.0,2.5,-7.5,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,2019-07-01 09:30:00-04:00,1,fixed_contracts,0.75,1.0,2969.5,fixed_1_contract,full,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,is,,,,,,,,
3,2019-07-05,long,1,2019-07-05 10:30:00-04:00,2976.25,2988.475,2019-07-05 14:30:00-04:00,2987.1375,mixed_partial_time_stop,3.75,3.75,3.75,14881.25,10.887499999999818,43.54999999999927,54.43749999999909,2.5,51.93749999999909,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,2019-07-05 09:30:00-04:00,4,fixed_contracts,0.75,1.0,2975.5,fixed_1_contract,full,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,is,,,,,,,,
4,2019-07-24,short,1,2019-07-24 10:30:00-04:00,3008.25,3011.0,2019-07-24 12:30:00-04:00,3011.25,stop,13.75,13.75,13.75,15041.25,-3.0,-12.0,-15.0,2.5,-17.5,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,2019-07-24 09:30:00-04:00,2,fixed_contracts,2.75,1.0,3011.0,fixed_1_contract,full,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,is,,,,,,,,
5,2019-07-29,long,1,2019-07-29 10:30:00-04:00,3019.0,3019.4875,2019-07-29 14:30:00-04:00,3021.50625,mixed_partial_time_stop,17.5,17.5,17.5,15095.0,2.506249999999909,10.024999999999636,12.531249999999545,2.5,10.031249999999545,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,2019-07-29 09:30:00-04:00,4,fixed_contracts,3.5,1.0,3015.5,fixed_1_contract,full,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,is,,,,,,,,
6,2019-08-01,short,1,2019-08-01 10:30:00-04:00,3001.75,3002.25,2019-08-01 11:30:00-04:00,3002.5,stop,2.5,2.5,2.5,15008.75,-0.75,-3.0,-3.75,2.5,-6.25,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,2019-08-01 09:30:00-04:00,1,fixed_contracts,0.5,1.0,3002.25,fixed_1_contract,full,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,is,,,,,,,,
7,2019-08-01,long,1,2019-08-01 14:30:00-04:00,2958.5,2950.75,2019-08-01 15:30:00-04:00,2950.5,stop,38.75,38.75,38.75,14792.5,-8.0,-32.0,-40.0,2.5,-42.5,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,2019-08-01 13:30:00-04:00,1,fixed_contracts,7.75,1.0,2950.75,fixed_1_contract,full,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,is,,,,,,,,
8,2019-08-13,short,1,2019-08-13 10:30:00-04:00,2940.0,2936.9875,2019-08-13 14:30:00-04:00,2931.00625,mixed_partial_time_stop,21.25,21.25,21.25,14700.0,8.993750000000091,35.975000000000364,44.968750000000455,2.5,42.468750000000455,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,2019-08-13 09:30:00-04:00,4,fixed_contracts,4.25,1.0,2944.25,fixed_1_contract,full,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,is,,,,,,,,
9,2019-08-23,long,1,2019-08-23 11:30:00-04:00,2881.25,2872.5,2019-08-23 12:30:00-04:00,2872.25,stop,43.75,43.75,43.75,14406.25,-9.0,-36.0,-45.0,2.5,-47.5,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,2019-08-23 10:30:00-04:00,1,fixed_contracts,8.75,1.0,2872.5,fixed_1_contract,full,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,is,,,,,,,,
10,2019-09-05,short,1,2019-09-05 10:30:00-04:00,2980.25,2980.25,2019-09-05 14:30:00-04:00,2977.328125,mixed_trailing_stop,32.5,32.5,32.5,14901.25,2.921875,11.6875,14.609375,2.5,12.109375,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,2019-09-05 09:30:00-04:00,4,fixed_contracts,6.5,1.0,2986.75,fixed_1_contract,full,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,is,,,,,,,,
