timestamp,equity,drawdown
2019-05-06 09:51:00-04:00,50058.5,0.0
2019-05-06 09:52:00-04:00,50037.0,-21.5
2019-05-06 12:08:00-04:00,50083.0,0.0
2019-05-06 12:10:00-04:00,50077.5,-5.5
2019-05-06 12:11:00-04:00,50070.0,-13.0
2019-05-06 12:15:00-04:00,50061.0,-22.0
2019-05-06 12:18:00-04:00,50049.5,-33.5
2019-05-06 12:39:00-04:00,50038.0,-45.0
2019-05-06 12:47:00-04:00,50027.0,-56.0
2019-05-06 13:14:00-04:00,50019.0,-64.0
2019-05-06 13:18:00-04:00,50014.0,-69.0
2019-05-06 13:19:00-04:00,50005.0,-78.0
2019-05-06 13:21:00-04:00,49994.0,-89.0
2019-05-06 13:24:00-04:00,49987.0,-96.0
2019-05-06 16:00:00-04:00,50082.5,-0.5
2019-05-07 09:43:00-04:00,50097.0,0.0
2019-05-07 09:46:00-04:00,50089.0,-8.0
2019-05-07 09:47:00-04:00,50063.5,-33.5
2019-05-07 12:33:00-04:00,50139.0,0.0
2019-05-07 12:34:00-04:00,50125.5,-13.5
2019-05-07 16:00:00-04:00,50178.0,0.0
2019-05-08 09:32:00-04:00,50173.5,-4.5
2019-05-08 09:33:00-04:00,50157.5,-20.5
2019-05-08 09:42:00-04:00,50153.5,-24.5
2019-05-08 10:11:00-04:00,50156.5,-21.5
2019-05-08 10:12:00-04:00,50142.5,-35.5
2019-05-08 10:29:00-04:00,50127.0,-51.0
2019-05-08 10:44:00-04:00,50120.5,-57.5
2019-05-08 10:59:00-04:00,50115.5,-62.5
2019-05-08 11:00:00-04:00,50037.5,-140.5
2019-05-08 11:38:00-04:00,49975.0,-203.0
2019-05-08 11:41:00-04:00,49962.0,-216.0
2019-05-08 11:42:00-04:00,49950.0,-228.0
2019-05-08 11:49:00-04:00,49934.0,-244.0
2019-05-08 12:04:00-04:00,49917.5,-260.5
2019-05-08 12:06:00-04:00,49902.5,-275.5
2019-05-08 12:07:00-04:00,49886.0,-292.0
2019-05-08 12:28:00-04:00,49862.0,-316.0
2019-05-08 15:51:00-04:00,49843.0,-335.0
2019-05-08 16:00:00-04:00,49877.0,-301.0
2019-05-09 09:34:00-04:00,49875.5,-302.5
2019-05-09 09:39:00-04:00,49878.5,-299.5
2019-05-09 09:41:00-04:00,49866.5,-311.5
2019-05-09 10:48:00-04:00,49922.0,-256.0
2019-05-09 10:52:00-04:00,49913.0,-265.0
2019-05-09 11:15:00-04:00,49906.5,-271.5
2019-05-09 11:16:00-04:00,49894.0,-284.0
2019-05-09 11:17:00-04:00,49876.5,-301.5
2019-05-09 11:23:00-04:00,49863.0,-315.0
2019-05-09 11:39:00-04:00,49858.0,-320.0
2019-05-09 11:40:00-04:00,49846.0,-332.0
2019-05-09 11:41:00-04:00,49839.0,-339.0
2019-05-09 11:42:00-04:00,49820.0,-358.0
2019-05-09 11:45:00-04:00,49797.5,-380.5
2019-05-09 16:00:00-04:00,49955.5,-222.5
2019-05-10 09:32:00-04:00,49933.5,-244.5
2019-05-10 09:36:00-04:00,49928.0,-250.0
2019-05-10 09:37:00-04:00,49914.5,-263.5
2019-05-10 09:38:00-04:00,49901.5,-276.5
2019-05-10 09:51:00-04:00,49904.5,-273.5
2019-05-10 12:17:00-04:00,50031.5,-146.5
2019-05-10 16:00:00-04:00,50222.5,0.0
2019-05-13 09:33:00-04:00,50207.0,-15.5
2019-05-13 09:34:00-04:00,50197.5,-25.0
2019-05-13 09:37:00-04:00,50192.0,-30.5
2019-05-13 09:39:00-04:00,50160.5,-62.0
2019-05-13 09:46:00-04:00,50136.5,-86.0
2019-05-13 09:49:00-04:00,50128.5,-94.0
2019-05-13 09:50:00-04:00,50109.0,-113.5
2019-05-13 10:43:00-04:00,50155.5,-67.0
2019-05-13 10:47:00-04:00,50143.5,-79.0
2019-05-13 14:26:00-04:00,50180.0,-42.5
2019-05-13 14:30:00-04:00,50175.0,-47.5
2019-05-13 14:51:00-04:00,50168.0,-54.5
2019-05-13 15:04:00-04:00,50152.5,-70.0
2019-05-13 15:07:00-04:00,50135.5,-87.0
2019-05-13 15:10:00-04:00,50117.0,-105.5
2019-05-13 16:00:00-04:00,50173.5,-49.0
2019-05-14 09:34:00-04:00,50179.0,-43.5
2019-05-14 09:38:00-04:00,50171.0,-51.5
2019-05-14 09:47:00-04:00,50163.5,-59.0
2019-05-14 10:02:00-04:00,50152.5,-70.0
2019-05-14 10:07:00-04:00,50127.0,-95.5
2019-05-14 10:08:00-04:00,50111.0,-111.5
2019-05-14 16:00:00-04:00,50175.5,-47.0
2019-05-15 09:32:00-04:00,50147.0,-75.5
2019-05-15 09:43:00-04:00,50145.5,-77.0
2019-05-15 09:44:00-04:00,50116.0,-106.5
2019-05-15 16:00:00-04:00,50365.5,0.0
2019-05-16 09:32:00-04:00,50344.0,-21.5
2019-05-16 13:49:00-04:00,50487.5,0.0
