session_date,daily_pnl,symbol,config_name
2019-05-07,0.0,MNQ,baseline_no_opposite_invalidation
2019-05-09,231.3,MNQ,baseline_no_opposite_invalidation
2019-05-13,0.0,MNQ,baseline_no_opposite_invalidation
2019-05-20,-325.44,MNQ,baseline_no_opposite_invalidation
2019-06-03,0.0,MNQ,baseline_no_opposite_invalidation
2019-06-18,-354.96,MNQ,baseline_no_opposite_invalidation
2019-08-02,0.0,MNQ,baseline_no_opposite_invalidation
2019-08-06,-737.92,MNQ,baseline_no_opposite_invalidation
2019-08-07,797.04,MNQ,baseline_no_opposite_invalidation
2019-08-13,-72.24,MNQ,baseline_no_opposite_invalidation
2019-08-14,0.0,MNQ,baseline_no_opposite_invalidation
2019-08-23,-742.44,MNQ,baseline_no_opposite_invalidation
2019-09-03,0.0,MNQ,baseline_no_opposite_invalidation
2019-10-03,1194.84,MNQ,baseline_no_opposite_invalidation
2019-10-04,562.08,MNQ,baseline_no_opposite_invalidation
2019-12-12,-108.96,MNQ,baseline_no_opposite_invalidation
2019-12-13,-37.44,MNQ,baseline_no_opposite_invalidation
2020-01-31,0.0,MNQ,baseline_no_opposite_invalidation
2020-02-05,0.0,MNQ,baseline_no_opposite_invalidation
2020-02-21,0.0,MNQ,baseline_no_opposite_invalidation
2020-02-25,0.0,MNQ,baseline_no_opposite_invalidation
2020-02-26,-551.48,MNQ,baseline_no_opposite_invalidation
2020-02-27,-511.48,MNQ,baseline_no_opposite_invalidation
2020-03-04,798.78,MNQ,baseline_no_opposite_invalidation
2020-03-05,-668.96,MNQ,baseline_no_opposite_invalidation
2020-03-06,-699.72,MNQ,baseline_no_opposite_invalidation
2020-03-10,-687.72,MNQ,baseline_no_opposite_invalidation
2020-03-11,0.0,MNQ,baseline_no_opposite_invalidation
2020-03-24,-696.72,MNQ,baseline_no_opposite_invalidation
2020-03-27,-507.48,MNQ,baseline_no_opposite_invalidation
2020-03-30,1405.04,MNQ,baseline_no_opposite_invalidation
2020-03-31,-646.96,MNQ,baseline_no_opposite_invalidation
2020-04-01,-608.96,MNQ,baseline_no_opposite_invalidation
2020-04-02,531.78,MNQ,baseline_no_opposite_invalidation
2020-04-03,0.0,MNQ,baseline_no_opposite_invalidation
2020-04-06,1314.78,MNQ,baseline_no_opposite_invalidation
2020-04-07,0.0,MNQ,baseline_no_opposite_invalidation
2020-04-08,284.28,MNQ,baseline_no_opposite_invalidation
2020-04-09,0.0,MNQ,baseline_no_opposite_invalidation
2020-04-13,1357.04,MNQ,baseline_no_opposite_invalidation
2020-04-14,285.52,MNQ,baseline_no_opposite_invalidation
2020-04-16,-742.44,MNQ,baseline_no_opposite_invalidation
2020-04-17,0.0,MNQ,baseline_no_opposite_invalidation
2020-04-20,-628.7,MNQ,baseline_no_opposite_invalidation
2020-04-21,0.0,MNQ,baseline_no_opposite_invalidation
2020-04-22,418.8,MNQ,baseline_no_opposite_invalidation
2020-04-23,-692.96,MNQ,baseline_no_opposite_invalidation
2020-04-27,-712.18,MNQ,baseline_no_opposite_invalidation
2020-04-28,0.0,MNQ,baseline_no_opposite_invalidation
2020-04-29,1441.04,MNQ,baseline_no_opposite_invalidation
2020-04-30,0.0,MNQ,baseline_no_opposite_invalidation
2020-05-01,-671.2,MNQ,baseline_no_opposite_invalidation
2020-05-04,693.04,MNQ,baseline_no_opposite_invalidation
2020-05-06,-703.7,MNQ,baseline_no_opposite_invalidation
2020-05-07,-238.44,MNQ,baseline_no_opposite_invalidation
2020-05-13,-641.22,MNQ,baseline_no_opposite_invalidation
2020-05-14,432.52,MNQ,baseline_no_opposite_invalidation
2020-05-15,817.04,MNQ,baseline_no_opposite_invalidation
2020-05-18,268.8,MNQ,baseline_no_opposite_invalidation
2020-05-19,-723.7,MNQ,baseline_no_opposite_invalidation
2020-05-21,0.0,MNQ,baseline_no_opposite_invalidation
2020-05-27,239.28,MNQ,baseline_no_opposite_invalidation
2020-05-28,-668.96,MNQ,baseline_no_opposite_invalidation
2020-05-29,-718.7,MNQ,baseline_no_opposite_invalidation
2020-06-01,108.8,MNQ,baseline_no_opposite_invalidation
2020-06-03,-740.18,MNQ,baseline_no_opposite_invalidation
2020-06-08,588.8,MNQ,baseline_no_opposite_invalidation
2020-06-09,598.56,MNQ,baseline_no_opposite_invalidation
2020-06-10,-673.68,MNQ,baseline_no_opposite_invalidation
2020-06-12,0.0,MNQ,baseline_no_opposite_invalidation
2020-06-15,1428.78,MNQ,baseline_no_opposite_invalidation
2020-06-16,0.0,MNQ,baseline_no_opposite_invalidation
2020-06-17,-730.44,MNQ,baseline_no_opposite_invalidation
2020-06-18,-694.68,MNQ,baseline_no_opposite_invalidation
2020-06-22,1338.82,MNQ,baseline_no_opposite_invalidation
2020-06-24,0.0,MNQ,baseline_no_opposite_invalidation
2020-06-26,0.0,MNQ,baseline_no_opposite_invalidation
2020-06-29,639.78,MNQ,baseline_no_opposite_invalidation
2020-06-30,524.28,MNQ,baseline_no_opposite_invalidation
2020-07-01,618.8,MNQ,baseline_no_opposite_invalidation
2020-07-02,0.0,MNQ,baseline_no_opposite_invalidation
2020-07-06,1236.3,MNQ,baseline_no_opposite_invalidation
2020-07-07,-646.96,MNQ,baseline_no_opposite_invalidation
2020-07-08,-713.7,MNQ,baseline_no_opposite_invalidation
2020-07-09,-643.7,MNQ,baseline_no_opposite_invalidation
2020-07-10,411.78,MNQ,baseline_no_opposite_invalidation
2020-07-13,-711.2,MNQ,baseline_no_opposite_invalidation
2020-07-15,0.0,MNQ,baseline_no_opposite_invalidation
2020-07-16,-741.2,MNQ,baseline_no_opposite_invalidation
2020-07-17,-172.96,MNQ,baseline_no_opposite_invalidation
2020-07-20,1465.04,MNQ,baseline_no_opposite_invalidation
2020-07-21,0.0,MNQ,baseline_no_opposite_invalidation
2020-07-22,0.0,MNQ,baseline_no_opposite_invalidation
2020-07-23,0.0,MNQ,baseline_no_opposite_invalidation
2020-07-24,139.52,MNQ,baseline_no_opposite_invalidation
2020-07-27,-714.72,MNQ,baseline_no_opposite_invalidation
2020-07-29,344.82,MNQ,baseline_no_opposite_invalidation
2020-07-30,1116.78,MNQ,baseline_no_opposite_invalidation
2020-07-31,-16.48,MNQ,baseline_no_opposite_invalidation
2020-08-03,-244.96,MNQ,baseline_no_opposite_invalidation
2020-08-04,-633.7,MNQ,baseline_no_opposite_invalidation
2020-08-05,-148.44,MNQ,baseline_no_opposite_invalidation
2020-08-10,0.0,MNQ,baseline_no_opposite_invalidation
2020-08-11,-746.96,MNQ,baseline_no_opposite_invalidation
2020-08-12,366.78,MNQ,baseline_no_opposite_invalidation
2020-08-13,-693.7,MNQ,baseline_no_opposite_invalidation
2020-08-14,0.0,MNQ,baseline_no_opposite_invalidation
2020-08-18,94.56,MNQ,baseline_no_opposite_invalidation
2020-08-21,514.56,MNQ,baseline_no_opposite_invalidation
2020-08-24,0.0,MNQ,baseline_no_opposite_invalidation
2020-08-25,1411.56,MNQ,baseline_no_opposite_invalidation
2020-08-27,-641.22,MNQ,baseline_no_opposite_invalidation
