trade_id,session_date,direction,quantity,entry_time,entry_price,stop_price,target_price,exit_time,exit_price,exit_reason,account_size_usd,risk_per_trade_pct,risk_budget_usd,risk_per_contract_usd,actual_risk_usd,trade_risk_usd,notional_usd,leverage_used,pnl_points,pnl_ticks,pnl_usd,fees,net_pnl_usd,symbol,config_name,policy_family,strategy_tag,first_breakout_side,invalidated_for_day,invalidated_at,selected_signal_type,is_reclaim_trade
1,2019-05-09,long,5,2019-05-09 12:32:00-04:00,7568.5,7501.25,7703.0,2019-05-09 16:00:00-04:00,7592.25,time_exit,50000.0,1.5,750.0,136.24,681.2,681.2,75685.0,1.5137,23.75,95.0,237.5,6.2,231.3,MNQ,baseline_no_opposite_invalidation,baseline,orb_long_only,first_breakout_downside,False,,baseline,False
2,2019-05-20,long,6,2019-05-20 10:26:00-04:00,7418.5,7361.0,7533.5,2019-05-20 16:00:00-04:00,7392.0,time_exit,50000.0,1.5,750.0,116.74,700.4399999999999,700.4399999999999,89022.0,1.78044,-26.5,-106.0,-318.0,7.4399999999999995,-325.44,MNQ,baseline_no_opposite_invalidation,baseline,orb_long_only,first_breakout_upside,False,,baseline,False
3,2019-06-18,long,4,2019-06-18 10:04:00-04:00,7682.0,7597.5,7851.0,2019-06-18 16:00:00-04:00,7638.25,time_exit,50000.0,1.5,750.0,170.74,682.96,682.96,61456.0,1.22912,-43.75,-175.0,-350.0,4.96,-354.96,MNQ,baseline_no_opposite_invalidation,baseline,orb_long_only,first_breakout_upside,False,,baseline,False
4,2019-08-06,long,8,2019-08-06 10:04:00-04:00,7530.5,7485.25,7621.0,2019-08-06 10:14:00-04:00,7485.0,stop,50000.0,1.5,750.0,92.24,737.92,737.92,120488.0,2.40976,-45.5,-182.0,-728.0,9.92,-737.92,MNQ,baseline_no_opposite_invalidation,baseline,orb_long_only,first_breakout_upside,False,,baseline,False
5,2019-08-07,long,4,2019-08-07 10:11:00-04:00,7465.75,7387.25,7622.75,2019-08-07 16:00:00-04:00,7566.0,time_exit,50000.0,1.5,750.0,158.74,634.96,634.96,59726.0,1.19452,100.25,401.0,802.0,4.96,797.04,MNQ,baseline_no_opposite_invalidation,baseline,orb_long_only,first_breakout_upside,False,,baseline,False
6,2019-08-13,long,1,2019-08-13 10:27:00-04:00,7775.75,7554.75,8217.75,2019-08-13 16:00:00-04:00,7740.25,time_exit,50000.0,1.5,750.0,443.74,443.74,443.74,15551.5,0.31103,-35.5,-142.0,-71.0,1.24,-72.24,MNQ,baseline_no_opposite_invalidation,baseline,orb_long_only,first_breakout_upside,False,,baseline,False
7,2019-08-23,long,6,2019-08-23 10:06:00-04:00,7688.25,7627.25,7810.25,2019-08-23 11:02:00-04:00,7627.0,stop,50000.0,1.5,750.0,123.74,742.4399999999999,742.4399999999999,92259.0,1.84518,-61.25,-245.0,-735.0,7.4399999999999995,-742.44,MNQ,baseline_no_opposite_invalidation,baseline,orb_long_only,first_breakout_upside,False,,baseline,False
8,2019-10-03,long,9,2019-10-03 11:07:00-04:00,7588.75,7548.5,7669.25,2019-10-03 16:00:00-04:00,7655.75,time_exit,50000.0,1.5,750.0,82.24,740.16,740.16,136597.5,2.73195,67.0,268.0,1206.0,11.16,1194.84,MNQ,baseline_no_opposite_invalidation,baseline,orb_long_only,first_breakout_downside,False,,baseline,False
9,2019-10-04,long,8,2019-10-04 10:01:00-04:00,7723.25,7681.75,7806.25,2019-10-04 16:00:00-04:00,7759.0,time_exit,50000.0,1.5,750.0,84.74,677.92,677.92,123572.0,2.47144,35.75,143.0,572.0,9.92,562.08,MNQ,baseline_no_opposite_invalidation,baseline,orb_long_only,first_breakout_upside,False,,baseline,False
10,2019-12-12,long,4,2019-12-12 10:01:00-05:00,8473.25,8380.5,8658.75,2019-12-12 16:00:00-05:00,8460.25,time_exit,50000.0,1.5,750.0,187.24,748.96,748.96,67786.0,1.35572,-13.0,-52.0,-104.0,4.96,-108.96,MNQ,baseline_no_opposite_invalidation,baseline,orb_long_only,first_breakout_upside,False,,baseline,False
