phase,symbol,config_name,detail,seconds
preprocessing/session_features,,,all_symbols,109.23570089996792
backtest/evaluation,MNQ,baseline_no_opposite_invalidation,,0.1312480999622494
writing_exports,MNQ,baseline_no_opposite_invalidation,checkpoint,0.16979110008105636
backtest/evaluation,MNQ,invalidate_on_opposite_touch__buffer_0,,11.650698599871248
writing_exports,MNQ,invalidate_on_opposite_touch__buffer_0,checkpoint,0.34827259997837245
backtest/evaluation,MNQ,invalidate_on_opposite_touch__buffer_1,,16.3622814998962
writing_exports,MNQ,invalidate_on_opposite_touch__buffer_1,checkpoint,0.5864438000135124
backtest/evaluation,MNQ,invalidate_on_opposite_touch__buffer_2,,13.47678570006974
writing_exports,MNQ,invalidate_on_opposite_touch__buffer_2,checkpoint,0.5274211999494582
backtest/evaluation,MNQ,invalidate_on_opposite_close_1m__buffer_0,,11.20877859997563
writing_exports,MNQ,invalidate_on_opposite_close_1m__buffer_0,checkpoint,0.6063656001351774
backtest/evaluation,MNQ,invalidate_on_opposite_close_1m__buffer_1,,8.94228950003162
writing_exports,MNQ,invalidate_on_opposite_close_1m__buffer_1,checkpoint,0.731451400090009
backtest/evaluation,MNQ,invalidate_on_opposite_close_1m__buffer_2,,9.165714400121942
writing_exports,MNQ,invalidate_on_opposite_close_1m__buffer_2,checkpoint,0.9307993999682367
backtest/evaluation,MNQ,invalidate_on_opposite_n_closes_1m__buffer_0__confirm_2,,8.911304299952462
writing_exports,MNQ,invalidate_on_opposite_n_closes_1m__buffer_0__confirm_2,checkpoint,0.4523122999817133
backtest/evaluation,MNQ,invalidate_on_opposite_n_closes_1m__buffer_1__confirm_2,,5.010828000027686
writing_exports,MNQ,invalidate_on_opposite_n_closes_1m__buffer_1__confirm_2,checkpoint,0.5126275999937207
backtest/evaluation,MNQ,invalidate_on_opposite_n_closes_1m__buffer_2__confirm_2,,6.344426499912515
writing_exports,MNQ,invalidate_on_opposite_n_closes_1m__buffer_2__confirm_2,checkpoint,0.6133860000409186
backtest/evaluation,MNQ,invalidate_on_opposite_n_closes_1m__buffer_2__confirm_3,,5.743900600122288
writing_exports,MNQ,invalidate_on_opposite_n_closes_1m__buffer_2__confirm_3,checkpoint,1.2185901999473572
backtest/evaluation,MNQ,invalidate_on_opposite_close_5m__buffer_0,,8.361695399973541
writing_exports,MNQ,invalidate_on_opposite_close_5m__buffer_0,checkpoint,1.3113388000056148
backtest/evaluation,MNQ,invalidate_on_opposite_close_5m__buffer_1,,9.008169800043106
writing_exports,MNQ,invalidate_on_opposite_close_5m__buffer_1,checkpoint,1.5109806000255048
backtest/evaluation,MNQ,invalidate_on_opposite_close_5m__buffer_2,,9.059413400013
writing_exports,MNQ,invalidate_on_opposite_close_5m__buffer_2,checkpoint,1.501226400025189
backtest/evaluation,MNQ,invalidate_on_opposite_close_5m__buffer_4,,6.600857200101018
writing_exports,MNQ,invalidate_on_opposite_close_5m__buffer_4,checkpoint,0.9079413001891226
backtest/evaluation,MNQ,allow_reclaim_after_opposite_breakout_conservative__buffer_0__require_vwap_false,,6.327017900068313
writing_exports,MNQ,allow_reclaim_after_opposite_breakout_conservative__buffer_0__require_vwap_false,checkpoint,1.725340599892661
backtest/evaluation,MNQ,allow_reclaim_after_opposite_breakout_conservative__buffer_0__require_vwap_true,,13.853091800119728
writing_exports,MNQ,allow_reclaim_after_opposite_breakout_conservative__buffer_0__require_vwap_true,checkpoint,1.3274552999064326
