config_name,policy_family,strategy_tag,symbol,opposite_confirmation,opposite_breakout_buffer_ticks,opposite_breakout_confirm_bars,require_reclaim_vwap,require_reclaim_or_low_close,reclaim_confirm_bars,net_pnl,gross_pnl,number_of_trades,win_rate,avg_trade,profit_factor,Sharpe,Sortino,max_drawdown,max_daily_drawdown,average_daily_pnl,median_daily_pnl,worst_day,best_day,trade_frequency,exposure_days,prop_pass,daily_loss_limit_breaches,first_breakout_downside_count,first_breakout_upside_count,invalidated_days_count,invalidated_days_pct,trades_after_downside_first_breakout_count,pnl_after_downside_first_breakout,sharpe_after_downside_first_breakout,reclaim_trade_count,reclaim_trade_pnl,reclaim_trade_sharpe
baseline_no_opposite_invalidation,baseline,orb_long_only,MNQ,none,0,1,False,False,1,27409.639999999985,30899.0,785,0.5222929936305732,34.91673885350316,1.13737670892405,0.7158807084047569,1.7057457151342095,-8645.119999999959,-8645.119999999959,24.472892857142842,0.0,-749.22,1482.78,0.7008928571428571,785,False,0,524,596,0,0.0,207,1915.4199999999937,0.15566304539721112,0,0.0,0.0
invalidate_on_opposite_touch__buffer_0,invalidate_for_day,orb_long_only,MNQ,touch,0,1,False,False,1,24766.059999999983,27191.5,562,0.5266903914590747,44.0677224199288,1.1668267389351759,0.7472217949242879,1.7456563733525698,-7263.720000000005,-7263.720000000005,22.112553571428556,0.0,-749.22,1465.04,0.5017857142857143,562,False,0,524,596,768,0.6857142857142857,0,0.0,0.0,0,0.0,0.0
invalidate_on_opposite_touch__buffer_1,invalidate_for_day,orb_long_only,MNQ,touch,1,1,False,False,1,24123.099999999984,26553.5,563,0.5257548845470693,42.84742451154526,1.1617949527266662,0.7271738185793567,1.7029620305710225,-7263.720000000005,-7263.720000000005,21.538482142857127,0.0,-749.22,1465.04,0.5026785714285714,563,False,0,523,597,768,0.6857142857142857,0,0.0,0.0,0,0.0,0.0
invalidate_on_opposite_touch__buffer_2,invalidate_for_day,orb_long_only,MNQ,touch,2,1,False,False,1,24123.099999999984,26553.5,563,0.5257548845470693,42.84742451154526,1.1617949527266662,0.7271738185793567,1.7029620305710225,-7263.720000000005,-7263.720000000005,21.538482142857127,0.0,-749.22,1465.04,0.5026785714285714,563,False,0,523,597,768,0.6857142857142857,0,0.0,0.0,0,0.0,0.0
invalidate_on_opposite_close_1m__buffer_0,invalidate_for_day,orb_long_only,MNQ,close_1m,0,1,False,False,1,26839.859999999986,29333.5,580,0.5275862068965518,46.27562068965515,1.175570459788987,0.794588936310838,1.8867025467950433,-7775.340000000004,-7775.340000000004,23.9641607142857,0.0,-749.22,1465.04,0.5178571428571429,580,False,0,504,616,745,0.6651785714285714,0,0.0,0.0,0,0.0,0.0
invalidate_on_opposite_close_1m__buffer_1,invalidate_for_day,orb_long_only,MNQ,close_1m,1,1,False,False,1,27103.65999999998,29603.5,581,0.5283993115318416,46.650017211703926,1.1772960830706414,0.8023098004213003,1.9052463146032415,-7775.340000000004,-7775.340000000004,24.19969642857141,0.0,-749.22,1465.04,0.51875,581,False,0,503,617,744,0.6642857142857143,0,0.0,0.0,0,0.0,0.0
invalidate_on_opposite_close_1m__buffer_2,invalidate_for_day,orb_long_only,MNQ,close_1m,2,1,False,False,1,27103.65999999998,29603.5,581,0.5283993115318416,46.650017211703926,1.1772960830706414,0.8023098004213003,1.9052463146032415,-7775.340000000004,-7775.340000000004,24.19969642857141,0.0,-749.22,1465.04,0.51875,581,False,0,503,617,743,0.6633928571428571,0,0.0,0.0,0,0.0,0.0
invalidate_on_opposite_n_closes_1m__buffer_0__confirm_2,invalidate_for_day,orb_long_only,MNQ,n_closes_1m,0,2,False,False,1,30191.75999999998,32797.0,602,0.526578073089701,50.152425249169404,1.1905731441978307,0.8723911042527189,2.100542761653297,-6843.699999999994,-6843.699999999994,26.956928571428556,0.0,-749.22,1465.04,0.5375,602,False,0,485,635,725,0.6473214285714286,0,0.0,0.0,0,0.0,0.0
invalidate_on_opposite_n_closes_1m__buffer_1__confirm_2,invalidate_for_day,orb_long_only,MNQ,n_closes_1m,1,2,False,False,1,30191.75999999998,32797.0,602,0.526578073089701,50.152425249169404,1.1905731441978307,0.8723911042527189,2.100542761653297,-6843.699999999994,-6843.699999999994,26.956928571428556,0.0,-749.22,1465.04,0.5375,602,False,0,485,635,724,0.6464285714285715,0,0.0,0.0,0,0.0,0.0
invalidate_on_opposite_n_closes_1m__buffer_2__confirm_2,invalidate_for_day,orb_long_only,MNQ,n_closes_1m,2,2,False,False,1,30191.75999999998,32797.0,602,0.526578073089701,50.152425249169404,1.1905731441978307,0.8723911042527189,2.100542761653297,-6843.699999999994,-6843.699999999994,26.956928571428556,0.0,-749.22,1465.04,0.5375,602,False,0,485,635,724,0.6464285714285715,0,0.0,0.0,0,0.0,0.0
invalidate_on_opposite_n_closes_1m__buffer_2__confirm_3,invalidate_for_day,orb_long_only,MNQ,n_closes_1m,2,3,False,False,1,30356.61999999998,33037.5,616,0.5275974025974026,49.28022727272724,1.1872018835741038,0.8672842597735096,2.1140785263482704,-6832.060000000001,-6832.060000000001,27.104124999999982,0.0,-749.22,1465.04,0.55,616,False,0,471,648,706,0.6303571428571428,0,0.0,0.0,0,0.0,0.0
invalidate_on_opposite_close_5m__buffer_0,invalidate_for_day,orb_long_only,MNQ,close_5m,0,1,False,False,1,26644.95999999999,29275.0,606,0.5247524752475248,43.96858085808579,1.166669877675573,0.7721081687988872,1.8368685948493437,-8047.580000000003,-8047.580000000003,23.790142857142843,0.0,-749.22,1465.04,0.5410714285714285,606,False,0,477,642,716,0.6392857142857142,0,0.0,0.0,0,0.0,0.0
invalidate_on_opposite_close_5m__buffer_1,invalidate_for_day,orb_long_only,MNQ,close_5m,1,1,False,False,1,26203.579999999987,28848.5,608,0.524671052631579,43.097993421052614,1.1631891166982804,0.7584866801617418,1.8079078113696816,-8047.580000000002,-8047.580000000002,23.396053571428556,0.0,-749.22,1465.04,0.5428571428571428,608,False,0,475,644,713,0.6366071428571428,0,0.0,0.0,0,0.0,0.0
invalidate_on_opposite_close_5m__buffer_2,invalidate_for_day,orb_long_only,MNQ,close_5m,2,1,False,False,1,26535.859999999986,29184.5,609,0.5254515599343186,43.57284072249587,1.165258470568878,0.7679693395672496,1.8308333661054053,-8047.580000000002,-8047.580000000002,23.69273214285713,0.0,-749.22,1465.04,0.54375,609,False,0,474,645,711,0.6348214285714285,0,0.0,0.0,0,0.0,0.0
invalidate_on_opposite_close_5m__buffer_4,invalidate_for_day,orb_long_only,MNQ,close_5m,4,1,False,False,1,26535.859999999986,29184.5,609,0.5254515599343186,43.57284072249587,1.165258470568878,0.7679693395672496,1.8308333661054053,-8047.580000000002,-8047.580000000002,23.69273214285713,0.0,-749.22,1465.04,0.54375,609,False,0,473,646,709,0.6330357142857143,0,0.0,0.0,0,0.0,0.0
allow_reclaim_after_opposite_breakout_conservative__buffer_0__require_vwap_false,reclaim_conservative,failed_breakdown_reclaim_long,MNQ,touch,0,1,False,True,1,27975.859999999982,31461.5,784,0.5229591836734694,35.683494897959164,1.140613640677072,0.7310555758442525,1.738711928373038,-8078.899999999956,-8078.899999999956,24.978446428571413,0.0,-749.22,1482.78,0.7,784,False,0,524,596,0,0.0,206,2481.639999999994,0.2021309039583657,222,3209.7999999999956,0.3766712759003277
allow_reclaim_after_opposite_breakout_conservative__buffer_0__require_vwap_true,reclaim_conservative,failed_breakdown_reclaim_long,MNQ,touch,0,1,True,True,1,27043.55999999999,30492.0,777,0.5225225225225225,34.80509652509651,1.1374027231423198,0.7117940812076021,1.6783464613077583,-8308.219999999958,-8308.219999999958,24.14603571428569,0.0,-749.22,1482.78,0.69375,777,False,0,524,596,0,0.0,199,1549.3399999999938,0.13053856781245043,215,2277.4999999999955,0.27972439551125583
