config_name,symbol,bucket,trade_count,net_pnl,avg_trade,win_rate
allow_reclaim_after_opposite_breakout_conservative__buffer_0__require_vwap_false,MNQ,reclaim_trade,222,3209.7999999999956,14.458558558558538,0.5135135135135135
allow_reclaim_after_opposite_breakout_conservative__buffer_0__require_vwap_false,MNQ,trade_without_prior_downside_breakout,562,24766.059999999983,44.0677224199288,0.5266903914590747
allow_reclaim_after_opposite_breakout_conservative__buffer_0__require_vwap_true,MNQ,reclaim_trade,215,2277.4999999999955,10.593023255813932,0.5116279069767442
allow_reclaim_after_opposite_breakout_conservative__buffer_0__require_vwap_true,MNQ,trade_without_prior_downside_breakout,562,24766.059999999983,44.0677224199288,0.5266903914590747
baseline_no_opposite_invalidation,MNQ,trade_after_downside_first_breakout,207,1915.4199999999937,9.253236714975815,0.5072463768115942
baseline_no_opposite_invalidation,MNQ,trade_without_prior_downside_breakout,578,25494.219999999987,44.10764705882351,0.527681660899654
invalidate_on_opposite_close_1m__buffer_0,MNQ,trade_without_prior_downside_breakout,580,26839.859999999986,46.27562068965515,0.5275862068965518
invalidate_on_opposite_close_1m__buffer_1,MNQ,trade_without_prior_downside_breakout,581,27103.65999999998,46.650017211703926,0.5283993115318416
invalidate_on_opposite_close_1m__buffer_2,MNQ,trade_without_prior_downside_breakout,581,27103.65999999998,46.650017211703926,0.5283993115318416
invalidate_on_opposite_close_5m__buffer_0,MNQ,trade_without_prior_downside_breakout,606,26644.95999999999,43.96858085808579,0.5247524752475248
invalidate_on_opposite_close_5m__buffer_1,MNQ,trade_without_prior_downside_breakout,608,26203.579999999987,43.097993421052614,0.524671052631579
invalidate_on_opposite_close_5m__buffer_2,MNQ,trade_without_prior_downside_breakout,609,26535.859999999986,43.57284072249587,0.5254515599343186
invalidate_on_opposite_close_5m__buffer_4,MNQ,trade_without_prior_downside_breakout,609,26535.859999999986,43.57284072249587,0.5254515599343186
invalidate_on_opposite_n_closes_1m__buffer_0__confirm_2,MNQ,trade_without_prior_downside_breakout,602,30191.75999999998,50.152425249169404,0.526578073089701
invalidate_on_opposite_n_closes_1m__buffer_1__confirm_2,MNQ,trade_without_prior_downside_breakout,602,30191.75999999998,50.152425249169404,0.526578073089701
invalidate_on_opposite_n_closes_1m__buffer_2__confirm_2,MNQ,trade_without_prior_downside_breakout,602,30191.75999999998,50.152425249169404,0.526578073089701
invalidate_on_opposite_n_closes_1m__buffer_2__confirm_3,MNQ,trade_without_prior_downside_breakout,616,30356.61999999998,49.28022727272724,0.5275974025974026
invalidate_on_opposite_touch__buffer_0,MNQ,trade_without_prior_downside_breakout,562,24766.059999999983,44.0677224199288,0.5266903914590747
invalidate_on_opposite_touch__buffer_1,MNQ,trade_without_prior_downside_breakout,563,24123.099999999984,42.84742451154526,0.5257548845470693
invalidate_on_opposite_touch__buffer_2,MNQ,trade_without_prior_downside_breakout,563,24123.099999999984,42.84742451154526,0.5257548845470693
