config_name,symbol,year,annual_trade_count,annual_max_dd,annual_invalidation_count,net_pnl,gross_pnl,number_of_trades,win_rate,avg_trade,profit_factor,Sharpe,Sortino,max_drawdown,max_daily_drawdown,average_daily_pnl,median_daily_pnl,worst_day,best_day,trade_frequency,exposure_days,prop_pass,daily_loss_limit_breaches,first_breakout_downside_count,first_breakout_upside_count,invalidated_days_count,invalidated_days_pct,trades_after_downside_first_breakout_count,pnl_after_downside_first_breakout,sharpe_after_downside_first_breakout,reclaim_trade_count,reclaim_trade_pnl,reclaim_trade_sharpe
allow_reclaim_after_opposite_breakout_conservative__buffer_0__require_vwap_false,MNQ,2019,11,-1435.96,0,405.8599999999999,481.5,11,0.36363636363636365,36.896363636363624,1.170572413213415,0.8049155977691961,1.3678781009056948,-1435.96,-1435.96,23.874117647058807,0.0,-742.44,1194.84,0.6470588235294118,11,False,0,8,9,0,0.0,2,1426.1399999999999,7.226224601331566,2,1426.1399999999999,23.49593234175014
allow_reclaim_after_opposite_breakout_conservative__buffer_0__require_vwap_false,MNQ,2020,118,-5211.460000000002,0,-1767.380000000004,-1163.5,118,0.4661016949152542,-14.977796610169525,0.9511163380152357,-0.29447956366985223,-0.8117000826054468,-5211.460000000002,-5211.460000000002,-11.185949367088623,0.0,-746.96,1465.04,0.7468354430379747,118,False,0,69,89,0,0.0,33,-2375.9400000000014,-1.4600505679113196,33,-2375.9400000000014,-2.1210391573518006
allow_reclaim_after_opposite_breakout_conservative__buffer_0__require_vwap_false,MNQ,2021,126,-3166.0,0,14741.919999999998,15352.0,126,0.5952380952380952,116.99936507936506,1.5880669080325696,2.547392494581052,5.252317081131998,-3166.0,-3166.0,80.1191304347826,0.0,-743.22,1329.78,0.6847826086956522,126,True,0,86,98,0,0.0,30,6912.219999999999,3.835996579415005,33,6418.6,5.78905610202241
allow_reclaim_after_opposite_breakout_conservative__buffer_0__require_vwap_false,MNQ,2022,114,-5190.16,0,-1613.9800000000018,-1239.5,114,0.5087719298245614,-14.157719298245631,0.9461031852944691,-0.29976499824610625,-0.6780123812851311,-5190.16,-5511.0599999999995,-8.868021978021993,0.0,-744.96,1449.04,0.6263736263736264,114,False,0,94,88,0,0.0,32,-108.58000000000061,-0.05744773414386687,35,661.2599999999991,0.5130627783870731
allow_reclaim_after_opposite_breakout_conservative__buffer_0__require_vwap_false,MNQ,2023,149,-7335.240000000001,0,1236.3599999999947,1963.0,149,0.5033557046979866,8.297718120805333,1.029331048265417,0.16341958678162535,0.43974468614969253,-7335.240000000001,-7335.240000000001,5.831886792452818,0.0,-749.22,1450.82,0.7028301886792453,149,False,0,105,107,0,0.0,44,-1986.6200000000015,-0.7943521052845769,49,-3726.6200000000026,-2.019237549836149
allow_reclaim_after_opposite_breakout_conservative__buffer_0__require_vwap_false,MNQ,2024,141,-5951.279999999992,0,14352.939999999995,14996.5,141,0.5460992907801419,101.79390070921983,1.4143525414960518,1.9048030435882304,5.1625871861557675,-5951.279999999992,-5951.279999999992,71.05415841584158,0.0,-744.96,1451.3,0.698019801980198,141,True,0,92,110,0,0.0,34,-1290.800000000001,-0.5196464085353505,36,77.2799999999994,0.04743788335838074
allow_reclaim_after_opposite_breakout_conservative__buffer_0__require_vwap_false,MNQ,2025,118,-7651.420000000001,0,1221.259999999997,1656.5,118,0.5254237288135594,10.349661016949128,1.044469156409259,0.24298248286963806,0.5206211591248063,-7651.420000000001,-7651.420000000001,7.879096774193528,0.0,-738.96,1482.78,0.7612903225806451,118,True,0,67,88,0,0.0,31,-94.78000000000077,-0.05916309224120014,34,729.079999999999,0.5673717239193368
allow_reclaim_after_opposite_breakout_conservative__buffer_0__require_vwap_false,MNQ,2026,7,-690.72,0,-601.1200000000001,-585.0,7,0.5714285714285714,-85.87428571428573,0.47850227296387543,-3.5299553990423536,-3.6791980008637033,-690.72,-690.72,-60.11200000000001,0.0,-690.72,254.76,0.7,7,False,0,3,7,0,0.0,0,0.0,0.0,0,0.0,0.0
allow_reclaim_after_opposite_breakout_conservative__buffer_0__require_vwap_true,MNQ,2019,11,-1435.96,0,405.8599999999999,481.5,11,0.36363636363636365,36.896363636363624,1.170572413213415,0.8049155977691961,1.3678781009056948,-1435.96,-1435.96,23.874117647058807,0.0,-742.44,1194.84,0.6470588235294118,11,False,0,8,9,0,0.0,2,1426.1399999999999,7.226224601331566,2,1426.1399999999999,23.49593234175014
allow_reclaim_after_opposite_breakout_conservative__buffer_0__require_vwap_true,MNQ,2020,117,-4719.620000000001,0,-1020.4200000000019,-421.5,117,0.4700854700854701,-8.721538461538477,0.9711809750716367,-0.17083352267992835,-0.4672760051927892,-4719.620000000001,-4719.620000000001,-6.458354430379766,0.0,-742.44,1465.04,0.740506329113924,117,False,0,69,89,0,0.0,32,-1628.9800000000012,-1.0287762343480436,32,-1628.9800000000012,-1.514354491367541
allow_reclaim_after_opposite_breakout_conservative__buffer_0__require_vwap_true,MNQ,2021,125,-3166.0,0,14254.879999999997,14860.0,125,0.592,114.03903999999999,1.5686384952553887,2.467552218658812,5.078792295270012,-3166.0,-3166.0,77.47217391304346,0.0,-743.22,1329.78,0.6793478260869565,125,True,0,86,98,0,0.0,29,6425.1799999999985,3.5963966161560377,32,5931.559999999999,5.458450939389139
allow_reclaim_after_opposite_breakout_conservative__buffer_0__require_vwap_true,MNQ,2022,113,-5190.16,0,-935.020000000002,-565.5,113,0.5132743362831859,-8.274513274336302,0.9680518321455244,-0.17464653349458117,-0.3909856626462696,-5190.16,-5511.0599999999995,-5.137472527472543,0.0,-744.96,1449.04,0.6208791208791209,113,False,0,94,88,0,0.0,31,570.3799999999994,0.3093706911987114,34,1340.2199999999996,1.0778719016936182
allow_reclaim_after_opposite_breakout_conservative__buffer_0__require_vwap_true,MNQ,2023,148,-7403.840000000001,0,328.07999999999583,1051.0,148,0.5,2.2167567567567286,1.0077832753525817,0.0436281037714092,0.11669047577727414,-7403.840000000001,-7403.840000000001,1.5475471698113097,0.0,-749.22,1450.82,0.6981132075471698,148,False,0,105,107,0,0.0,43,-2894.900000000001,-1.1924863106626216,48,-4634.9000000000015,-2.612228062400948
