session_date,symbol,selected_signal_ts,first_breakout_side,first_upside_touch_ts,first_downside_break_ts,policy_name,strategy_tag,invalidated_for_day,invalidated_at,reclaim_or_low_ts,reclaim_vwap_ts,selected_signal_type,trade_taken,is_reclaim_trade,config_name
2020-01-31,MNQ,,first_breakout_downside,,2020-01-31 10:04:00-05:00,invalidate_on_opposite_touch__buffer_0,orb_long_only,True,2020-01-31 10:04:00-05:00,,,none,False,False,invalidate_on_opposite_touch__buffer_0
2020-02-05,MNQ,,first_breakout_downside,,2020-02-05 10:13:00-05:00,invalidate_on_opposite_touch__buffer_0,orb_long_only,True,2020-02-05 10:13:00-05:00,,,none,False,False,invalidate_on_opposite_touch__buffer_0
2020-02-21,MNQ,,first_breakout_downside,,2020-02-21 10:40:00-05:00,invalidate_on_opposite_touch__buffer_0,orb_long_only,True,2020-02-21 10:40:00-05:00,,,none,False,False,invalidate_on_opposite_touch__buffer_0
2020-02-25,MNQ,,first_breakout_downside,,2020-02-25 10:20:00-05:00,invalidate_on_opposite_touch__buffer_0,orb_long_only,True,2020-02-25 10:20:00-05:00,,,none,False,False,invalidate_on_opposite_touch__buffer_0
2020-02-26,MNQ,2020-02-26 10:35:00-05:00,first_breakout_upside,2020-02-26 10:35:00-05:00,2020-02-26 12:16:00-05:00,invalidate_on_opposite_touch__buffer_0,orb_long_only,True,2020-02-26 12:16:00-05:00,,,pre_invalidation_long,True,False,invalidate_on_opposite_touch__buffer_0
2020-02-27,MNQ,,first_breakout_downside,2020-02-27 11:18:00-05:00,2020-02-27 10:23:00-05:00,invalidate_on_opposite_touch__buffer_0,orb_long_only,True,2020-02-27 10:23:00-05:00,,,none,False,False,invalidate_on_opposite_touch__buffer_0
2020-03-05,MNQ,2020-03-05 10:18:00-05:00,first_breakout_upside,2020-03-05 10:18:00-05:00,2020-03-05 12:42:00-05:00,invalidate_on_opposite_touch__buffer_0,orb_long_only,True,2020-03-05 12:42:00-05:00,,,pre_invalidation_long,True,False,invalidate_on_opposite_touch__buffer_0
2020-03-06,MNQ,2020-03-06 10:25:00-05:00,first_breakout_upside,2020-03-06 10:16:00-05:00,2020-03-06 14:34:00-05:00,invalidate_on_opposite_touch__buffer_0,orb_long_only,True,2020-03-06 14:34:00-05:00,,,pre_invalidation_long,True,False,invalidate_on_opposite_touch__buffer_0
2020-03-10,MNQ,2020-03-10 10:20:00-04:00,first_breakout_upside,2020-03-10 10:12:00-04:00,2020-03-10 10:46:00-04:00,invalidate_on_opposite_touch__buffer_0,orb_long_only,True,2020-03-10 10:46:00-04:00,,,pre_invalidation_long,True,False,invalidate_on_opposite_touch__buffer_0
2020-03-11,MNQ,,first_breakout_upside,2020-03-11 10:08:00-04:00,2020-03-11 10:30:00-04:00,invalidate_on_opposite_touch__buffer_0,orb_long_only,True,2020-03-11 10:30:00-04:00,,,none,False,False,invalidate_on_opposite_touch__buffer_0
2020-03-24,MNQ,,first_breakout_downside,2020-03-24 10:25:00-04:00,2020-03-24 10:01:00-04:00,invalidate_on_opposite_touch__buffer_0,orb_long_only,True,2020-03-24 10:01:00-04:00,,,none,False,False,invalidate_on_opposite_touch__buffer_0
2020-03-27,MNQ,2020-03-27 13:39:00-04:00,first_breakout_upside,2020-03-27 11:17:00-04:00,2020-03-27 15:51:00-04:00,invalidate_on_opposite_touch__buffer_0,orb_long_only,True,2020-03-27 15:51:00-04:00,,,pre_invalidation_long,True,False,invalidate_on_opposite_touch__buffer_0
2020-03-31,MNQ,2020-03-31 10:06:00-04:00,first_breakout_upside,2020-03-31 10:06:00-04:00,2020-03-31 15:14:00-04:00,invalidate_on_opposite_touch__buffer_0,orb_long_only,True,2020-03-31 15:14:00-04:00,,,pre_invalidation_long,True,False,invalidate_on_opposite_touch__buffer_0
2020-04-01,MNQ,2020-04-01 10:32:00-04:00,first_breakout_upside,2020-04-01 10:16:00-04:00,2020-04-01 12:27:00-04:00,invalidate_on_opposite_touch__buffer_0,orb_long_only,True,2020-04-01 12:27:00-04:00,,,pre_invalidation_long,True,False,invalidate_on_opposite_touch__buffer_0
2020-04-03,MNQ,,first_breakout_downside,,2020-04-03 10:22:00-04:00,invalidate_on_opposite_touch__buffer_0,orb_long_only,True,2020-04-03 10:22:00-04:00,,,none,False,False,invalidate_on_opposite_touch__buffer_0
2020-04-07,MNQ,,first_breakout_downside,,2020-04-07 10:06:00-04:00,invalidate_on_opposite_touch__buffer_0,orb_long_only,True,2020-04-07 10:06:00-04:00,,,none,False,False,invalidate_on_opposite_touch__buffer_0
2020-04-08,MNQ,,first_breakout_downside,2020-04-08 11:20:00-04:00,2020-04-08 10:05:00-04:00,invalidate_on_opposite_touch__buffer_0,orb_long_only,True,2020-04-08 10:05:00-04:00,,,none,False,False,invalidate_on_opposite_touch__buffer_0
2020-04-09,MNQ,,first_breakout_downside,,2020-04-09 10:08:00-04:00,invalidate_on_opposite_touch__buffer_0,orb_long_only,True,2020-04-09 10:08:00-04:00,,,none,False,False,invalidate_on_opposite_touch__buffer_0
2020-04-13,MNQ,,first_breakout_downside,2020-04-13 13:52:00-04:00,2020-04-13 10:25:00-04:00,invalidate_on_opposite_touch__buffer_0,orb_long_only,True,2020-04-13 10:25:00-04:00,,,none,False,False,invalidate_on_opposite_touch__buffer_0
2020-04-16,MNQ,,first_breakout_downside,2020-04-16 10:49:00-04:00,2020-04-16 10:01:00-04:00,invalidate_on_opposite_touch__buffer_0,orb_long_only,True,2020-04-16 10:01:00-04:00,,,none,False,False,invalidate_on_opposite_touch__buffer_0
2020-04-17,MNQ,,first_breakout_downside,,2020-04-17 10:38:00-04:00,invalidate_on_opposite_touch__buffer_0,orb_long_only,True,2020-04-17 10:38:00-04:00,,,none,False,False,invalidate_on_opposite_touch__buffer_0
2020-04-20,MNQ,2020-04-20 10:25:00-04:00,first_breakout_upside,2020-04-20 10:24:00-04:00,2020-04-20 15:05:00-04:00,invalidate_on_opposite_touch__buffer_0,orb_long_only,True,2020-04-20 15:05:00-04:00,,,pre_invalidation_long,True,False,invalidate_on_opposite_touch__buffer_0
2020-04-21,MNQ,,first_breakout_downside,,2020-04-21 10:17:00-04:00,invalidate_on_opposite_touch__buffer_0,orb_long_only,True,2020-04-21 10:17:00-04:00,,,none,False,False,invalidate_on_opposite_touch__buffer_0
2020-04-23,MNQ,2020-04-23 10:19:00-04:00,first_breakout_upside,2020-04-23 10:18:00-04:00,2020-04-23 12:45:00-04:00,invalidate_on_opposite_touch__buffer_0,orb_long_only,True,2020-04-23 12:45:00-04:00,,,pre_invalidation_long,True,False,invalidate_on_opposite_touch__buffer_0
2020-04-27,MNQ,2020-04-27 10:03:00-04:00,first_breakout_upside,2020-04-27 10:00:00-04:00,2020-04-27 10:59:00-04:00,invalidate_on_opposite_touch__buffer_0,orb_long_only,True,2020-04-27 10:59:00-04:00,,,pre_invalidation_long,True,False,invalidate_on_opposite_touch__buffer_0
2020-04-28,MNQ,,first_breakout_downside,,2020-04-28 10:00:00-04:00,invalidate_on_opposite_touch__buffer_0,orb_long_only,True,2020-04-28 10:00:00-04:00,,,none,False,False,invalidate_on_opposite_touch__buffer_0
2020-04-30,MNQ,,first_breakout_downside,,2020-04-30 12:00:00-04:00,invalidate_on_opposite_touch__buffer_0,orb_long_only,True,2020-04-30 12:00:00-04:00,,,none,False,False,invalidate_on_opposite_touch__buffer_0
2020-05-01,MNQ,2020-05-01 10:00:00-04:00,first_breakout_upside,2020-05-01 10:00:00-04:00,2020-05-01 11:30:00-04:00,invalidate_on_opposite_touch__buffer_0,orb_long_only,True,2020-05-01 11:30:00-04:00,,,pre_invalidation_long,True,False,invalidate_on_opposite_touch__buffer_0
2020-05-06,MNQ,,first_breakout_downside,2020-05-06 10:45:00-04:00,2020-05-06 10:04:00-04:00,invalidate_on_opposite_touch__buffer_0,orb_long_only,True,2020-05-06 10:04:00-04:00,,,none,False,False,invalidate_on_opposite_touch__buffer_0
2020-05-07,MNQ,,first_breakout_downside,2020-05-07 11:46:00-04:00,2020-05-07 10:07:00-04:00,invalidate_on_opposite_touch__buffer_0,orb_long_only,True,2020-05-07 10:07:00-04:00,,,none,False,False,invalidate_on_opposite_touch__buffer_0
2020-05-13,MNQ,2020-05-13 10:02:00-04:00,first_breakout_upside,2020-05-13 10:02:00-04:00,2020-05-13 11:38:00-04:00,invalidate_on_opposite_touch__buffer_0,orb_long_only,True,2020-05-13 11:38:00-04:00,,,pre_invalidation_long,True,False,invalidate_on_opposite_touch__buffer_0
2020-05-14,MNQ,,first_breakout_downside,2020-05-14 12:55:00-04:00,2020-05-14 10:29:00-04:00,invalidate_on_opposite_touch__buffer_0,orb_long_only,True,2020-05-14 10:29:00-04:00,,,none,False,False,invalidate_on_opposite_touch__buffer_0
2020-05-19,MNQ,2020-05-19 10:01:00-04:00,first_breakout_upside,2020-05-19 10:01:00-04:00,2020-05-19 15:51:00-04:00,invalidate_on_opposite_touch__buffer_0,orb_long_only,True,2020-05-19 15:51:00-04:00,,,pre_invalidation_long,True,False,invalidate_on_opposite_touch__buffer_0
2020-05-21,MNQ,,first_breakout_downside,,2020-05-21 10:02:00-04:00,invalidate_on_opposite_touch__buffer_0,orb_long_only,True,2020-05-21 10:02:00-04:00,,,none,False,False,invalidate_on_opposite_touch__buffer_0
2020-05-27,MNQ,,first_breakout_downside,2020-05-27 14:52:00-04:00,2020-05-27 10:01:00-04:00,invalidate_on_opposite_touch__buffer_0,orb_long_only,True,2020-05-27 10:01:00-04:00,,,none,False,False,invalidate_on_opposite_touch__buffer_0
2020-05-28,MNQ,2020-05-28 10:08:00-04:00,first_breakout_upside,2020-05-28 10:08:00-04:00,2020-05-28 21:15:00-04:00,invalidate_on_opposite_touch__buffer_0,orb_long_only,True,2020-05-28 21:15:00-04:00,,,pre_invalidation_long,True,False,invalidate_on_opposite_touch__buffer_0
2020-05-29,MNQ,,first_breakout_downside,2020-05-29 14:10:00-04:00,2020-05-29 10:08:00-04:00,invalidate_on_opposite_touch__buffer_0,orb_long_only,True,2020-05-29 10:08:00-04:00,,,none,False,False,invalidate_on_opposite_touch__buffer_0
2020-06-03,MNQ,2020-06-03 10:00:00-04:00,first_breakout_upside,2020-06-03 10:00:00-04:00,2020-06-03 12:09:00-04:00,invalidate_on_opposite_touch__buffer_0,orb_long_only,True,2020-06-03 12:09:00-04:00,,,pre_invalidation_long,True,False,invalidate_on_opposite_touch__buffer_0
2020-06-08,MNQ,,first_breakout_downside,2020-06-08 13:21:00-04:00,2020-06-08 10:01:00-04:00,invalidate_on_opposite_touch__buffer_0,orb_long_only,True,2020-06-08 10:01:00-04:00,,,none,False,False,invalidate_on_opposite_touch__buffer_0
2020-06-10,MNQ,2020-06-10 10:00:00-04:00,first_breakout_upside,2020-06-10 10:00:00-04:00,2020-06-10 10:56:00-04:00,invalidate_on_opposite_touch__buffer_0,orb_long_only,True,2020-06-10 10:56:00-04:00,,,pre_invalidation_long,True,False,invalidate_on_opposite_touch__buffer_0
2020-06-12,MNQ,,first_breakout_downside,,2020-06-12 10:14:00-04:00,invalidate_on_opposite_touch__buffer_0,orb_long_only,True,2020-06-12 10:14:00-04:00,,,none,False,False,invalidate_on_opposite_touch__buffer_0
2020-06-16,MNQ,,first_breakout_upside,2020-06-16 10:07:00-04:00,2020-06-16 10:41:00-04:00,invalidate_on_opposite_touch__buffer_0,orb_long_only,True,2020-06-16 10:41:00-04:00,,,none,False,False,invalidate_on_opposite_touch__buffer_0
2020-06-17,MNQ,,first_breakout_downside,2020-06-17 12:31:00-04:00,2020-06-17 10:18:00-04:00,invalidate_on_opposite_touch__buffer_0,orb_long_only,True,2020-06-17 10:18:00-04:00,,,none,False,False,invalidate_on_opposite_touch__buffer_0
2020-06-18,MNQ,2020-06-18 10:09:00-04:00,first_breakout_upside,2020-06-18 10:09:00-04:00,2020-06-18 10:33:00-04:00,invalidate_on_opposite_touch__buffer_0,orb_long_only,True,2020-06-18 10:33:00-04:00,,,pre_invalidation_long,True,False,invalidate_on_opposite_touch__buffer_0
2020-06-22,MNQ,2020-06-22 10:00:00-04:00,first_breakout_upside,2020-06-22 10:00:00-04:00,2020-06-22 21:29:00-04:00,invalidate_on_opposite_touch__buffer_0,orb_long_only,True,2020-06-22 21:29:00-04:00,,,pre_invalidation_long,True,False,invalidate_on_opposite_touch__buffer_0
2020-06-24,MNQ,,first_breakout_downside,,2020-06-24 10:01:00-04:00,invalidate_on_opposite_touch__buffer_0,orb_long_only,True,2020-06-24 10:01:00-04:00,,,none,False,False,invalidate_on_opposite_touch__buffer_0
2020-06-26,MNQ,,first_breakout_downside,,2020-06-26 10:01:00-04:00,invalidate_on_opposite_touch__buffer_0,orb_long_only,True,2020-06-26 10:01:00-04:00,,,none,False,False,invalidate_on_opposite_touch__buffer_0
2020-07-02,MNQ,,first_breakout_upside,2020-07-02 10:02:00-04:00,2020-07-02 10:29:00-04:00,invalidate_on_opposite_touch__buffer_0,orb_long_only,True,2020-07-02 10:29:00-04:00,,,none,False,False,invalidate_on_opposite_touch__buffer_0
2020-07-07,MNQ,2020-07-07 10:11:00-04:00,first_breakout_upside,2020-07-07 10:11:00-04:00,2020-07-07 15:08:00-04:00,invalidate_on_opposite_touch__buffer_0,orb_long_only,True,2020-07-07 15:08:00-04:00,,,pre_invalidation_long,True,False,invalidate_on_opposite_touch__buffer_0
2020-07-08,MNQ,2020-07-08 10:12:00-04:00,first_breakout_upside,2020-07-08 10:00:00-04:00,2020-07-08 11:18:00-04:00,invalidate_on_opposite_touch__buffer_0,orb_long_only,True,2020-07-08 11:18:00-04:00,,,pre_invalidation_long,True,False,invalidate_on_opposite_touch__buffer_0
2020-07-09,MNQ,,first_breakout_downside,2020-07-09 14:59:00-04:00,2020-07-09 10:17:00-04:00,invalidate_on_opposite_touch__buffer_0,orb_long_only,True,2020-07-09 10:17:00-04:00,,,none,False,False,invalidate_on_opposite_touch__buffer_0
2020-07-10,MNQ,,first_breakout_downside,2020-07-10 13:07:00-04:00,2020-07-10 10:00:00-04:00,invalidate_on_opposite_touch__buffer_0,orb_long_only,True,2020-07-10 10:00:00-04:00,,,none,False,False,invalidate_on_opposite_touch__buffer_0
2020-07-13,MNQ,2020-07-13 10:29:00-04:00,first_breakout_upside,2020-07-13 10:28:00-04:00,2020-07-13 14:03:00-04:00,invalidate_on_opposite_touch__buffer_0,orb_long_only,True,2020-07-13 14:03:00-04:00,,,pre_invalidation_long,True,False,invalidate_on_opposite_touch__buffer_0
2020-07-15,MNQ,,first_breakout_downside,,2020-07-15 11:03:00-04:00,invalidate_on_opposite_touch__buffer_0,orb_long_only,True,2020-07-15 11:03:00-04:00,,,none,False,False,invalidate_on_opposite_touch__buffer_0
2020-07-16,MNQ,,first_breakout_downside,2020-07-16 13:14:00-04:00,2020-07-16 10:01:00-04:00,invalidate_on_opposite_touch__buffer_0,orb_long_only,True,2020-07-16 10:01:00-04:00,,,none,False,False,invalidate_on_opposite_touch__buffer_0
2020-07-17,MNQ,,first_breakout_downside,2020-07-17 14:52:00-04:00,2020-07-17 10:24:00-04:00,invalidate_on_opposite_touch__buffer_0,orb_long_only,True,2020-07-17 10:24:00-04:00,,,none,False,False,invalidate_on_opposite_touch__buffer_0
2020-07-21,MNQ,,first_breakout_downside,,2020-07-21 10:10:00-04:00,invalidate_on_opposite_touch__buffer_0,orb_long_only,True,2020-07-21 10:10:00-04:00,,,none,False,False,invalidate_on_opposite_touch__buffer_0
2020-07-22,MNQ,,first_breakout_upside,2020-07-22 10:05:00-04:00,2020-07-22 10:47:00-04:00,invalidate_on_opposite_touch__buffer_0,orb_long_only,True,2020-07-22 10:47:00-04:00,,,none,False,False,invalidate_on_opposite_touch__buffer_0
2020-07-23,MNQ,,first_breakout_downside,,2020-07-23 10:12:00-04:00,invalidate_on_opposite_touch__buffer_0,orb_long_only,True,2020-07-23 10:12:00-04:00,,,none,False,False,invalidate_on_opposite_touch__buffer_0
2020-07-27,MNQ,2020-07-27 10:00:00-04:00,first_breakout_upside,2020-07-27 10:00:00-04:00,2020-07-27 11:38:00-04:00,invalidate_on_opposite_touch__buffer_0,orb_long_only,True,2020-07-27 11:38:00-04:00,,,pre_invalidation_long,True,False,invalidate_on_opposite_touch__buffer_0
2020-07-30,MNQ,,first_breakout_downside,2020-07-30 11:21:00-04:00,2020-07-30 10:00:00-04:00,invalidate_on_opposite_touch__buffer_0,orb_long_only,True,2020-07-30 10:00:00-04:00,,,none,False,False,invalidate_on_opposite_touch__buffer_0
2020-07-31,MNQ,,first_breakout_downside,2020-07-31 16:00:00-04:00,2020-07-31 10:03:00-04:00,invalidate_on_opposite_touch__buffer_0,orb_long_only,True,2020-07-31 10:03:00-04:00,,,none,False,False,invalidate_on_opposite_touch__buffer_0
2020-08-04,MNQ,2020-08-04 10:01:00-04:00,first_breakout_upside,2020-08-04 10:00:00-04:00,2020-08-04 14:31:00-04:00,invalidate_on_opposite_touch__buffer_0,orb_long_only,True,2020-08-04 14:31:00-04:00,,,pre_invalidation_long,True,False,invalidate_on_opposite_touch__buffer_0
