candidate,period,start_date,end_date,n_trades,win_rate,avg_win,avg_loss,average_losing_trade,expectancy,profit_factor,cumulative_pnl,max_drawdown,max_drawdown_pct,sharpe_ratio,max_consecutive_losses,avg_consecutive_losses,longest_loss_streak,number_of_loss_streaks_2_plus,worst_trade,worst_day,stop_hit_rate,target_hit_rate,time_exit_rate,time_exit_count,time_exit_win_rate,time_exit_loss_rate,time_exit_pnl_usd,eod_exit_rate,proportion_filtered_out,trade_count_after_filters,percent_of_days_traded,percent_days_traded,avg_R,median_R,pnl_to_risk_ratio,average_loss_streak_length,count_loss_streaks_2_plus,daily_sharpe_basis,n_sessions,raw_signal_count
baseline_exact,period_1,2019-05-05,2021-08-11,434,0.45852534562211983,224.0929648241206,-171.00429184549355,-171.00429184549355,10.945852534562212,1.1192274872000803,4750.5,-2659.5,0.05319,0.6041528247883482,9,2.061946902654867,9,62,-250.0,-250.0,0.42857142857142855,0.1774193548387097,0.38940092165898615,169,0.7159763313609467,0.27218934911242604,13456.5,0.004608294930875576,0.0,434,0.61212976022567,0.61212976022567,0.06382774626673236,-0.09053678513968114,0.05480408160910921,2.061946902654867,62,daily_pnl_over_static_capital,709,0
baseline_exact,period_2,2021-08-12,2023-11-21,359,0.4818941504178273,219.02890173410404,-170.3494623655914,-170.3494623655914,17.289693593314762,1.195897112198201,6207.0,-2262.0,0.04524,0.8840292885072221,7,1.86,7,47,-250.0,-250.0,0.45125348189415043,0.1977715877437326,0.35097493036211697,126,0.8095238095238095,0.19047619047619047,12161.5,0.0,0.0,359,0.5063469675599436,0.5063469675599436,0.11062193233114832,-0.04583333333333333,0.0927199802818795,1.86,47,daily_pnl_over_static_capital,709,0
baseline_exact,period_3,2023-11-22,2026-03-02,332,0.4427710843373494,235.6530612244898,-165.9211956521739,-165.9211956521739,12.384036144578314,1.1346730211762395,4111.5,-1879.0,0.03758,0.5941827871239262,6,2.1149425287356323,6,51,-250.0,-250.0,0.4759036144578313,0.20481927710843373,0.3102409638554217,103,0.7378640776699029,0.2524271844660194,7851.0,0.009036144578313253,0.0,332,0.4682651622002821,0.4682651622002821,0.04903620587157338,-0.2975261453522323,0.06532775098710605,2.1149425287356323,51,daily_pnl_over_static_capital,709,0
b_atr_q20_q90,period_1,2019-05-05,2021-08-11,260,0.5,234.6346153846154,-179.46923076923076,-179.46923076923076,27.58269230769231,1.3073807380738074,7171.5,-1534.0,0.03068,1.1388136211313222,8,1.9402985074626866,8,37,-249.5,-249.5,0.45384615384615384,0.20384615384615384,0.3384615384615385,88,0.8636363636363636,0.13636363636363635,10090.0,0.0038461538461538464,0.0,260,0.36671368124118475,0.36671368124118475,0.14065372183823044,0.005714188534208601,0.14358075979778767,1.9402985074626866,37,daily_pnl_over_static_capital,709,0
b_atr_q20_q90,period_2,2021-08-12,2023-11-21,274,0.5072992700729927,214.62589928057554,-168.02962962962962,-168.02962962962962,26.09124087591241,1.3151560571327807,7149.0,-2083.5,0.04167,1.1774171963450908,5,1.8493150684931507,5,34,-247.0,-247.0,0.4343065693430657,0.20802919708029197,0.35766423357664234,98,0.8367346938775511,0.16326530612244897,9583.0,0.0,0.0,274,0.38645980253878703,0.38645980253878703,0.15915946800749872,0.01309931506849315,0.1432019630427162,1.8493150684931507,34,daily_pnl_over_static_capital,709,0
b_atr_q20_q90,period_3,2023-11-22,2026-03-02,254,0.47244094488188976,232.4625,-165.26119402985074,-165.26119402985074,22.63976377952756,1.259674870173854,5750.5,-1397.5,0.02795,0.9499959130674339,6,2.0615384615384613,6,36,-250.0,-250.0,0.46062992125984253,0.22440944881889763,0.3031496062992126,77,0.7792207792207793,0.22077922077922077,6064.0,0.011811023622047244,0.0,254,0.35825105782792666,0.35825105782792666,0.10754604748095327,-0.2024965670958626,0.12185715345249573,2.0615384615384613,36,daily_pnl_over_static_capital,709,0
b_atr_ge_q30,period_1,2019-05-05,2021-08-11,203,0.4729064039408867,246.859375,-180.99532710280374,-180.99532710280374,21.339901477832512,1.2236852296491363,4332.0,-1486.0,0.02972,0.7677148045431752,8,1.9454545454545455,8,28,-249.5,-249.5,0.47783251231527096,0.21182266009852216,0.3103448275862069,63,0.8412698412698413,0.15873015873015872,7465.5,0.0,0.0,203,0.2863187588152327,0.2863187588152327,0.11696976093096172,-0.32710280373831774,0.11045244196274907,1.9454545454545455,28,daily_pnl_over_static_capital,709,0
b_atr_ge_q30,period_2,2021-08-12,2023-11-21,305,0.46557377049180326,234.43309859154928,-175.4478527607362,-175.4478527607362,15.381967213114754,1.1640499335617875,4691.5,-2298.5,0.04597,0.7052008656158897,6,1.9176470588235295,6,41,-249.0,-249.0,0.4852459016393443,0.2098360655737705,0.30491803278688523,93,0.8387096774193549,0.16129032258064516,10123.0,0.0,0.0,305,0.4301833568406206,0.4301833568406206,0.09981732737760976,-0.4553314121037464,0.08338443218072107,1.9176470588235295,41,daily_pnl_over_static_capital,709,0
b_atr_ge_q30,period_3,2023-11-22,2026-03-02,279,0.45878136200716846,246.51171875,-168.61258278145695,-168.61258278145695,21.838709677419356,1.239311875257752,6093.0,-1461.5,0.02923,0.93673176393882,6,2.157142857142857,6,45,-250.0,-250.0,0.4838709677419355,0.2222222222222222,0.2867383512544803,80,0.8,0.2,7659.0,0.007168458781362007,0.0,279,0.3935119887165021,0.3935119887165021,0.09411901429109988,-0.30036630036630035,0.1164363928223356,2.157142857142857,45,daily_pnl_over_static_capital,709,0
a_ratio_q10_q90,period_1,2019-05-05,2021-08-11,339,0.4749262536873156,235.82608695652175,-179.15168539325842,-179.15168539325842,17.932153392330385,1.1906299978048858,6079.0,-1596.0,0.03192,0.8439951829749085,7,1.9777777777777779,7,45,-250.0,-250.0,0.44837758112094395,0.1976401179941003,0.35103244837758113,119,0.7815126050420168,0.2184873949579832,11346.5,0.0029498525073746312,0.0,339,0.4781382228490832,0.4781382228490832,0.09639077705944123,-0.1694915254237288,0.0902149636038496,1.9777777777777779,45,daily_pnl_over_static_capital,709,0
