candidate,n_trades,win_rate,avg_win,avg_loss,average_losing_trade,expectancy,profit_factor,cumulative_pnl,max_drawdown,max_drawdown_pct,sharpe_ratio,max_consecutive_losses,avg_consecutive_losses,longest_loss_streak,number_of_loss_streaks_2_plus,worst_trade,worst_day,stop_hit_rate,target_hit_rate,time_exit_rate,time_exit_count,time_exit_win_rate,time_exit_loss_rate,time_exit_pnl_usd,eod_exit_rate,proportion_filtered_out,trade_count_after_filters,percent_of_days_traded,percent_days_traded,avg_R,median_R,pnl_to_risk_ratio,average_loss_streak_length,count_loss_streaks_2_plus,daily_sharpe_basis,n_sessions,raw_signal_count
a_ratio_q10_q90,899,0.47163515016685204,229.3384433962264,-172.90421052631578,-172.90421052631578,16.807563959955505,1.1839777424676883,15110.0,-2080.0,0.0416,0.7645205544254566,8,2.01271186440678,8,124,-250.0,-250.0,0.457174638487208,0.19911012235817574,0.339265850945495,305,0.7901639344262295,0.2098360655737705,28545.5,0.004449388209121246,0.557242511284366,899,0.4226610249177245,0.4226610249177245,0.09179157494949813,-0.1937984496124031,0.08781641661363392,2.01271186440678,124,daily_pnl_over_static_capital,2127,2437
b_atr_ge_q30,787,0.4650571791613723,241.91666666666666,-174.4061757719715,-174.4061757719715,19.20775095298602,1.2058767449778687,15116.5,-2298.5,0.04597,0.8020248696195836,8,2.0047619047619047,8,114,-250.0,-250.0,0.48284625158831,0.21473951715374842,0.29987293519695046,236,0.826271186440678,0.17372881355932204,25247.5,0.0025412960609911056,0.5900697578990562,787,0.3700047014574518,0.3700047014574518,0.10222153914405728,-0.3183856502242152,0.10226773017258292,2.0047619047619047,114,daily_pnl_over_static_capital,2127,2437
b_atr_q20_q90,788,0.4936548223350254,226.81491002570695,-170.82706766917292,-170.82706766917292,25.470812182741117,1.294468896713615,20071.0,-2083.5,0.04167,1.089292114958305,8,1.946341463414634,8,107,-250.0,-250.0,0.44923857868020306,0.21192893401015228,0.33375634517766495,263,0.8288973384030418,0.17110266159695817,25737.0,0.005076142131979695,0.6450553959786622,788,0.3704748472026328,0.3704748472026328,0.13641669793420902,-0.03204349216501439,0.1364812441138171,1.946341463414634,107,daily_pnl_over_static_capital,2127,2437
baseline_exact,1125,0.4613333333333333,225.67919075144508,-169.25124378109453,-169.25124378109453,13.394666666666666,1.1476506121489145,15069.0,-2659.5,0.05319,0.689927560594245,9,2.01,9,160,-250.0,-250.0,0.4497777777777778,0.192,0.3537777777777778,398,0.7512562814070352,0.24120603015075376,33469.0,0.0044444444444444444,0.45014361920393925,1125,0.5289139633286318,0.5289139633286318,0.07439514305422797,-0.18478260869565216,0.06958300528949052,2.01,160,daily_pnl_over_static_capital,2127,2437
