trade_id,session_date,direction,quantity,entry_time,entry_price,stop_price,target_price,exit_time,exit_price,exit_reason,account_size_usd,risk_per_trade_pct,risk_budget_usd,risk_per_contract_usd,actual_risk_usd,trade_risk_usd,notional_usd,leverage_used,pnl_points,pnl_ticks,pnl_usd,fees,net_pnl_usd,overlay_variant,overlay_family,overlay_exit_reason,overlay_state_pre,day_trade_number,net_pnl_r
1,2019-05-07,short,1,2019-05-07 10:02:00-04:00,7693.75,7753.25,7574.75,2019-05-07 14:32:00-04:00,7602.5,overlay_hard_profit_lock,,,,120.74,120.74,120.74,7693.75,,91.25,365.0,182.5,1.24,181.26,combo_loss_0p75__profit_1p5,block_1_hard_cap,overlay_hard_profit_lock,neutral,1,1.5012423389100547
2,2019-05-09,short,1,2019-05-09 10:05:00-04:00,7499.75,7566.25,7366.75,2019-05-09 12:25:00-04:00,7551.0,overlay_hard_loss_cap,,,,134.74,134.74,134.74,7499.75,,-51.25,-205.0,-102.5,1.24,-103.74,combo_loss_0p75__profit_1p5,block_1_hard_cap,overlay_hard_loss_cap,neutral,1,-0.7699272673296719
3,2019-05-13,short,1,2019-05-13 10:02:00-04:00,7372.75,7445.25,7227.75,2019-05-13 16:00:00-04:00,7337.0,time_exit,,,,146.74,146.74,146.74,7372.75,,35.75,143.0,71.5,1.24,70.26,combo_loss_0p75__profit_1p5,block_1_hard_cap,,neutral,1,0.4788060515196947
4,2019-05-20,long,1,2019-05-20 10:26:00-04:00,7418.5,7361.0,7533.5,2019-05-20 14:48:00-04:00,7374.75,overlay_hard_loss_cap,,,,116.74,116.74,116.74,7418.5,,-43.75,-175.0,-87.5,1.24,-88.74,combo_loss_0p75__profit_1p5,block_1_hard_cap,overlay_hard_loss_cap,neutral,1,-0.7601507623779339
5,2019-06-03,short,1,2019-06-03 10:02:00-04:00,7042.25,7133.0,6860.75,2019-06-03 16:00:00-04:00,6981.25,time_exit,,,,183.24,183.24,183.24,7042.25,,61.0,244.0,122.0,1.24,120.76,combo_loss_0p75__profit_1p5,block_1_hard_cap,,neutral,1,0.6590264134468456
6,2019-06-18,long,1,2019-06-18 10:04:00-04:00,7682.0,7597.5,7851.0,2019-06-18 16:00:00-04:00,7638.25,time_exit,,,,170.74,170.74,170.74,7682.0,,-43.75,-175.0,-87.5,1.24,-88.74,combo_loss_0p75__profit_1p5,block_1_hard_cap,,neutral,1,-0.5197376127445238
7,2019-08-02,short,1,2019-08-02 10:05:00-04:00,7716.75,7766.5,7617.25,2019-08-02 16:00:00-04:00,7698.5,time_exit,,,,101.24,101.24,101.24,7716.75,,18.25,73.0,36.5,1.24,35.26,combo_loss_0p75__profit_1p5,block_1_hard_cap,,neutral,1,0.3482813117344923
8,2019-08-06,long,1,2019-08-06 10:04:00-04:00,7530.5,7485.25,7621.0,2019-08-06 10:13:00-04:00,7491.0,overlay_hard_loss_cap,,,,92.24,92.24,92.24,7530.5,,-39.5,-158.0,-79.0,1.24,-80.24,combo_loss_0p75__profit_1p5,block_1_hard_cap,overlay_hard_loss_cap,neutral,1,-0.8699045967042498
9,2019-08-07,long,1,2019-08-07 10:11:00-04:00,7465.75,7387.25,7622.75,2019-08-07 16:00:00-04:00,7566.0,time_exit,,,,158.74,158.74,158.74,7465.75,,100.25,401.0,200.5,1.24,199.26,combo_loss_0p75__profit_1p5,block_1_hard_cap,,neutral,1,1.25526017386922
10,2019-08-13,long,1,2019-08-13 10:27:00-04:00,7775.75,7554.75,8217.75,2019-08-13 16:00:00-04:00,7740.25,time_exit,,,,443.74,443.74,443.74,7775.75,,-35.5,-142.0,-71.0,1.24,-72.24,combo_loss_0p75__profit_1p5,block_1_hard_cap,,neutral,1,-0.16279803488529318
11,2019-08-14,short,1,2019-08-14 10:13:00-04:00,7583.75,7634.75,7481.75,2019-08-14 12:54:00-04:00,7503.75,overlay_hard_profit_lock,,,,103.74,103.74,103.74,7583.75,,80.0,320.0,160.0,1.24,158.76,combo_loss_0p75__profit_1p5,block_1_hard_cap,overlay_hard_profit_lock,neutral,1,1.5303643724696356
12,2019-08-23,long,1,2019-08-23 10:06:00-04:00,7688.25,7627.25,7810.25,2019-08-23 11:02:00-04:00,7627.0,stop,,,,123.74,123.74,123.74,7688.25,,-61.25,-245.0,-122.5,1.24,-123.74,combo_loss_0p75__profit_1p5,block_1_hard_cap,,neutral,1,-1.0
13,2019-09-03,short,1,2019-09-03 10:05:00-04:00,7612.25,7677.25,7482.25,2019-09-03 16:00:00-04:00,7612.25,time_exit,,,,131.74,131.74,131.74,7612.25,,-0.0,-0.0,-0.0,1.24,-1.24,combo_loss_0p75__profit_1p5,block_1_hard_cap,,neutral,1,-0.009412479125550325
14,2019-10-03,short,1,2019-10-03 10:01:00-04:00,7511.25,7586.5,7360.75,2019-10-03 11:02:00-04:00,7574.75,overlay_hard_loss_cap,,,,152.24,152.24,152.24,7511.25,,-63.5,-254.0,-127.0,1.24,-128.24,combo_loss_0p75__profit_1p5,block_1_hard_cap,overlay_hard_loss_cap,neutral,1,-0.8423541776142932
15,2019-10-04,long,1,2019-10-04 10:01:00-04:00,7723.25,7681.75,7806.25,2019-10-04 16:00:00-04:00,7759.0,time_exit,,,,84.74,84.74,84.74,7723.25,,35.75,143.0,71.5,1.24,70.26,combo_loss_0p75__profit_1p5,block_1_hard_cap,,neutral,1,0.8291243804578713
16,2019-12-12,long,1,2019-12-12 10:01:00-05:00,8473.25,8380.5,8658.75,2019-12-12 12:23:00-05:00,8402.25,overlay_hard_loss_cap,,,,187.24,187.24,187.24,8473.25,,-71.0,-284.0,-142.0,1.24,-143.24,combo_loss_0p75__profit_1p5,block_1_hard_cap,overlay_hard_loss_cap,neutral,1,-0.7650074770348216
17,2019-12-13,long,1,2019-12-13 10:02:00-05:00,8493.25,8439.5,8600.75,2019-12-13 16:00:00-05:00,8490.75,time_exit,,,,109.24,109.24,109.24,8493.25,,-2.5,-10.0,-5.0,1.24,-6.24,combo_loss_0p75__profit_1p5,block_1_hard_cap,,neutral,1,-0.05712193335774442
18,2020-01-31,short,1,2020-01-31 10:09:00-05:00,9098.5,9184.5,8926.5,2020-01-31 16:00:00-05:00,9000.5,time_exit,,,,173.74,173.74,173.74,9098.5,,98.0,392.0,196.0,1.24,194.76,combo_loss_0p75__profit_1p5,block_1_hard_cap,,neutral,1,1.1209853804535512
19,2020-02-05,short,1,2020-02-05 10:15:00-05:00,9370.25,9458.25,9194.25,2020-02-05 16:00:00-05:00,9380.75,time_exit,,,,177.74,177.74,177.74,9370.25,,-10.5,-42.0,-21.0,1.24,-22.24,combo_loss_0p75__profit_1p5,block_1_hard_cap,,neutral,1,-0.12512658940024754
20,2020-02-21,short,1,2020-02-21 10:41:00-05:00,9478.5,9605.25,9225.0,2020-02-21 16:00:00-05:00,9459.0,time_exit,,,,255.24,255.24,255.24,9478.5,,19.5,78.0,39.0,1.24,37.76,combo_loss_0p75__profit_1p5,block_1_hard_cap,,neutral,1,0.14793919448362325
21,2020-02-25,short,1,2020-02-25 10:21:00-05:00,9089.25,9191.25,8885.25,2020-02-25 13:35:00-05:00,8933.25,overlay_hard_profit_lock,,,,205.74,205.74,205.74,9089.25,,156.0,624.0,312.0,1.24,310.76,combo_loss_0p75__profit_1p5,block_1_hard_cap,overlay_hard_profit_lock,neutral,1,1.5104500826285603
22,2020-02-26,long,1,2020-02-26 10:36:00-05:00,9016.5,8879.5,9290.5,2020-02-26 12:06:00-05:00,8907.0,overlay_hard_loss_cap,,,,275.74,275.74,275.74,9016.5,,-109.5,-438.0,-219.0,1.24,-220.24,combo_loss_0p75__profit_1p5,block_1_hard_cap,overlay_hard_loss_cap,neutral,1,-0.7987234351200406
23,2020-02-27,short,1,2020-02-27 10:24:00-05:00,8600.5,8723.0,8355.5,2020-02-27 11:07:00-05:00,8707.25,overlay_hard_loss_cap,,,,246.74,246.74,246.74,8600.5,,-106.75,-427.0,-213.5,1.24,-214.74,combo_loss_0p75__profit_1p5,block_1_hard_cap,overlay_hard_loss_cap,neutral,1,-0.8703088271054551
24,2020-03-04,long,1,2020-03-04 10:23:00-05:00,8783.25,8665.0,9019.75,2020-03-04 16:00:00-05:00,8917.0,time_exit,,,,238.24,238.24,238.24,8783.25,,133.75,535.0,267.5,1.24,266.26,combo_loss_0p75__profit_1p5,block_1_hard_cap,,neutral,1,1.117612491605104
