session_date,variant_name,family,selected_by_ensemble,policy_allows_trading,risk_multiplier,policy_reason,trade_executed,state_pre_json,state_post_json
2019-05-06,pause_after_3_red_days,cooldown,False,False,0.0,ensemble_filtered_out,False,"{""loss_streak"": 0, ""skip_next_session"": false}","{""loss_streak"": 0, ""skip_next_session"": false}"
2019-05-07,pause_after_3_red_days,cooldown,True,True,1.0,normal_risk,True,"{""loss_streak"": 0, ""skip_next_session"": false}","{""last_daily_pnl"": 345.0, ""loss_streak"": 0, ""skip_next_session"": false}"
2019-05-08,pause_after_3_red_days,cooldown,False,False,0.0,ensemble_filtered_out,False,"{""last_daily_pnl"": 345.0, ""loss_streak"": 0, ""skip_next_session"": false}","{""last_daily_pnl"": 345.0, ""loss_streak"": 0, ""skip_next_session"": false}"
2019-05-09,pause_after_3_red_days,cooldown,True,True,1.0,normal_risk,True,"{""last_daily_pnl"": 345.0, ""loss_streak"": 0, ""skip_next_session"": false}","{""last_daily_pnl"": -680.0, ""loss_streak"": 1, ""skip_next_session"": false}"
2019-05-10,pause_after_3_red_days,cooldown,False,False,0.0,ensemble_filtered_out,False,"{""last_daily_pnl"": -680.0, ""loss_streak"": 1, ""skip_next_session"": false}","{""last_daily_pnl"": -680.0, ""loss_streak"": 1, ""skip_next_session"": false}"
2019-05-13,pause_after_3_red_days,cooldown,True,True,1.0,normal_risk,True,"{""last_daily_pnl"": -680.0, ""loss_streak"": 1, ""skip_next_session"": false}","{""last_daily_pnl"": 345.0, ""loss_streak"": 0, ""skip_next_session"": false}"
2019-05-14,pause_after_3_red_days,cooldown,False,False,0.0,ensemble_filtered_out,False,"{""last_daily_pnl"": 345.0, ""loss_streak"": 0, ""skip_next_session"": false}","{""last_daily_pnl"": 345.0, ""loss_streak"": 0, ""skip_next_session"": false}"
2019-05-15,pause_after_3_red_days,cooldown,False,False,0.0,ensemble_filtered_out,False,"{""last_daily_pnl"": 345.0, ""loss_streak"": 0, ""skip_next_session"": false}","{""last_daily_pnl"": 345.0, ""loss_streak"": 0, ""skip_next_session"": false}"
2019-05-16,pause_after_3_red_days,cooldown,False,False,0.0,ensemble_filtered_out,False,"{""last_daily_pnl"": 345.0, ""loss_streak"": 0, ""skip_next_session"": false}","{""last_daily_pnl"": 345.0, ""loss_streak"": 0, ""skip_next_session"": false}"
2019-05-17,pause_after_3_red_days,cooldown,False,False,0.0,ensemble_filtered_out,False,"{""last_daily_pnl"": 345.0, ""loss_streak"": 0, ""skip_next_session"": false}","{""last_daily_pnl"": 345.0, ""loss_streak"": 0, ""skip_next_session"": false}"
