variant_name,net_pnl,sharpe,sortino,max_drawdown,monthly_mean_return,monthly_median_return,monthly_hit_rate,worst_month,worst_week,worst_day,rolling_20d_max_drawdown,rolling_60d_max_drawdown,avg_multiplier,median_multiplier,pct_days_low,pct_days_mid,pct_days_high,pct_trades_low,pct_trades_mid,pct_trades_high,bucket_switches,bucket_switch_rate,multiplier_corr_vs_single_15_60,delta_sharpe_vs_single_15_60,delta_net_pnl_vs_single_15_60,delta_maxdd_vs_single_15_60,positive_diff_day_share,positive_diff_month_share,top_3_positive_share,top_10_positive_share,excess_pnl_after_top_5,broad_based_improvement,outlier_driven
median_plateau_compact,31710.0,2.68794926302473,2.5933767768333724,-2774.0,0.01057831325301205,0.004400000000000001,0.5903614457831325,-2812.0,-1871.5,-750.0,-4440.0,-6484.5,0.6529443838604144,0.5,0.4176663031624864,0.3980370774263904,0.18429661941112324,0.4176663031624864,0.3980370774263904,0.18429661941112324,563,0.6146288209606987,0.9250214375320475,0.2741012235868529,3751.0,-353.5,0.53125,0.24096385542168675,0.2887085868830291,0.6191120126211405,-4229.5,False,True
median_fast15_slow_60_70_80,30938.0,2.562404505756248,2.445828287270596,-2774.0,0.010584819277108436,0.00721,0.6024096385542169,-2760.5,-1704.5,-750.0,-4702.5,-6219.5,0.6550598476605005,0.5,0.41240478781284007,0.40261153427638735,0.18498367791077258,0.41240478781284007,0.40261153427638735,0.18498367791077258,561,0.6111111111111112,0.9113827137432321,0.1485564663183707,2979.0,-353.5,0.5294117647058824,0.2891566265060241,0.18053770626638566,0.4607515550300725,-3989.5,False,True
single_15_60,27959.0,2.413848039437877,2.2295972336413947,-2420.5,0.010288313253012049,0.004400000000000001,0.5662650602409639,-2916.0,-1704.5,-750.0,-4056.5,-7010.5,0.6519715224534501,0.5,0.41511500547645125,0.39759036144578314,0.18729463307776562,0.41511500547645125,0.39759036144578314,0.18729463307776562,567,0.6217105263157895,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True
