order_index,campaign_variant_name,alpha_variant_name,sizing_mode,fixed_contracts,risk_pct,max_contracts,skip_trade_if_too_small,initial_capital_usd,full_net_pnl_usd,full_return_pct,full_cagr_pct,full_sharpe,full_sortino,full_profit_factor,full_expectancy_usd,full_nb_trades,full_win_rate,full_avg_win_usd,full_avg_loss_usd,full_max_drawdown_pct,full_max_drawdown_usd,full_annualized_vol_pct,full_exposure_time_in_market_pct,full_worst_trade_loss_usd,full_trades_loss_gt_250_usd,full_trades_loss_gt_500_usd,full_worst_day_pnl_usd,full_max_daily_drawdown_usd,full_days_below_minus_500_usd,full_days_below_minus_1000_usd,full_pass_target_3000_usd_without_breaching_2000_dd,full_days_to_target_3000_usd,full_max_trailing_drawdown_observed_usd,full_max_static_drawdown_observed_usd,full_signal_attempt_count,full_entered_trade_count,full_skip_too_small_count,full_forced_one_contract_count,full_avg_contracts_entered,full_max_contracts_used,full_avg_contracts_raw,full_cap_hit_count,full_cap_hit_rate,oos_net_pnl_usd,oos_return_pct,oos_cagr_pct,oos_sharpe,oos_sortino,oos_profit_factor,oos_expectancy_usd,oos_nb_trades,oos_win_rate,oos_avg_win_usd,oos_avg_loss_usd,oos_max_drawdown_pct,oos_max_drawdown_usd,oos_annualized_vol_pct,oos_exposure_time_in_market_pct,oos_worst_trade_loss_usd,oos_trades_loss_gt_250_usd,oos_trades_loss_gt_500_usd,oos_worst_day_pnl_usd,oos_max_daily_drawdown_usd,oos_days_below_minus_500_usd,oos_days_below_minus_1000_usd,oos_pass_target_3000_usd_without_breaching_2000_dd,oos_days_to_target_3000_usd,oos_max_trailing_drawdown_observed_usd,oos_max_static_drawdown_observed_usd,oos_signal_attempt_count,oos_entered_trade_count,oos_skip_too_small_count,oos_forced_one_contract_count,oos_avg_contracts_entered,oos_max_contracts_used,oos_avg_contracts_raw,oos_cap_hit_count,oos_cap_hit_rate,full_net_pnl_delta_vs_baseline_usd,full_cagr_delta_vs_baseline_pct,full_sharpe_delta_vs_baseline,full_max_drawdown_delta_vs_baseline_usd,oos_net_pnl_delta_vs_baseline_usd,oos_cagr_delta_vs_baseline_pct,oos_sharpe_delta_vs_baseline,oos_max_drawdown_delta_vs_baseline_usd
0,fixed_1_contract,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,fixed_contracts,1.0,,,,50000.0,7535.1249999999745,15.070249999999948,2.0636787163075043,1.3105906235662634,0.9979623030944154,1.7279259044582886,23.921031746031666,315,0.35555555555555557,159.7020089285712,-50.99261083743843,1.58,790.0,1.6586739964438522,3.007893643539676,234.5,0,0,-234.5,790.0,0,0,True,796.0,790.0,277.27500000000146,315,315,0,0,1.0,1,1.0,0,0.0,3038.57499999999,6.07714999999998,2.8913361564957274,1.450994465975974,1.1574877245611377,1.7530545229244088,30.08490099009891,101,0.3465346534653465,202.10214285714255,-61.13636363636363,1.58,790.0,2.010367419311916,3.208852005532503,208.0,0,0,-208.0,790.0,0,0,True,363.0,790.0,309.8500000000058,101,101,0,0,1.0,1,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,risk_pct_0p0025__max_contracts_3__skip_trade_if_too_small_true,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,risk_percent,,0.0025,3.0,True,50000.0,23234.22499999993,46.46844999999986,5.710648228334891,1.7706785308661406,2.1561228392385265,2.3692562689689676,76.68061056105587,303,0.3564356435643564,372.247453703703,-87.01794871794871,2.2121000000000204,1106.0500000000102,3.785524842829229,2.8832571665974243,184.5,0,0,-221.0,1106.050000000003,0,0,True,463.0,1106.050000000003,131.17499999999563,315,303,12,0,2.396039603960396,3,8.611244756145062,183,0.580952380952381,6819.574999999968,13.639149999999937,6.372044009226441,1.7396486339588557,2.206536943636173,2.393598651272089,78.38591954022952,87,0.3333333333333333,403.89913793103335,-84.37068965517241,1.273,636.5,3.7632840748431327,2.6832641770401104,144.0,0,0,-206.0,644.9500000000116,0,0,True,228.0,644.9500000000116,644.9500000000116,101,87,14,0,2.1379310344827585,3,5.511502757453582,42,0.4158415841584158,15699.099999999955,3.646969512027387,0.46008790729987714,316.0500000000102,3780.999999999978,3.4807078527307134,0.2886541679828818,-153.5
2,risk_pct_0p0025__max_contracts_3__skip_trade_if_too_small_false,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,risk_percent,,0.0025,3.0,False,50000.0,22189.474999999926,44.37894999999985,5.489849816941028,1.690144433819627,1.9615722302801861,2.2045422468311444,70.44277777777754,315,0.35555555555555557,362.5979910714279,-90.74630541871922,2.285699999999997,1142.8499999999985,3.787571491171493,3.007893643539676,234.5,0,0,-234.5,1142.8499999999913,0,0,True,463.0,1142.8499999999913,134.0500000000029,315,315,0,12,2.33968253968254,3,8.270578027525973,182,0.5777777777777777,6523.449999999968,13.046899999999937,6.103843799202058,1.6128228832997389,1.9010536593024427,2.058743812383343,64.58861386138582,101,0.3465346534653465,362.4271428571419,-93.35606060606061,1.863,931.5,3.8829508589233592,3.208852005532503,208.0,0,0,-208.0,931.5,0,0,True,223.0,931.5,644.9500000000116,101,101,0,13,1.9801980198019802,3,4.872457400043506,42,0.4158415841584158,14654.349999999951,3.426171100633524,0.37955381025336354,352.84999999999854,3484.874999999978,3.2125076427063304,0.16182841732376496,141.5
3,risk_pct_0p0025__max_contracts_5__skip_trade_if_too_small_true,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,risk_percent,,0.0025,5.0,True,50000.0,34032.37499999988,68.06474999999976,7.847701245790395,1.765830244864337,2.433754213355255,2.48292446458528,111.2169117647055,306,0.35294117647058826,527.6099537037027,-115.90656565656566,3.532699999999997,1766.3499999999985,5.5600786947798495,2.9081844619858748,212.5,0,0,-267.0,1766.3500000000058,0,0,True,361.0,1766.3500000000058,175.0,315,306,9,0,3.434640522875817,5,9.218750675322205,137,0.43492063492063493,9357.599999999948,18.715199999999896,8.641714103863606,1.6870100863073199,2.6498884698285488,2.552355673523548,102.83076923076865,91,0.34065934065934067,496.30967741935314,-100.46666666666667,1.464,732.0,5.324980610912291,2.876901798063624,152.0,0,0,-236.5,738.5500000000175,0,0,True,157.0,738.5500000000175,738.5500000000175,101,91,10,0,2.791208791208791,5,5.409249503574325,29,0.2871287128712871,26497.24999999991,5.784022529482891,0.4552396212980736,976.3499999999985,6319.024999999958,5.750377947367879,0.23601562033134593,-58.0
4,risk_pct_0p0025__max_contracts_5__skip_trade_if_too_small_false,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,risk_percent,,0.0025,5.0,False,50000.0,33818.62499999988,67.63724999999977,7.80773813012805,1.7498489122532996,2.3861333888434633,2.417823079341783,107.36071428571391,315,0.35555555555555557,514.9207589285704,-117.5,3.9096999999999973,1954.8499999999985,5.57561818171735,3.007893643539676,234.5,0,0,-267.0,1954.8500000000058,0,0,True,361.0,1954.8500000000058,175.0,315,315,0,9,3.365079365079365,5,8.949703986389178,137,0.43492063492063493,9169.474999999948,18.338949999999894,8.475222875311129,1.628044820100226,2.4100612032571136,2.294757836769267,90.78688118811829,101,0.3465346534653465,464.32785714285563,-107.3030303030303,1.874399999999994,937.1999999999971,5.4069125685729205,3.208852005532503,208.0,0,0,-236.5,937.1999999999971,0,0,True,157.0,937.1999999999971,738.5500000000175,101,101,0,10,2.613861386138614,5,4.966495810595422,29,0.2871287128712871,26283.49999999991,5.744059413820546,0.4392582886870362,1164.8499999999985,6130.899999999958,5.5838867188154016,0.17705035412425207,147.1999999999971
5,risk_pct_0p0025__max_contracts_10__skip_trade_if_too_small_true,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,risk_percent,,0.0025,10.0,True,50000.0,57824.874999999796,115.6497499999996,11.832094041609743,1.8015652500065815,3.041968883349512,2.821370637520468,187.74310064935,308,0.35064935064935066,829.3784722222205,-158.74,5.273149999999995,2636.574999999997,9.259815591983283,2.924802658911508,280.0,12,0,-473.0,2636.574999999997,0,0,True,282.0,2636.574999999997,280.0,315,308,7,0,5.337662337662338,10,10.53262088054935,84,0.26666666666666666,14728.549999999916,29.45709999999983,13.284873819472253,1.6107359369538794,3.4506758974346146,2.9239174449741907,156.68670212765866,94,0.3404255319148936,699.5015624999974,-123.4758064516129,1.6310000000000002,815.5,8.778228433109568,2.9598893499308434,175.5,0,0,-236.5,916.5,0,0,True,141.0,916.5,916.5,101,94,7,0,3.925531914893617,10,5.466796272255575,16,0.15841584158415842,50289.749999999825,9.76841532530224,0.4909746264403181,1846.574999999997,11689.974999999926,10.393537662976525,0.15974147097790548,25.5
6,risk_pct_0p0025__max_contracts_10__skip_trade_if_too_small_false,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,risk_percent,,0.0025,10.0,False,50000.0,58192.7999999998,116.3855999999996,11.887542698485753,1.8093976338892026,3.0525515878189737,2.7992394026528085,184.73904761904697,315,0.35555555555555557,808.3553571428553,-159.32512315270935,5.348149999999994,2674.074999999997,9.278395218006153,3.007893643539676,280.0,12,0,-473.0,2674.074999999997,0,0,True,282.0,2674.074999999997,280.0,315,315,0,7,5.247619047619048,10,10.334449235530869,84,0.26666666666666666,14625.174999999916,29.25034999999983,13.197427939370844,1.5923533238019878,3.31706412627118,2.7414032267666744,144.80371287128628,101,0.3465346534653465,657.8192857142833,-127.25,2.417799999999988,1208.8999999999942,8.8172441317715,3.208852005532503,208.0,0,0,-236.5,1208.8999999999942,0,0,True,141.0,1208.8999999999942,916.5,101,101,0,7,3.722772277227723,10,5.153560641506649,16,0.15841584158415842,50657.67499999983,9.82386398217825,0.49880701032293917,1884.074999999997,11586.599999999926,10.306091782875116,0.14135885782601387,418.8999999999942
7,risk_pct_0p0025__max_contracts_15__skip_trade_if_too_small_true,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,risk_percent,,0.0025,15.0,True,50000.0,78516.89999999972,157.03379999999945,14.725756443049764,1.788351353415874,3.4514184315995067,3.056627594787498,254.92499999999907,308,0.35064935064935066,1080.5037037037011,-190.8875,5.994649999999995,2997.324999999997,12.666246283310588,2.924802658911508,329.0,43,0,-503.5,2997.324999999997,1,0,True,262.0,2997.324999999997,280.0,315,308,7,0,6.798701298701299,15,11.616822261895488,60,0.19047619047619047,17724.599999999904,35.449199999999806,15.788599748812992,1.534110438957724,3.8790150403122503,3.1313852813852696,186.57473684210424,95,0.3368421052631579,813.768749999997,-132.0,1.978,989.0,11.091519598524036,2.987551867219917,198.0,0,0,-236.5,989.0,0,0,True,141.0,989.0,977.5,101,95,6,0,4.463157894736842,15,5.514656619546395,8,0.07920792079207921,70981.77499999975,12.662077726742261,0.4777607298496105,2207.324999999997,14686.024999999914,12.897263592317264,0.08311597298175011,199.0
8,risk_pct_0p0025__max_contracts_15__skip_trade_if_too_small_false,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,risk_percent,,0.0025,15.0,False,50000.0,78660.6499999997,157.3212999999994,14.744420996226527,1.7909354307137018,3.4626592541010366,3.0313676626294375,249.71634920634827,315,0.35555555555555557,1048.068303571426,-190.7536945812808,5.994649999999995,2997.324999999997,12.6711267126569,3.007893643539676,329.0,43,0,-503.5,2997.324999999997,1,0,True,262.0,2997.324999999997,280.0,315,315,0,7,6.666666666666667,15,11.376751664167637,59,0.1873015873015873,17783.224999999904,35.566449999999804,15.83701403289346,1.5353367640794857,3.807320504143156,2.9987889176126674,176.0715346534644,101,0.3465346534653465,762.2921428571401,-134.8030303030303,2.7987999999999884,1399.3999999999942,11.119316881749654,3.208852005532503,208.0,0,0,-236.5,1399.4000000000015,0,0,True,141.0,1399.4000000000015,977.5,101,101,0,6,4.257425742574258,15,5.247497175740224,8,0.07920792079207921,71125.52499999973,12.680742279919023,0.4803448071474383,2207.324999999997,14744.649999999914,12.945677876397733,0.08434229810351179,609.3999999999942
9,risk_pct_0p0050__max_contracts_3__skip_trade_if_too_small_true,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,risk_percent,,0.005,3.0,True,50000.0,23858.899999999932,47.71779999999987,5.84138507731744,1.5148294569968423,1.4011293114549477,1.9218158987733,75.98375796178323,314,0.3535031847133758,448.12072072072016,-127.5,3.218,1609.0,4.5438533532929215,2.9995845450768592,356.0,17,0,-356.0,1609.0,0,0,True,483.0,1609.0,554.8250000000044,315,314,1,0,2.821656050955414,3,16.47434208790682,269,0.8539682539682539,8489.199999999968,16.978399999999937,7.870882266705359,1.658391400780979,1.6635822423341544,1.9604797194093984,84.89199999999968,100,0.34,509.6382352941167,-133.91666666666666,2.497550000000032,1248.775000000016,4.914178882115586,3.1535269709543567,288.0,2,0,-320.5,1248.775000000016,0,0,True,191.0,1248.775000000016,1128.275000000016,101,100,1,0,2.59,3,9.914529271511384,70,0.693069306930693,16323.774999999958,3.777706361009936,0.20423883343057891,819.0,5450.624999999978,4.979546110209632,0.2073969348050051,458.775000000016
