campaign_variant_name,scope,sizing_mode,risk_pct,max_contracts,skip_trade_if_too_small,fixed_contracts,initial_capital_usd,worst_trade_loss_usd,worst_day_pnl_usd,max_daily_drawdown_usd,days_below_minus_500_usd,days_below_minus_1000_usd,trades_loss_gt_250_usd,trades_loss_gt_500_usd,pass_target_3000_usd_without_breaching_2000_dd,days_to_target_3000_usd,max_trailing_drawdown_observed_usd,max_static_drawdown_observed_usd
risk_pct_0p0025__max_contracts_15__skip_trade_if_too_small_true,full,risk_percent,0.0025,15.0,True,,50000.0,329.0,-503.5,2997.324999999997,1,0,43,0,True,262.0,2997.324999999997,280.0
risk_pct_0p0025__max_contracts_15__skip_trade_if_too_small_true,oos,risk_percent,0.0025,15.0,True,,50000.0,198.0,-236.5,989.0,0,0,0,0,True,141.0,989.0,977.5
risk_pct_0p0025__max_contracts_15__skip_trade_if_too_small_false,full,risk_percent,0.0025,15.0,False,,50000.0,329.0,-503.5,2997.324999999997,1,0,43,0,True,262.0,2997.324999999997,280.0
risk_pct_0p0025__max_contracts_15__skip_trade_if_too_small_false,oos,risk_percent,0.0025,15.0,False,,50000.0,208.0,-236.5,1399.4000000000015,0,0,0,0,True,141.0,1399.4000000000015,977.5
risk_pct_0p0050__max_contracts_3__skip_trade_if_too_small_true,full,risk_percent,0.005,3.0,True,,50000.0,356.0,-356.0,1609.0,0,0,17,0,True,483.0,1609.0,554.8250000000044
risk_pct_0p0050__max_contracts_3__skip_trade_if_too_small_true,oos,risk_percent,0.005,3.0,True,,50000.0,288.0,-320.5,1248.775000000016,0,0,2,0,True,191.0,1248.775000000016,1128.275000000016
risk_pct_0p0050__max_contracts_3__skip_trade_if_too_small_false,full,risk_percent,0.005,3.0,False,,50000.0,364.5,-364.5,1609.0,0,0,18,0,True,483.0,1609.0,554.8250000000044
risk_pct_0p0050__max_contracts_3__skip_trade_if_too_small_false,oos,risk_percent,0.005,3.0,False,,50000.0,288.0,-320.5,1248.775000000016,0,0,2,0,True,191.0,1248.775000000016,1128.275000000016
risk_pct_0p0050__max_contracts_5__skip_trade_if_too_small_true,full,risk_percent,0.005,5.0,True,,50000.0,432.0,-496.0,2130.0,0,0,55,0,True,388.0,2130.0,615.1250000000073
risk_pct_0p0050__max_contracts_5__skip_trade_if_too_small_true,oos,risk_percent,0.005,5.0,True,,50000.0,307.5,-381.5,1590.5,0,0,9,0,True,150.0,1590.5,1463.3750000000218
risk_pct_0p0050__max_contracts_5__skip_trade_if_too_small_false,full,risk_percent,0.005,5.0,False,,50000.0,432.0,-496.0,2130.0,0,0,55,0,True,388.0,2130.0,615.1250000000073
risk_pct_0p0050__max_contracts_5__skip_trade_if_too_small_false,oos,risk_percent,0.005,5.0,False,,50000.0,312.0,-381.5,1590.5,0,0,10,0,True,150.0,1590.5,1463.3750000000218
