comparison_type,comparison_name,scope,variant_name,reference_variant_name,trade_coverage_vs_reference,day_coverage_vs_reference,net_pnl_ratio_vs_reference,net_pnl_delta,sharpe_delta,sortino_delta,profit_factor_delta,expectancy_delta,max_drawdown_improvement_vs_reference,hit_rate_delta,avg_win_delta,avg_loss_delta,stop_hit_rate_delta,combined_net_pnl_delta,additive_net_pnl_delta,interaction_excess_net_pnl_delta,combined_sharpe_delta,additive_sharpe_delta,interaction_excess_sharpe_delta,combined_profit_factor_delta,additive_profit_factor_delta,interaction_excess_profit_factor_delta,combined_expectancy_delta,additive_expectancy_delta,interaction_excess_expectancy_delta,combined_max_drawdown_improvement,additive_max_drawdown_improvement,interaction_excess_max_drawdown_improvement
pairwise,marginal_3state_vs_baseline_nominal,overall,baseline_3state,baseline_nominal,0.9776785714285714,0.9776785714285714,2.5435238761365806,24275.0,0.10586851400318165,0.1663297652927238,0.027815110511376417,22.489542563600786,-1.1900642286013894,-0.002425799086757996,260.49773960217,-205.62695088009272,-0.003995433789954317,,,,,,,,,,,,,,,
pairwise,marginal_vvix_modulator_vs_baseline_nominal,overall,baseline_vvix_modulator,baseline_nominal,0.8142857142857143,0.8142857142857143,2.698988999809245,26720.0,0.0501323588627236,-0.030097041372894262,0.03596105308562003,32.500798872180454,-3.1873115742561278,0.0018640350877192624,362.18689889420534,-292.82557510927074,-0.00877192982456143,,,,,,,,,,,,,,,
pairwise,vvix_modulator_vs_3state,overall,baseline_vvix_modulator,baseline_3state,0.8328767123287671,0.8328767123287671,1.0611219439028048,2445.0,-0.055736155140458044,-0.19642680666561807,0.008145942574243614,10.011256308579668,-0.9119583433085947,0.004289834174477258,101.68915929203536,-87.19862422917805,-0.004776496034607114,,,,,,,,,,,,,,,
pairwise,combined_vs_baseline_nominal,overall,baseline_3state_vvix_modulator,baseline_nominal,0.7223214285714286,0.7223214285714286,2.322661664653144,20801.5,0.19687157940798805,0.0995175336947296,0.09143606432817353,31.110693316263465,-1.442390876917027,0.004395859085290443,243.76635002400621,-183.23006750592955,-0.010661310259579726,,,,,,,,,,,,,,,
pairwise,incremental_vvix_on_top_of_3state,overall,baseline_3state_vvix_modulator,baseline_3state,0.7388127853881279,0.7388127853881279,0.9131668416579171,-3473.5,0.0910030654048064,-0.06681223159799421,0.06362095381679711,8.621150752662679,-0.11521426861383768,0.006821658172048439,-16.73138957816377,22.396883374163167,-0.006665876469625409,,,,,,,,,,,,,,,
pairwise,incremental_3state_on_top_of_vvix_modulator,overall,baseline_3state_vvix_modulator,baseline_vvix_modulator,0.8870614035087719,0.8870614035087719,0.8605672956863853,-5918.5,0.14673922054526445,0.12961457506762386,0.055475011242553496,-1.390105555916989,0.4167162310220692,0.002531823997571181,-118.42054887019913,109.59550760334122,-0.0018893804350182952,,,,,,,,,,,,,,,
pairwise,vvix_modulator_vs_hard_filter_nominal,overall,baseline_vvix_modulator,reference_vvix_hard_filter_nominal,1.209549071618037,1.209549071618037,2.7374564684638205,26941.0,-0.12636179440712292,-0.010946311690414934,-0.044232615208617876,25.97777642049421,-3.460346271991064,-0.009691004700079109,356.8184243838989,-291.8440581652874,-0.00844036483782401,,,,,,,,,,,,,,,
pairwise,hard_filter_nominal_vs_baseline_nominal,overall,reference_vvix_hard_filter_nominal,baseline_nominal,0.6732142857142858,0.6732142857142858,0.9859477331976855,-221.0,0.17649415326984652,-0.01915072968247933,0.08019366829423791,6.523022451686245,0.061213789487481976,0.011555039787798371,5.36847451030647,-0.9815169439834222,-0.0003315649867374204,,,,,,,,,,,,,,,
pairwise,combined_vs_hard_filter_3state,overall,baseline_3state_vvix_modulator,reference_vvix_hard_filter_3state,1.0991847826086956,1.0991847826086956,1.022820502051045,815.0,0.022204865616085145,0.08568691110132365,-0.0024944343570239003,-3.3711195719352958,-0.0090982940698619,-0.004571532219057317,-25.275984172758342,26.11625481170421,-0.00522652765088405,,,,,,,,,,,,,,,
pairwise,hard_filter_3state_vs_baseline_3state,overall,reference_vvix_hard_filter_3state,baseline_3state,0.6721461187214612,0.6721461187214612,0.8927928603569821,-4288.5,0.06879819978872126,-0.15249914269931786,0.06611538817382101,11.992270324597975,-0.10515920517117548,0.011393190391105756,8.544594594594571,-3.7193714375410423,-0.0014393488187413594,,,,,,,,,,,,,,,
