phase,vvix_bucket_label,lower_bound,upper_bound,sizing_bucket_label,session_count,avg_vvix_feature_value,avg_vvix_multiplier,avg_sizing_multiplier,avg_combined_multiplier,baseline_nominal_net_pnl_usd,baseline_3state_net_pnl_usd,baseline_vvix_modulator_net_pnl_usd,baseline_3state_vvix_modulator_net_pnl_usd,baseline_nominal_n_trades,baseline_3state_n_trades,baseline_vvix_modulator_n_trades,baseline_3state_vvix_modulator_n_trades
is,high,0.6349206349206349,1.0,high,77,0.8150896722325294,1.0,0.75,0.75,-1012.5,-4076.5,-4833.5,-4076.5,77,77.0,77.0,77.0
is,high,0.6349206349206349,1.0,low,85,0.8466853408029877,1.0,0.5,0.5,207.0,168.5,2082.0,168.5,85,82.0,85.0,82.0
is,high,0.6349206349206349,1.0,mid,97,0.8430698739977089,1.0,1.0,1.0,2003.0,4335.0,4335.0,4335.0,97,97.0,97.0,97.0
is,low,0.015873015873015872,0.2698412698412698,high,103,0.12698412698412698,0.25,0.75,0.1875,-137.5,-2190.5,-328.5,-324.0,103,103.0,49.0,21.0
is,low,0.015873015873015872,0.2698412698412698,low,85,0.11447245564892623,0.25,0.5,0.125,-997.0,-1502.5,-750.5,-17.0,85,80.0,37.0,1.0
is,low,0.015873015873015872,0.2698412698412698,mid,76,0.1236424394319131,0.25,1.0,0.25,1221.0,499.5,-376.5,-376.5,76,76.0,32.0,32.0
is,mid,0.2698412698412698,0.6349206349206349,high,83,0.4486517498565691,1.0,0.75,0.75,1651.5,391.0,907.5,391.0,83,83.0,83.0,83.0
is,mid,0.2698412698412698,0.6349206349206349,low,94,0.4745018574805809,1.0,0.5,0.5,-1109.0,-1879.5,-4569.5,-1879.5,94,89.0,94.0,89.0
is,mid,0.2698412698412698,0.6349206349206349,mid,87,0.48586024448093407,1.0,1.0,1.0,4114.0,16058.5,16058.5,16058.5,87,87.0,87.0,87.0
oos,high,0.6349206349206349,1.0,high,37,0.8103818103818103,1.0,0.75,0.75,1832.0,4929.0,6471.0,4929.0,37,37.0,37.0,37.0
oos,high,0.6349206349206349,1.0,low,49,0.8160025915127955,1.0,0.5,0.5,1902.0,1600.0,3980.5,1600.0,49,42.0,49.0,42.0
oos,high,0.6349206349206349,1.0,mid,32,0.8273809523809523,1.0,1.0,1.0,3941.5,12107.0,12107.0,12107.0,32,32.0,32.0,32.0
oos,low,0.015873015873015872,0.2698412698412698,high,23,0.1518288474810214,0.25,0.75,0.1875,-635.0,211.5,389.5,421.0,23,23.0,9.0,2.0
oos,low,0.015873015873015872,0.2698412698412698,low,41,0.13008130081300812,0.25,0.5,0.125,-983.0,353.0,747.5,0.0,41,39.0,14.0,0.0
oos,low,0.015873015873015872,0.2698412698412698,mid,38,0.11278195488721804,0.25,1.0,0.25,1752.5,6917.5,1111.5,1111.5,38,38.0,17.0,17.0
oos,mid,0.2698412698412698,0.6349206349206349,high,38,0.45363408521303256,1.0,0.75,0.75,-2269.0,-4674.0,-6798.5,-4674.0,38,38.0,38.0,38.0
oos,mid,0.2698412698412698,0.6349206349206349,low,49,0.47457078069322967,1.0,0.5,0.5,3228.0,2894.5,8054.0,2894.5,49,46.0,49.0,46.0
oos,mid,0.2698412698412698,0.6349206349206349,mid,26,0.47863247863247865,1.0,1.0,1.0,1017.5,3860.0,3860.0,3860.0,26,26.0,26.0,26.0
