trades,net_pnl,gross_profit,gross_loss,winrate,avg_trade,median_trade,profit_factor,max_drawdown,sharpe_daily,sortino_daily,pnl_to_maxdd,avg_holding_minutes,median_holding_minutes,stop_exit_rate,target_exit_rate,time_stop_exit_rate,eod_exit_rate,skipped_trades,skip_rate,blocked_setups,turnover_proxy,estimated_cost_per_trade,config_id,symbol,execution_timeframe,entry_timing,protective_orders_active_from,ambiguous_policy,stop_multiplier,target_multiplier,entry_delay_minutes,filter_family,filter_label,filter_params
91,233.17499999999563,3968.4249999999956,3735.25,0.24175824175824176,2.562362637362589,-31.5,1.062425540459138,-1047.324999999997,0.35470111029036366,0.9596021207091882,0.22263862697825057,27.285714285714285,9.0,0.8241758241758241,0.17582417582417584,0.08791208791208792,0.0,0,0.0,0,41.80849056603773,2.5,none_sm0p75_tm1p00_d0,MNQ,1min,next_execution_bar_open,next_execution_bar,stop_first,0.75,1.0,0,none,none,{}
79,-663.5000000000073,3015.7499999999927,3679.25,0.26582278481012656,-8.398734177215282,-30.375,0.8196643337636726,-1809.25,-1.2347175306463034,-2.68936052644356,-0.3667265441481317,35.29113924050633,18.0,0.8227848101265823,0.1518987341772152,0.10126582278481013,0.02531645569620253,0,0.0,1,36.29528301886792,2.5,none_sm0p75_tm1p00_d5,MNQ,1min,next_execution_bar_open,next_execution_bar,stop_first,0.75,1.0,5,none,none,{}
83,-1099.2750000000015,3255.5999999999985,4354.875,0.26506024096385544,-13.244277108433753,-32.625,0.747575992422285,-1388.4500000000044,-1.792208004936239,-3.7261314600067372,-0.7917281861068083,37.87951807228916,19.0,0.8433734939759037,0.13253012048192772,0.13253012048192772,0.024096385542168676,0,0.0,1,38.13301886792453,2.5,none_sm0p75_tm1p00_d10,MNQ,1min,next_execution_bar_open,next_execution_bar,stop_first,0.75,1.0,10,none,none,{}
82,-1347.2750000000087,3340.0999999999913,4687.375,0.24390243902439024,-16.430182926829374,-36.0,0.7125736686311617,-1875.5,-2.1639933307274006,-4.357815819998222,-0.7183551053052566,36.548780487804876,14.5,0.8536585365853658,0.13414634146341464,0.13414634146341464,0.012195121951219513,0,0.0,1,37.67358490566038,2.5,none_sm0p75_tm1p00_d15,MNQ,1min,next_execution_bar_open,next_execution_bar,stop_first,0.75,1.0,15,none,none,{}
65,-844.3250000000116,2944.4249999999884,3788.75,0.27692307692307694,-12.989615384615563,-37.0,0.7771494556252031,-1358.5750000000044,-1.5657625314298982,-3.0791199345375446,-0.6214783872807971,47.261538461538464,35.0,0.8461538461538461,0.15384615384615385,0.18461538461538463,0.0,0,0.0,1,29.86320754716981,2.5,none_sm0p75_tm1p00_d30,MNQ,1min,next_execution_bar_open,next_execution_bar,stop_first,0.75,1.0,30,none,none,{}
91,-103.875,3813.25,3917.125,0.21978021978021978,-1.1414835164835164,-33.0,0.9734818265947602,-1508.625,-0.15613171613334728,-0.4275496243978138,-0.06885408898831717,30.54945054945055,9.0,0.8681318681318682,0.12087912087912088,0.10989010989010989,0.01098901098901099,0,0.0,0,41.80849056603773,2.5,none_sm0p75_tm1p25_d0,MNQ,1min,next_execution_bar_open,next_execution_bar,stop_first,0.75,1.25,0,none,none,{}
79,-560.9375,3177.1875,3738.125,0.24050632911392406,-7.100474683544304,-30.375,0.8499414813576325,-1813.375,-0.9520473702727372,-2.287088282554284,-0.3093334252429861,37.34177215189873,19.0,0.8481012658227848,0.11392405063291139,0.10126582278481013,0.0379746835443038,0,0.0,1,36.29528301886792,2.5,none_sm0p75_tm1p25_d5,MNQ,1min,next_execution_bar_open,next_execution_bar,stop_first,0.75,1.25,5,none,none,{}
83,-896.75,3476.5,4373.25,0.25301204819277107,-10.80421686746988,-32.625,0.7949465500485908,-1327.34375,-1.3835286180280668,-3.042142874941309,-0.6755974102413185,40.31325301204819,19.0,0.8674698795180723,0.10843373493975904,0.14457831325301204,0.024096385542168676,0,0.0,1,38.13301886792453,2.5,none_sm0p75_tm1p25_d10,MNQ,1min,next_execution_bar_open,next_execution_bar,stop_first,0.75,1.25,10,none,none,{}
82,-1036.625,3672.25,4708.875,0.23170731707317074,-12.641768292682928,-36.0,0.7798571845716864,-1792.625,-1.5188702921456954,-3.357692601025757,-0.5782720870232201,38.31707317073171,15.0,0.8780487804878049,0.0975609756097561,0.15853658536585366,0.024390243902439025,0,0.0,1,37.67358490566038,2.5,none_sm0p75_tm1p25_d15,MNQ,1min,next_execution_bar_open,next_execution_bar,stop_first,0.75,1.25,15,none,none,{}
65,-810.1875,2978.5625,3788.75,0.27692307692307694,-12.464423076923078,-37.0,0.7861596832728472,-1220.34375,-1.4523623546485187,-2.9546258632198534,-0.6639010524698471,51.86153846153846,37.0,0.9230769230769231,0.07692307692307693,0.26153846153846155,0.0,0,0.0,1,29.86320754716981,2.5,none_sm0p75_tm1p25_d30,MNQ,1min,next_execution_bar_open,next_execution_bar,stop_first,0.75,1.25,30,none,none,{}
90,67.66250000000582,3980.287500000006,3912.625,0.2222222222222222,0.7518055555556202,-33.9375,1.0172933772083974,-1508.625,0.09527079178754548,0.27849893103075396,0.04485044328445162,33.03333333333333,9.0,0.9,0.08888888888888889,0.13333333333333333,0.011111111111111112,0,0.0,1,41.34905660377358,2.5,none_sm0p75_tm1p50_d0,MNQ,1min,next_execution_bar_open,next_execution_bar,stop_first,0.75,1.5,0,none,none,{}
79,-353.6999999999971,3384.425000000003,3738.125,0.24050632911392406,-4.477215189873381,-30.375,0.9053803711753895,-1813.375,-0.5499891171685652,-1.4421270204602894,-0.1950506651961106,40.139240506329116,19.0,0.8734177215189873,0.08860759493670886,0.12658227848101267,0.0379746835443038,0,0.0,1,36.29528301886792,2.5,none_sm0p75_tm1p50_d5,MNQ,1min,next_execution_bar_open,next_execution_bar,stop_first,0.75,1.5,5,none,none,{}
