trades,net_pnl,gross_profit,gross_loss,winrate,avg_trade,median_trade,profit_factor,max_drawdown,sharpe_daily,sortino_daily,pnl_to_maxdd,avg_holding_minutes,median_holding_minutes,stop_exit_rate,target_exit_rate,time_stop_exit_rate,eod_exit_rate,skipped_trades,skip_rate,blocked_setups,turnover_proxy,estimated_cost_per_trade,config_id,symbol,execution_timeframe,entry_timing,protective_orders_active_from,ambiguous_policy,stop_multiplier,target_multiplier,entry_delay_minutes,filter_family,filter_label,filter_params
184,-808.3000000000029,4717.824999999997,5526.125,0.21195652173913043,-4.3929347826087115,-22.5,0.8537311407179529,-858.6000000000022,-0.8845354144361536,-2.0806539967234303,-0.9414162590263229,28.005434782608695,9.5,0.842391304347826,0.15760869565217392,0.10326086956521739,0.0,0,0.0,0,39.81398104265403,2.5,none_sm0p75_tm1p00_d0,MNQ,1min,next_execution_bar_open,next_execution_bar,stop_first,0.75,1.0,0,none,none,{}
162,-296.1000000000058,4955.649999999994,5251.75,0.24074074074074073,-1.8277777777778137,-23.625,0.9436187937354205,-1052.625,-0.3393606866428268,-0.7802369726040471,-0.2812967581047437,30.728395061728396,13.0,0.808641975308642,0.19135802469135801,0.08641975308641975,0.0,0,0.0,0,35.053613744075825,2.5,none_sm0p75_tm1p00_d5,MNQ,1min,next_execution_bar_open,next_execution_bar,stop_first,0.75,1.0,5,none,none,{}
148,-734.5750000000044,4673.424999999996,5408.0,0.25675675675675674,-4.963344594594624,-24.1875,0.8641688239644962,-1394.9750000000022,-0.8420828038991947,-1.7396874209010902,-0.5265864979659157,35.398648648648646,20.5,0.8040540540540541,0.1891891891891892,0.10135135135135136,0.006756756756756757,0,0.0,1,32.024289099526065,2.5,none_sm0p75_tm1p00_d10,MNQ,1min,next_execution_bar_open,next_execution_bar,stop_first,0.75,1.0,10,none,none,{}
139,131.87500000000364,5178.750000000004,5046.875,0.302158273381295,0.9487410071942708,-22.0,1.026130030959753,-566.3000000000029,0.15003088947926915,0.33794506385746853,0.23287126964506968,39.460431654676256,26.0,0.7697841726618705,0.22302158273381295,0.11510791366906475,0.007194244604316547,0,0.0,1,30.076866113744074,2.5,none_sm0p75_tm1p00_d15,MNQ,1min,next_execution_bar_open,next_execution_bar,stop_first,0.75,1.0,15,none,none,{}
128,547.4499999999971,5210.199999999997,4662.75,0.3359375,4.276953124999977,-22.3125,1.117409254195485,-593.0,0.7011927824812911,1.656985027603998,0.923187183811125,51.4765625,35.5,0.78125,0.203125,0.1796875,0.015625,0,0.0,2,27.696682464454973,2.5,none_sm0p75_tm1p00_d30,MNQ,1min,next_execution_bar_open,next_execution_bar,stop_first,0.75,1.0,30,none,none,{}
183,-196.9375,5337.8125,5534.75,0.20765027322404372,-1.0761612021857923,-22.5,0.9644179953927459,-703.25,-0.19110119977858972,-0.5080964570826916,-0.2800391041592606,31.69945355191257,9.0,0.8579234972677595,0.14207650273224043,0.12021857923497267,0.0,0,0.0,1,39.59760071090047,2.5,none_sm0p75_tm1p25_d0,MNQ,1min,next_execution_bar_open,next_execution_bar,stop_first,0.75,1.25,0,none,none,{}
161,-193.1875,5270.4375,5463.625,0.22981366459627328,-1.1999223602484472,-24.75,0.9646411494200279,-787.15625,-0.19783861722824295,-0.4926129859701361,-0.24542459009885267,35.440993788819874,15.0,0.8509316770186336,0.14285714285714285,0.11801242236024845,0.006211180124223602,0,0.0,1,34.83723341232227,2.5,none_sm0p75_tm1p25_d5,MNQ,1min,next_execution_bar_open,next_execution_bar,stop_first,0.75,1.25,5,none,none,{}
147,-975.46875,4435.53125,5411.0,0.25170068027210885,-6.635841836734694,-24.375,0.8197248660136759,-1658.53125,-1.1346953152948176,-2.3184555152957036,-0.5881521677689221,40.53061224489796,22.0,0.8503401360544217,0.14285714285714285,0.14285714285714285,0.006802721088435374,0,0.0,2,31.80790876777251,2.5,none_sm0p75_tm1p25_d10,MNQ,1min,next_execution_bar_open,next_execution_bar,stop_first,0.75,1.25,10,none,none,{}
138,4.40625,5092.53125,5088.125,0.2826086956521739,0.03192934782608696,-22.25,1.0008659869794865,-599.625,0.004999390272515098,0.011378574601862482,0.007348342714196373,46.18840579710145,26.0,0.855072463768116,0.13768115942028986,0.18115942028985507,0.007246376811594203,0,0.0,2,29.86048578199052,2.5,none_sm0p75_tm1p25_d15,MNQ,1min,next_execution_bar_open,next_execution_bar,stop_first,0.75,1.25,15,none,none,{}
128,726.3125,5389.0625,4662.75,0.3359375,5.67431640625,-22.3125,1.1557691276607152,-527.71875,0.8906321064208965,2.1983540740919447,1.376324983715284,56.9765625,51.0,0.8359375,0.1484375,0.234375,0.015625,0,0.0,2,27.696682464454973,2.5,none_sm0p75_tm1p25_d30,MNQ,1min,next_execution_bar_open,next_execution_bar,stop_first,0.75,1.25,30,none,none,{}
182,-49.07499999999709,5550.925000000003,5600.0,0.2032967032967033,-0.26964285714284114,-22.875,0.9912366071428577,-650.5,-0.04539425070632425,-0.12519941318099123,-0.07544196771713618,34.92857142857143,10.5,0.8791208791208791,0.11538461538461539,0.13736263736263737,0.005494505494505495,0,0.0,2,39.38122037914692,2.5,none_sm0p75_tm1p50_d0,MNQ,1min,next_execution_bar_open,next_execution_bar,stop_first,0.75,1.5,0,none,none,{}
160,-160.53749999999127,5244.962500000009,5405.5,0.225,-1.0033593749999454,-24.375,0.9703010822310626,-881.6374999999971,-0.1620503391609403,-0.40934815595491886,-0.18209014475903282,39.1125,15.5,0.8875,0.10625,0.15625,0.00625,0,0.0,2,34.620853080568715,2.5,none_sm0p75_tm1p50_d5,MNQ,1min,next_execution_bar_open,next_execution_bar,stop_first,0.75,1.5,5,none,none,{}
147,-725.7624999999971,4712.737500000003,5438.5,0.24489795918367346,-4.937159863945558,-24.375,0.8665509791302755,-1419.887499999997,-0.7906038998884604,-1.7310549739664185,-0.5111408474262916,42.83673469387755,22.0,0.8843537414965986,0.10884353741496598,0.17687074829931973,0.006802721088435374,0,0.0,2,31.80790876777251,2.5,none_sm0p75_tm1p50_d10,MNQ,1min,next_execution_bar_open,next_execution_bar,stop_first,0.75,1.5,10,none,none,{}
