session_date,daily_pnl,equity,drawdown
2019-06-04,-5.0,-5.0,0.0
2019-07-01,-15.5,-20.5,-15.5
2019-07-05,73.0,52.5,0.0
2019-07-08,-7.5,45.0,-7.5
2019-07-18,32.0,77.0,0.0
2019-07-22,-25.5,51.5,-25.5
2019-07-23,-46.0,5.5,-71.5
2019-07-25,-73.0,-67.5,-144.5
2019-08-01,-17.0,-84.5,-161.5
2019-08-13,18.5,-66.0,-143.0
2019-09-05,19.5,-46.5,-123.5
2019-09-24,-42.0,-88.5,-165.5
2019-09-26,-10.5,-99.0,-176.0
2019-09-27,-85.0,-184.0,-261.0
2019-10-31,-34.0,-218.0,-295.0
2019-11-18,13.5,-204.5,-281.5
2019-11-20,49.0,-155.5,-232.5
2019-11-21,-27.0,-182.5,-259.5
2019-12-12,97.5,-85.0,-162.0
2019-12-27,-14.5,-99.5,-176.5
2019-12-30,63.0,-36.5,-113.5
2020-01-03,-54.0,-90.5,-167.5
2020-01-24,-87.5,-178.0,-255.0
2020-01-27,-61.0,-239.0,-316.0
2020-01-29,18.0,-221.0,-298.0
2020-02-20,86.5,-134.5,-211.5
2020-02-21,-47.0,-181.5,-258.5
2020-02-26,-38.5,-220.0,-297.0
2020-04-17,-18.0,-238.0,-315.0
2020-04-21,97.0,-141.0,-218.0
2020-05-04,-71.0,-212.0,-289.0
2020-05-11,-32.5,-244.5,-321.5
2020-05-13,-40.5,-285.0,-362.0
2020-05-14,153.0,-132.0,-209.0
2020-06-26,-5.0,-137.0,-214.0
2020-07-09,120.5,-16.5,-93.5
2020-07-31,-127.5,-144.0,-221.0
2020-08-14,106.5,-37.5,-114.5
2020-09-02,205.5,168.0,0.0
2020-09-03,-213.0,-45.0,-213.0
2020-09-24,-109.5,-154.5,-322.5
2020-10-02,185.5,31.0,-137.0
2020-10-14,-82.0,-51.0,-219.0
2020-10-28,-55.5,-106.5,-274.5
2020-11-10,279.0,172.5,0.0
2020-12-08,84.0,256.5,0.0
2021-01-08,-25.5,231.0,-25.5
2021-01-25,25.5,256.5,0.0
2021-02-10,16.0,272.5,0.0
2021-02-26,57.5,330.0,0.0
2021-03-24,-193.5,136.5,-193.5
2021-03-29,248.0,384.5,0.0
2021-04-14,-21.0,363.5,-21.0
2021-04-20,43.5,407.0,0.0
2021-04-21,-65.0,342.0,-65.0
2021-04-29,-10.5,331.5,-75.5
2021-05-06,201.5,533.0,0.0
2021-05-11,-28.5,504.5,-28.5
2021-07-06,39.5,544.0,0.0
2021-07-15,-10.5,533.5,-10.5
2021-08-16,-27.5,506.0,-38.0
2021-08-27,-25.5,480.5,-63.5
2021-08-31,61.5,542.0,-2.0
2021-09-03,-64.5,477.5,-66.5
2021-10-01,111.0,588.5,0.0
2021-10-06,-67.0,521.5,-67.0
2021-10-26,252.5,774.0,0.0
2021-11-02,-20.0,754.0,-20.0
2021-11-09,-154.5,599.5,-174.5
2021-11-18,152.5,752.0,-22.0
2021-11-22,137.0,889.0,0.0
2021-12-21,364.0,1253.0,0.0
2022-01-14,138.5,1391.5,0.0
2022-01-21,141.5,1533.0,0.0
2022-02-24,-49.0,1484.0,-49.0
2022-03-21,12.0,1496.0,-37.0
2022-04-05,-58.0,1438.0,-95.0
2022-04-06,-29.0,1409.0,-124.0
2022-04-20,-134.5,1274.5,-258.5
2022-04-22,-92.5,1182.0,-351.0
2022-04-25,-132.0,1050.0,-483.0
2022-04-28,524.0,1574.0,0.0
2022-05-02,163.5,1737.5,0.0
2022-05-25,-36.0,1701.5,-36.0
2022-06-09,-7.5,1694.0,-43.5
