trades,net_pnl,gross_profit,gross_loss,winrate,avg_trade,median_trade,profit_factor,max_drawdown,sharpe_daily,sortino_daily,pnl_to_maxdd,avg_holding_minutes,median_holding_minutes,stop_exit_rate,target_exit_rate,time_stop_exit_rate,eod_exit_rate,skipped_trades,skip_rate,blocked_setups,turnover_proxy,estimated_cost_per_trade,config_id,symbol,execution_timeframe,entry_timing,protective_orders_active_from,ambiguous_policy,stop_multiplier,target_multiplier,entry_delay_minutes,filter_family,filter_label,filter_params
275,-575.1250000000073,8686.249999999993,9261.375,0.22181818181818183,-2.091363636363663,-23.625,0.9379006896924045,-1090.525000000005,-0.35999718073053427,-0.889937772579953,-0.5273835996423782,27.767272727272726,9.0,0.8363636363636363,0.16363636363636364,0.09818181818181818,0.0,0,0.0,0,40.4037610619469,2.5,none_sm0p75_tm1p00_d0,MNQ,1min,next_execution_bar_open,next_execution_bar,stop_first,0.75,1.0,0,none,none,{}
241,-959.6000000000131,7971.399999999987,8931.0,0.24896265560165975,-3.981742738589266,-24.75,0.8925540253051155,-2270.2750000000087,-0.6774151041894219,-1.4920356237731534,-0.42268007179747363,32.22406639004149,15.0,0.8132780082987552,0.17842323651452283,0.0912863070539419,0.008298755186721992,0,0.0,1,35.40838696701528,2.5,none_sm0p75_tm1p00_d5,MNQ,1min,next_execution_bar_open,next_execution_bar,stop_first,0.75,1.0,5,none,none,{}
231,-1833.8500000000058,7929.024999999994,9762.875,0.2597402597402597,-7.938744588744614,-26.25,0.8121608644994425,-1813.6000000000058,-1.2261200716522551,-2.48780778734679,-1.0111656374062636,36.29004329004329,19.0,0.8181818181818182,0.16883116883116883,0.11255411255411256,0.012987012987012988,0,0.0,2,33.9391592920354,2.5,none_sm0p75_tm1p00_d10,MNQ,1min,next_execution_bar_open,next_execution_bar,stop_first,0.75,1.0,10,none,none,{}
221,-1215.400000000005,8518.849999999995,9734.25,0.28054298642533937,-5.49954751131224,-26.625,0.8751418958830927,-2237.2750000000087,-0.8034231979332223,-1.6638470428006646,-0.5432501592338896,38.380090497737555,19.0,0.8009049773755657,0.19004524886877827,0.12217194570135746,0.00904977375565611,0,0.0,2,32.46993161705551,2.5,none_sm0p75_tm1p00_d15,MNQ,1min,next_execution_bar_open,next_execution_bar,stop_first,0.75,1.0,15,none,none,{}
193,-296.87500000001455,8154.624999999985,8451.5,0.3160621761658031,-1.538212435233236,-27.75,0.9648730994498,-1687.750000000011,-0.2218843966430405,-0.4581503756079982,-0.17589986668642432,50.056994818652846,35.0,0.8031088082901554,0.18652849740932642,0.18134715025906736,0.010362694300518135,0,0.0,3,28.356094127111824,2.5,none_sm0p75_tm1p00_d30,MNQ,1min,next_execution_bar_open,next_execution_bar,stop_first,0.75,1.0,30,none,none,{}
274,-300.8125,9151.0625,9451.875,0.2116788321167883,-1.0978558394160585,-24.375,0.9681743040402037,-1508.625,-0.17600986019448475,-0.46388641077398296,-0.1993951445853012,31.317518248175183,9.0,0.8613138686131386,0.13503649635036497,0.11678832116788321,0.0036496350364963502,0,0.0,1,40.25683829444891,2.5,none_sm0p75_tm1p25_d0,MNQ,1min,next_execution_bar_open,next_execution_bar,stop_first,0.75,1.25,0,none,none,{}
240,-754.125,8447.625,9201.75,0.23333333333333334,-3.1421875,-25.5,0.9180454804792567,-2021.125,-0.47989667657002283,-1.1596528389823573,-0.37312140515801845,36.06666666666667,16.5,0.85,0.13333333333333333,0.1125,0.016666666666666666,0,0.0,2,35.26146419951729,2.5,none_sm0p75_tm1p25_d5,MNQ,1min,next_execution_bar_open,next_execution_bar,stop_first,0.75,1.25,5,none,none,{}
230,-1872.21875,7912.03125,9784.25,0.25217391304347825,-8.14008152173913,-26.4375,0.8086497432097504,-1851.96875,-1.2286252066887016,-2.547888990242823,-1.0109343097716956,40.45217391304348,20.5,0.8565217391304348,0.13043478260869565,0.14347826086956522,0.013043478260869565,0,0.0,3,33.79223652453741,2.5,none_sm0p75_tm1p25_d10,MNQ,1min,next_execution_bar_open,next_execution_bar,stop_first,0.75,1.25,10,none,none,{}
220,-1032.21875,8764.78125,9797.0,0.2636363636363636,-4.6919034090909095,-26.8125,0.8946393028478106,-1977.625,-0.6527703837949185,-1.4212546424463661,-0.5219486758106314,43.25454545454546,20.0,0.8636363636363636,0.12272727272727273,0.17272727272727273,0.013636363636363636,0,0.0,3,32.32300884955752,2.5,none_sm0p75_tm1p25_d15,MNQ,1min,next_execution_bar_open,next_execution_bar,stop_first,0.75,1.25,15,none,none,{}
193,-83.875,8367.625,8451.5,0.3160621761658031,-0.43458549222797926,-27.75,0.9900757262024493,-1602.78125,-0.06029105025761636,-0.12943953769808492,-0.052330909161808575,55.25388601036269,45.0,0.8652849740932642,0.12435233160621761,0.24352331606217617,0.010362694300518135,0,0.0,3,28.356094127111824,2.5,none_sm0p75_tm1p25_d30,MNQ,1min,next_execution_bar_open,next_execution_bar,stop_first,0.75,1.25,30,none,none,{}
