trades,net_pnl,gross_profit,gross_loss,winrate,avg_trade,median_trade,profit_factor,max_drawdown,sharpe_daily,sortino_daily,pnl_to_maxdd,avg_holding_minutes,median_holding_minutes,stop_exit_rate,target_exit_rate,time_stop_exit_rate,eod_exit_rate,skipped_trades,skip_rate,blocked_setups,turnover_proxy,estimated_cost_per_trade,config_id,symbol,execution_timeframe,entry_timing,protective_orders_active_from,ambiguous_policy,stop_multiplier,target_multiplier,entry_delay_minutes,filter_family,filter_label,filter_params,normalized_net_pnl_is,normalized_profit_factor_is,normalized_pnl_to_maxdd_is,trade_count_score_x,positive_years_is,years_available_is,max_year_contribution_pct,temporal_stability_score,parameter_neighborhood_score,trade_count_score_y,one_year_dependency,penalties,robust_score_is,admissible_is,rank_is
128,1737.25,6624.75,4887.5,0.390625,13.572265625,-17.5,1.3554475703324809,-558.5,1.7929333234795033,4.418846090321237,3.1105640107430617,76.3359375,119.5,0.9609375,0.0078125,0.5,0.03125,0,0.0,2,27.696682464454973,2.5,none_sm1p00_tm3p00_d30,MNQ,1min,next_execution_bar_open,next_execution_bar,stop_first,1.0,3.0,30,none,none,{},0.9318453525724321,0.9293793273046066,0.942013934616748,1.0,4,4,0.5618040873854827,0.7190979563072586,1.0,1.0,False,0.0,0.9180039872426302,True,1
128,1900.5,6842.25,4941.75,0.4140625,14.84765625,-15.25,1.384580361208074,-705.375,1.9353790335488512,4.50352555652305,2.6943115364167998,82.7734375,120.0,0.9609375,0.0078125,0.578125,0.03125,0,0.0,2,27.696682464454973,2.5,none_sm1p25_tm3p00_d30,MNQ,1min,next_execution_bar_open,next_execution_bar,stop_first,1.25,3.0,30,none,none,{},0.965787531317247,0.95983629010282,0.8487641158680646,1.0,4,4,0.5698637116290919,0.7150681441854541,1.0,1.0,False,0.0,0.9179889798579036,True,2
128,1901.800000000003,6789.300000000003,4887.5,0.390625,14.857812500000023,-17.5,1.3891150895140671,-606.5,1.9588480025359611,4.8373932908752,3.1356966199505405,74.0078125,99.5,0.9140625,0.0546875,0.453125,0.03125,0,0.0,2,27.696682464454973,2.5,none_sm1p00_tm2p00_d30,MNQ,1min,next_execution_bar_open,next_execution_bar,stop_first,1.0,2.0,30,none,none,{},0.9660578212551849,0.9645771352867034,0.9476441984537913,1.0,3,4,0.5983979049526301,0.575801047523685,1.0,1.0,False,0.0,0.9129466692677584,True,3
128,2065.050000000003,7006.800000000003,4941.75,0.4140625,16.133203125000023,-15.25,1.4178782819851272,-799.125,2.0991014443874865,4.893451960272527,2.584138901923983,80.4453125,120.0,0.9140625,0.0546875,0.53125,0.03125,0,0.0,2,27.696682464454973,2.5,none_sm1p25_tm2p00_d30,MNQ,1min,next_execution_bar_open,next_execution_bar,stop_first,1.25,2.0,30,none,none,{},1.0,0.994647700334519,0.8240829936377434,1.0,3,4,0.5476453822265707,0.6011773088867147,1.0,1.0,False,0.0,0.9127185854455725,True,4
110,1646.625,5539.375,3892.75,0.3,14.969318181818181,-25.3125,1.422997880675615,-580.875,1.8564515758167388,5.743562564769364,2.8347320852162685,56.57272727272727,34.5,0.9454545454545454,0.045454545454545456,0.3090909090909091,0.00909090909090909,50,0.2347417840375587,2,23.801836492890992,2.5,require_no_stop_zone_touch_before_entry_sm0p75_tm2p50_d5_stop_zone_1p00,MNQ,1min,next_execution_bar_open,next_execution_bar,stop_first,0.75,2.5,5,require_no_stop_zone_touch_before_entry,stop_zone_1p00,"{""stop_zone_fraction"": 1.0}",0.9130030251681511,1.0,0.8802214441285996,1.0,3,4,0.5509602754801377,0.5995198622599311,0.5833333333333334,1.0,False,0.0,0.8377119522503174,True,5
110,1375.7500000000055,5268.5000000000055,3892.75,0.3,12.50681818181823,-25.3125,1.3534133966989932,-580.875,1.6311363587685743,4.798728428440893,2.3684097267054107,54.554545454545455,34.5,0.9090909090909091,0.08181818181818182,0.2727272727272727,0.00909090909090909,50,0.2347417840375587,2,23.801836492890992,2.5,require_no_stop_zone_touch_before_entry_sm0p75_tm2p00_d5_stop_zone_1p00,MNQ,1min,next_execution_bar_open,next_execution_bar,stop_first,0.75,2.0,5,require_no_stop_zone_touch_before_entry,stop_zone_1p00,"{""stop_zone_fraction"": 1.0}",0.8566839582921842,0.9272526944342849,0.77575485692097,1.0,3,4,0.5754969561900772,0.5872515219049614,0.5,1.0,False,0.0,0.7790724852837927,True,6
110,950.375,5619.875,4669.5,0.3181818181818182,8.639772727272728,-29.25,1.2035282150123139,-795.5,1.0164500234921825,2.5519674142065685,1.194688874921433,63.263636363636365,56.5,0.9363636363636364,0.045454545454545456,0.37272727272727274,0.01818181818181818,50,0.2347417840375587,2,23.801836492890992,2.5,require_no_stop_zone_touch_before_entry_sm1p00_tm2p50_d5_stop_zone_0p75,MNQ,1min,next_execution_bar_open,next_execution_bar,stop_first,1.0,2.5,5,require_no_stop_zone_touch_before_entry,stop_zone_0p75,"{""stop_zone_fraction"": 0.75}",0.7682419718690547,0.7705547858086078,0.5128152627058036,1.0,3,4,0.5011654058474749,0.6244172970762625,0.5833333333333334,1.0,False,0.0,0.7042563340962952,True,7
98,766.4375,4568.4375,3802.0,0.2755102040816326,7.8207908163265305,-30.9375,1.2015879800105207,-703.75,0.99547486929279,3.129674862580776,1.089076376554174,53.53061224489796,29.0,0.9591836734693877,0.030612244897959183,0.2857142857142857,0.01020408163265306,63,0.29577464788732394,1,21.20527251184834,2.5,require_micro_momentum_confirmation_sm0p75_tm2p50_d5_momentum_w5_close_vs_window_open,MNQ,1min,next_execution_bar_open,next_execution_bar,stop_first,0.75,2.5,5,require_micro_momentum_confirmation,momentum_w5_close_vs_window_open,"{""confirmation_window_minutes"": 5, ""mode"": ""close_vs_window_open""}",0.7299985445926418,0.7685263613599597,0.48915571246220946,0.98,2,4,0.5292450773813848,0.4853774613093076,0.75,0.98,False,0.0,0.6928848844858799,True,8
110,784.1000000000058,4676.850000000006,3892.75,0.3,7.128181818181871,-25.3125,1.2014257273135973,-580.875,1.0353461634921524,2.735004877877897,1.3498601248117166,50.21818181818182,30.0,0.8545454545454545,0.13636363636363635,0.21818181818181817,0.00909090909090909,50,0.2347417840375587,2,23.801836492890992,2.5,require_no_stop_zone_touch_before_entry_sm0p75_tm1p50_d5_stop_zone_1p00,MNQ,1min,next_execution_bar_open,next_execution_bar,stop_first,0.75,1.5,5,require_no_stop_zone_touch_before_entry,stop_zone_1p00,"{""stop_zone_fraction"": 1.0}",0.7336708492301945,0.7683567337957758,0.5475770763159111,1.0,3,4,0.5271766784779209,0.6114116607610396,0.4166666666666667,1.0,False,0.0,0.6734373696282464,True,9
98,733.9000000000033,4535.900000000003,3802.0,0.2755102040816326,7.488775510204115,-30.9375,1.193029984218833,-703.75,0.9557206763502138,2.996811066327055,1.0428419182948536,51.46938775510204,29.0,0.9183673469387755,0.07142857142857142,0.24489795918367346,0.01020408163265306,63,0.29577464788732394,1,21.20527251184834,2.5,require_micro_momentum_confirmation_sm0p75_tm2p00_d5_momentum_w5_close_vs_window_open,MNQ,1min,next_execution_bar_open,next_execution_bar,stop_first,0.75,2.0,5,require_micro_momentum_confirmation,momentum_w5_close_vs_window_open,"{""confirmation_window_minutes"": 5, ""mode"": ""close_vs_window_open""}",0.7232334993190779,0.759579379226742,0.47879816477530746,0.98,2,4,0.4867117026010281,0.5066441486994859,0.5833333333333334,0.98,False,0.0,0.6660405976963368,True,10
