config_id,symbol_x,signal_time,signal_actionable_time,direction,filter_family_x,filter_label_x,stop_multiplier_x,target_multiplier_x,entry_delay_minutes_x,skipped_by_filter,filter_reason,executed,pnl,net_pnl_usd,gross_pnl_usd,entry_time,exit_time,entry_price,stop_price,target_price,exit_price,exit_reason,holding_minutes,mfe_ticks_1m,mae_ticks_1m,quantity,session_date,symbol_y,execution_timeframe,entry_timing,protective_orders_active_from,ambiguous_policy,stop_multiplier_y,target_multiplier_y,entry_delay_minutes_y,filter_family_y,filter_label_y,filter_params,subperiod
none_sm1p00_tm3p00_d30,MNQ,2019-06-04 09:30:00-04:00,2019-06-04 10:30:00-04:00,short,none,none,1.0,3.0,30,False,none,True,-5.0,-5.0,-2.5,2019-06-04 11:01:00-04:00,2019-06-04 11:02:00-04:00,7091.25,7092.25,6944.1375,7092.5,stop_1m,1.0,2.0,27.0,1,2019-06-04,MNQ,1min,next_execution_bar_open,next_execution_bar,stop_first,1.0,3.0,30,none,none,{},2019
none_sm1p00_tm3p00_d30,MNQ,2019-07-01 09:30:00-04:00,2019-07-01 10:30:00-04:00,long,none,none,1.0,3.0,30,False,none,True,-15.5,-15.5,-13.0,2019-07-01 11:01:00-04:00,2019-07-01 11:09:00-04:00,7809.0,7802.75,7896.7125,7802.5,stop_1m,8.0,11.0,37.0,1,2019-07-01,MNQ,1min,next_execution_bar_open,next_execution_bar,stop_first,1.0,3.0,30,none,none,{},2019
none_sm1p00_tm3p00_d30,MNQ,2019-07-05 09:30:00-04:00,2019-07-05 10:30:00-04:00,long,none,none,1.0,3.0,30,False,none,True,73.0,73.0,75.5,2019-07-05 11:01:00-04:00,2019-07-05 13:01:00-04:00,7807.5,7803.75,7873.6875,7845.25,time_stop_1m,120.0,168.0,17.0,1,2019-07-05,MNQ,1min,next_execution_bar_open,next_execution_bar,stop_first,1.0,3.0,30,none,none,{},2019
none_sm1p00_tm3p00_d30,MNQ,2019-07-08 09:30:00-04:00,2019-07-08 10:30:00-04:00,long,none,none,1.0,3.0,30,False,none,True,-7.5,-7.5,-5.0,2019-07-08 11:01:00-04:00,2019-07-08 13:01:00-04:00,7800.25,7777.75,7878.1,7797.75,time_stop_1m,120.0,38.0,76.0,1,2019-07-08,MNQ,1min,next_execution_bar_open,next_execution_bar,stop_first,1.0,3.0,30,none,none,{},2019
none_sm1p00_tm3p00_d30,MNQ,2019-07-18 09:30:00-04:00,2019-07-18 10:30:00-04:00,short,none,none,1.0,3.0,30,False,none,True,32.0,32.0,34.5,2019-07-18 11:01:00-04:00,2019-07-18 13:01:00-04:00,7881.5,7905.5,7816.8875,7864.25,time_stop_1m,120.0,145.0,6.0,1,2019-07-18,MNQ,1min,next_execution_bar_open,next_execution_bar,stop_first,1.0,3.0,30,none,none,{},2019
none_sm1p00_tm3p00_d30,MNQ,2019-07-22 09:30:00-04:00,2019-07-22 10:30:00-04:00,short,none,none,1.0,3.0,30,False,none,True,-25.5,-25.5,-23.0,2019-07-22 11:01:00-04:00,2019-07-22 13:01:00-04:00,7899.5,7919.5,7804.6625,7911.0,time_stop_1m,120.0,46.0,65.0,1,2019-07-22,MNQ,1min,next_execution_bar_open,next_execution_bar,stop_first,1.0,3.0,30,none,none,{},2019
none_sm1p00_tm3p00_d30,MNQ,2019-07-23 09:30:00-04:00,2019-07-23 10:30:00-04:00,long,none,none,1.0,3.0,30,False,none,True,-46.0,-46.0,-43.5,2019-07-23 11:01:00-04:00,2019-07-23 12:03:00-04:00,7935.0,7913.5,8025.4125,7913.25,stop_1m,62.0,34.0,94.0,1,2019-07-23,MNQ,1min,next_execution_bar_open,next_execution_bar,stop_first,1.0,3.0,30,none,none,{},2019
none_sm1p00_tm3p00_d30,MNQ,2019-07-25 09:30:00-04:00,2019-07-25 10:30:00-04:00,long,none,none,1.0,3.0,30,False,none,True,-73.0,-73.0,-70.5,2019-07-25 11:01:00-04:00,2019-07-25 12:40:00-04:00,7979.25,7944.25,8053.275,7944.0,stop_1m,99.0,17.0,183.0,1,2019-07-25,MNQ,1min,next_execution_bar_open,next_execution_bar,stop_first,1.0,3.0,30,none,none,{},2019
none_sm1p00_tm3p00_d30,MNQ,2019-08-01 13:30:00-04:00,2019-08-01 14:30:00-04:00,long,none,none,1.0,3.0,30,False,none,True,-17.0,-17.0,-14.5,2019-08-01 15:01:00-04:00,2019-08-01 16:00:00-04:00,7821.0,7795.5,7970.25,7813.75,eod_flat_1m,59.0,102.0,100.0,1,2019-08-01,MNQ,1min,next_execution_bar_open,next_execution_bar,stop_first,1.0,3.0,30,none,none,{},2019
none_sm1p00_tm3p00_d30,MNQ,2019-08-13 09:30:00-04:00,2019-08-13 10:30:00-04:00,short,none,none,1.0,3.0,30,False,none,True,18.5,18.5,21.0,2019-08-13 11:01:00-04:00,2019-08-13 13:01:00-04:00,7735.5,7789.25,7581.2625,7725.0,time_stop_1m,120.0,166.0,66.0,1,2019-08-13,MNQ,1min,next_execution_bar_open,next_execution_bar,stop_first,1.0,3.0,30,none,none,{},2019
none_sm1p00_tm3p00_d30,MNQ,2019-09-05 09:30:00-04:00,2019-09-05 10:30:00-04:00,short,none,none,1.0,3.0,30,False,none,True,19.5,19.5,22.0,2019-09-05 11:01:00-04:00,2019-09-05 13:01:00-04:00,7867.25,7886.5,7746.2,7856.25,time_stop_1m,120.0,79.0,7.0,1,2019-09-05,MNQ,1min,next_execution_bar_open,next_execution_bar,stop_first,1.0,3.0,30,none,none,{},2019
none_sm1p00_tm3p00_d30,MNQ,2019-09-24 12:30:00-04:00,2019-09-24 13:30:00-04:00,long,none,none,1.0,3.0,30,False,none,True,-28.0,-28.0,-25.5,2019-09-24 14:01:00-04:00,2019-09-24 14:09:00-04:00,7717.75,7705.25,7831.9375,7705.0,stop_1m,8.0,5.0,60.0,1,2019-09-24,MNQ,1min,next_execution_bar_open,next_execution_bar,stop_first,1.0,3.0,30,none,none,{},2019
none_sm1p00_tm3p00_d30,MNQ,2019-09-24 13:30:00-04:00,2019-09-24 14:30:00-04:00,short,none,none,1.0,3.0,30,False,none,True,-14.0,-14.0,-11.5,2019-09-24 15:01:00-04:00,2019-09-24 16:00:00-04:00,7730.5,7772.0,7616.125,7736.25,eod_flat_1m,59.0,77.0,53.0,1,2019-09-24,MNQ,1min,next_execution_bar_open,next_execution_bar,stop_first,1.0,3.0,30,none,none,{},2019
none_sm1p00_tm3p00_d30,MNQ,2019-09-26 09:30:00-04:00,2019-09-26 10:30:00-04:00,long,none,none,1.0,3.0,30,False,none,True,-10.5,-10.5,-8.0,2019-09-26 11:01:00-04:00,2019-09-26 11:02:00-04:00,7761.75,7758.0,7886.775,7757.75,stop_1m,1.0,9.0,60.0,1,2019-09-26,MNQ,1min,next_execution_bar_open,next_execution_bar,stop_first,1.0,3.0,30,none,none,{},2019
none_sm1p00_tm3p00_d30,MNQ,2019-09-27 09:30:00-04:00,2019-09-27 10:30:00-04:00,long,none,none,1.0,3.0,30,False,none,True,-85.0,-85.0,-82.5,2019-09-27 11:01:00-04:00,2019-09-27 11:37:00-04:00,7784.0,7743.0,7927.55,7742.75,stop_1m,36.0,39.0,206.0,1,2019-09-27,MNQ,1min,next_execution_bar_open,next_execution_bar,stop_first,1.0,3.0,30,none,none,{},2019
none_sm1p00_tm3p00_d30,MNQ,2019-10-31 09:30:00-04:00,2019-10-31 10:30:00-04:00,long,none,none,1.0,3.0,30,False,none,True,-34.0,-34.0,-31.5,2019-10-31 11:01:00-04:00,2019-10-31 13:01:00-04:00,8080.0,8057.25,8157.55,8064.25,time_stop_1m,120.0,65.0,90.0,1,2019-10-31,MNQ,1min,next_execution_bar_open,next_execution_bar,stop_first,1.0,3.0,30,none,none,{},2019
none_sm1p00_tm3p00_d30,MNQ,2019-11-18 09:30:00-05:00,2019-11-18 10:30:00-05:00,long,none,none,1.0,3.0,30,False,none,True,13.5,13.5,16.0,2019-11-18 11:01:00-05:00,2019-11-18 13:01:00-05:00,8307.25,8279.25,8375.4625,8315.25,time_stop_1m,120.0,69.0,29.0,1,2019-11-18,MNQ,1min,next_execution_bar_open,next_execution_bar,stop_first,1.0,3.0,30,none,none,{},2019
none_sm1p00_tm3p00_d30,MNQ,2019-11-20 12:30:00-05:00,2019-11-20 13:30:00-05:00,long,none,none,1.0,3.0,30,False,none,True,49.0,49.0,51.5,2019-11-20 14:01:00-05:00,2019-11-20 16:00:00-05:00,8261.75,8230.75,8336.5625,8287.5,eod_flat_1m,119.0,130.0,42.0,1,2019-11-20,MNQ,1min,next_execution_bar_open,next_execution_bar,stop_first,1.0,3.0,30,none,none,{},2019
none_sm1p00_tm3p00_d30,MNQ,2019-11-21 09:30:00-05:00,2019-11-21 10:30:00-05:00,long,none,none,1.0,3.0,30,False,none,True,-27.0,-27.0,-24.5,2019-11-21 11:01:00-05:00,2019-11-21 11:38:00-05:00,8266.0,8254.0,8343.0625,8253.75,stop_1m,37.0,54.0,55.0,1,2019-11-21,MNQ,1min,next_execution_bar_open,next_execution_bar,stop_first,1.0,3.0,30,none,none,{},2019
none_sm1p00_tm3p00_d30,MNQ,2019-12-12 09:30:00-05:00,2019-12-12 10:30:00-05:00,short,none,none,1.0,3.0,30,False,none,True,97.5,97.5,100.0,2019-12-12 11:01:00-05:00,2019-12-12 13:01:00-05:00,8477.75,8497.0,8401.8875,8427.75,time_stop_1m,120.0,301.0,9.0,1,2019-12-12,MNQ,1min,next_execution_bar_open,next_execution_bar,stop_first,1.0,3.0,30,none,none,{},2019
none_sm1p00_tm3p00_d30,MNQ,2019-12-27 09:30:00-05:00,2019-12-27 10:30:00-05:00,long,none,none,1.0,3.0,30,False,none,True,-14.5,-14.5,-12.0,2019-12-27 11:01:00-05:00,2019-12-27 13:01:00-05:00,8810.25,8780.0,8870.1375,8804.25,time_stop_1m,120.0,39.0,57.0,1,2019-12-27,MNQ,1min,next_execution_bar_open,next_execution_bar,stop_first,1.0,3.0,30,none,none,{},2019
none_sm1p00_tm3p00_d30,MNQ,2019-12-30 09:30:00-05:00,2019-12-30 10:30:00-05:00,long,none,none,1.0,3.0,30,False,none,True,63.0,63.0,65.5,2019-12-30 11:01:00-05:00,2019-12-30 13:01:00-05:00,8719.75,8691.0,8788.7125,8752.5,time_stop_1m,120.0,145.0,41.0,1,2019-12-30,MNQ,1min,next_execution_bar_open,next_execution_bar,stop_first,1.0,3.0,30,none,none,{},2019
none_sm1p00_tm3p00_d30,MNQ,2020-01-03 09:30:00-05:00,2020-01-03 10:30:00-05:00,short,none,none,1.0,3.0,30,False,none,True,-54.0,-54.0,-51.5,2020-01-03 11:01:00-05:00,2020-01-03 12:01:00-05:00,8815.25,8840.75,8728.625,8841.0,stop_1m,60.0,39.0,112.0,1,2020-01-03,MNQ,1min,next_execution_bar_open,next_execution_bar,stop_first,1.0,3.0,30,none,none,{},2020
none_sm1p00_tm3p00_d30,MNQ,2020-01-24 09:30:00-05:00,2020-01-24 10:30:00-05:00,long,none,none,1.0,3.0,30,False,none,True,-26.0,-26.0,-23.5,2020-01-24 11:01:00-05:00,2020-01-24 11:18:00-05:00,9243.75,9232.25,9333.45,9232.0,stop_1m,17.0,48.0,73.0,1,2020-01-24,MNQ,1min,next_execution_bar_open,next_execution_bar,stop_first,1.0,3.0,30,none,none,{},2020
none_sm1p00_tm3p00_d30,MNQ,2020-01-24 11:30:00-05:00,2020-01-24 12:30:00-05:00,long,none,none,1.0,3.0,30,False,none,True,-61.5,-61.5,-59.0,2020-01-24 13:01:00-05:00,2020-01-24 13:30:00-05:00,9191.25,9162.0,9291.2625,9161.75,stop_1m,29.0,-1.0,123.0,1,2020-01-24,MNQ,1min,next_execution_bar_open,next_execution_bar,stop_first,1.0,3.0,30,none,none,{},2020
none_sm1p00_tm3p00_d30,MNQ,2020-01-27 09:30:00-05:00,2020-01-27 10:30:00-05:00,short,none,none,1.0,3.0,30,False,none,True,-61.0,-61.0,-58.5,2020-01-27 11:01:00-05:00,2020-01-27 12:15:00-05:00,8965.25,8994.25,8830.5875,8994.5,stop_1m,74.0,86.0,116.0,1,2020-01-27,MNQ,1min,next_execution_bar_open,next_execution_bar,stop_first,1.0,3.0,30,none,none,{},2020
none_sm1p00_tm3p00_d30,MNQ,2020-01-29 09:30:00-05:00,2020-01-29 10:30:00-05:00,long,none,none,1.0,3.0,30,False,none,True,18.0,18.0,20.5,2020-01-29 11:01:00-05:00,2020-01-29 13:01:00-05:00,9116.0,9072.25,9271.2125,9126.25,time_stop_1m,120.0,89.0,32.0,1,2020-01-29,MNQ,1min,next_execution_bar_open,next_execution_bar,stop_first,1.0,3.0,30,none,none,{},2020
none_sm1p00_tm3p00_d30,MNQ,2020-02-20 11:30:00-05:00,2020-02-20 12:30:00-05:00,long,none,none,1.0,3.0,30,False,none,True,86.5,86.5,89.0,2020-02-20 13:01:00-05:00,2020-02-20 15:01:00-05:00,9578.25,9516.25,9685.6875,9622.75,time_stop_1m,120.0,247.0,21.0,1,2020-02-20,MNQ,1min,next_execution_bar_open,next_execution_bar,stop_first,1.0,3.0,30,none,none,{},2020
none_sm1p00_tm3p00_d30,MNQ,2020-02-21 09:30:00-05:00,2020-02-21 10:30:00-05:00,long,none,none,1.0,3.0,30,False,none,True,-47.0,-47.0,-44.5,2020-02-21 11:01:00-05:00,2020-02-21 12:54:00-05:00,9503.5,9481.5,9638.0875,9481.25,stop_1m,113.0,129.0,104.0,1,2020-02-21,MNQ,1min,next_execution_bar_open,next_execution_bar,stop_first,1.0,3.0,30,none,none,{},2020
none_sm1p00_tm3p00_d30,MNQ,2020-02-26 09:30:00-05:00,2020-02-26 10:30:00-05:00,short,none,none,1.0,3.0,30,False,none,True,-38.5,-38.5,-36.0,2020-02-26 11:01:00-05:00,2020-02-26 11:22:00-05:00,8997.75,9015.5,8700.1125,9015.75,stop_1m,21.0,103.0,84.0,1,2020-02-26,MNQ,1min,next_execution_bar_open,next_execution_bar,stop_first,1.0,3.0,30,none,none,{},2020
none_sm1p00_tm3p00_d30,MNQ,2020-04-17 09:30:00-04:00,2020-04-17 10:30:00-04:00,long,none,none,1.0,3.0,30,False,none,True,-18.0,-18.0,-15.5,2020-04-17 11:01:00-04:00,2020-04-17 11:11:00-04:00,8771.5,8764.0,8997.4,8763.75,stop_1m,10.0,60.0,61.0,1,2020-04-17,MNQ,1min,next_execution_bar_open,next_execution_bar,stop_first,1.0,3.0,30,none,none,{},2020
none_sm1p00_tm3p00_d30,MNQ,2020-04-21 10:30:00-04:00,2020-04-21 11:30:00-04:00,long,none,none,1.0,3.0,30,False,none,True,97.0,97.0,99.5,2020-04-21 12:01:00-04:00,2020-04-21 14:01:00-04:00,8389.75,8345.25,8626.225,8439.5,time_stop_1m,120.0,348.0,147.0,1,2020-04-21,MNQ,1min,next_execution_bar_open,next_execution_bar,stop_first,1.0,3.0,30,none,none,{},2020
none_sm1p00_tm3p00_d30,MNQ,2020-05-04 09:30:00-04:00,2020-05-04 10:30:00-04:00,short,none,none,1.0,3.0,30,False,none,True,-71.0,-71.0,-68.5,2020-05-04 11:01:00-04:00,2020-05-04 11:24:00-04:00,8735.0,8769.0,8529.875,8769.25,stop_1m,23.0,7.0,155.0,1,2020-05-04,MNQ,1min,next_execution_bar_open,next_execution_bar,stop_first,1.0,3.0,30,none,none,{},2020
none_sm1p00_tm3p00_d30,MNQ,2020-05-11 09:30:00-04:00,2020-05-11 10:30:00-04:00,short,none,none,1.0,3.0,30,False,none,True,-32.5,-32.5,-30.0,2020-05-11 11:01:00-04:00,2020-05-11 11:18:00-04:00,9231.25,9246.0,9078.0625,9246.25,stop_1m,17.0,32.0,69.0,1,2020-05-11,MNQ,1min,next_execution_bar_open,next_execution_bar,stop_first,1.0,3.0,30,none,none,{},2020
