trades,net_pnl,gross_profit,gross_loss,winrate,avg_trade,median_trade,profit_factor,max_drawdown,sharpe_daily,sortino_daily,pnl_to_maxdd,avg_holding_minutes,median_holding_minutes,stop_exit_rate,target_exit_rate,time_stop_exit_rate,eod_exit_rate,skipped_trades,skip_rate,blocked_setups,turnover_proxy,estimated_cost_per_trade,config_id,subperiod,symbol,execution_timeframe,entry_timing,protective_orders_active_from,ambiguous_policy,stop_multiplier,target_multiplier,entry_delay_minutes,filter_family,filter_label,filter_params
41,-538.0,917.75,1455.75,0.1951219512195122,-13.121951219512194,-26.625,0.630431049287309,-610.625,-2.850911647082617,-5.229335083719862,-0.881064483111566,30.21951219512195,10.0,0.8536585365853658,0.14634146341463414,0.07317073170731707,0.0,0,0.0,0,43.65962099125365,2.5,none_sm0p75_tm1p00_d0,2020,MNQ,1min,next_execution_bar_open,next_execution_bar,stop_first,0.75,1.0,0,none,none,{}
36,89.82499999999709,1261.449999999997,1171.625,0.2777777777777778,2.495138888888808,-31.6875,1.0766670222980879,-469.75,0.45637987554106757,1.3506860707671906,0.19121873336880701,31.0,13.0,0.8055555555555556,0.19444444444444445,0.1111111111111111,0.0,0,0.0,0,37.35511363636363,2.5,none_sm0p75_tm1p00_d0,2021,MNQ,1min,next_execution_bar_open,next_execution_bar,stop_first,0.75,1.0,0,none,none,{}
38,-331.3999999999978,1285.3500000000022,1616.75,0.15789473684210525,-8.72105263157889,-33.75,0.7950208752126192,-640.2249999999985,-1.250306468374718,-3.6057941101747537,-0.5176305205201274,24.05263157894737,7.0,0.8947368421052632,0.10526315789473684,0.10526315789473684,0.0,0,0.0,0,39.43039772727273,2.5,none_sm0p75_tm1p00_d0,2022,MNQ,1min,next_execution_bar_open,next_execution_bar,stop_first,0.75,1.0,0,none,none,{}
36,-45.025000000001455,821.2249999999985,866.25,0.19444444444444445,-1.250694444444485,-16.875,0.9480230880230863,-457.875,-0.29468792743433825,-0.854791762435409,-0.09833469833470151,20.916666666666668,5.0,0.8611111111111112,0.1388888888888889,0.08333333333333333,0.0,0,0.0,0,36.42382271468144,2.5,none_sm0p75_tm1p00_d0,2023,MNQ,1min,next_execution_bar_open,next_execution_bar,stop_first,0.75,1.0,0,none,none,{}
43,635.8999999999942,1876.7749999999942,1240.875,0.27906976744186046,14.78837209302312,-16.125,1.5124609650448226,-348.375,2.452880414953789,7.991491141715577,1.8253318980982969,22.837209302325583,8.0,0.7674418604651163,0.23255813953488372,0.046511627906976744,0.0,0,0.0,0,43.14766483516483,2.5,none_sm0p75_tm1p00_d0,2024,MNQ,1min,next_execution_bar_open,next_execution_bar,stop_first,0.75,1.0,0,none,none,{}
41,-867.8249999999971,1443.925000000003,2311.75,0.17073170731707318,-21.166463414634077,-46.125,0.6246025738077227,-1047.324999999997,-2.7624622162049515,-6.893513872337792,-0.82861098512878,32.53658536585366,9.0,0.9024390243902439,0.0975609756097561,0.12195121951219512,0.0,0,0.0,0,44.04485294117647,2.5,none_sm0p75_tm1p00_d0,2025,MNQ,1min,next_execution_bar_open,next_execution_bar,stop_first,0.75,1.0,0,none,none,{}
7,465.09999999999854,647.7249999999985,182.625,0.42857142857142855,66.44285714285694,-22.5,3.5467488021902724,-160.125,7.417709380444882,33.767140593051984,2.9046057767369153,23.857142857142858,4.0,0.7142857142857143,0.2857142857142857,0.14285714285714285,0.0,0,0.0,0,39.94921875,2.5,none_sm0p75_tm1p00_d0,2026,MNQ,1min,next_execution_bar_open,next_execution_bar,stop_first,0.75,1.0,0,none,none,{}
35,-63.75,1027.25,1091.0,0.22857142857142856,-1.8214285714285714,-19.875,0.9415673693858845,-285.5,-0.3578605859344461,-0.6416670484613467,-0.22329246935201402,29.228571428571428,10.0,0.8,0.2,0.05714285714285714,0.0,0,0.0,0,37.27040816326531,2.5,none_sm0p75_tm1p00_d5,2020,MNQ,1min,next_execution_bar_open,next_execution_bar,stop_first,0.75,1.0,5,none,none,{}
32,340.5749999999971,1295.949999999997,955.375,0.3125,10.642968749999909,-25.5,1.3564830563914663,-445.25,1.8973332984215705,6.320054942036514,0.7649073554182978,35.71875,15.0,0.78125,0.21875,0.125,0.0,0,0.0,0,33.20454545454545,2.5,none_sm0p75_tm1p00_d5,2021,MNQ,1min,next_execution_bar_open,next_execution_bar,stop_first,0.75,1.0,5,none,none,{}
35,-190.39999999999782,1422.8500000000022,1613.25,0.2,-5.439999999999937,-34.875,0.8819773748644055,-552.8499999999985,-0.7334687637141662,-2.0459828608852395,-0.344397214434292,24.65714285714286,7.0,0.8571428571428571,0.14285714285714285,0.11428571428571428,0.0,0,0.0,0,36.31747159090909,2.5,none_sm0p75_tm1p00_d5,2022,MNQ,1min,next_execution_bar_open,next_execution_bar,stop_first,0.75,1.0,5,none,none,{}
