trades,net_pnl,gross_profit,gross_loss,winrate,avg_trade,median_trade,profit_factor,max_drawdown,sharpe_daily,sortino_daily,pnl_to_maxdd,avg_holding_minutes,median_holding_minutes,stop_exit_rate,target_exit_rate,time_stop_exit_rate,eod_exit_rate,skipped_trades,skip_rate,blocked_setups,turnover_proxy,estimated_cost_per_trade,config_id,symbol,execution_timeframe,entry_timing,protective_orders_active_from,ambiguous_policy,stop_multiplier,target_multiplier,entry_delay_minutes,filter_family,filter_label,filter_params,normalized_net_pnl_is,normalized_profit_factor_is,normalized_pnl_to_maxdd_is,trade_count_score_x,positive_years_is,years_available_is,max_year_contribution_pct,temporal_stability_score,parameter_neighborhood_score,trade_count_score_y,one_year_dependency,penalties,robust_score_is,admissible_is
184,-808.3000000000029,4717.824999999997,5526.125,0.21195652173913043,-4.3929347826087115,-22.5,0.8537311407179529,-858.6000000000022,-0.8845354144361536,-2.0806539967234303,-0.9414162590263229,28.005434782608695,9.5,0.842391304347826,0.15760869565217392,0.10326086956521739,0.0,0,0.0,0,39.81398104265403,2.5,none_sm0p75_tm1p00_d0,MNQ,1min,next_execution_bar_open,next_execution_bar,stop_first,0.75,1.0,0,none,none,{},0.4025864667907227,0.4048583949546591,0.034280169572320676,1.0,1,4,0.5357231764998774,0.3571384117500613,0.0,1.0,False,0.3,0.040331082886969793,False
162,-296.1000000000058,4955.649999999994,5251.75,0.24074074074074073,-1.8277777777778137,-23.625,0.9436187937354205,-1052.625,-0.3393606866428268,-0.7802369726040471,-0.2812967581047437,30.728395061728396,13.0,0.808641975308642,0.19135802469135801,0.08641975308641975,0.0,0,0.0,0,35.053613744075825,2.5,none_sm0p75_tm1p00_d5,MNQ,1min,next_execution_bar_open,next_execution_bar,stop_first,0.75,1.0,5,none,none,{},0.5090807023380071,0.49883170893143025,0.1821616300081824,1.0,1,4,0.4093651463614516,0.4203174268192742,0.0,1.0,False,0.3,0.11740837589490632,False
148,-734.5750000000044,4673.424999999996,5408.0,0.25675675675675674,-4.963344594594624,-24.1875,0.8641688239644962,-1394.9750000000022,-0.8420828038991947,-1.7396874209010902,-0.5265864979659157,35.398648648648646,20.5,0.8040540540540541,0.1891891891891892,0.10135135135135136,0.006756756756756757,0,0.0,1,32.024289099526065,2.5,none_sm0p75_tm1p00_d10,MNQ,1min,next_execution_bar_open,next_execution_bar,stop_first,0.75,1.0,10,none,none,{},0.4179150250018188,0.41577050192364284,0.12721126888423193,1.0,2,4,0.4193656734321768,0.5403171632839117,0.0,1.0,False,0.3,0.0877621214604048,False
139,131.87500000000364,5178.750000000004,5046.875,0.302158273381295,0.9487410071942708,-22.0,1.026130030959753,-566.3000000000029,0.15003088947926915,0.33794506385746853,0.23287126964506968,39.460431654676256,26.0,0.7697841726618705,0.22302158273381295,0.11510791366906475,0.007194244604316547,0,0.0,1,30.076866113744074,2.5,none_sm0p75_tm1p00_d15,MNQ,1min,next_execution_bar_open,next_execution_bar,stop_first,0.75,1.0,15,none,none,{},0.5980632686370119,0.5850933270959102,0.2973467120227523,1.0,2,4,0.39673080999599486,0.5516345950020025,0.8333333333333334,1.0,False,0.3,0.3188816786321483,False
128,547.4499999999971,5210.199999999997,4662.75,0.3359375,4.276953124999977,-22.3125,1.117409254195485,-593.0,0.7011927824812911,1.656985027603998,0.923187183811125,51.4765625,35.5,0.78125,0.203125,0.1796875,0.015625,0,0.0,2,27.696682464454973,2.5,none_sm0p75_tm1p00_d30,MNQ,1min,next_execution_bar_open,next_execution_bar,stop_first,0.75,1.0,30,none,none,{},0.6844676847587656,0.680521462292858,0.45199284110464505,1.0,2,4,0.4507444264444943,0.5246277867777529,1.0,1.0,False,0.0,0.7037143078306227,True
183,-196.9375,5337.8125,5534.75,0.20765027322404372,-1.0761612021857923,-22.5,0.9644179953927459,-703.25,-0.19110119977858972,-0.5080964570826916,-0.2800391041592606,31.69945355191257,9.0,0.8579234972677595,0.14207650273224043,0.12021857923497267,0.0,0,0.0,1,39.59760071090047,2.5,none_sm0p75_tm1p25_d0,MNQ,1min,next_execution_bar_open,next_execution_bar,stop_first,0.75,1.25,0,none,none,{},0.529698106930858,0.5205762961155032,0.1824433724834786,1.0,2,4,0.5968454034038311,0.45157729829808446,0.0,1.0,False,0.3,0.13164288657304962,False
161,-193.1875,5270.4375,5463.625,0.22981366459627328,-1.1999223602484472,-24.75,0.9646411494200279,-787.15625,-0.19783861722824295,-0.4926129859701361,-0.24542459009885267,35.440993788819874,15.0,0.8509316770186336,0.14285714285714285,0.11801242236024845,0.006211180124223602,0,0.0,1,34.83723341232227,2.5,none_sm0p75_tm1p25_d5,MNQ,1min,next_execution_bar_open,next_execution_bar,stop_first,0.75,1.25,5,none,none,{},0.5304777894441386,0.5208095931564981,0.19019779404561166,1.0,2,4,0.4187316042363714,0.5406341978818143,0.0,1.0,False,0.3,0.14640616478144813,False
147,-975.46875,4435.53125,5411.0,0.25170068027210885,-6.635841836734694,-24.375,0.8197248660136759,-1658.53125,-1.1346953152948176,-2.3184555152957036,-0.5881521677689221,40.53061224489796,22.0,0.8503401360544217,0.14285714285714285,0.14285714285714285,0.006802721088435374,0,0.0,2,31.80790876777251,2.5,none_sm0p75_tm1p25_d10,MNQ,1min,next_execution_bar_open,next_execution_bar,stop_first,0.75,1.25,10,none,none,{},0.36782951981953005,0.3693064340046458,0.11341918858593726,1.0,1,4,0.3976406239135977,0.42617968804320117,0.0,1.0,False,0.3,0.04675849825018247,False
138,4.40625,5092.53125,5088.125,0.2826086956521739,0.03192934782608696,-22.25,1.0008659869794865,-599.625,0.004999390272515098,0.011378574601862482,0.007348342714196373,46.18840579710145,26.0,0.855072463768116,0.13768115942028986,0.18115942028985507,0.007246376811594203,0,0.0,2,29.86048578199052,2.5,none_sm0p75_tm1p25_d15,MNQ,1min,next_execution_bar_open,next_execution_bar,stop_first,0.75,1.25,15,none,none,{},0.5715605605397484,0.558680957236624,0.2468245569436378,1.0,2,4,0.5879374787631668,0.4560312606184166,0.8333333333333334,1.0,False,0.3,0.28505470421657003,False
128,726.3125,5389.0625,4662.75,0.3359375,5.67431640625,-22.3125,1.1557691276607152,-527.71875,0.8906321064208965,2.1983540740919447,1.376324983715284,56.9765625,51.0,0.8359375,0.1484375,0.234375,0.015625,0,0.0,2,27.696682464454973,2.5,none_sm0p75_tm1p25_d30,MNQ,1min,next_execution_bar_open,next_execution_bar,stop_first,0.75,1.25,30,none,none,{},0.7216559417005395,0.7206249060056089,0.5535057937366581,1.0,3,4,0.5802859590169335,0.5848570204915333,1.0,1.0,False,0.0,0.7452933887604853,True
