weekday,days,net_pnl_usd,avg_day_pnl_usd,green_day_pct
Monday,355,0.0,0.0,0.0
Tuesday,359,0.0,0.0,0.0
Wednesday,355,-9.5,-0.02676056338028169,0.0
Thursday,356,-4.0,-0.011235955056179775,0.0
Friday,322,0.0,0.0,0.0
