session_date,variant_name,family,selected_by_ensemble,policy_allows_trading,risk_multiplier,policy_reason,trade_executed,state_pre_json,state_post_json
2019-05-31,deleveraging_drawdown_3pct_5pct,deleveraging,False,False,0.0,ensemble_filtered_out,False,"{""equity"": 49677.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 50345.0, ""traded"": false}","{""equity"": 49677.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 50345.0, ""traded"": false}"
2019-06-03,deleveraging_drawdown_3pct_5pct,deleveraging,True,True,1.0,normal_risk,True,"{""equity"": 49677.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 50345.0, ""traded"": false}","{""equity"": 50155.0, ""last_daily_pnl"": 478.0, ""peak_equity"": 50345.0, ""traded"": true}"
2019-06-04,deleveraging_drawdown_3pct_5pct,deleveraging,False,False,0.0,ensemble_filtered_out,False,"{""equity"": 50155.0, ""last_daily_pnl"": 478.0, ""peak_equity"": 50345.0, ""traded"": true}","{""equity"": 50155.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 50345.0, ""traded"": false}"
2019-06-05,deleveraging_drawdown_3pct_5pct,deleveraging,False,False,0.0,ensemble_filtered_out,False,"{""equity"": 50155.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 50345.0, ""traded"": false}","{""equity"": 50155.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 50345.0, ""traded"": false}"
2019-06-06,deleveraging_drawdown_3pct_5pct,deleveraging,False,False,0.0,ensemble_filtered_out,False,"{""equity"": 50155.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 50345.0, ""traded"": false}","{""equity"": 50155.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 50345.0, ""traded"": false}"
2019-06-07,deleveraging_drawdown_3pct_5pct,deleveraging,False,False,0.0,ensemble_filtered_out,False,"{""equity"": 50155.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 50345.0, ""traded"": false}","{""equity"": 50155.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 50345.0, ""traded"": false}"
2019-06-10,deleveraging_drawdown_3pct_5pct,deleveraging,False,False,0.0,ensemble_filtered_out,False,"{""equity"": 50155.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 50345.0, ""traded"": false}","{""equity"": 50155.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 50345.0, ""traded"": false}"
2019-06-11,deleveraging_drawdown_3pct_5pct,deleveraging,False,False,0.0,ensemble_filtered_out,False,"{""equity"": 50155.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 50345.0, ""traded"": false}","{""equity"": 50155.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 50345.0, ""traded"": false}"
2019-06-12,deleveraging_drawdown_3pct_5pct,deleveraging,False,False,0.0,ensemble_filtered_out,False,"{""equity"": 50155.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 50345.0, ""traded"": false}","{""equity"": 50155.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 50345.0, ""traded"": false}"
2019-06-13,deleveraging_drawdown_3pct_5pct,deleveraging,False,False,0.0,ensemble_filtered_out,False,"{""equity"": 50155.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 50345.0, ""traded"": false}","{""equity"": 50155.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 50345.0, ""traded"": false}"
2019-06-14,deleveraging_drawdown_3pct_5pct,deleveraging,False,False,0.0,ensemble_filtered_out,False,"{""equity"": 50155.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 50345.0, ""traded"": false}","{""equity"": 50155.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 50345.0, ""traded"": false}"
2019-06-17,deleveraging_drawdown_3pct_5pct,deleveraging,False,False,0.0,ensemble_filtered_out,False,"{""equity"": 50155.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 50345.0, ""traded"": false}","{""equity"": 50155.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 50345.0, ""traded"": false}"
2019-06-18,deleveraging_drawdown_3pct_5pct,deleveraging,True,True,1.0,normal_risk,True,"{""equity"": 50155.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 50345.0, ""traded"": false}","{""equity"": 49795.0, ""last_daily_pnl"": -360.0, ""peak_equity"": 50345.0, ""traded"": true}"
2019-06-19,deleveraging_drawdown_3pct_5pct,deleveraging,False,False,0.0,ensemble_filtered_out,False,"{""equity"": 49795.0, ""last_daily_pnl"": -360.0, ""peak_equity"": 50345.0, ""traded"": true}","{""equity"": 49795.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 50345.0, ""traded"": false}"
2019-06-20,deleveraging_drawdown_3pct_5pct,deleveraging,False,False,0.0,ensemble_filtered_out,False,"{""equity"": 49795.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 50345.0, ""traded"": false}","{""equity"": 49795.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 50345.0, ""traded"": false}"
2019-06-24,deleveraging_drawdown_3pct_5pct,deleveraging,False,False,0.0,ensemble_filtered_out,False,"{""equity"": 49795.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 50345.0, ""traded"": false}","{""equity"": 49795.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 50345.0, ""traded"": false}"
2019-06-25,deleveraging_drawdown_3pct_5pct,deleveraging,False,False,0.0,ensemble_filtered_out,False,"{""equity"": 49795.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 50345.0, ""traded"": false}","{""equity"": 49795.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 50345.0, ""traded"": false}"
2019-06-26,deleveraging_drawdown_3pct_5pct,deleveraging,False,False,0.0,ensemble_filtered_out,False,"{""equity"": 49795.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 50345.0, ""traded"": false}","{""equity"": 49795.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 50345.0, ""traded"": false}"
2019-06-27,deleveraging_drawdown_3pct_5pct,deleveraging,False,False,0.0,ensemble_filtered_out,False,"{""equity"": 49795.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 50345.0, ""traded"": false}","{""equity"": 49795.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 50345.0, ""traded"": false}"
2019-06-28,deleveraging_drawdown_3pct_5pct,deleveraging,False,False,0.0,ensemble_filtered_out,False,"{""equity"": 49795.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 50345.0, ""traded"": false}","{""equity"": 49795.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 50345.0, ""traded"": false}"
