q_low_pct,q_high_pct,atr_count,median_overall_composite_score,mean_overall_composite_score,median_overall_sharpe,mean_overall_sharpe,median_overall_profit_factor,mean_overall_profit_factor,median_overall_net_pnl,mean_overall_net_pnl,median_overall_max_drawdown_abs,mean_overall_max_drawdown_abs,best_atr_by_score,best_overall_composite_score
0,70,7,-5.24761557228979,-5.22928550613353,-1.2300891273994496,-1.1934126417751967,0.7370137690830945,0.7436462437710695,-79693.99999997864,-77585.14285712145,85069.99999998033,82542.78571426515,60,-5.122604281272863
0,71,7,-5.20614535059355,-5.202883181403282,-1.1619633049022948,-1.167507948514642,0.7500172790016274,0.7503942548655426,-75953.99999997855,-76605.49999997832,80194.99999997868,82043.85714283607,20,-5.132461071938781
0,72,7,-5.172879636057975,-5.177561572487851,-1.1514529590865556,-1.1351655657228241,0.75690166246332,0.7587127484153583,-76555.49999997816,-75363.35714283517,81463.49999997896,80426.85714283554,60,-5.144365303099692
0,73,7,-5.108086810309915,-5.117364346206039,-1.0438204228331889,-1.0695661294486278,0.7767436723954743,0.7728375507168235,-69745.4999999778,-71713.92857140633,74906.49999997817,77353.57142854964,60,-5.025934390852092
0,74,7,-5.073953775304374,-5.081720468976771,-1.017032362650833,-1.0408534418849225,0.7835891213917144,0.7800854654915504,-68671.49999997756,-70489.92857140605,74523.99999997792,76839.35714283575,60,-4.994504012667175
0,75,7,-4.995758321412896,-5.02574446356806,-0.9652425255677259,-0.9908181008187673,0.7953404773774256,0.7910036557304145,-66099.49999997727,-67789.49999997728,72382.49999997788,75225.6428571213,40,-4.98814912993496
0,76,7,-4.9782344614694605,-4.970823526638661,-0.9442264430671908,-0.9458923650935469,0.8000240765635319,0.8009425507090617,-64785.49999997712,-65373.21428569133,71807.99999997765,73862.78571426448,26,-4.9053825753009495
0,77,7,-4.9419156540060785,-4.9326685526225145,-0.9150158523329396,-0.9174378606200418,0.8081481872394924,0.8076324127024815,-64064.99999997676,-63866.4999999768,71416.99999997717,72784.28571426428,26,-4.844918675676666
0,78,7,-4.933901807483283,-4.9194994266521865,-0.9199416360285111,-0.9197213806886096,0.8088241824280714,0.8085640807092206,-64578.999999976644,-64502.571428548006,74245.49999998097,73863.85714283603,26,-4.7787717039859725
0,79,7,-4.873343680181131,-4.869697939394563,-0.8764210986650599,-0.8886113396858448,0.8177030728315023,0.8159498713923082,-61997.99999997625,-62937.428571404846,73734.49999997696,73566.42857140694,14,-4.737407417665752
0,80,7,-4.852336667081584,-4.870178703246273,-0.8912119581041373,-0.8992730088126493,0.816747256231639,0.8155332851642204,-63723.499999975895,-64330.64285711891,74259.99999997688,75862.1428571205,40,-4.762815154833271
0,81,7,-4.851801399624466,-4.862323281525853,-0.8892602385946652,-0.9074647596512512,0.819496152370126,0.8155105045081432,-64434.99999997571,-65435.35714283295,78198.99999997694,78097.28571426324,10,-4.769450071909701
0,82,7,-4.839313347834106,-4.842811891952957,-0.8833230956526342,-0.8939784315971905,0.8201143828561408,0.8192941598984224,-64305.999999975524,-65010.071428547046,77058.99999997682,77717.85714283385,26,-4.784490687006507
0,83,7,-4.81892351245701,-4.819117149534409,-0.8752814638456852,-0.8829698719619857,0.8241601993067466,0.8227279033351594,-64369.4999999754,-64823.14285711824,77630.99999997657,78334.71428569118,14,-4.74752934907156
0,84,7,-4.725331820071049,-4.743059828886745,-0.8126317083653223,-0.8330921263905878,0.8365318283296898,0.8331316592410791,-60290.49999997511,-61746.3571428323,75499.49999997971,76911.28571426251,14,-4.591051121030602
0,85,7,-4.72246680632236,-4.689461652044268,-0.8155673063724787,-0.8084308467168949,0.8385275126925522,0.8390582655887044,-61319.499999974876,-60473.92857140342,78420.49999997616,77395.85714283325,14,-4.490940236124687
0,86,7,-4.675940318630898,-4.663720969205209,-0.8016897980843791,-0.7970813680292385,0.8414684400768242,0.8422670740545791,-60388.999999974614,-60071.785714260266,78090.49999997587,78253.28571426157,10,-4.52842393945786
0,87,7,-4.613536594791913,-4.654262789043164,-0.7659131797849835,-0.7926562079549174,0.8496434305343531,0.8445888628245248,-58391.49999997419,-60427.71428568846,78103.49999997576,78199.78571426132,14,-4.575411936963549
0,88,7,-4.641426040562559,-4.655961144561402,-0.8020244208921734,-0.7981632723951116,0.8447994239146287,0.844739733574625,-61855.499999973814,-61299.35714283108,77965.499999975,78942.42857140391,20,-4.539141431660322
0,89,7,-4.647691773378161,-4.630602807465414,-0.8032386167187225,-0.7868183935006379,0.8449750574242622,0.8479252692882441,-62135.49999997364,-60919.999999973676,79216.49999997504,79203.64285711796,20,-4.510500862205182
0,90,7,-4.589488998744341,-4.603889059572723,-0.7662399900435586,-0.7699163139821127,0.8526783545030171,0.8521992551083045,-59799.999999973414,-60187.42857140198,78536.49999997493,78268.71428568928,10,-4.55187816612015
0,91,7,-4.619562593917142,-4.6411287822242775,-0.7824212828995825,-0.7984550046273268,0.850770076140373,0.8483313583547719,-61512.499999973326,-62832.49999997316,78990.49999997433,79731.14285711749,10,-4.583398900216456
0,92,7,-4.6618108454351646,-4.649762300374443,-0.8064035341785134,-0.8026165832722317,0.8480835542823558,0.8489515123247179,-64057.99999997308,-63808.07142854433,79073.49999997478,79489.85714283178,10,-4.596689433651729
0,93,7,-4.5724139542429185,-4.58611954174715,-0.7653520048361147,-0.7667214660150367,0.8562121203249368,0.855983709492852,-61288.49999997268,-61384.35714282985,78487.9999999745,78906.71428568881,10,-4.537447844855241
0,94,7,-4.544959830877882,-4.537195624499504,-0.7418848682159691,-0.7368336622447872,0.8610404621586678,0.8620479687056355,-59689.9999999725,-59394.142857115345,77698.49999997433,77371.57142854661,10,-4.451323067651457
0,95,7,-4.483186090109632,-4.4730749338147735,-0.7103355025500602,-0.7044342018987516,0.8671536321370054,0.8683873727589629,-57488.99999997242,-57133.571428543764,77467.99999997423,77064.14285711735,10,-4.374401161499644
0,96,7,-4.390687523544218,-4.3900384714428995,-0.6648151527773456,-0.6613324040036556,0.8761323286152838,0.876703378533228,-54401.99999997216,-54087.49999997216,76775.99999997656,76067.21428568897,10,-4.287879656576337
