recommendation,config_type,config_id,aggregation_rule,threshold,atr_period,q_low_pct,q_high_pct,pair,low_threshold_is,high_threshold_is,n_subsignals,selected_days_total,selected_days_is,selected_days_oos,selection_rate_total,overall_net_pnl,overall_sharpe,overall_profit_factor,overall_expectancy,overall_max_drawdown,overall_max_drawdown_abs,overall_return_over_drawdown,overall_nb_trades,overall_pct_days_traded,overall_avg_winner,overall_avg_loser,overall_hit_ratio,overall_worst_day,overall_worst_5day_drawdown,overall_max_losing_streak,overall_trade_losing_streak,overall_composite_score,is_net_pnl,is_sharpe,is_profit_factor,is_expectancy,is_max_drawdown,is_max_drawdown_abs,is_return_over_drawdown,is_nb_trades,is_pct_days_traded,is_avg_winner,is_avg_loser,is_hit_ratio,is_worst_day,is_worst_5day_drawdown,is_max_losing_streak,is_trade_losing_streak,is_composite_score,oos_net_pnl,oos_sharpe,oos_profit_factor,oos_expectancy,oos_max_drawdown,oos_max_drawdown_abs,oos_return_over_drawdown,oos_nb_trades,oos_pct_days_traded,oos_avg_winner,oos_avg_loser,oos_hit_ratio,oos_worst_day,oos_worst_5day_drawdown,oos_max_losing_streak,oos_trade_losing_streak,oos_composite_score,stability_gap,ensemble_robustness_score,threshold_distance_from_baseline,delta_sharpe_oos_minus_is,delta_pf_oos_minus_is,delta_expectancy_oos_minus_is,neighbor_score_mean,drift_penalty,local_robustness_score,robust_flag
best_oos_ensemble,ensemble_rule,ensemble__unanimity_100,unanimity_100,1.0,,,,,,,216,782,538,244,0.44762449914138525,61687.0,1.0495531607897493,1.2491920758802333,78.88363171355499,-7263.5,7263.5,8.492737660907276,782,0.44762449914138525,818.0820105820105,-612.7425742574258,0.4833759590792839,-750.0,-3416.0,10,10,1.7817550335561192,40882.0,0.9991831131404738,1.2369311727751118,75.98884758364312,-7037.5,7037.5,5.809165186500888,538,0.4402618657937807,824.0540540540541,-618.4516129032259,0.48141263940520446,-750.0,-2815.5,10,10,1.696310190565609,20805.0,1.1651055573367508,1.2774,85.26639344262296,-7263.5,7263.5,2.864321608040201,244,0.46476190476190476,805.0840336134454,-600.0,0.48770491803278687,-750.0,-3416.0,7,7,1.4018843819204476,0.10695536796838745,1.364450003131512,,,,,,,,
most_robust_ensemble,ensemble_rule,ensemble__unanimity_100,unanimity_100,1.0,,,,,,,216,782,538,244,0.44762449914138525,61687.0,1.0495531607897493,1.2491920758802333,78.88363171355499,-7263.5,7263.5,8.492737660907276,782,0.44762449914138525,818.0820105820105,-612.7425742574258,0.4833759590792839,-750.0,-3416.0,10,10,1.7817550335561192,40882.0,0.9991831131404738,1.2369311727751118,75.98884758364312,-7037.5,7037.5,5.809165186500888,538,0.4402618657937807,824.0540540540541,-618.4516129032259,0.48141263940520446,-750.0,-2815.5,10,10,1.696310190565609,20805.0,1.1651055573367508,1.2774,85.26639344262296,-7263.5,7263.5,2.864321608040201,244,0.46476190476190476,805.0840336134454,-600.0,0.48770491803278687,-750.0,-3416.0,7,7,1.4018843819204476,0.10695536796838745,1.364450003131512,,,,,,,,
baseline_like_ensemble,ensemble_rule,ensemble__unanimity_100,unanimity_100,1.0,,,,,,,216,782,538,244,0.44762449914138525,61687.0,1.0495531607897493,1.2491920758802333,78.88363171355499,-7263.5,7263.5,8.492737660907276,782,0.44762449914138525,818.0820105820105,-612.7425742574258,0.4833759590792839,-750.0,-3416.0,10,10,1.7817550335561192,40882.0,0.9991831131404738,1.2369311727751118,75.98884758364312,-7037.5,7037.5,5.809165186500888,538,0.4402618657937807,824.0540540540541,-618.4516129032259,0.48141263940520446,-750.0,-2815.5,10,10,1.696310190565609,20805.0,1.1651055573367508,1.2774,85.26639344262296,-7263.5,7263.5,2.864321608040201,244,0.46476190476190476,805.0840336134454,-600.0,0.48770491803278687,-750.0,-3416.0,7,7,1.4018843819204476,0.10695536796838745,1.364450003131512,0.5,,,,,,,
best_oos_cell,point_cell,atr25_q30_q94,point,,25.0,30.0,94.0,q30/q94,8.632,25.69,1,880,603,277,0.5037206639954207,59555.5,0.9698092925547506,1.2139021779731631,67.67670454545454,-6752.5,6752.5,8.819770455386895,880,0.5037206639954207,802.8016627078384,-606.5882352941177,0.4784090909090909,-750.0,-3416.0,9,9,1.701506306145945,39602.0,0.9231477472837053,1.2034095053186844,65.67495854063019,-6752.5,6752.5,5.864790818215476,603,0.49345335515548283,819.2062937062936,-614.1671924290221,0.47429519071310117,-750.0,-2842.0,9,9,1.6147486499036876,19953.5,1.0779935296380856,1.2382991174327924,72.03429602888086,-5668.0,5668.0,3.520377558221595,277,0.5276190476190477,768.0481481481481,-589.669014084507,0.48736462093862815,-750.0,-3416.0,7,7,1.502893673371981,,,,0.1548457823543803,0.034889612114108015,6.359337488250674,1.1006541640205862,0.09785316862319798,1.222688478109975,True
most_robust_cell,point_cell,atr25_q30_q94,point,,25.0,30.0,94.0,q30/q94,8.632,25.69,1,880,603,277,0.5037206639954207,59555.5,0.9698092925547506,1.2139021779731631,67.67670454545454,-6752.5,6752.5,8.819770455386895,880,0.5037206639954207,802.8016627078384,-606.5882352941177,0.4784090909090909,-750.0,-3416.0,9,9,1.701506306145945,39602.0,0.9231477472837053,1.2034095053186844,65.67495854063019,-6752.5,6752.5,5.864790818215476,603,0.49345335515548283,819.2062937062936,-614.1671924290221,0.47429519071310117,-750.0,-2842.0,9,9,1.6147486499036876,19953.5,1.0779935296380856,1.2382991174327924,72.03429602888086,-5668.0,5668.0,3.520377558221595,277,0.5276190476190477,768.0481481481481,-589.669014084507,0.48736462093862815,-750.0,-3416.0,7,7,1.502893673371981,,,,0.1548457823543803,0.034889612114108015,6.359337488250674,1.1006541640205862,0.09785316862319798,1.222688478109975,True
