campaign_variant_name,variant_role,scope,sizing_mode,risk_pct,max_contracts,skip_trade_if_too_small,fixed_contracts,initial_capital_usd,worst_trade_loss_usd,worst_day_pnl_usd,max_daily_drawdown_usd,nb_days_below_minus_250,nb_days_below_minus_500,nb_days_below_minus_1000,nb_trades_below_minus_150,nb_trades_below_minus_250,nb_trades_below_minus_500,pass_target_3000_usd_without_breaching_2000_dd,days_to_3000_usd_if_reached,max_trailing_drawdown_observed_usd,max_static_drawdown_observed_usd
fixed_1_contract,baseline,full,fixed_contracts,,,,1.0,50000.0,234.5,-234.5,790.0,0,0,0,10,0,0,True,796.0,790.0,277.27500000000146
fixed_1_contract,baseline,oos,fixed_contracts,,,,1.0,50000.0,208.0,-208.0,790.0,0,0,0,6,0,0,True,363.0,790.0,309.8500000000058
risk_pct_0p0015__max_contracts_2__skip_trade_if_too_small_true,grid,full,risk_percent,0.0015,2.0,True,,50000.0,98.0,-110.5,819.6250000000146,0,0,0,0,0,0,True,631.0,819.6250000000146,70.0
risk_pct_0p0015__max_contracts_2__skip_trade_if_too_small_true,grid,oos,risk_percent,0.0015,2.0,True,,50000.0,85.0,-85.0,516.6250000000073,0,0,0,0,0,0,True,363.0,516.6250000000073,516.6250000000073
risk_pct_0p0015__max_contracts_3__skip_trade_if_too_small_true,grid,full,risk_percent,0.0015,3.0,True,,50000.0,105.0,-110.5,994.6750000000102,0,0,0,0,0,0,True,463.0,994.6750000000102,105.0
risk_pct_0p0015__max_contracts_3__skip_trade_if_too_small_true,grid,oos,risk_percent,0.0015,3.0,True,,50000.0,85.0,-85.0,548.1750000000102,0,0,0,0,0,0,True,258.0,548.1750000000102,548.1750000000102
risk_pct_0p0015__max_contracts_4__skip_trade_if_too_small_true,grid,full,risk_percent,0.0015,4.0,True,,50000.0,114.0,-114.0,1116.125,0,0,0,0,0,0,True,388.0,1116.125,140.0
risk_pct_0p0015__max_contracts_4__skip_trade_if_too_small_true,grid,oos,risk_percent,0.0015,4.0,True,,50000.0,86.0,-86.0,571.5,0,0,0,0,0,0,True,234.0,571.5,571.5
risk_pct_0p0015__max_contracts_5__skip_trade_if_too_small_true,grid,full,risk_percent,0.0015,5.0,True,,50000.0,125.0,-125.0,1209.625,0,0,0,0,0,0,True,361.0,1209.625,175.0
risk_pct_0p0015__max_contracts_5__skip_trade_if_too_small_true,grid,oos,risk_percent,0.0015,5.0,True,,50000.0,97.5,-97.5,609.0,0,0,0,0,0,0,True,234.0,609.0,609.0
risk_pct_0p0015__max_contracts_6__skip_trade_if_too_small_true,grid,full,risk_percent,0.0015,6.0,True,,50000.0,130.0,-130.0,1093.125,0,0,0,0,0,0,True,361.0,1093.125,175.0
risk_pct_0p0015__max_contracts_6__skip_trade_if_too_small_true,grid,oos,risk_percent,0.0015,6.0,True,,50000.0,99.0,-99.0,655.7250000000131,0,0,0,0,0,0,True,216.0,655.7250000000131,655.7250000000131
risk_pct_0p0020__max_contracts_2__skip_trade_if_too_small_true,grid,full,risk_percent,0.002,2.0,True,,50000.0,136.0,-175.5,530.2250000000058,0,0,0,0,0,0,True,631.0,530.2250000000058,165.4499999999971
risk_pct_0p0020__max_contracts_2__skip_trade_if_too_small_true,grid,oos,risk_percent,0.002,2.0,True,,50000.0,107.5,-107.5,676.1250000000073,0,0,0,0,0,0,True,307.0,676.1250000000073,676.1250000000073
risk_pct_0p0020__max_contracts_3__skip_trade_if_too_small_true,grid,full,risk_percent,0.002,3.0,True,,50000.0,144.0,-206.0,1063.7249999999913,0,0,0,0,0,0,True,463.0,1063.7249999999913,105.0
risk_pct_0p0020__max_contracts_3__skip_trade_if_too_small_true,grid,oos,risk_percent,0.002,3.0,True,,50000.0,114.0,-114.0,806.6750000000102,0,0,0,0,0,0,True,234.0,806.6750000000102,806.6750000000102
risk_pct_0p0020__max_contracts_4__skip_trade_if_too_small_true,grid,full,risk_percent,0.002,4.0,True,,50000.0,160.0,-236.5,1426.2249999999913,0,0,0,3,0,0,True,388.0,1426.2249999999913,140.0
risk_pct_0p0020__max_contracts_4__skip_trade_if_too_small_true,grid,oos,risk_percent,0.002,4.0,True,,50000.0,120.0,-120.0,838.2250000000131,0,0,0,0,0,0,True,228.0,838.2250000000131,838.2250000000131
risk_pct_0p0020__max_contracts_5__skip_trade_if_too_small_true,grid,full,risk_percent,0.002,5.0,True,,50000.0,170.0,-267.0,1433.949999999997,1,0,0,11,0,0,True,361.0,1433.949999999997,175.0
risk_pct_0p0020__max_contracts_5__skip_trade_if_too_small_true,grid,oos,risk_percent,0.002,5.0,True,,50000.0,120.0,-120.0,818.775000000016,0,0,0,0,0,0,True,191.0,818.775000000016,818.775000000016
risk_pct_0p0020__max_contracts_6__skip_trade_if_too_small_true,grid,full,risk_percent,0.002,6.0,True,,50000.0,170.0,-267.0,1707.449999999997,1,0,0,22,0,0,True,327.0,1707.449999999997,210.0
risk_pct_0p0020__max_contracts_6__skip_trade_if_too_small_true,grid,oos,risk_percent,0.002,6.0,True,,50000.0,120.0,-120.0,799.3250000000189,0,0,0,0,0,0,True,191.0,799.3250000000189,799.3250000000189
risk_pct_0p0025__max_contracts_2__skip_trade_if_too_small_true,grid,full,risk_percent,0.0025,2.0,True,,50000.0,162.0,-221.0,806.0,0,0,0,5,0,0,True,650.0,806.0,264.1750000000029
risk_pct_0p0025__max_contracts_2__skip_trade_if_too_small_true,grid,oos,risk_percent,0.0025,2.0,True,,50000.0,140.0,-175.5,548.5,0,0,0,0,0,0,True,234.0,548.5,477.40000000000873
risk_pct_0p0025__max_contracts_3__skip_trade_if_too_small_true,grid,full,risk_percent,0.0025,3.0,True,,50000.0,184.5,-221.0,1106.050000000003,0,0,0,13,0,0,True,463.0,1106.050000000003,131.17499999999563
risk_pct_0p0025__max_contracts_3__skip_trade_if_too_small_true,grid,oos,risk_percent,0.0025,3.0,True,,50000.0,144.0,-206.0,644.9500000000116,0,0,0,0,0,0,True,228.0,644.9500000000116,644.9500000000116
risk_pct_0p0025__max_contracts_4__skip_trade_if_too_small_true,grid,full,risk_percent,0.0025,4.0,True,,50000.0,196.0,-236.5,1498.8499999999913,0,0,0,34,0,0,True,388.0,1498.8499999999913,140.0
risk_pct_0p0025__max_contracts_4__skip_trade_if_too_small_true,grid,oos,risk_percent,0.0025,4.0,True,,50000.0,152.0,-236.5,707.0000000000146,0,0,0,1,0,0,True,191.0,707.0000000000146,707.0000000000146
risk_pct_0p0025__max_contracts_5__skip_trade_if_too_small_true,grid,full,risk_percent,0.0025,5.0,True,,50000.0,212.5,-267.0,1766.3500000000058,1,0,0,49,0,0,True,361.0,1766.3500000000058,175.0
risk_pct_0p0025__max_contracts_5__skip_trade_if_too_small_true,grid,oos,risk_percent,0.0025,5.0,True,,50000.0,152.0,-236.5,738.5500000000175,0,0,0,1,0,0,True,157.0,738.5500000000175,738.5500000000175
risk_pct_0p0025__max_contracts_6__skip_trade_if_too_small_true,grid,full,risk_percent,0.0025,6.0,True,,50000.0,228.0,-297.5,2104.8499999999913,1,0,0,59,0,0,True,327.0,2104.8499999999913,210.0
risk_pct_0p0025__max_contracts_6__skip_trade_if_too_small_true,grid,oos,risk_percent,0.0025,6.0,True,,50000.0,152.0,-236.5,742.6000000000204,0,0,0,2,0,0,True,157.0,742.6000000000204,742.6000000000204
risk_pct_0p0030__max_contracts_2__skip_trade_if_too_small_true,grid,full,risk_percent,0.003,2.0,True,,50000.0,195.0,-221.0,861.5,0,0,0,13,0,0,True,683.0,861.5,402.6750000000029
risk_pct_0p0030__max_contracts_2__skip_trade_if_too_small_true,grid,oos,risk_percent,0.003,2.0,True,,50000.0,162.0,-175.5,806.0,0,0,0,4,0,0,True,258.0,806.0,658.9250000000102
risk_pct_0p0030__max_contracts_3__skip_trade_if_too_small_true,grid,full,risk_percent,0.003,3.0,True,,50000.0,215.0,-266.5,1410.3499999999985,1,0,0,34,0,0,True,463.0,1410.3499999999985,337.57500000000437
