campaign_variant_name,variant_role,alpha_variant_name,sizing_mode,fixed_contracts,risk_pct,max_contracts,skip_trade_if_too_small,initial_capital_usd,net_pnl_usd,return_pct,cagr_pct,sharpe,sortino,profit_factor,expectancy_usd,nb_trades,win_rate,avg_win_usd,avg_loss_usd,max_drawdown_pct,max_drawdown_usd,annualized_vol_pct,exposure_time_in_market_pct,worst_trade_loss_usd,trades_loss_gt_250_usd,trades_loss_gt_500_usd,worst_day_pnl_usd,max_daily_drawdown_usd,days_below_minus_500_usd,days_below_minus_1000_usd,pass_target_3000_usd_without_breaching_2000_dd,days_to_target_3000_usd,max_trailing_drawdown_observed_usd,max_static_drawdown_observed_usd,signal_attempt_count,entered_trade_count,skip_too_small_count,forced_one_contract_count,avg_contracts_entered,max_contracts_used,avg_contracts_raw,cap_hit_count,cap_hit_rate,avg_contracts,median_contracts,pct_trades_at_1_contract,pct_trades_at_2_contracts,pct_trades_at_3_plus_contracts,nb_skipped_trades,pct_skipped_trades,nb_days_below_minus_250,nb_days_below_minus_500,nb_days_below_minus_1000,nb_trades_below_minus_150,nb_trades_below_minus_250,nb_trades_below_minus_500,days_to_3000_usd_if_reached,prop_score,net_pnl_delta_vs_baseline_usd,cagr_delta_vs_baseline_pct,sharpe_delta_vs_baseline,max_drawdown_delta_vs_baseline_usd
fixed_1_contract,baseline,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,fixed_contracts,1.0,,,,50000.0,3038.57499999999,6.07714999999998,2.8913361564957274,1.450994465975974,1.1574877245611377,1.7530545229244088,30.08490099009891,101,0.3465346534653465,202.10214285714255,-61.13636363636363,1.58,790.0,2.010367419311916,3.208852005532503,208.0,0,0,-208.0,790.0,0,0,True,363.0,790.0,309.8500000000058,101,101,0,0,1.0,1,1.0,0,0.0,1.0,1.0,100.0,0.0,0.0,0,0.0,0,0,0,6,0,0,363.0,1.1894167312612405,0.0,0.0,0.0,0.0
risk_pct_0p0015__max_contracts_2__skip_trade_if_too_small_true,grid,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,risk_percent,,0.0015,2.0,True,50000.0,3659.9749999999767,7.319949999999952,3.471990185845253,1.5286528451948762,2.0477463130639597,2.5095792946999285,54.626492537313084,67,0.2835820895522388,320.23552631578826,-50.510416666666664,0.8852500000000145,442.6250000000073,2.2984786971381057,2.0193637621023512,85.0,0,0,-85.0,516.6250000000073,0,0,True,363.0,516.6250000000073,516.6250000000073,102,67,35,0,1.5820895522388059,2,3.976723937374832,39,0.38235294117647056,1.5820895522388059,2.0,41.7910447761194,58.2089552238806,0.0,35,34.31372549019608,0,0,0,0,0,0,363.0,5.368862702251217,621.3999999999869,0.5806540293495255,0.07765837921890228,-347.3749999999927
risk_pct_0p0015__max_contracts_3__skip_trade_if_too_small_true,grid,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,risk_percent,,0.0015,3.0,True,50000.0,4962.199999999968,9.924399999999936,4.677657797790324,1.5425047481636627,2.484682604443225,2.775384615384604,74.0626865671637,67,0.2835820895522388,408.2736842105246,-58.229166666666664,0.9483500000000203,474.1750000000102,3.088296490283822,2.0193637621023512,85.0,0,0,-85.0,548.1750000000102,0,0,True,258.0,548.1750000000102,548.1750000000102,102,67,35,0,2.014925373134328,3,4.011560964372626,29,0.28431372549019607,2.014925373134328,2.0,41.7910447761194,14.925373134328357,43.28358208955223,35,34.31372549019608,0,0,0,0,0,0,258.0,6.941643411157546,1923.6249999999782,1.786321641294597,0.09151028218768875,-315.8249999999898
risk_pct_0p0015__max_contracts_4__skip_trade_if_too_small_true,grid,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,risk_percent,,0.0015,4.0,True,50000.0,6151.674999999959,12.303349999999918,5.766097097582223,1.5406078874894484,2.870879861616407,3.023910182595808,91.8160447761188,67,0.2835820895522388,483.7460526315768,-63.322916666666664,0.9950000000000001,497.5,3.833297263993405,2.0193637621023512,86.0,0,0,-86.0,571.5,0,0,True,234.0,571.5,571.5,102,67,35,0,2.3582089552238807,4,4.042470408980939,23,0.22549019607843138,2.3582089552238807,2.0,41.7910447761194,14.925373134328357,43.28358208955223,35,34.31372549019608,0,0,0,0,0,0,234.0,8.158073662468345,3113.0999999999694,2.874760941086496,0.08961342151347451,-292.5
risk_pct_0p0015__max_contracts_5__skip_trade_if_too_small_true,grid,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,risk_percent,,0.0015,5.0,True,50000.0,6965.874999999956,13.931749999999912,6.5042811869847394,1.52451559825682,3.0749999615125683,3.159626414509365,103.9682835820889,67,0.2835820895522388,536.3881578947345,-67.19791666666667,1.0699999999999998,535.0,4.386468729901067,2.0193637621023512,97.5,0,0,-97.5,609.0,0,0,True,234.0,609.0,609.0,102,67,35,0,2.626865671641791,5,4.0695952264846085,18,0.17647058823529413,2.626865671641791,2.0,41.7910447761194,14.925373134328357,43.28358208955223,35,34.31372549019608,0,0,0,0,0,0,234.0,7.75104679477046,3927.2999999999665,3.612945030489012,0.073521132280846,-255.0
risk_pct_0p0015__max_contracts_6__skip_trade_if_too_small_true,grid,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,risk_percent,,0.0015,6.0,True,50000.0,7770.074999999953,15.540149999999908,7.228064700639969,1.4978543909104018,3.237780798663748,3.27095572117491,115.97126865671572,67,0.2835820895522388,589.0302631578923,-71.28125,1.1634500000000263,581.7250000000131,4.979971381240991,2.0193637621023512,99.0,0,0,-99.0,655.7250000000131,0,0,True,216.0,655.7250000000131,655.7250000000131,102,67,35,0,2.8805970149253732,6,4.096387967134982,15,0.14705882352941177,2.8805970149253732,2.0,40.298507462686565,16.417910447761194,43.28358208955223,35,34.31372549019608,0,0,0,0,0,0,216.0,7.35235067273112,4731.499999999964,4.336728544144242,0.04685992493442792,-208.2749999999869
risk_pct_0p0020__max_contracts_2__skip_trade_if_too_small_true,grid,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,risk_percent,,0.002,2.0,True,50000.0,4452.77499999998,8.905549999999959,4.207782630233359,1.6447016229067557,2.00816027191828,2.3391804511278136,57.08685897435871,78,0.3076923076923077,324.0739583333325,-61.574074074074076,1.2042500000000145,602.1250000000073,2.5990513661956345,2.3789764868603043,107.5,0,0,-107.5,676.1250000000073,0,0,True,307.0,676.1250000000073,676.1250000000073,102,78,24,0,1.6153846153846154,2,4.740894449802021,48,0.47058823529411764,1.6153846153846154,2.0,38.46153846153847,61.53846153846154,0.0,24,23.52941176470588,0,0,0,0,0,0,307.0,5.512325702053525,1414.1999999999898,1.3164464737376314,0.19370715693078178,-187.87499999999272
risk_pct_0p0020__max_contracts_3__skip_trade_if_too_small_true,grid,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,risk_percent,,0.002,3.0,True,50000.0,5553.499999999971,11.106999999999942,5.2202375589397665,1.6019621723388258,2.2106243945067963,2.425070567102892,71.19871794871757,78,0.3076923076923077,393.7708333333321,-72.16666666666667,1.4653500000000204,732.6750000000102,3.3280186586530425,2.3789764868603043,114.0,0,0,-114.0,806.6750000000102,0,0,True,234.0,806.6750000000102,806.6750000000102,102,78,24,0,2.0641025641025643,3,4.773053067287491,35,0.3431372549019608,2.0641025641025643,2.0,38.46153846153847,16.666666666666664,44.871794871794876,24,23.52941176470588,0,0,0,0,0,0,234.0,5.938165683683038,2514.924999999981,2.328901402444039,0.15096770636285184,-57.324999999989814
risk_pct_0p0020__max_contracts_4__skip_trade_if_too_small_true,grid,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,risk_percent,,0.002,4.0,True,50000.0,7032.599999999962,14.065199999999924,6.5645340792770845,1.5881012040892888,2.558161753387521,2.59270750764352,89.02025316455648,79,0.3037974683544304,477.00416666666507,-80.28181818181818,1.528450000000026,764.2250000000131,4.251174914177814,2.406639004149378,120.0,0,0,-120.0,838.2250000000131,0,0,True,228.0,838.2250000000131,838.2250000000131,102,79,23,0,2.4430379746835444,4,4.76904942908535,29,0.28431372549019607,2.4430379746835444,2.0,39.24050632911392,13.924050632911392,46.835443037974684,23,22.54901960784314,0,0,0,0,0,0,228.0,6.226841112267782,3994.0249999999724,3.673197922781357,0.13710673811331486,-25.774999999986903
risk_pct_0p0020__max_contracts_5__skip_trade_if_too_small_true,grid,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,risk_percent,,0.002,5.0,True,50000.0,8198.574999999953,16.397149999999908,7.611590528180057,1.583363850321694,2.8401319395295013,2.750523113056465,103.77943037974624,79,0.3037974683544304,536.753124999998,-85.15454545454546,1.489550000000032,744.775000000016,4.9708296664729765,2.406639004149378,120.0,0,0,-120.0,818.775000000016,0,0,True,191.0,818.775000000016,818.775000000016,102,79,23,0,2.7468354430379747,5,4.804705896689681,24,0.23529411764705882,2.7468354430379747,2.0,39.24050632911392,13.924050632911392,46.835443037974684,23,22.54901960784314,0,0,0,0,0,0,191.0,6.339054050964976,5159.999999999964,4.720254371684329,0.1323693843457201,-45.22499999998399
