variant_name,session_date,signal_time,signal_index,state_pre,state_post,policy_multiplier,allowed_to_trade,blocked_reason,trade_executed,quantity,trade_number_in_day,exit_reason,overlay_exit_reason,net_pnl_usd,net_pnl_r
giveback_after_1p25r__0p5r,2021-12-23,2021-12-23 10:00:00-05:00,600,neutral,locked_profit,1.0,True,,True,1,1,overlay_peak_giveback_lock,overlay_peak_giveback_lock,115.26,0.8189569418786414
giveback_after_1p25r__0p5r,2021-12-27,2021-12-27 10:02:00-05:00,602,neutral,neutral,1.0,True,,True,1,1,time_exit,,219.26,0.9978156002548465
giveback_after_1p25r__0p5r,2021-12-28,2021-12-28 10:09:00-05:00,609,neutral,neutral,1.0,True,,True,1,1,time_exit,,28.26,0.15133340473385457
giveback_after_1p25r__0p5r,2021-12-29,2021-12-29 10:05:00-05:00,605,neutral,neutral,1.0,True,,True,1,1,time_exit,,-31.24,-0.21003092644883686
giveback_after_1p25r__0p5r,2021-12-30,2021-12-30 10:05:00-05:00,605,neutral,neutral,1.0,True,,True,1,1,stop,,-154.24,-1.0
giveback_after_1p25r__0p5r,2021-12-31,2021-12-31 10:01:00-05:00,601,neutral,neutral,1.0,True,,True,1,1,time_exit,,21.76,0.10350076103500762
giveback_after_1p25r__0p5r,2022-01-04,2022-01-04 10:01:00-05:00,601,neutral,neutral,1.0,True,,True,1,1,target,,339.26,1.9696934509986064
giveback_after_1p25r__0p5r,2022-01-07,2022-01-07 10:20:00-05:00,620,neutral,neutral,1.0,True,,True,1,1,time_exit,,157.76,0.4918625678119349
giveback_after_1p25r__0p5r,2022-01-12,2022-01-12 10:10:00-05:00,610,neutral,neutral,1.0,True,,True,1,1,stop,,-235.24,-1.0
giveback_after_1p25r__0p5r,2022-01-13,2022-01-13 10:03:00-05:00,603,neutral,neutral,1.0,True,,True,1,1,target,,265.26,1.9614019520851818
giveback_after_1p25r__0p5r,2022-01-14,2022-01-14 15:44:00-05:00,944,neutral,neutral,1.0,True,,True,1,1,time_exit,,-10.24,-0.02344644410862298
giveback_after_1p25r__0p5r,2022-01-19,2022-01-19 10:36:00-05:00,636,neutral,neutral,1.0,True,,True,1,1,time_exit,,379.76,1.4371783227369057
giveback_after_1p25r__0p5r,2022-01-20,2022-01-20 10:02:00-05:00,602,neutral,neutral,1.0,True,,True,1,1,stop,,-256.74,-1.0
giveback_after_1p25r__0p5r,2022-01-31,2022-01-31 10:00:00-05:00,600,neutral,neutral,1.0,True,,True,1,1,time_exit,,469.76,1.02290741224632
giveback_after_1p25r__0p5r,2022-02-02,2022-02-02 11:03:00-05:00,663,neutral,neutral,1.0,True,,True,1,1,time_exit,,-171.24,-0.5493039071020722
giveback_after_1p25r__0p5r,2022-02-07,2022-02-07 11:17:00-05:00,677,neutral,neutral,1.0,True,,True,1,1,time_exit,,149.76,0.4914353219137625
giveback_after_1p25r__0p5r,2022-02-09,2022-02-09 10:19:00-05:00,619,neutral,neutral,1.0,True,,True,1,1,stop,,-186.74,-1.0
giveback_after_1p25r__0p5r,2022-02-10,2022-02-10 10:02:00-05:00,602,neutral,neutral,1.0,True,,True,1,1,stop,,-440.74,-1.0
giveback_after_1p25r__0p5r,2022-02-14,2022-02-14 11:19:00-05:00,679,neutral,neutral,1.0,True,,True,1,1,stop,,-314.24,-1.0
giveback_after_1p25r__0p5r,2022-02-15,2022-02-15 10:41:00-05:00,641,neutral,neutral,1.0,True,,True,1,1,stop,,-164.24,-1.0
giveback_after_1p25r__0p5r,2022-02-17,2022-02-17 10:19:00-05:00,619,neutral,neutral,1.0,True,,True,1,1,time_exit,,405.76,1.5773596641268852
giveback_after_1p25r__0p5r,2022-02-18,2022-02-18 10:30:00-05:00,630,neutral,neutral,1.0,True,,True,1,1,time_exit,,116.26,0.3753470652805579
giveback_after_1p25r__0p5r,2022-02-21,2022-02-21 10:49:00-05:00,649,neutral,neutral,1.0,True,,True,1,1,target,,328.26,1.9686937747391147
giveback_after_1p25r__0p5r,2022-02-22,2022-02-22 10:29:00-05:00,629,neutral,neutral,1.0,True,,True,1,1,stop,,-489.74,-1.0
giveback_after_1p25r__0p5r,2022-02-28,2022-02-28 10:36:00-05:00,636,neutral,neutral,1.0,True,,True,1,1,stop,,-254.74,-1.0
giveback_after_1p25r__0p5r,2022-03-02,2022-03-02 10:09:00-05:00,609,neutral,neutral,1.0,True,,True,1,1,stop,,-281.24,-1.0
giveback_after_1p25r__0p5r,2022-03-03,2022-03-03 10:06:00-05:00,606,neutral,locked_profit,1.0,True,,True,1,1,overlay_peak_giveback_lock,overlay_peak_giveback_lock,234.26,0.8798828124999999
giveback_after_1p25r__0p5r,2022-03-04,2022-03-04 10:11:00-05:00,611,neutral,neutral,1.0,True,,True,1,1,time_exit,,6.26,0.018813488008655406
giveback_after_1p25r__0p5r,2022-03-10,2022-03-10 10:33:00-05:00,633,neutral,neutral,1.0,True,,True,1,1,stop,,-233.74,-1.0
giveback_after_1p25r__0p5r,2022-03-11,2022-03-11 10:00:00-05:00,600,neutral,neutral,1.0,True,,True,1,1,time_exit,,449.26,1.19885787479319
giveback_after_1p25r__0p5r,2022-03-15,2022-03-15 10:04:00-04:00,604,neutral,locked_profit,1.0,True,,True,1,1,overlay_peak_giveback_lock,overlay_peak_giveback_lock,195.26,0.7460074883472148
giveback_after_1p25r__0p5r,2022-03-16,2022-03-16 10:01:00-04:00,601,neutral,neutral,1.0,True,,True,1,1,stop,,-281.74,-1.0
giveback_after_1p25r__0p5r,2022-03-17,2022-03-17 10:04:00-04:00,603,neutral,neutral,1.0,True,,True,1,1,time_exit,,261.76,0.7463078063522837
giveback_after_1p25r__0p5r,2022-03-21,2022-03-21 10:04:00-04:00,604,neutral,neutral,1.0,True,,True,1,1,time_exit,,-171.24,-0.46251080380293863
giveback_after_1p25r__0p5r,2022-03-22,2022-03-22 10:00:00-04:00,600,neutral,locked_profit,1.0,True,,True,1,1,overlay_peak_giveback_lock,overlay_peak_giveback_lock,206.26,0.753488711916417
giveback_after_1p25r__0p5r,2022-03-23,2022-03-23 10:14:00-04:00,614,neutral,neutral,1.0,True,,True,1,1,stop,,-208.24,-1.0
giveback_after_1p25r__0p5r,2022-03-24,2022-03-24 10:18:00-04:00,618,neutral,neutral,1.0,True,,True,1,1,stop,,-198.74,-1.0
giveback_after_1p25r__0p5r,2022-03-25,2022-03-25 10:02:00-04:00,602,neutral,neutral,1.0,True,,True,1,1,stop,,-170.24,-1.0
giveback_after_1p25r__0p5r,2022-03-28,2022-03-28 11:48:00-04:00,708,neutral,neutral,1.0,True,,True,1,1,stop,,-329.74,-1.0
giveback_after_1p25r__0p5r,2022-03-29,2022-03-29 10:08:00-04:00,608,neutral,neutral,1.0,True,,True,1,1,stop,,-264.74,-1.0
giveback_after_1p25r__0p5r,2022-03-30,2022-03-30 10:14:00-04:00,614,neutral,neutral,1.0,True,,True,1,1,stop,,-158.74,-1.0
giveback_after_1p25r__0p5r,2022-03-31,2022-03-31 10:02:00-04:00,602,neutral,neutral,1.0,True,,True,1,1,stop,,-229.74,-1.0
giveback_after_1p25r__0p5r,2022-04-01,2022-04-01 11:35:00-04:00,695,neutral,neutral,1.0,True,,True,1,1,time_exit,,-104.74,-0.3812331659023076
