timeframe,bar_minutes,strategy_id,role,family,mode,execution_profile,what_changes_vs_baseline,overall_net_pnl,oos_net_pnl,oos_profit_factor,oos_sharpe_ratio,oos_max_drawdown,oos_expectancy_per_trade,oos_total_trades,pnl_nominal,pnl_slip_x2,pf_nominal,pf_slip_x2,sharpe_nominal,sharpe_slip_x2,dd_nominal,dd_slip_x2,delta_pnl_nominal_vs_slip_x2,pass_fail_cost_stress,positive_oos_splits,total_splits,mean_oos_net_pnl_splits,mean_oos_profit_factor_splits,mean_oos_sharpe_ratio_splits,worst_oos_split_net_pnl,best_oos_split_net_pnl,pass_fail_splits,worst_daily_loss_usd,daily_loss_limit_breach_freq,trailing_drawdown_breach_freq,avg_trades_per_day,max_trades_per_day,challenge_success_rate_standard,prop_verdict,top_3_day_contribution_pct,top_5_day_contribution_pct,pnl_excluding_top_3_days,pnl_excluding_top_5_days,concentration_verdict,pass_oos_nominal,pass_cost_stress,pass_splits,pass_prop,survives_primary_filter,reranking_score,final_bucket,elimination_reason,rank_within_survivors
1m,1,paper_vwap_baseline,paper_baseline_reference,baseline,target_position,paper_reference,"Reference officielle: close[t-1] vs VWAP[t-1], next open, always-in-market RTH, flat overnight.",-25008.0,-2376.5,0.7662880464178591,-0.7066732810483942,-2518.5,-3.8768352365415986,613,-2376.5,-2989.5,0.7662880464178591,0.7205291203141068,-0.7066732810483942,-0.8601573616574665,-2518.5,-2991.0,-613.0,False,0,4,-5460.125,0.5853485023322378,-0.9507297982085116,-12137.5,0.0,False,-1380.0,0.0019047619047619048,0.940952380952381,1.1676190476190476,53,0.0,non defendable,-0.7319587628865979,-0.9370923627182832,-4116.0,-4603.5,forte dependance aux meilleurs jours,False,False,False,False,False,0,reference_officielle,"Ancre officielle de comparaison, non candidate au reranking.",
1m,1,baseline_futures_adapted,realistic_baseline_reference,baseline,target_position,repo_realistic,"Meme signal que la baseline paper, mais sous sizing futures fixe et couts repo_realistic.",-42674.5,-20043.0,0.9004457910618271,-1.4121554200812398,-20185.0,-2.324095547309833,8624,-20043.0,-28667.0,0.9004457910618271,0.8625716696389193,-1.4121554200812398,-1.9869443012576853,-20185.0,-28668.5,-8624.0,False,0,4,-22906.875,0.8936102175497538,-1.5212529643971267,-29804.0,-16787.5,False,-1931.5,0.011428571428571429,0.8723809523809524,16.426666666666666,53,0.0,non defendable,-0.27658035224267824,-0.41203911590081327,-25586.5,-28301.5,forte dependance aux meilleurs jours,False,False,False,False,False,0,baseline_realiste_de_reference,Baseline economique de reference pour juger si une variante apporte vraiment mieux.,
1m,1,vwap_reclaim,candidate,prop_variant,discrete,repo_realistic,"Variante discrete reclaim simple avec pente VWAP, buffer ATR et sortie sur recross/stop/session close.",-416.75892857142753,151.05357142857247,1.140521952921243,0.12531480444303125,-750.4464285714275,7.950187969924866,19,151.05357142857247,132.05357142857247,1.140521952921243,1.1212672799724515,0.12531480444303125,0.10957374557709643,-750.4464285714275,-764.4464285714275,-19.0,True,1,4,-38.69642857142753,0.973630160688747,-0.02924798721919252,-117.94642857142753,151.05357142857247,False,-161.89285714285506,0.0,0.0,0.03619047619047619,1,0.0,potentiellement compatible sous contraintes prudentes,7.5271308665326355,8.116325806832903,-985.9464285714275,-1074.9464285714275,forte dependance aux meilleurs jours,True,True,False,True,False,3,interessante mais trop fragile,Garde un signal partiel mais echoue sur les splits ou les contraintes prop.,
5m,5,paper_vwap_baseline,paper_baseline_reference,baseline,target_position,paper_reference,"Reference officielle: close[t-1] vs VWAP[t-1], next open, always-in-market RTH, flat overnight.",-8172.5,-3239.5,0.9788696105929163,-0.23176485399542818,-7327.0,-0.8347075496006184,3881,-3239.5,-7120.5,0.9788696105929163,0.9544426494345719,-0.23176485399542818,-0.5057415495965852,-7327.0,-10312.5,-3881.0,False,0,4,-5094.625,0.9709240294354557,-0.32372411056544204,-9865.0,-815.0,False,-2065.5,0.011428571428571429,0.638095238095238,7.392380952380952,23,0.0,non defendable,-2.0467664763080724,-2.8490507794412716,-9870.0,-12469.0,forte dependance aux meilleurs jours,False,False,False,False,False,0,reference_officielle,"Ancre officielle de comparaison, non candidate au reranking.",
5m,5,baseline_futures_adapted,realistic_baseline_reference,baseline,target_position,repo_realistic,"Meme signal que la baseline paper, mais sous sizing futures fixe et couts repo_realistic.",-8172.5,-3239.5,0.9788696105929163,-0.23176485399542818,-7327.0,-0.8347075496006184,3881,-3239.5,-7120.5,0.9788696105929163,0.9544426494345719,-0.23176485399542818,-0.5057415495965852,-7327.0,-10312.5,-3881.0,False,0,4,-5094.625,0.9709240294354557,-0.32372411056544204,-9865.0,-815.0,False,-2065.5,0.011428571428571429,0.638095238095238,7.392380952380952,23,0.0,non defendable,-2.0467664763080724,-2.8490507794412716,-9870.0,-12469.0,forte dependance aux meilleurs jours,False,False,False,False,False,0,baseline_realiste_de_reference,Baseline economique de reference pour juger si une variante apporte vraiment mieux.,
5m,5,vwap_reclaim,candidate,prop_variant,discrete,repo_realistic,"Variante discrete reclaim simple avec pente VWAP, buffer ATR et sortie sur recross/stop/session close.",-1122.0833333333412,-1593.1666666666715,0.8105553133298977,-0.5679879592810806,-2923.2083333333358,-13.734195402298893,116,-1593.1666666666715,-1709.1666666666715,0.8105553133298977,0.7987123873829661,-0.5679879592810806,-0.6089707349436118,-2923.2083333333358,-2971.2083333333358,-116.0,False,0,4,-1553.3229166666752,0.8226033275587481,-0.5271567261076033,-1776.0416666666788,-1303.9166666666788,False,-617.6666666666642,0.0,0.35619047619047617,0.22095238095238096,2,0.0,non defendable,-1.13892666596924,-1.5949367088607547,-3407.6666666666715,-4134.1666666666715,forte dependance aux meilleurs jours,False,False,False,False,False,0,eliminee immediatement,Ne survit pas au filtre nominal OOS ou au stress slippage x2.,
