family,1h,5m
climax_plus_bar_quality,-1.0849609850785806,-6.308786472530708
climax_plus_rejection,-1.1060837635200451,-3.845365497187086
climax_plus_stretch,-0.7328960786858124,-5.4497078116003275
combined_qs,-0.7330043471576673,-5.515412996538028
combined_qsr,-0.3576078419318453,-1.7617516143445577
pure_climax,-1.4978607313511534,-6.727952038082596
