asset,or_window_minutes,dataset_path,first_timestamp,last_timestamp,timezone,n_rth_sessions_total,median_rth_bars,n_sessions_exact_1600,n_sessions_close_proxy_1555_plus,n_complete_opening_range,n_eligible_days,n_excluded_incomplete_opening_range,n_excluded_no_close_proxy,pct_eligible_days
M2K,5,M2K_c_0_1m_20260322_134808.parquet,2019-05-05 18:01:00-04:00,2026-03-20 09:29:00-04:00,America/New_York,1747,391.0,1682,1684,1737,1679,10,58,0.9610761305094447
M2K,15,M2K_c_0_1m_20260322_134808.parquet,2019-05-05 18:01:00-04:00,2026-03-20 09:29:00-04:00,America/New_York,1747,391.0,1682,1684,1733,1675,14,58,0.9587864911276474
M2K,30,M2K_c_0_1m_20260322_134808.parquet,2019-05-05 18:01:00-04:00,2026-03-20 09:29:00-04:00,America/New_York,1747,391.0,1682,1684,1727,1670,20,57,0.9559244419004007
M2K,60,M2K_c_0_1m_20260322_134808.parquet,2019-05-05 18:01:00-04:00,2026-03-20 09:29:00-04:00,America/New_York,1747,391.0,1682,1684,1707,1661,40,46,0.9507727532913566
MES,5,MES_c_0_1m_20260322_135702.parquet,2019-05-05 18:00:00-04:00,2026-03-20 09:29:00-04:00,America/New_York,1747,391.0,1684,1684,1746,1683,1,63,0.9633657698912421
MES,15,MES_c_0_1m_20260322_135702.parquet,2019-05-05 18:00:00-04:00,2026-03-20 09:29:00-04:00,America/New_York,1747,391.0,1684,1684,1744,1681,3,63,0.9622209502003435
MES,30,MES_c_0_1m_20260322_135702.parquet,2019-05-05 18:00:00-04:00,2026-03-20 09:29:00-04:00,America/New_York,1747,391.0,1684,1684,1743,1681,4,62,0.9622209502003435
MES,60,MES_c_0_1m_20260322_135702.parquet,2019-05-05 18:00:00-04:00,2026-03-20 09:29:00-04:00,America/New_York,1747,391.0,1684,1684,1736,1679,11,57,0.9610761305094447
MGC,5,MGC_c_0_1m_20260322_155729.parquet,2010-10-03 19:26:00-04:00,2026-03-20 16:59:00-04:00,America/New_York,3128,141.0,1303,1866,1224,1168,1904,56,0.3734015345268542
MGC,15,MGC_c_0_1m_20260322_155729.parquet,2010-10-03 19:26:00-04:00,2026-03-20 16:59:00-04:00,America/New_York,3128,141.0,1303,1866,1000,966,2128,34,0.3088235294117647
MGC,30,MGC_c_0_1m_20260322_155729.parquet,2010-10-03 19:26:00-04:00,2026-03-20 16:59:00-04:00,America/New_York,3128,141.0,1303,1866,880,852,2248,28,0.27237851662404094
MGC,60,MGC_c_0_1m_20260322_155729.parquet,2010-10-03 19:26:00-04:00,2026-03-20 16:59:00-04:00,America/New_York,3128,141.0,1303,1866,805,781,2323,24,0.24968030690537085
MNQ,5,MNQ_c_0_1m_20260321_094501.parquet,2019-05-05 18:03:00-04:00,2026-03-20 09:29:00-04:00,America/New_York,1747,391.0,1684,1684,1745,1682,2,63,0.9627933600457927
MNQ,15,MNQ_c_0_1m_20260321_094501.parquet,2019-05-05 18:03:00-04:00,2026-03-20 09:29:00-04:00,America/New_York,1747,391.0,1684,1684,1744,1681,3,63,0.9622209502003435
MNQ,30,MNQ_c_0_1m_20260321_094501.parquet,2019-05-05 18:03:00-04:00,2026-03-20 09:29:00-04:00,America/New_York,1747,391.0,1684,1684,1742,1680,5,62,0.9616485403548941
MNQ,60,MNQ_c_0_1m_20260321_094501.parquet,2019-05-05 18:03:00-04:00,2026-03-20 09:29:00-04:00,America/New_York,1747,391.0,1684,1684,1739,1678,8,61,0.9605037206639955
