asset,or_window_minutes,n_days,n_no_breakout,n_breakout_up,n_breakout_down,n_valid_breakouts,n_same_direction,n_failed_direction,pct_no_breakout,pct_breakout_up,pct_breakout_down,hit_rate,hit_rate_up,hit_rate_down,avg_close_extension,median_close_extension
M2K,5,1679,1,802,876,1678,896,782,0.0005955926146515784,0.4776652769505658,0.5217391304347826,0.533969010727056,0.543640897755611,0.5251141552511416,0.9641239570917722,1.6999999999999318
M2K,15,1675,6,824,845,1669,895,774,0.003582089552238806,0.4919402985074627,0.5044776119402985,0.536249251048532,0.5606796116504854,0.5124260355029586,0.9505092869982023,1.5
M2K,30,1670,22,823,825,1648,896,752,0.013173652694610778,0.492814371257485,0.4940119760479042,0.5436893203883495,0.5540704738760632,0.5333333333333333,1.1358009708737755,1.6000000000000227
M2K,60,1661,127,771,763,1534,842,692,0.07645996387718242,0.4641782059000602,0.4593618302227574,0.5488917861799217,0.582360570687419,0.5150720838794234,0.9379400260756126,1.2999999999999545
MES,5,1683,0,848,835,1683,898,785,0.0,0.5038621509209744,0.49613784907902553,0.5335710041592394,0.5754716981132075,0.49101796407185627,2.311200237670826,2.25
MES,15,1681,1,866,814,1680,900,780,0.000594883997620464,0.5151695419393219,0.4842355740630577,0.5357142857142857,0.5808314087759815,0.4877149877149877,1.6730654761904762,2.5
MES,30,1681,5,890,786,1676,902,774,0.00297441998810232,0.529446757882213,0.4675788221296847,0.5381861575178998,0.5786516853932584,0.49236641221374045,1.9184069212410502,2.125
MES,60,1679,53,875,751,1626,866,760,0.03156640857653365,0.521143537820131,0.4472900536033353,0.5325953259532595,0.5634285714285714,0.4966711051930759,1.5026137761377614,1.75
MGC,5,1168,0,584,584,1168,576,592,0.0,0.5,0.5,0.4931506849315068,0.5136986301369864,0.4726027397260274,0.5378424657534251,-0.049999999999954525
MGC,15,966,5,494,467,961,512,449,0.005175983436853002,0.5113871635610766,0.4834368530020704,0.5327783558792925,0.5526315789473685,0.5117773019271948,1.0220603537981356,0.6000000000001364
MGC,30,852,17,426,409,835,448,387,0.01995305164319249,0.5,0.4800469483568075,0.5365269461077844,0.5751173708920188,0.4963325183374083,1.41700598802395,0.7999999999999545
MGC,60,781,64,376,341,717,395,322,0.08194622279129321,0.4814340588988476,0.43661971830985913,0.5509065550906556,0.5824468085106383,0.5161290322580645,1.38619246861925,0.7000000000000455
MNQ,5,1682,0,850,832,1682,888,794,0.0,0.5053507728894173,0.4946492271105826,0.5279429250891795,0.5705882352941176,0.484375,8.453775267538644,7.75
MNQ,15,1681,2,867,812,1679,907,772,0.001189767995240928,0.5157644259369423,0.4830458060678168,0.5402025014889815,0.5882352941176471,0.48891625615763545,7.595890410958904,13.0
MNQ,30,1680,15,877,788,1665,912,753,0.008928571428571428,0.5220238095238096,0.46904761904761905,0.5477477477477477,0.6054732041049031,0.48350253807106597,9.41966966966967,13.0
MNQ,60,1678,77,857,744,1601,896,705,0.045887961859356376,0.5107270560190703,0.4433849821215733,0.5596502186133666,0.6126021003500584,0.4986559139784946,8.143504059962524,11.25
