scope,net_pnl,sharpe,sortino,profit_factor,expectancy,max_drawdown,n_trades,n_days_traded,pct_days_traded,hit_rate,avg_win,avg_loss,stop_hit_rate,target_hit_rate,exposure_time_pct
overall,40754.0,0.9934434056187049,1.074319326542151,1.1859037227272935,44.34602829162133,-13087.5,919,919,0.8205357142857143,0.4961915125136017,570.1206140350877,-473.4794816414687,0.3862894450489663,0.14907508161044614,0.5558035714285714
is,11938.0,0.4248102102658413,0.4504104603933499,1.0756098410597286,18.53726708074534,-13087.5,644,644,0.818297331639136,0.4751552795031056,554.9918300653595,-467.1286982248521,0.39906832298136646,0.12732919254658384,0.5549148014205193
oos,28816.0,2.2458301792399413,2.5166796606473554,1.469840131090875,104.78545454545454,-6217.5,275,275,0.8258258258258259,0.5454545454545454,600.9833333333333,-490.652,0.3563636363636364,0.2,0.557904057904058
