session_date,orb_daily_pnl_usd,orb_return,orb_daily_trade_count,pullback_daily_pnl_usd,pullback_return,pullback_daily_trade_count,phase,benchmark_return
2019-05-06,0.0,0.0,0,0.0,0.0,0.0,is,0.0
2019-05-07,0.0,0.0,0,0.0,0.0,0.0,is,-0.008845843422114585
2019-05-08,0.0,0.0,0,0.0,0.0,0.0,is,-0.010390541024722366
2019-05-09,0.0,0.0,0,0.0,0.0,0.0,is,-0.006286617075900169
2019-05-10,0.0,0.0,0,0.0,0.0,0.0,is,0.008280613427842809
2019-05-13,0.0,0.0,0,0.0,0.0,0.0,is,-0.032324825071449736
2019-05-14,0.0,0.0,0,0.0,0.0,0.0,is,0.010659605526699867
2019-05-15,0.0,0.0,0,0.0,0.0,0.0,is,0.007053844345168203
2019-05-16,0.0,0.0,0,0.0,0.0,0.0,is,0.009839565057869981
2019-05-17,0.0,0.0,0,-105.0,-0.0021,1.0,is,-0.007530717399920728
2019-05-20,0.0,0.0,0,0.0,0.0,0.0,is,-0.009251863684771044
2019-05-21,0.0,0.0,0,0.0,0.0,0.0,is,0.0027544507893852987
2019-05-22,0.0,0.0,0,0.0,0.0,0.0,is,-0.010049577917727426
2019-05-23,0.0,0.0,0,0.0,0.0,0.0,is,-0.007004602057390397
2019-05-24,0.0,0.0,0,0.0,0.0,0.0,is,-0.0033055034929289073
2019-05-27,0.0,0.0,0,0.0,0.0,0.0,is,0.0044105579868709555
2019-05-28,0.0,0.0,0,0.0,0.0,0.0,is,-0.012424685978826955
2019-05-29,0.0,0.0,0,0.0,0.0,0.0,is,-0.0031366331173308115
2019-05-30,0.0,0.0,0,0.0,0.0,0.0,is,-0.0027661560803567964
2019-05-31,0.0,0.0,0,0.0,0.0,0.0,is,-0.010263167019174069
2019-06-03,0.0,0.0,0,0.0,0.0,0.0,is,-0.018952531091259384
2019-06-04,0.0,0.0,0,-105.0,-0.002104419280489027,1.0,is,0.029638623053849456
2019-06-05,0.0,0.0,0,426.0,0.008555934926692106,1.0,is,0.00319067767219261
2019-06-06,0.0,0.0,0,0.0,0.0,0.0,is,0.008227891861992687
2019-06-07,0.0,0.0,0,0.0,0.0,0.0,is,0.018893155945686413
2019-06-10,0.0,0.0,0,0.0,0.0,0.0,is,0.01470637725054691
2019-06-11,0.0,0.0,0,0.0,0.0,0.0,is,-0.0040461660918015285
2019-06-12,0.0,0.0,0,0.0,0.0,0.0,is,-0.006626706626706613
2019-06-13,0.0,0.0,0,0.0,0.0,0.0,is,0.007542489356709536
2019-06-14,0.0,0.0,0,0.0,0.0,0.0,is,-0.0039592760180995334
2019-06-17,0.0,0.0,0,0.0,0.0,0.0,is,0.0073821692220328305
2019-06-18,-83.0,-0.00166,1,0.0,0.0,0.0,is,0.014821937794283535
2019-06-19,0.0,0.0,0,0.0,0.0,0.0,is,0.010945923868648899
2019-06-20,0.0,0.0,0,0.0,0.0,0.0,is,-0.0017776341305753007
2019-06-24,0.0,0.0,0,0.0,0.0,0.0,is,0.0010037234903674808
