config_name,symbol,bucket,trade_count,net_pnl,avg_trade,win_rate
allow_reclaim_after_opposite_breakout_conservative__buffer_2__require_vwap_false,MES,trade_without_prior_downside_breakout,790,4656.25,5.893987341772152,0.43544303797468353
allow_reclaim_after_opposite_breakout_conservative__buffer_2__require_vwap_false,MGC,reclaim_trade,362,-10101.999999998448,-27.906077348062013,0.34806629834254144
allow_reclaim_after_opposite_breakout_conservative__buffer_2__require_vwap_false,MGC,trade_without_prior_downside_breakout,500,-2987.9999999974507,-5.975999999994901,0.432
allow_reclaim_after_opposite_breakout_conservative__buffer_2__require_vwap_false,MNQ,reclaim_trade,432,-2938.0,-6.800925925925926,0.44212962962962965
allow_reclaim_after_opposite_breakout_conservative__buffer_2__require_vwap_false,MNQ,trade_without_prior_downside_breakout,685,18448.5,26.932116788321167,0.4759124087591241
allow_reclaim_after_opposite_breakout_conservative__buffer_2__require_vwap_true,M2K,reclaim_trade,412,-2617.499999998986,-6.353155339803364,0.4368932038834951
allow_reclaim_after_opposite_breakout_conservative__buffer_2__require_vwap_true,M2K,trade_without_prior_downside_breakout,793,-5545.999999997989,-6.993694829757867,0.45649432534678436
allow_reclaim_after_opposite_breakout_conservative__buffer_2__require_vwap_true,MES,reclaim_trade,562,-11533.75,-20.522686832740213,0.3896797153024911
allow_reclaim_after_opposite_breakout_conservative__buffer_2__require_vwap_true,MES,trade_without_prior_downside_breakout,790,4656.25,5.893987341772152,0.43544303797468353
allow_reclaim_after_opposite_breakout_conservative__buffer_2__require_vwap_true,MGC,reclaim_trade,356,-10036.99999999844,-28.193820224714717,0.351123595505618
allow_reclaim_after_opposite_breakout_conservative__buffer_2__require_vwap_true,MGC,trade_without_prior_downside_breakout,500,-2987.9999999974507,-5.975999999994901,0.432
allow_reclaim_after_opposite_breakout_conservative__buffer_2__require_vwap_true,MNQ,reclaim_trade,431,-3320.5,-7.704176334106728,0.4385150812064965
allow_reclaim_after_opposite_breakout_conservative__buffer_2__require_vwap_true,MNQ,trade_without_prior_downside_breakout,685,18448.5,26.932116788321167,0.4759124087591241
allow_reclaim_after_opposite_breakout_strict__buffer_0__reclaim_1,M2K,reclaim_trade,423,-3042.9999999989623,-7.1938534278935276,0.4326241134751773
allow_reclaim_after_opposite_breakout_strict__buffer_0__reclaim_1,M2K,trade_without_prior_downside_breakout,782,-5137.49999999801,-6.569693094626611,0.45907928388746805
allow_reclaim_after_opposite_breakout_strict__buffer_0__reclaim_1,MES,reclaim_trade,584,-13638.75,-23.35402397260274,0.3835616438356164
allow_reclaim_after_opposite_breakout_strict__buffer_0__reclaim_1,MES,trade_without_prior_downside_breakout,767,6460.0,8.422425032594525,0.4406779661016949
allow_reclaim_after_opposite_breakout_strict__buffer_0__reclaim_1,MGC,reclaim_trade,369,-12160.999999998176,-32.95663956639072,0.35501355013550134
allow_reclaim_after_opposite_breakout_strict__buffer_0__reclaim_1,MGC,trade_without_prior_downside_breakout,471,644.0000000022928,1.367303609346694,0.4416135881104034
allow_reclaim_after_opposite_breakout_strict__buffer_0__reclaim_1,MNQ,reclaim_trade,433,-3337.5,-7.7078521939953815,0.4387990762124711
allow_reclaim_after_opposite_breakout_strict__buffer_0__reclaim_1,MNQ,trade_without_prior_downside_breakout,682,18677.5,27.386363636363637,0.47653958944281527
allow_reclaim_after_opposite_breakout_strict__buffer_0__reclaim_2,M2K,reclaim_trade,423,-3042.9999999989623,-7.1938534278935276,0.4326241134751773
allow_reclaim_after_opposite_breakout_strict__buffer_0__reclaim_2,M2K,trade_without_prior_downside_breakout,782,-5137.49999999801,-6.569693094626611,0.45907928388746805
allow_reclaim_after_opposite_breakout_strict__buffer_0__reclaim_2,MES,reclaim_trade,584,-13618.75,-23.319777397260275,0.3835616438356164
