portfolio_name,scope,days,net_pnl,annualized_return_proxy,daily_sharpe,sortino,max_drawdown,max_daily_loss,profit_factor,day_win_rate,avg_winning_day,avg_losing_day,monthly_hit_rate,active_days,trade_days,avg_trade_count_per_day,gross_profit,gross_loss,median_day,corr_to_baseline,beta_to_baseline,deployable,verdict
baseline_only,defined_full,1120,40002.0,14.140162127647372,1.1065054788519197,1.3336211188020666,-8354.0,-750.0,1.1914360575715157,0.48035714285714287,462.75,-375.14811490125675,0.569620253164557,1095,1096,1.0160714285714285,248959.5,208957.5,0.0,0.0,0.0,True,reject
baseline_only,defined_train,753,15288.0,9.338972709302373,0.6295948892822647,0.7490681026016341,-8354.0,-750.0,1.1037476884447688,0.46879150066401065,460.75212464589237,-380.7687338501292,0.5185185185185185,740,741,1.0066401062416999,162645.5,147357.5,-24.0,0.0,0.0,True,reject
baseline_only,defined_oos,367,24714.0,31.75692794016236,2.0880724066086715,2.586886041214114,-5950.5,-744.0,1.4012012987012987,0.5040871934604905,466.56216216216217,-362.3529411764706,0.68,355,355,1.0354223433242506,86314.0,61600.0,9.5,,1.0000000000000002,True,reject
pullback_m2k_mgc_only,defined_full,626,235.63750000001392,0.18944812435854885,0.6759067535059252,0.36750947697181024,-107.81249999999272,-36.74999999999841,1.6531878031878657,0.027156549520766772,35.08161764705886,-13.874999999999492,0.3,43,611,1.0431309904153354,596.3875000000007,360.7499999999868,0.0,0.0,0.0,True,reject
pullback_m2k_mgc_only,defined_train,259,22.31250000000955,0.04341865712524928,0.22862910650779836,0.07994143613035275,-107.81249999999272,-36.74999999999841,1.1409952606635727,0.02702702702702703,25.794642857143394,-14.386363636363109,0.26666666666666666,18,256,1.054054054054054,180.56250000000375,158.2499999999942,0.0,0.0,0.0,True,reject
pullback_m2k_mgc_only,defined_oos,367,213.32500000000437,0.29276311773860364,0.8880560235587482,0.5911799231384964,-64.87499999999272,-34.249999999999545,2.053456790123517,0.027247956403269755,41.5824999999997,-13.499999999999508,0.32,25,355,1.0354223433242506,415.824999999997,202.4999999999926,0.0,,-0.0011381398393766568,True,reject
pullback_m2k_only,defined_full,626,44.27500000001828,0.035636901213953465,0.12648032258225086,0.042949085238729166,-155.24999999999272,-52.5,1.1003968253968692,0.01757188498402556,44.115909090909845,-23.210526315788947,0.2,30,611,1.0223642172523961,485.2750000000083,440.99999999999,0.0,0.0,0.0,True,reject
pullback_m2k_only,defined_train,259,93.12500000001137,0.18121165810540685,0.5405556328193629,0.205128585390956,-119.625,-52.5,1.4223356009070929,0.023166023166023165,52.2708333333342,-24.499999999999318,0.26666666666666666,15,256,1.0424710424710424,313.62500000000523,220.49999999999386,0.0,0.0,0.0,True,reject
pullback_m2k_only,defined_oos,367,-48.8499999999931,-0.0670958319122672,-0.2833099439713095,-0.08614838025640127,-155.24999999999272,-35.99999999999909,0.7784580498866488,0.013623978201634877,34.33000000000061,-22.049999999999613,0.16,15,355,1.008174386920981,171.65000000000305,220.49999999999613,0.0,,-0.00026873819856427996,True,reject
baseline_plus_pullback_equal_notional,defined_full,626,27716.63750000001,19.42827745906399,1.3509927581213448,1.6296057105162793,-7322.4375,-750.0,1.2386082124714388,0.48881789137380194,470.18382352941177,-380.85118852459016,0.6,611,611,1.0431309904153354,143876.25,116159.6125,0.0,0.0,0.0,True,reject
