left_portfolio,right_portfolio,correlation,overlap_days
baseline_only,baseline_only,1.0,367
baseline_only,baseline_plus_m2k_only_equal_notional,0.9998938800501114,367
baseline_only,baseline_plus_pullback_capped_50pct,0.9999486180146597,367
baseline_only,baseline_plus_pullback_equal_notional,0.9997942854412001,367
baseline_only,baseline_plus_pullback_scaled_to_baseline_risk,0.9997942854412003,367
baseline_only,baseline_plus_pullback_when_baseline_flat,1.0,367
baseline_only,pullback_m2k_mgc_only,-0.056077897660279104,367
baseline_only,pullback_m2k_only,-0.01844693170077403,367
baseline_plus_m2k_only_equal_notional,baseline_only,0.9998938800501113,367
baseline_plus_m2k_only_equal_notional,baseline_plus_m2k_only_equal_notional,0.9999999999999998,367
baseline_plus_m2k_only_equal_notional,baseline_plus_pullback_capped_50pct,0.9998956091682518,367
baseline_plus_m2k_only_equal_notional,baseline_plus_pullback_equal_notional,0.9997944427318641,367
baseline_plus_m2k_only_equal_notional,baseline_plus_pullback_scaled_to_baseline_risk,0.999794442731864,367
baseline_plus_m2k_only_equal_notional,baseline_plus_pullback_when_baseline_flat,0.9998938800501113,367
baseline_plus_m2k_only_equal_notional,pullback_m2k_mgc_only,-0.05084146204227741,367
baseline_plus_m2k_only_equal_notional,pullback_m2k_only,-0.0038793838677535306,367
baseline_plus_pullback_capped_50pct,baseline_only,0.9999486180146597,367
baseline_plus_pullback_capped_50pct,baseline_plus_m2k_only_equal_notional,0.9998956091682519,367
baseline_plus_pullback_capped_50pct,baseline_plus_pullback_capped_50pct,1.0,367
baseline_plus_pullback_capped_50pct,baseline_plus_pullback_equal_notional,0.9999485220385105,367
baseline_plus_pullback_capped_50pct,baseline_plus_pullback_scaled_to_baseline_risk,0.9999485220385109,367
baseline_plus_pullback_capped_50pct,baseline_plus_pullback_when_baseline_flat,0.9999486180146597,367
baseline_plus_pullback_capped_50pct,pullback_m2k_mgc_only,-0.04595384173642675,367
baseline_plus_pullback_capped_50pct,pullback_m2k_only,-0.014801258267985895,367
baseline_plus_pullback_equal_notional,baseline_only,0.9997942854412001,367
baseline_plus_pullback_equal_notional,baseline_plus_m2k_only_equal_notional,0.9997944427318641,367
baseline_plus_pullback_equal_notional,baseline_plus_pullback_capped_50pct,0.9999485220385107,367
baseline_plus_pullback_equal_notional,baseline_plus_pullback_equal_notional,0.9999999999999998,367
baseline_plus_pullback_equal_notional,baseline_plus_pullback_scaled_to_baseline_risk,1.0,367
baseline_plus_pullback_equal_notional,baseline_plus_pullback_when_baseline_flat,0.9997942854412001,367
baseline_plus_pullback_equal_notional,pullback_m2k_mgc_only,-0.035815606116823044,367
baseline_plus_pullback_equal_notional,pullback_m2k_only,-0.011150658477243931,367
baseline_plus_pullback_scaled_to_baseline_risk,baseline_only,0.9997942854412003,367
baseline_plus_pullback_scaled_to_baseline_risk,baseline_plus_m2k_only_equal_notional,0.9997944427318639,367
baseline_plus_pullback_scaled_to_baseline_risk,baseline_plus_pullback_capped_50pct,0.9999485220385109,367
baseline_plus_pullback_scaled_to_baseline_risk,baseline_plus_pullback_equal_notional,1.0,367
baseline_plus_pullback_scaled_to_baseline_risk,baseline_plus_pullback_scaled_to_baseline_risk,0.9999999999999998,367
baseline_plus_pullback_scaled_to_baseline_risk,baseline_plus_pullback_when_baseline_flat,0.9997942854412003,367
baseline_plus_pullback_scaled_to_baseline_risk,pullback_m2k_mgc_only,-0.03581560611682304,367
baseline_plus_pullback_scaled_to_baseline_risk,pullback_m2k_only,-0.011150658477243922,367
baseline_plus_pullback_when_baseline_flat,baseline_only,1.0,367
baseline_plus_pullback_when_baseline_flat,baseline_plus_m2k_only_equal_notional,0.9998938800501114,367
baseline_plus_pullback_when_baseline_flat,baseline_plus_pullback_capped_50pct,0.9999486180146597,367
baseline_plus_pullback_when_baseline_flat,baseline_plus_pullback_equal_notional,0.9997942854412001,367
baseline_plus_pullback_when_baseline_flat,baseline_plus_pullback_scaled_to_baseline_risk,0.9997942854412003,367
baseline_plus_pullback_when_baseline_flat,baseline_plus_pullback_when_baseline_flat,1.0,367
baseline_plus_pullback_when_baseline_flat,pullback_m2k_mgc_only,-0.056077897660279104,367
baseline_plus_pullback_when_baseline_flat,pullback_m2k_only,-0.01844693170077403,367
pullback_m2k_mgc_only,baseline_only,-0.056077897660279104,367
pullback_m2k_mgc_only,baseline_plus_m2k_only_equal_notional,-0.05084146204227741,367
pullback_m2k_mgc_only,baseline_plus_pullback_capped_50pct,-0.04595384173642674,367
pullback_m2k_mgc_only,baseline_plus_pullback_equal_notional,-0.035815606116823044,367
pullback_m2k_mgc_only,baseline_plus_pullback_scaled_to_baseline_risk,-0.03581560611682304,367
pullback_m2k_mgc_only,baseline_plus_pullback_when_baseline_flat,-0.056077897660279104,367
pullback_m2k_mgc_only,pullback_m2k_mgc_only,0.9999999999999998,367
pullback_m2k_mgc_only,pullback_m2k_only,0.360010975420985,367
pullback_m2k_only,baseline_only,-0.018446931700774032,367
pullback_m2k_only,baseline_plus_m2k_only_equal_notional,-0.0038793838677535306,367
pullback_m2k_only,baseline_plus_pullback_capped_50pct,-0.014801258267985897,367
pullback_m2k_only,baseline_plus_pullback_equal_notional,-0.011150658477243933,367
pullback_m2k_only,baseline_plus_pullback_scaled_to_baseline_risk,-0.011150658477243922,367
pullback_m2k_only,baseline_plus_pullback_when_baseline_flat,-0.018446931700774032,367
pullback_m2k_only,pullback_m2k_mgc_only,0.360010975420985,367
pullback_m2k_only,pullback_m2k_only,1.0,367
