portfolio_name,bootstrap_paths,block_size,median_net_pnl,p05_net_pnl,p95_net_pnl,probability_positive,probability_drawdown_breach_2k,probability_daily_loss_breach,probability_prop_pass
baseline_only,500,5,24739.75,8687.5,40725.07499999999,0.996,0.998,0.0,0.554
pullback_m2k_mgc_only,500,5,204.60625000000334,-66.61562499999003,582.0993749999709,0.876,0.0,0.0,0.0
pullback_m2k_only,500,5,-79.8499999999899,-271.5187499999919,199.10625000000547,0.32,0.0,0.0,0.0
baseline_plus_pullback_equal_notional,500,5,24616.225000000013,10071.523750000015,40857.054374999985,0.998,1.0,0.0,0.572
baseline_plus_pullback_scaled_to_baseline_risk,500,5,24677.266298696697,7685.696385553403,41027.188460299236,0.998,1.0,0.0,0.614
baseline_plus_pullback_capped_50pct,500,5,24544.415625,8678.979375000004,40445.76093749999,0.992,1.0,0.0,0.518
baseline_plus_pullback_when_baseline_flat,500,5,24670.0,9242.925000000001,42037.575,0.996,1.0,0.0,0.556
baseline_plus_m2k_only_equal_notional,500,5,25083.425000000007,8574.167500000009,40587.575000000004,0.994,1.0,0.0,0.552
