session_date,baseline_daily_pnl_usd,baseline_daily_trade_count,baseline_defined,pullback_daily_pnl_usd,pullback_daily_trade_count,pullback_defined,pullback_fold_id,m2k_only_daily_pnl_usd,m2k_only_daily_trade_count,m2k_only_defined,m2k_only_fold_id,overlap_defined,train_mask,oos_mask
2019-05-07,230.0,1.0,True,0.0,0.0,False,,0.0,0.0,False,,False,True,False
2019-05-09,-544.0,1.0,True,0.0,0.0,False,,0.0,0.0,False,,False,True,False
2019-05-13,207.0,1.0,True,0.0,0.0,False,,0.0,0.0,False,,False,True,False
2019-05-20,-166.5,1.0,True,0.0,0.0,False,,0.0,0.0,False,,False,True,False
2019-06-03,358.5,1.0,True,0.0,0.0,False,,0.0,0.0,False,,False,True,False
2019-06-18,-180.0,1.0,True,0.0,0.0,False,,0.0,0.0,False,,False,True,False
2019-08-02,102.0,1.0,True,0.0,0.0,False,,0.0,0.0,False,,False,True,False
2019-08-06,-374.0,1.0,True,0.0,0.0,False,,0.0,0.0,False,,False,True,False
2019-08-07,792.0,1.0,True,0.0,0.0,False,,0.0,0.0,False,,False,True,False
2019-08-13,0.0,0.0,True,0.0,0.0,False,,0.0,0.0,False,,False,True,False
2019-08-14,603.0,1.0,True,0.0,0.0,False,,0.0,0.0,False,,False,True,False
2019-08-23,-500.0,1.0,True,0.0,0.0,False,,0.0,0.0,False,,False,True,False
2019-09-03,-10.0,1.0,True,0.0,0.0,False,,0.0,0.0,False,,False,True,False
2019-10-03,-460.5,1.0,True,0.0,0.0,False,,0.0,0.0,False,,False,True,False
2019-10-04,276.0,1.0,True,0.0,0.0,False,,0.0,0.0,False,,False,True,False
2019-12-12,-28.5,1.0,True,0.0,0.0,False,,0.0,0.0,False,,False,True,False
2019-12-13,-22.5,1.0,True,0.0,0.0,False,,0.0,0.0,False,,False,True,False
2020-01-31,774.0,1.0,True,0.0,0.0,False,,0.0,0.0,False,,False,True,False
2020-02-05,-94.0,1.0,True,0.0,0.0,False,,0.0,0.0,False,,False,True,False
2020-02-21,36.5,1.0,True,0.0,0.0,False,,0.0,0.0,False,,False,True,False
2020-02-25,405.0,1.0,True,0.0,0.0,False,,0.0,0.0,False,,False,True,False
2020-02-26,-277.0,1.0,True,0.0,0.0,False,,0.0,0.0,False,,False,True,False
2020-02-27,-248.0,1.0,True,0.0,0.0,False,,0.0,0.0,False,,False,True,False
2020-03-04,265.0,1.0,True,0.0,0.0,False,,0.0,0.0,False,,False,True,False
2020-03-05,-337.0,1.0,True,0.0,0.0,False,,0.0,0.0,False,,False,True,False
2020-03-06,-234.5,1.0,True,0.0,0.0,False,,0.0,0.0,False,,False,True,False
2020-03-10,-230.5,1.0,True,0.0,0.0,False,,0.0,0.0,False,,False,True,False
2020-03-11,389.0,1.0,True,0.0,0.0,False,,0.0,0.0,False,,False,True,False
2020-03-24,-233.5,1.0,True,0.0,0.0,False,,0.0,0.0,False,,False,True,False
2020-03-27,-510.0,1.0,True,0.0,0.0,False,,0.0,0.0,False,,False,True,False
2020-03-30,1400.0,1.0,True,0.0,0.0,False,,0.0,0.0,False,,False,True,False
2020-03-31,-489.0,1.0,True,0.0,0.0,False,,0.0,0.0,False,,False,True,False
2020-04-01,-307.0,1.0,True,0.0,0.0,False,,0.0,0.0,False,,False,True,False
2020-04-02,176.0,1.0,True,0.0,0.0,False,,0.0,0.0,False,,False,True,False
2020-04-03,94.0,1.0,True,0.0,0.0,False,,0.0,0.0,False,,False,True,False
2020-04-06,874.0,1.0,True,0.0,0.0,False,,0.0,0.0,False,,False,True,False
2020-04-07,223.0,1.0,True,0.0,0.0,False,,0.0,0.0,False,,False,True,False
2020-04-08,-208.0,1.0,True,0.0,0.0,False,,0.0,0.0,False,,False,True,False
2020-04-09,-54.0,1.0,True,0.0,0.0,False,,0.0,0.0,False,,False,True,False
2020-04-13,-684.0,1.0,True,0.0,0.0,False,,0.0,0.0,False,,False,True,False
2020-04-14,283.0,1.0,True,0.0,0.0,False,,0.0,0.0,False,,False,True,False
2020-04-16,-487.5,1.0,True,0.0,0.0,False,,0.0,0.0,False,,False,True,False
2020-04-17,-301.5,1.0,True,0.0,0.0,False,,0.0,0.0,False,,False,True,False
2020-04-20,-635.0,1.0,True,0.0,0.0,False,,0.0,0.0,False,,False,True,False
2020-04-21,174.5,1.0,True,0.0,0.0,False,,0.0,0.0,False,,False,True,False
2020-04-22,165.0,1.0,True,0.0,0.0,False,,0.0,0.0,False,,False,True,False
2020-04-23,-349.0,1.0,True,0.0,0.0,False,,0.0,0.0,False,,False,True,False
2020-04-27,-309.0,1.0,True,0.0,0.0,False,,0.0,0.0,False,,False,True,False
2020-04-28,1162.0,1.0,True,0.0,0.0,False,,0.0,0.0,False,,False,True,False
2020-04-29,718.0,1.0,True,0.0,0.0,False,,0.0,0.0,False,,False,True,False
2020-04-30,-178.5,1.0,True,0.0,0.0,False,,0.0,0.0,False,,False,True,False
2020-05-01,-542.0,1.0,True,0.0,0.0,False,,0.0,0.0,False,,False,True,False
2020-05-04,688.0,1.0,True,0.0,0.0,False,,0.0,0.0,False,,False,True,False
2020-05-06,-532.0,1.0,True,0.0,0.0,False,,0.0,0.0,False,,False,True,False
2020-05-07,-665.0,1.0,True,0.0,0.0,False,,0.0,0.0,False,,False,True,False
2020-05-13,-215.0,1.0,True,0.0,0.0,False,,0.0,0.0,False,,False,True,False
2020-05-14,-504.0,1.0,True,0.0,0.0,False,,0.0,0.0,False,,False,True,False
2020-05-15,203.0,1.0,True,0.0,0.0,False,,0.0,0.0,False,,False,True,False
2020-05-18,105.0,1.0,True,0.0,0.0,False,,0.0,0.0,False,,False,True,False
2020-05-19,-292.0,1.0,True,0.0,0.0,False,,0.0,0.0,False,,False,True,False
2020-05-21,846.0,1.0,True,0.0,0.0,False,,0.0,0.0,False,,False,True,False
2020-05-27,-234.0,1.0,True,0.0,0.0,False,,0.0,0.0,False,,False,True,False
2020-05-28,-505.5,1.0,True,0.0,0.0,False,,0.0,0.0,False,,False,True,False
2020-05-29,-444.0,1.0,True,0.0,0.0,False,,0.0,0.0,False,,False,True,False
2020-06-01,41.0,1.0,True,0.0,0.0,False,,0.0,0.0,False,,False,True,False
2020-06-03,-749.0,1.0,True,0.0,0.0,False,,0.0,0.0,False,,False,True,False
2020-06-08,-512.0,1.0,True,0.0,0.0,False,,0.0,0.0,False,,False,True,False
2020-06-09,591.0,1.0,True,0.0,0.0,False,,0.0,0.0,False,,False,True,False
2020-06-10,-487.5,1.0,True,0.0,0.0,False,,0.0,0.0,False,,False,True,False
2020-06-12,1341.0,1.0,True,0.0,0.0,False,,0.0,0.0,False,,False,True,False
2020-06-15,475.0,1.0,True,0.0,0.0,False,,0.0,0.0,False,,False,True,False
