symbol,name,family,timeframe,volume_quantile,volume_lookback,min_body_fraction,min_range_atr,trend_ema_window,ema_slope_threshold,atr_percentile_low,atr_percentile_high,compression_ratio_max,entry_mode,pullback_fraction,confirmation_window,exit_mode,rr_target,atr_target_multiple,time_stop_bars,trailing_atr_multiple,session_overlay,variant_name,generation,branch,ema_slope_filter,atr_percentile_band,compression_filter,is_explicit_v2_dynamic_anchor,is_net_pnl,is_profit_factor,is_sharpe,is_max_drawdown,is_nb_trades,is_expectancy,is_hit_rate,is_avg_trade,is_raw_signal_count,oos_net_pnl,oos_profit_factor,oos_sharpe,oos_max_drawdown,oos_nb_trades,oos_expectancy,oos_hit_rate,oos_avg_trade,oos_raw_signal_count,stability_is_oos_sharpe_ratio,v2_reference_variant_name,v2_reference_family,v2_reference_oos_net_pnl,v2_reference_oos_profit_factor,v2_reference_oos_sharpe,v2_reference_oos_expectancy,v2_reference_oos_nb_trades,v2_reference_stability_is_oos_sharpe_ratio,v2_reference_selection_score,delta_oos_net_pnl_vs_v2,delta_oos_profit_factor_vs_v2,delta_oos_sharpe_vs_v2,delta_oos_expectancy_vs_v2,delta_stability_vs_v2,relative_oos_net_pnl_vs_v2,anomaly_oos_zero_trade,anomaly_profit_factor_inf,anomaly_small_oos_sample,anomaly_undefined_stability,anomaly_count,selection_score,variant_status,status_rank,is_clean_survivor
M2K,dynamic_exit_atr_target_1p0_ts4_vq0p95_bf0p5_ra1p2,dynamic_exit,1h,0.95,50,0.5,1.2,,,,,,next_open,,,atr_fraction,1.0,1.0,4,0.5,all_rth,dynamic_exit_atr_target_1p0_ts4_vq0p95_bf0p5_ra1p2,v3,dynamic_exit_only,off,off,off,False,474.07500000018445,1.1291053921569179,0.33999876393697753,-394.0749999999605,241,1.9671161825733794,0.3278008298755187,1.9671161825733794,251,986.6500000000781,1.8008522727273735,1.5672492117769794,-153.99999999999523,99,9.966161616162404,0.35353535353535354,9.966161616162404,102,4.6095732632354105,dynamic_exit_atr_target_1p0_ts3_vq0p95_bf0p5_ra1p2,dynamic_exit,956.650000000078,1.762878787878885,1.5152407522377245,9.6631313131321,99,4.830687015829437,2.858566887532904,30.000000000000114,0.037973484848488503,0.052008459539254925,0.30303030303030454,-0.2211137525940261,1.0313594313489758,False,False,False,False,0,2.130976009188618,survivor,0,True
M2K,dynamic_exit_atr_target_1p0_ts3_vq0p95_bf0p5_ra1p2,dynamic_exit,1h,0.95,50,0.5,1.2,,,,,,next_open,,,atr_fraction,1.0,1.0,3,0.5,all_rth,dynamic_exit_atr_target_1p0_ts3_vq0p95_bf0p5_ra1p2,v3,dynamic_exit_only,off,off,off,True,436.57500000018786,1.1186345108696207,0.313669825280029,-423.0749999999591,241,1.8115145228223561,0.3236514522821577,1.8115145228223561,251,956.6500000000781,1.762878787878885,1.5152407522377243,-153.99999999999523,99,9.663131313132101,0.35353535353535354,9.663131313132101,102,4.830687015829437,dynamic_exit_atr_target_1p0_ts3_vq0p95_bf0p5_ra1p2,dynamic_exit,956.650000000078,1.762878787878885,1.5152407522377245,9.6631313131321,99,4.830687015829437,2.858566887532904,1.1368683772161603e-13,0.0,-2.220446049250313e-16,1.7763568394002505e-15,0.0,1.0000000000000002,False,False,False,False,0,2.066213297528899,survivor,0,True
M2K,dynamic_exit_atr_target_1p0_ts4_vq0p95_bf0p6_ra1p2,dynamic_exit,1h,0.95,50,0.6,1.2,,,,,,next_open,,,atr_fraction,1.0,1.0,4,0.5,all_rth,dynamic_exit_atr_target_1p0_ts4_vq0p95_bf0p6_ra1p2,v3,dynamic_exit_only,off,off,off,False,1054.2750000001433,1.4284799837432194,0.8581645787698929,-199.84999999997285,188,5.6078457446816135,0.34574468085106386,5.6078457446816135,195,771.6000000000645,1.8359696641387917,1.4157965694056298,-181.99999999999363,80,9.645000000000806,0.3375,9.645000000000806,81,1.6497960932331368,dynamic_exit_atr_target_1p0_ts3_vq0p95_bf0p5_ra1p2,dynamic_exit,956.650000000078,1.762878787878885,1.5152407522377245,9.6631313131321,99,4.830687015829437,2.858566887532904,-185.05000000001348,0.07309087625990673,-0.09944418283209466,-0.01813131313129368,-3.1808909225962996,0.8065645742957211,False,False,False,False,0,1.8991010853576822,survivor,0,True
M2K,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,dynamic_exit,1h,0.95,50,0.5,1.2,,,,,,next_open,,,atr_fraction,1.0,1.0,2,0.5,all_rth,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,v3,dynamic_exit_only,off,off,off,False,228.9250000001914,1.063038689246923,0.16892873612948825,-397.02499999996803,241,0.9498962655609602,0.3112033195020747,0.9498962655609602,251,835.8250000000828,1.6570951257862596,1.3531459224557698,-153.99999999999523,99,8.442676767677604,0.3434343434343434,8.442676767677604,102,8.01015832746507,dynamic_exit_atr_target_1p0_ts3_vq0p95_bf0p5_ra1p2,dynamic_exit,956.650000000078,1.762878787878885,1.5152407522377245,9.6631313131321,99,4.830687015829437,2.858566887532904,-120.82499999999516,-0.10578366209262535,-0.16209482978195466,-1.220454545454496,3.179471311635634,0.8736998902420057,False,False,False,False,0,1.839930770664981,survivor,0,True
M2K,dynamic_exit_atr_target_1p0_ts3_vq0p95_bf0p6_ra1p2,dynamic_exit,1h,0.95,50,0.6,1.2,,,,,,next_open,,,atr_fraction,1.0,1.0,3,0.5,all_rth,dynamic_exit_atr_target_1p0_ts3_vq0p95_bf0p6_ra1p2,v3,dynamic_exit_only,off,off,off,False,1075.7750000001454,1.4383761206194756,0.8740731260478405,-216.84999999997217,188,5.722207446809284,0.35106382978723405,5.722207446809284,195,741.6000000000645,1.7847619047620127,1.3556700777618595,-166.49999999999181,80,9.270000000000806,0.3375,9.270000000000806,81,1.550980160998177,dynamic_exit_atr_target_1p0_ts3_vq0p95_bf0p5_ra1p2,dynamic_exit,956.650000000078,1.762878787878885,1.5152407522377245,9.6631313131321,99,4.830687015829437,2.858566887532904,-215.05000000001348,0.021883116883127718,-0.15957067447586493,-0.3931313131312937,-3.2797068548312596,0.7752051429467455,False,False,False,False,0,1.820363647618128,survivor,0,True
M2K,dynamic_exit_atr_target_1p0_ts3_vq0p975_bf0p6_ra1p2,dynamic_exit,1h,0.975,50,0.6,1.2,,,,,,next_open,,,atr_fraction,1.0,1.0,3,0.5,all_rth,dynamic_exit_atr_target_1p0_ts3_vq0p975_bf0p6_ra1p2,v3,dynamic_exit_only,off,off,off,False,750.8750000001066,1.390470618824825,0.6912021399167547,-160.14999999998963,138,5.44112318840657,0.36231884057971014,5.44112318840657,141,630.9000000000503,1.8328712871288206,1.2530405711182422,-136.37499999998454,63,10.014285714286514,0.3333333333333333,10.014285714286514,63,1.8128424360334776,dynamic_exit_atr_target_1p0_ts3_vq0p95_bf0p5_ra1p2,dynamic_exit,956.650000000078,1.762878787878885,1.5152407522377245,9.6631313131321,99,4.830687015829437,2.858566887532904,-325.7500000000276,0.06999249924993567,-0.2622001811194823,0.3511544011544139,-3.017844579795959,0.6594888412690105,False,False,False,False,0,1.7191552474655576,survivor,0,True
M2K,dynamic_exit_atr_target_1p0_ts4_vq0p95_bf0p5_ra1p5,dynamic_exit,1h,0.95,50,0.5,1.5,,,,,,next_open,,,atr_fraction,1.0,1.0,4,0.5,all_rth,dynamic_exit_atr_target_1p0_ts4_vq0p95_bf0p5_ra1p5,v3,dynamic_exit_only,off,off,off,False,609.6000000001595,1.1949472337704456,0.4688849742553209,-346.5749999999639,208,2.9307692307699975,0.35096153846153844,2.9307692307699975,217,730.1000000000738,1.6208333333334248,1.2490699706133543,-184.09999999998263,92,7.935869565218193,0.33695652173913043,7.935869565218193,94,2.663915542606407,dynamic_exit_atr_target_1p0_ts3_vq0p95_bf0p5_ra1p2,dynamic_exit,956.650000000078,1.762878787878885,1.5152407522377245,9.6631313131321,99,4.830687015829437,2.858566887532904,-226.55000000000416,-0.14204545454546014,-0.26617078162437013,-1.7272617479139063,-2.1667714732230294,0.7631840275963145,False,False,False,False,0,1.6883858778159087,survivor,0,True
M2K,dynamic_exit_atr_target_1p0_ts4_vq0p975_bf0p6_ra1p2,dynamic_exit,1h,0.975,50,0.6,1.2,,,,,,next_open,,,atr_fraction,1.0,1.0,4,0.5,all_rth,dynamic_exit_atr_target_1p0_ts4_vq0p975_bf0p6_ra1p2,v3,dynamic_exit_only,off,off,off,False,706.3750000001073,1.3660922518787961,0.6523282758165189,-160.14999999998963,138,5.118659420290633,0.35507246376811596,5.118659420290633,141,615.4000000000485,1.8124092409241968,1.2265698077057152,-151.87499999998636,63,9.768253968254738,0.3333333333333333,9.768253968254738,63,1.8802953254945427,dynamic_exit_atr_target_1p0_ts3_vq0p95_bf0p5_ra1p2,dynamic_exit,956.650000000078,1.762878787878885,1.5152407522377245,9.6631313131321,99,4.830687015829437,2.858566887532904,-341.25000000002944,0.049530453045311784,-0.28867094453200925,0.10512265512263852,-2.950391690334894,0.6432864684053712,False,False,False,False,0,1.6856888090228832,survivor,0,True
M2K,dynamic_exit_atr_target_1p0_ts3_vq0p95_bf0p5_ra1p5,dynamic_exit,1h,0.95,50,0.5,1.5,,,,,,next_open,,,atr_fraction,1.0,1.0,3,0.5,all_rth,dynamic_exit_atr_target_1p0_ts3_vq0p95_bf0p5_ra1p5,v3,dynamic_exit_only,off,off,off,False,548.100000000162,1.1741105463787114,0.4224095473362597,-375.57499999996253,208,2.635096153846933,0.34134615384615385,2.635096153846933,217,700.1000000000738,1.5843906510852297,1.19387245122011,-168.5999999999808,92,7.609782608696454,0.33695652173913043,7.609782608696454,94,2.8263387007910743,dynamic_exit_atr_target_1p0_ts3_vq0p95_bf0p5_ra1p2,dynamic_exit,956.650000000078,1.762878787878885,1.5152407522377245,9.6631313131321,99,4.830687015829437,2.858566887532904,-256.55000000000416,-0.17848813679365527,-0.3213683010176145,-2.0533487044356455,-2.0043483150383623,0.7318245962473389,False,False,False,False,0,1.6170633428598422,survivor,0,True
M2K,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p6_ra1p2,dynamic_exit,1h,0.95,50,0.6,1.2,,,,,,next_open,,,atr_fraction,1.0,1.0,2,0.5,all_rth,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p6_ra1p2,v3,dynamic_exit_only,off,off,off,False,878.4500000001481,1.354571140262437,0.7285392943414563,-212.02499999997485,188,4.672606382979511,0.3351063829787234,4.672606382979511,195,635.8000000000675,1.660228452751922,1.1875703637489374,-188.99999999999181,80,7.947500000000844,0.325,7.947500000000844,81,1.6300704340490104,dynamic_exit_atr_target_1p0_ts3_vq0p95_bf0p5_ra1p2,dynamic_exit,956.650000000078,1.762878787878885,1.5152407522377245,9.6631313131321,99,4.830687015829437,2.858566887532904,-320.8500000000105,-0.10265033512696298,-0.32767038848878705,-1.7156313131312562,-3.200616581780426,0.6646108817226944,False,False,False,False,0,1.5962493298155187,survivor,0,True
