session_date,signal_time,close,continuous_session_vwap,atr_14,or_width,or_width_atr_ratio,price_vwap_distance_atr,continuous_vwap_slope_5,continuous_vwap_slope_5_atr
2019-05-06,2019-05-06 09:57:00-04:00,7748.5,7717.871797608881,7.017857142857143,69.25,9.867684478371501,4.3643240048413805,2.4569375379314806,0.35009796978158503
2019-05-08,2019-05-08 09:48:00-04:00,7653.5,7635.634001027676,12.303571428571429,50.25,4.084179970972424,1.4520986102324072,0.9588813840418879,0.07793520683069045
2019-05-09,2019-05-09 12:31:00-04:00,7567.75,7528.956846953108,8.875,37.75,4.253521126760563,4.371059498241381,1.0814993123931345,0.12185907745274754
2019-05-10,2019-05-10 09:46:00-04:00,7583.0,7582.370527449594,8.875,26.5,2.9859154929577465,0.07092648455276708,-0.37625804540311947,-0.04239527272147825
2019-05-14,2019-05-14 10:17:00-04:00,7398.75,7366.581971129549,7.732142857142857,27.75,3.58891454965358,4.160299345832007,2.005225085917118,0.2593362697721908
2019-05-15,2019-05-15 09:47:00-04:00,7407.75,7403.575339304127,8.571428571428571,32.25,3.7625,0.48704374785187005,-0.6123745372415215,-0.07144369601151083
2019-05-16,2019-05-16 09:50:00-04:00,7566.0,7527.643283313719,5.571428571428571,51.75,9.288461538461538,6.884538892409462,2.3556672551339943,0.4228120714343067
2019-05-17,2019-05-17 09:47:00-04:00,7566.25,7547.634615656727,7.660714285714286,48.0,6.265734265734266,2.4299802406137294,1.388194533124988,0.18120954278554624
2019-05-20,2019-05-20 10:25:00-04:00,7418.25,7418.194133704282,8.642857142857142,55.25,6.392561983471075,0.00646386892607973,-0.7050391158963976,-0.08157477374007906
2019-05-21,2019-05-21 10:45:00-04:00,7465.5,7444.481460592075,5.125,21.0,4.097560975609756,4.101178421058604,0.8054045708759077,0.157152111390421
2019-05-22,2019-05-22 09:54:00-04:00,7450.0,7433.747206173027,7.017857142857143,27.25,3.88295165394402,2.3159197310699686,0.5128047519074244,0.07307141503006555
