phase,weekday_name,bucket,trade_count,mean_net_pnl,win_rate,feature_key,horizon
is,Friday,low_25,27,-8.68518518517699,0.5185185185185185,rs_minus_share_pct,30m
is,Friday,mid_25_50,28,180.75000000000722,0.6785714285714286,rs_minus_share_pct,30m
is,Friday,mid_50_75,26,76.75000000000593,0.5,rs_minus_share_pct,30m
is,Friday,high_75_plus,25,62.26000000000958,0.4,rs_minus_share_pct,30m
is,Monday,low_25,29,152.77586206897243,0.6206896551724138,rs_minus_share_pct,30m
is,Monday,mid_25_50,27,81.96296296296845,0.48148148148148145,rs_minus_share_pct,30m
is,Monday,mid_50_75,20,-5.9499999999942474,0.45,rs_minus_share_pct,30m
is,Monday,high_75_plus,25,220.16000000000352,0.64,rs_minus_share_pct,30m
is,Thursday,low_25,26,162.61538461539033,0.6153846153846154,rs_minus_share_pct,30m
is,Thursday,mid_25_50,33,44.68181818182846,0.5757575757575758,rs_minus_share_pct,30m
is,Thursday,mid_50_75,31,49.96774193548797,0.45161290322580644,rs_minus_share_pct,30m
is,Thursday,high_75_plus,28,-88.01785714284736,0.32142857142857145,rs_minus_share_pct,30m
is,Tuesday,low_25,34,12.867647058831889,0.47058823529411764,rs_minus_share_pct,30m
is,Tuesday,mid_25_50,22,36.363636363643906,0.45454545454545453,rs_minus_share_pct,30m
is,Tuesday,mid_50_75,24,-357.58333333332666,0.2916666666666667,rs_minus_share_pct,30m
is,Tuesday,high_75_plus,29,-80.36206896550853,0.4482758620689655,rs_minus_share_pct,30m
is,Wednesday,low_25,29,-74.67241379309505,0.3793103448275862,rs_minus_share_pct,30m
is,Wednesday,mid_25_50,21,-256.4285714285641,0.3333333333333333,rs_minus_share_pct,30m
is,Wednesday,mid_50_75,30,32.0666666666746,0.5,rs_minus_share_pct,30m
is,Wednesday,high_75_plus,29,-109.87931034482068,0.4827586206896552,rs_minus_share_pct,30m
oos,Friday,low_25,15,57.20000000001119,0.4666666666666667,rs_minus_share_pct,30m
oos,Friday,mid_25_50,14,-117.53571428570207,0.42857142857142855,rs_minus_share_pct,30m
oos,Friday,mid_50_75,7,-117.1428571428396,0.42857142857142855,rs_minus_share_pct,30m
oos,Friday,high_75_plus,11,-561.5454545454371,0.09090909090909091,rs_minus_share_pct,30m
oos,Monday,low_25,9,-4.277777777771361,0.5555555555555556,rs_minus_share_pct,30m
oos,Monday,mid_25_50,13,-19.038461538451568,0.46153846153846156,rs_minus_share_pct,30m
oos,Monday,mid_50_75,12,-239.2916666666546,0.25,rs_minus_share_pct,30m
oos,Monday,high_75_plus,11,220.22727272728264,0.6363636363636364,rs_minus_share_pct,30m
oos,Thursday,low_25,11,-207.7272727272625,0.36363636363636365,rs_minus_share_pct,30m
oos,Thursday,mid_25_50,14,-131.6785714285596,0.35714285714285715,rs_minus_share_pct,30m
oos,Thursday,mid_50_75,14,-258.8214285714152,0.14285714285714285,rs_minus_share_pct,30m
oos,Thursday,high_75_plus,13,402.6538461538524,0.6153846153846154,rs_minus_share_pct,30m
oos,Tuesday,low_25,19,85.44736842105378,0.5263157894736842,rs_minus_share_pct,30m
oos,Tuesday,mid_25_50,13,-361.69230769229466,0.15384615384615385,rs_minus_share_pct,30m
oos,Tuesday,mid_50_75,9,208.4444444444431,0.6666666666666666,rs_minus_share_pct,30m
oos,Tuesday,high_75_plus,20,-104.34999999998854,0.3,rs_minus_share_pct,30m
oos,Wednesday,low_25,15,267.9333333333311,0.6,rs_minus_share_pct,30m
oos,Wednesday,mid_25_50,12,-70.41666666665758,0.4166666666666667,rs_minus_share_pct,30m
oos,Wednesday,mid_50_75,14,-60.21428571427415,0.42857142857142855,rs_minus_share_pct,30m
oos,Wednesday,high_75_plus,11,348.9090909090847,0.6363636363636364,rs_minus_share_pct,30m
