variant_name,family,feature_key,horizon,context_key,high_threshold,low_threshold,up_multiplier,down_multiplier,promotion_candidate,oos_promotion_ready,support_cluster_count,is_screen_score,is_sharpe,oos_sharpe,oos_sharpe_delta_vs_baseline,oos_net_pnl,oos_max_drawdown,oos_max_drawdown_improvement_vs_baseline,oos_profit_factor,oos_trade_count
conditional_downsize_with_context__rs_minus_share_pct__30m__t85__d75__opening_gap,conditional_downsize_with_context,rs_minus_share_pct,30m,opening_gap,0.85,,,0.75,False,False,0.0,0.08170406532799873,0.20763243759203748,-0.4365842892543739,0.025904920350668825,-7631.999999997807,-13518.999999998061,0.03741678237032632,0.9139076582928398,257
conditional_downsize_with_context__rs_minus_share_pct__30m__t85__d75__wide_or,conditional_downsize_with_context,rs_minus_share_pct,30m,wide_or,0.85,,,0.75,False,False,0.0,0.10404292086481384,0.22289286345095446,-0.46248920960504275,0.0,-8157.499999997781,-14044.499999998035,0.0,0.9091789644787822,257
conditional_downsize_with_context__rs_minus_share_pct__30m__t90__d75__opening_gap,conditional_downsize_with_context,rs_minus_share_pct,30m,opening_gap,0.9,,,0.75,False,False,0.0,0.08452968468292266,0.2090160267254743,-0.46721196667353093,-0.0047227570684881814,-8184.499999997806,-14071.499999998061,-0.0019224607497617746,0.9082470586257175,257
conditional_downsize_with_context__rs_minus_share_pct__30m__t90__d75__wide_or,conditional_downsize_with_context,rs_minus_share_pct,30m,wide_or,0.9,,,0.75,False,False,0.0,0.10461246163708185,0.22344266495594814,-0.46248920960504275,0.0,-8157.499999997781,-14044.499999998035,0.0,0.9091789644787822,257
conditional_downsize_with_context__rs_minus_share_pct__session__t85__d75__opening_gap,conditional_downsize_with_context,rs_minus_share_pct,session,opening_gap,0.85,,,0.75,True,False,0.0,0.12101759233618146,0.23464282904854464,-0.4677806208198986,-0.0052914112148558234,-8180.499999997782,-14067.49999999804,-0.0016376517497957816,0.9080961448801783,257
conditional_downsize_with_context__rs_minus_share_pct__session__t85__d75__wide_or,conditional_downsize_with_context,rs_minus_share_pct,session,wide_or,0.85,,,0.75,False,False,0.0,0.08995431609329337,0.21420269969031672,-0.4610691937643245,0.0014200158407182695,-8129.499999997788,-14016.499999998043,0.001993662999750553,0.9093650705167733,257
conditional_downsize_with_context__rs_minus_share_pct__session__t90__d75__opening_gap,conditional_downsize_with_context,rs_minus_share_pct,session,opening_gap,0.9,,,0.75,False,False,0.0,0.10457137062130856,0.21891297977122895,-0.4881739532956711,-0.025684743690628342,-8547.99999999778,-14434.99999999804,-0.02780447862152859,0.9043623222457398,257
conditional_downsize_with_context__rs_minus_share_pct__session__t90__d75__wide_or,conditional_downsize_with_context,rs_minus_share_pct,session,wide_or,0.9,,,0.75,False,False,0.0,0.09731397357653974,0.21894986246583997,-0.4610691937643245,0.0014200158407182695,-8129.499999997788,-14016.499999998043,0.001993662999750553,0.9093650705167733,257
downside_downsize__rs_minus_share_pct__30m__t85__d75,downside_downsize,rs_minus_share_pct,30m,,0.85,,,0.75,True,True,1.0,0.12562564110420044,0.21992119302946833,-0.4485893080608086,0.01389990154423415,-7571.999999997892,-13230.999999998148,0.05792303036775969,0.9115151798443675,257
downside_downsize__rs_minus_share_pct__30m__t90__d75,downside_downsize,rs_minus_share_pct,30m,,0.9,,,0.75,False,False,1.0,0.09618682536003825,0.20169063836209883,-0.45182512170972833,0.010664087895314422,-7679.999999997865,-13338.999999998116,0.050233187368722176,0.9109492944355128,257
