scope,start_date,end_date,n_days,orb_pullback_daily_corr,orb_daily_vol,pullback_daily_vol,calibration_used
is,2019-05-06,2024-02-22,1222,-0.035972007879149115,0.0017188041318622947,0.003088729274434446,True
oos,2024-02-23,2026-03-19,525,-0.04330081290115775,0.0015892041359869223,0.0026988705228781305,False
oos_full,2024-02-23,2026-03-19,525,-0.04330081290115775,0.0015892041359869223,0.0026988705228781305,False
oos_first_half,2024-02-23,2025-03-06,262,-0.06485672560893142,0.0017828832690815757,0.0031148904158547763,False
oos_second_half,2025-03-07,2026-03-19,263,-0.00576148129988172,0.0013689975694017582,0.0021994221660325327,False
oos_year_2024,2024-02-23,2024-12-31,217,-0.07750196749219392,0.001944353069821279,0.002755395792808734,False
oos_year_2025,2025-01-02,2025-12-31,253,-0.008396444108205888,0.0013598591669619477,0.0025256456438441273,False
oos_year_2026,2026-01-02,2026-03-19,55,-0.0002041717329657668,0.0007935644111116565,0.0031947611930723957,False
