method,weight_variant_name,variant_name,scope,calibration_scope,nominal_orb_weight,nominal_pullback_weight,effective_orb_weight,effective_pullback_weight,orb_scale,pullback_scale,start_date,end_date,n_days,net_profit_usd,return_pct,cagr_pct,sharpe,sortino,profit_factor_daily,max_drawdown_usd,max_drawdown_pct,max_daily_drawdown_usd,calmar,days_traded,orb_pullback_daily_corr,return_over_drawdown,positive_month_rate,stability_score,composite_score
static,orb50_pull50,static__orb50_pull50,oos,is,0.5,0.5,0.5,0.5,1.0,1.0,2024-02-23,2026-03-19,525,6235.906350786492,12.471812701572984,5.842719839838151,2.3259982178484,2.965021727704232,2.2094996816618933,485.6782123154335,0.8800973325356787,153.9400394755139,6.638720086793684,161,-0.04330081290115775,12.839584302242608,0.7692307692307693,0.8406105179886008,2.653732844857523
risk_scaled,orb33_pull67,risk_scaled__orb33_pull67,oos,is,0.33,0.67,0.33,0.67,1.398511126770408,0.7782380680121297,2024-02-23,2026-03-19,525,6213.438712778683,12.426877425557366,5.822287505461965,2.2851367177334407,3.0013860971703807,2.219957821380065,492.7324398961355,0.880998164908986,150.0483426064893,6.608739651646667,161,-0.04330081290115775,12.610167729342992,0.7692307692307693,0.8405654763699353,2.649861622068456
static,orb60_pull40,static__orb60_pull40,oos,is,0.6,0.4,0.6,0.4,1.0,1.0,2024-02-23,2026-03-19,525,5935.211118482643,11.870422236965284,5.568913434461509,2.4184774497203563,2.732438518281404,2.1652123209774627,431.59318446653197,0.8470299937540338,157.25528009013942,6.574635462175436,161,-0.04330081290115775,13.751864793274766,0.7692307692307693,0.8422638849276829,2.6492484701376946
inverse_risk,orb40_pull60,inverse_risk__orb40_pull60,oos,is,0.4,0.6,0.5450440171008598,0.45495598289914013,1.0,1.0,2024-02-23,2026-03-19,525,6100.628861170357,12.201257722340713,5.719633037625904,2.377243939217013,2.865986921483407,2.1912975976566003,461.27349651268014,0.8651801793218783,155.43638603617,6.610915476714815,161,-0.04330081290115775,13.225621908243873,0.7307692307692307,0.8221256064185214,2.6479133900047023
inverse_risk,orb33_pull67,inverse_risk__orb33_pull67,oos,is,0.33,0.67,0.4695243075174516,0.5304756924825484,1.0,1.0,2024-02-23,2026-03-19,525,6327.274237157035,12.65454847431407,5.925767434614038,2.285136717733441,3.0013860971703807,2.219908980837302,502.22922205262876,0.8962410297812973,152.92485072964337,6.611801108971831,161,-0.04330081290115775,12.59837930436871,0.7692307692307693,0.8398033331263197,2.647764949992923
risk_scaled,orb40_pull60,risk_scaled__orb40_pull60,oos,is,0.4,0.6,0.4,0.6,1.398511126770408,0.7782380680121297,2024-02-23,2026-03-19,525,6270.174200567424,12.54034840113485,5.873875302120668,2.377243939217013,2.8659869214834073,2.191259838542815,474.7664799847553,0.8879412520772512,159.96033067222015,6.6151620823779895,161,-0.04330081290115775,13.206859508634137,0.7307692307692307,0.8209875527807529,2.6447312595313632
inverse_risk,orb50_pull50,inverse_risk__orb50_pull50,oos,is,0.5,0.5,0.6424769239021689,0.3575230760978311,1.0,1.0,2024-02-23,2026-03-19,525,5807.0782338200515,11.614156467640104,5.4520073466252095,2.42895029400304,2.60022563203558,2.143463078677133,418.3099987423848,0.8330385183079048,158.6560491623968,6.544724195586425,161,-0.04330081290115775,13.882236263246309,0.7692307692307693,0.8429634586999895,2.636832533548524
risk_scaled,orb50_pull50,risk_scaled__orb50_pull50,oos,is,0.5,0.5,0.5,0.5,1.398511126770408,0.7782380680121297,2024-02-23,2026-03-19,525,6348.8929956920765,12.697785991384153,5.945407321985763,2.4289502940030396,2.6002256320355794,2.1434609024976563,455.44403530901764,0.9066456762352737,174.2007095881927,6.557586362373977,161,-0.04330081290115775,13.940006902021164,0.7692307692307693,0.839283100803621,2.626402834812176
static,orb67_pull33,static__orb67_pull33,oos,is,0.67,0.33,0.67,0.33,1.0,1.0,2024-02-23,2026-03-19,525,5723.926373032453,11.447852746064905,5.376066874846286,2.4239058425851137,2.509590160364202,2.1292467489123266,413.88198308498977,0.823990047750367,159.5612921247157,6.524431805364474,161,-0.04330081290115775,13.829851520395989,0.7692307692307693,0.8434158822278663,2.625457601138308
static,orb40_pull60,static__orb40_pull60,oos,is,0.4,0.6,0.4,0.6,1.0,1.0,2024-02-23,2026-03-19,525,6535.230532078604,13.070461064157207,6.114527270818981,2.181090750054142,3.0817180934741057,2.239784350097019,540.1050778886201,0.9614176044759337,150.60051350729918,6.359907747010722,161,-0.04330081290115775,12.099924254787865,0.7307692307692307,0.8173137351608186,2.6206790937566975
