order_index,campaign_variant_name,variant_role,alpha_variant_name,sizing_mode,fixed_contracts,risk_pct,max_contracts,skip_trade_if_too_small,initial_capital_usd,full_net_pnl_usd,full_return_pct,full_cagr_pct,full_sharpe,full_sortino,full_profit_factor,full_expectancy_usd,full_nb_trades,full_win_rate,full_avg_win_usd,full_avg_loss_usd,full_max_drawdown_pct,full_max_drawdown_usd,full_annualized_vol_pct,full_exposure_time_in_market_pct,full_worst_trade_loss_usd,full_trades_loss_gt_250_usd,full_trades_loss_gt_500_usd,full_worst_day_pnl_usd,full_max_daily_drawdown_usd,full_days_below_minus_500_usd,full_days_below_minus_1000_usd,full_pass_target_3000_usd_without_breaching_2000_dd,full_days_to_target_3000_usd,full_max_trailing_drawdown_observed_usd,full_max_static_drawdown_observed_usd,full_signal_attempt_count,full_entered_trade_count,full_skip_too_small_count,full_forced_one_contract_count,full_avg_contracts_entered,full_max_contracts_used,full_avg_contracts_raw,full_cap_hit_count,full_cap_hit_rate,full_avg_contracts,full_median_contracts,full_pct_trades_at_1_contract,full_pct_trades_at_2_contracts,full_pct_trades_at_3_plus_contracts,full_nb_skipped_trades,full_pct_skipped_trades,full_nb_days_below_minus_250,full_nb_days_below_minus_500,full_nb_days_below_minus_1000,full_nb_trades_below_minus_150,full_nb_trades_below_minus_250,full_nb_trades_below_minus_500,full_days_to_3000_usd_if_reached,oos_net_pnl_usd,oos_return_pct,oos_cagr_pct,oos_sharpe,oos_sortino,oos_profit_factor,oos_expectancy_usd,oos_nb_trades,oos_win_rate,oos_avg_win_usd,oos_avg_loss_usd,oos_max_drawdown_pct,oos_max_drawdown_usd,oos_annualized_vol_pct,oos_exposure_time_in_market_pct,oos_worst_trade_loss_usd,oos_trades_loss_gt_250_usd,oos_trades_loss_gt_500_usd,oos_worst_day_pnl_usd,oos_max_daily_drawdown_usd,oos_days_below_minus_500_usd,oos_days_below_minus_1000_usd,oos_pass_target_3000_usd_without_breaching_2000_dd,oos_days_to_target_3000_usd,oos_max_trailing_drawdown_observed_usd,oos_max_static_drawdown_observed_usd,oos_signal_attempt_count,oos_entered_trade_count,oos_skip_too_small_count,oos_forced_one_contract_count,oos_avg_contracts_entered,oos_max_contracts_used,oos_avg_contracts_raw,oos_cap_hit_count,oos_cap_hit_rate,oos_avg_contracts,oos_median_contracts,oos_pct_trades_at_1_contract,oos_pct_trades_at_2_contracts,oos_pct_trades_at_3_plus_contracts,oos_nb_skipped_trades,oos_pct_skipped_trades,oos_nb_days_below_minus_250,oos_nb_days_below_minus_500,oos_nb_days_below_minus_1000,oos_nb_trades_below_minus_150,oos_nb_trades_below_minus_250,oos_nb_trades_below_minus_500,oos_days_to_3000_usd_if_reached,full_prop_score,full_net_pnl_delta_vs_baseline_usd,full_cagr_delta_vs_baseline_pct,full_sharpe_delta_vs_baseline,full_max_drawdown_delta_vs_baseline_usd,oos_prop_score,oos_net_pnl_delta_vs_baseline_usd,oos_cagr_delta_vs_baseline_pct,oos_sharpe_delta_vs_baseline,oos_max_drawdown_delta_vs_baseline_usd,recommended_cluster_id,is_recommended_cluster
0,fixed_1_contract,baseline,regime_filtered_ema_mild_atr_20_80_compression_off_atr_target_1p0_ts3_vq0p95_bf0p5_ra1p2,fixed_contracts,1.0,,,,50000.0,1737.2500000001605,3.474500000000321,0.22116009927899416,0.6503377179948924,0.2771398494256041,1.9632658719158806,13.787698412699687,126,0.42063492063492064,66.80660377358538,-24.705479452052945,0.39159999999998035,195.79999999999018,0.43041477357315594,1.1949572802772301,95.49999999999955,0,0,-95.49999999999955,195.79999999998836,0,0,False,,195.79999999998836,57.74999999996362,130,126,0,0,1.0,1,1.0,0,0.0,1.0,1.0,100.0,0.0,0.0,4,3.076923076923077,0,0,0,0,0,0,,1515.2000000000317,3.0304000000000633,0.6969485789528607,1.1838636293646474,0.6675678645351645,3.9478599221792665,44.56470588235387,34,0.5294117647058824,112.733333333333,-32.12499999999764,0.3049999999999818,152.4999999999909,0.6869628117356867,1.0743969187107236,78.49999999999909,0,0,-78.49999999999909,152.49999999999272,0,0,False,,152.49999999999272,6.5,35,34,0,0,1.0,1,1.0,0,0.0,1.0,1.0,100.0,0.0,0.0,1,2.857142857142857,0,0,0,0,0,0,,-3.9603535126816976,0.0,0.0,0.0,0.0,-2.20439244523929,0.0,0.0,0.0,0.0,,False
1,risk_pct_0p0075__max_contracts_2__skip_trade_if_too_small_true,grid,regime_filtered_ema_mild_atr_20_80_compression_off_atr_target_1p0_ts3_vq0p95_bf0p5_ra1p2,risk_percent,,0.0075,2.0,True,50000.0,2557.7000000003363,5.1154000000006725,0.3232024971879133,0.6006528920517116,0.2040122587065464,1.7090934294428966,20.46160000000269,125,0.416,118.55192307692435,-49.41095890410589,0.7831999999999607,391.59999999998035,0.686103797438476,1.188982493875844,190.9999999999991,0,0,-190.9999999999991,391.599999999984,0,0,False,,391.599999999984,115.49999999993452,130,125,1,0,2.0,2,30.288400575682033,125,0.9615384615384616,2.0,2.0,0.0,100.0,0.0,5,3.8461538461538463,0,0,0,3,0,0,,2113.6000000000786,4.227200000000157,0.9678656579676037,1.1397241250783918,0.46560567531730024,3.056031128404897,64.04848484848723,33,0.5151515151515151,184.80000000000018,-64.24999999999528,0.6099999999999636,304.9999999999818,0.9953779209104323,1.0541252787350497,156.99999999999818,0,0,-156.99999999999818,304.99999999998545,0,0,False,,304.99999999998545,12.999999999992724,35,33,1,0,2.0,2,20.201733560688098,33,0.9428571428571428,2.0,2.0,0.0,100.0,0.0,2,5.714285714285714,0,0,0,1,0,0,,-5.243174657177631,820.4500000001758,0.10204239790891911,-0.0496848259431808,195.79999999999018,-3.3151942914312684,598.4000000000469,0.27091707901474305,-0.04413950428625557,152.4999999999909,,False
2,risk_pct_0p0075__max_contracts_3__skip_trade_if_too_small_true,grid,regime_filtered_ema_mild_atr_20_80_compression_off_atr_target_1p0_ts3_vq0p95_bf0p5_ra1p2,risk_percent,,0.0075,3.0,True,50000.0,3586.300000000508,7.172600000001015,0.4490488791541569,0.5902365972827468,0.19070497280090049,1.6628407725719945,28.690400000004065,125,0.416,173.0153846153866,-74.11643835615884,1.174799999999941,587.3999999999705,0.9790035668334154,1.188982493875844,286.49999999999864,2,0,-286.49999999999864,587.3999999999651,0,0,True,3085.0,587.3999999999651,173.24999999989814,130,125,1,0,2.992,3,30.354565790054508,124,0.9538461538461539,2.992,3.0,0.0,0.8,99.2,5,3.8461538461538463,2,0,0,7,2,0,3085.0,2920.1500000001215,5.840300000000243,1.3292678645865363,1.1386281740802702,0.42885390259204526,2.8937418936448354,88.48939393939762,33,0.5151515151515151,262.4794117647064,-96.37499999999292,0.9149999999999454,457.4999999999727,1.3765379180926558,1.0541252787350497,235.49999999999727,0,0,-235.49999999999727,457.4999999999709,0,0,False,,457.4999999999709,19.499999999985448,35,33,1,0,2.9696969696969697,3,20.270611006827085,32,0.9142857142857143,2.9696969696969697,3.0,0.0,3.0303030303030303,96.96969696969697,2,5.714285714285714,0,0,0,2,0,0,,-0.13065687481751587,1849.0500000003476,0.22788877987516276,-0.06010112071214557,391.59999999998035,-4.019332144425481,1404.9500000000899,0.6323192856336757,-0.045235455284377224,304.9999999999818,,False
3,risk_pct_0p0075__max_contracts_4__skip_trade_if_too_small_true,grid,regime_filtered_ema_mild_atr_20_80_compression_off_atr_target_1p0_ts3_vq0p95_bf0p5_ra1p2,risk_percent,,0.0075,4.0,True,50000.0,4263.9000000006745,8.52780000000135,0.5307227084872412,0.5492723033317389,0.17005275636291714,1.591059051843775,34.1112000000054,125,0.416,220.72884615384874,-98.82191780821178,1.5663999999999214,783.1999999999607,1.250786261153533,1.188982493875844,381.9999999999982,5,0,-381.9999999999982,783.1999999999607,0,0,True,3083.0,783.1999999999607,269.49999999986903,130,125,1,0,3.952,4,30.390255863199712,120,0.9230769230769231,3.952,4.0,0.0,0.8,99.2,5,3.8461538461538463,5,0,0,13,5,0,3083.0,3414.20000000016,6.82840000000032,1.5485612035031293,1.072843591905278,0.37605764966605365,2.6606031128406666,103.4606060606109,33,0.5151515151515151,321.77647058823584,-128.49999999999056,1.2199999999999271,609.9999999999636,1.7081165109825502,1.0541252787350497,313.99999999999636,2,0,-313.99999999999636,609.9999999999636,0,0,True,896.0,609.9999999999636,25.999999999985448,35,33,1,0,3.8484848484848486,4,20.31047098002142,29,0.8285714285714286,3.8484848484848486,4.0,0.0,3.0303030303030303,96.96969696969697,2,5.714285714285714,2,0,0,5,2,0,896.0,-1.5777830900036105,2526.650000000514,0.3095626092082471,-0.10106541466315344,587.3999999999705,0.6657974423829862,1899.0000000001282,0.8516126245502686,-0.1110200374593695,457.4999999999727,,False
4,risk_pct_0p0075__max_contracts_5__skip_trade_if_too_small_true,grid,regime_filtered_ema_mild_atr_20_80_compression_off_atr_target_1p0_ts3_vq0p95_bf0p5_ra1p2,risk_percent,,0.0075,5.0,True,50000.0,4818.3000000008315,9.636600000001664,0.5968403091958896,0.5238955160584063,0.1607422589916483,1.5459211420803536,38.54640000000665,125,0.416,262.3903846153877,-120.90410958903188,1.7669999999999026,883.4999999999513,1.4818796956277456,1.188982493875844,392.49999999999545,7,0,-392.49999999999545,883.4999999999563,0,0,True,3041.0,883.4999999999563,273.8999999998414,130,125,1,0,4.864,5,30.45826535179777,114,0.8769230769230769,4.864,5.0,0.0,0.8,99.2,5,3.8461538461538463,7,0,0,17,7,0,3041.0,3786.0000000001946,7.57200000000039,1.7125674320892958,1.0048286097636299,0.33360769999078804,2.4731517509729466,114.72727272727863,33,0.5151515151515151,373.8823529411768,-160.6249999999882,1.524999999999909,762.4999999999545,2.02233715946827,1.0541252787350497,392.49999999999545,2,0,-392.49999999999545,762.4999999999563,0,0,True,896.0,762.4999999999563,32.49999999998545,35,33,1,0,4.696969696969697,5,20.34678015371881,28,0.8,4.696969696969697,5.0,0.0,3.0303030303030303,96.96969696969697,2,5.714285714285714,2,0,0,7,2,0,896.0,-1.6716634518233358,3081.050000000671,0.37568020991689544,-0.12644220193648603,687.6999999999612,-0.8187641707085191,2270.800000000163,1.0156188531364352,-0.17903501960101753,609.9999999999636,,False
5,risk_pct_0p0075__max_contracts_6__skip_trade_if_too_small_true,grid,regime_filtered_ema_mild_atr_20_80_compression_off_atr_target_1p0_ts3_vq0p95_bf0p5_ra1p2,risk_percent,,0.0075,6.0,True,50000.0,5461.5500000009815,10.923100000001963,0.6727748176365678,0.518228628628117,0.16219203310723146,1.5344766844450173,43.69240000000785,125,0.416,301.5394230769266,-139.9794520547836,1.967599999999884,983.799999999942,1.6980806176215062,1.188982493875844,392.49999999999545,12,0,-392.49999999999545,983.7999999999447,0,0,True,3041.0,983.7999999999447,252.69999999998254,130,125,1,0,5.728,6,30.55477110261624,108,0.8307692307692308,5.728,6.0,0.0,0.8,99.2,5,3.8461538461538463,12,0,0,27,12,0,3041.0,4195.500000000222,8.391000000000444,1.8921999817922863,0.9776553502723087,0.3345324942727593,2.431422722620451,127.13636363637036,33,0.5151515151515151,419.20588235294105,-183.18749999998602,1.6729999999998926,836.4999999999463,2.3033656625017884,1.0541252787350497,392.49999999999545,5,0,-392.49999999999545,836.4999999999418,0,0,True,896.0,836.4999999999418,38.99999999997817,35,33,1,0,5.424242424242424,6,20.377228261435018,24,0.6857142857142857,5.424242424242424,6.0,0.0,3.0303030303030303,96.96969696969697,2,5.714285714285714,5,0,0,10,5,0,896.0,-1.4829474474472644,3724.300000000821,0.4516147183575736,-0.13210908936677535,787.9999999999518,-0.8352839491823616,2680.3000000001903,1.1952514028394257,-0.20620827909233874,683.9999999999554,,False
6,risk_pct_0p0080__max_contracts_2__skip_trade_if_too_small_true,grid,regime_filtered_ema_mild_atr_20_80_compression_off_atr_target_1p0_ts3_vq0p95_bf0p5_ra1p2,risk_percent,,0.008,2.0,True,50000.0,2557.7000000003363,5.1154000000006725,0.3232024971879133,0.6006528920517116,0.2040122587065464,1.7090934294428966,20.46160000000269,125,0.416,118.55192307692435,-49.41095890410589,0.7831999999999607,391.59999999998035,0.686103797438476,1.188982493875844,190.9999999999991,0,0,-190.9999999999991,391.599999999984,0,0,False,,391.599999999984,115.49999999993452,130,125,1,0,2.0,2,32.30762728072751,125,0.9615384615384616,2.0,2.0,0.0,100.0,0.0,5,3.8461538461538463,0,0,0,3,0,0,,2113.6000000000786,4.227200000000157,0.9678656579676037,1.1397241250783918,0.46560567531730024,3.056031128404897,64.04848484848723,33,0.5151515151515151,184.80000000000018,-64.24999999999528,0.6099999999999636,304.9999999999818,0.9953779209104323,1.0541252787350497,156.99999999999818,0,0,-156.99999999999818,304.99999999998545,0,0,False,,304.99999999998545,12.999999999992724,35,33,1,0,2.0,2,21.548515798067303,33,0.9428571428571428,2.0,2.0,0.0,100.0,0.0,2,5.714285714285714,0,0,0,1,0,0,,-5.243174657177631,820.4500000001758,0.10204239790891911,-0.0496848259431808,195.79999999999018,-3.3151942914312684,598.4000000000469,0.27091707901474305,-0.04413950428625557,152.4999999999909,,False
7,risk_pct_0p0080__max_contracts_3__skip_trade_if_too_small_true,grid,regime_filtered_ema_mild_atr_20_80_compression_off_atr_target_1p0_ts3_vq0p95_bf0p5_ra1p2,risk_percent,,0.008,3.0,True,50000.0,3586.300000000508,7.172600000001015,0.4490488791541569,0.5902365972827468,0.19070497280090049,1.6628407725719945,28.690400000004065,125,0.416,173.0153846153866,-74.11643835615884,1.174799999999941,587.3999999999705,0.9790035668334154,1.188982493875844,286.49999999999864,2,0,-286.49999999999864,587.3999999999651,0,0,True,3085.0,587.3999999999651,173.24999999989814,130,125,1,0,2.992,3,32.37820350939147,124,0.9538461538461539,2.992,3.0,0.0,0.8,99.2,5,3.8461538461538463,2,0,0,7,2,0,3085.0,2920.1500000001215,5.840300000000243,1.3292678645865363,1.1386281740802702,0.42885390259204526,2.8937418936448354,88.48939393939762,33,0.5151515151515151,262.4794117647064,-96.37499999999292,0.9149999999999454,457.4999999999727,1.3765379180926558,1.0541252787350497,235.49999999999727,0,0,-235.49999999999727,457.4999999999709,0,0,False,,457.4999999999709,19.499999999985448,35,33,1,0,2.9696969696969697,3,21.621985073948892,32,0.9142857142857143,2.9696969696969697,3.0,0.0,3.0303030303030303,96.96969696969697,2,5.714285714285714,0,0,0,2,0,0,,-0.13065687481751587,1849.0500000003476,0.22788877987516276,-0.06010112071214557,391.59999999998035,-4.019332144425481,1404.9500000000899,0.6323192856336757,-0.045235455284377224,304.9999999999818,,False
8,risk_pct_0p0080__max_contracts_4__skip_trade_if_too_small_true,grid,regime_filtered_ema_mild_atr_20_80_compression_off_atr_target_1p0_ts3_vq0p95_bf0p5_ra1p2,risk_percent,,0.008,4.0,True,50000.0,4468.5000000006785,8.937000000001357,0.5551965004078729,0.5671108888840716,0.17821260859956625,1.6194205711118677,35.748000000005426,125,0.416,224.6634615384642,-98.82191780821178,1.5663999999999214,783.1999999999607,1.2695726799840772,1.188982493875844,381.9999999999982,5,0,-381.9999999999982,783.1999999999607,0,0,True,3041.0,783.1999999999607,269.49999999986903,130,125,1,0,3.968,4,32.423489016740916,122,0.9384615384615385,3.968,4.0,0.0,0.8,99.2,5,3.8461538461538463,5,0,0,13,5,0,3041.0,3618.800000000165,7.23760000000033,1.6389211474240106,1.1077769630952816,0.39859335206241964,2.7601167315177193,109.66060606061106,33,0.5151515151515151,333.81176470588315,-128.49999999999056,1.2199999999999271,609.9999999999636,1.7533846343980464,1.0541252787350497,313.99999999999636,2,0,-313.99999999999636,609.9999999999636,0,0,True,896.0,609.9999999999636,25.999999999985448,35,33,1,0,3.909090909090909,4,21.69183607563859,31,0.8857142857142857,3.909090909090909,4.0,0.0,3.0303030303030303,96.96969696969697,2,5.714285714285714,2,0,0,5,2,0,896.0,-1.2514673333466066,2731.250000000518,0.3340364011288788,-0.0832268291108208,587.3999999999705,1.0433975559530047,2103.600000000133,0.94197256847115,-0.07608666626936578,457.4999999999727,,False
9,risk_pct_0p0080__max_contracts_5__skip_trade_if_too_small_true,grid,regime_filtered_ema_mild_atr_20_80_compression_off_atr_target_1p0_ts3_vq0p95_bf0p5_ra1p2,risk_percent,,0.008,5.0,True,50000.0,5118.050000000838,10.236100000001676,0.6323283741657137,0.547403966012203,0.17074215358782105,1.5798832993429899,40.9444000000067,125,0.416,268.15480769231084,-120.90410958903188,1.7669999999999026,883.4999999999513,1.5064696159636415,1.188982493875844,392.49999999999545,7,0,-392.49999999999545,883.4999999999563,0,0,True,3041.0,883.4999999999563,265.99999999998545,130,125,1,0,4.888,5,32.556095787337,115,0.8846153846153846,4.888,5.0,0.0,0.8,99.2,5,3.8461538461538463,7,0,0,17,7,0,3041.0,3990.6000000001995,7.981200000000399,1.8024485932980339,1.0394276390404684,0.35163626190788083,2.552762645914589,120.92727272727878,33,0.5151515151515151,385.9176470588242,-160.6249999999882,1.524999999999909,762.4999999999545,2.0606720548582667,1.0541252787350497,392.49999999999545,2,0,-392.49999999999545,762.4999999999563,0,0,True,896.0,762.4999999999563,32.49999999998545,35,33,1,0,4.757575757575758,5,21.73056586091581,28,0.8,4.757575757575758,5.0,0.0,3.0303030303030303,96.96969696969697,2,5.714285714285714,2,0,0,7,2,0,896.0,-1.2014714352952707,3380.8000000006773,0.4111682748867196,-0.10293375198268939,687.6999999999612,-0.44216708287799733,2475.400000000168,1.1055000143451732,-0.14443599032417898,609.9999999999636,,False
