variant_name,session_date,entry_time,entry_signal_time,direction,entry_price,initial_stop_price,position_sizing_mode,stop_distance_points,risk_per_contract_usd,contracts_raw,contracts,actual_risk_usd,notional_usd,skipped,skip_reason,campaign_variant_name,variant_role,scope,alpha_variant_name,phase,capital_before_trade_usd,risk_pct,risk_budget_usd,leverage_used,max_contracts,skip_trade_if_too_small
regime_filtered_ema_mild_atr_20_80_compression_off_atr_target_1p0_ts3_vq0p95_bf0p5_ra1p2,2010-11-03,2010-11-03 11:30:00-04:00,2010-11-03 10:30:00-04:00,long,1332.3999999999999,1328.8,fixed_contracts,3.599999999999909,35.99999999999909,1.0,1.0,35.99999999999909,13323.999999999998,False,,fixed_1_contract,baseline,full,regime_filtered_ema_mild_atr_20_80_compression_off_atr_target_1p0_ts3_vq0p95_bf0p5_ra1p2,is,,,,,,
regime_filtered_ema_mild_atr_20_80_compression_off_atr_target_1p0_ts3_vq0p95_bf0p5_ra1p2,2010-11-09,2010-11-09 14:30:00-05:00,2010-11-09 13:30:00-05:00,long,1405.0,1398.7,fixed_contracts,6.2999999999999545,62.999999999999545,1.0,1.0,62.999999999999545,14050.0,False,,fixed_1_contract,baseline,full,regime_filtered_ema_mild_atr_20_80_compression_off_atr_target_1p0_ts3_vq0p95_bf0p5_ra1p2,is,,,,,,
regime_filtered_ema_mild_atr_20_80_compression_off_atr_target_1p0_ts3_vq0p95_bf0p5_ra1p2,2011-03-10,2011-03-10 10:30:00-05:00,2011-03-10 09:30:00-05:00,long,1413.1,1411.1,fixed_contracts,2.0,20.0,1.0,1.0,20.0,14131.0,False,,fixed_1_contract,baseline,full,regime_filtered_ema_mild_atr_20_80_compression_off_atr_target_1p0_ts3_vq0p95_bf0p5_ra1p2,is,,,,,,
regime_filtered_ema_mild_atr_20_80_compression_off_atr_target_1p0_ts3_vq0p95_bf0p5_ra1p2,2011-07-11,2011-07-11 11:30:00-04:00,2011-07-11 10:30:00-04:00,long,1545.1999999999998,1542.4,fixed_contracts,2.799999999999727,27.99999999999727,1.0,1.0,27.99999999999727,15451.999999999998,False,,fixed_1_contract,baseline,full,regime_filtered_ema_mild_atr_20_80_compression_off_atr_target_1p0_ts3_vq0p95_bf0p5_ra1p2,is,,,,,,
regime_filtered_ema_mild_atr_20_80_compression_off_atr_target_1p0_ts3_vq0p95_bf0p5_ra1p2,2011-07-21,2011-07-21 13:30:00-04:00,2011-07-21 12:30:00-04:00,long,1588.6,1585.8,fixed_contracts,2.7999999999999545,27.999999999999545,1.0,1.0,27.999999999999545,15886.0,False,,fixed_1_contract,baseline,full,regime_filtered_ema_mild_atr_20_80_compression_off_atr_target_1p0_ts3_vq0p95_bf0p5_ra1p2,is,,,,,,
regime_filtered_ema_mild_atr_20_80_compression_off_atr_target_1p0_ts3_vq0p95_bf0p5_ra1p2,2011-09-06,2011-09-06 11:30:00-04:00,2011-09-06 10:30:00-04:00,long,1873.8,1863.3,fixed_contracts,10.5,105.0,1.0,1.0,105.0,18738.0,False,,fixed_1_contract,baseline,full,regime_filtered_ema_mild_atr_20_80_compression_off_atr_target_1p0_ts3_vq0p95_bf0p5_ra1p2,is,,,,,,
regime_filtered_ema_mild_atr_20_80_compression_off_atr_target_1p0_ts3_vq0p95_bf0p5_ra1p2,2011-11-10,2011-11-10 10:30:00-05:00,2011-11-10 09:30:00-05:00,long,1745.6999999999998,1738.1,fixed_contracts,7.599999999999909,75.99999999999909,1.0,1.0,75.99999999999909,17457.0,False,,fixed_1_contract,baseline,full,regime_filtered_ema_mild_atr_20_80_compression_off_atr_target_1p0_ts3_vq0p95_bf0p5_ra1p2,is,,,,,,
regime_filtered_ema_mild_atr_20_80_compression_off_atr_target_1p0_ts3_vq0p95_bf0p5_ra1p2,2012-01-04,2012-01-04 10:30:00-05:00,2012-01-04 09:30:00-05:00,short,1607.2,1616.0,fixed_contracts,8.799999999999955,87.99999999999955,1.0,1.0,87.99999999999955,16072.0,False,,fixed_1_contract,baseline,full,regime_filtered_ema_mild_atr_20_80_compression_off_atr_target_1p0_ts3_vq0p95_bf0p5_ra1p2,is,,,,,,
regime_filtered_ema_mild_atr_20_80_compression_off_atr_target_1p0_ts3_vq0p95_bf0p5_ra1p2,2012-03-23,2012-03-23 10:30:00-04:00,2012-03-23 09:30:00-04:00,short,1661.9,1663.9,fixed_contracts,2.0,20.0,1.0,1.0,20.0,16619.0,False,,fixed_1_contract,baseline,full,regime_filtered_ema_mild_atr_20_80_compression_off_atr_target_1p0_ts3_vq0p95_bf0p5_ra1p2,is,,,,,,
regime_filtered_ema_mild_atr_20_80_compression_off_atr_target_1p0_ts3_vq0p95_bf0p5_ra1p2,2012-05-01,2012-05-01 10:30:00-04:00,2012-05-01 09:30:00-04:00,long,1662.1,1657.0,fixed_contracts,5.099999999999909,50.99999999999909,1.0,1.0,50.99999999999909,16621.0,False,,fixed_1_contract,baseline,full,regime_filtered_ema_mild_atr_20_80_compression_off_atr_target_1p0_ts3_vq0p95_bf0p5_ra1p2,is,,,,,,
