split,n_trades,win_rate,avg_win,avg_loss,average_losing_trade,expectancy,profit_factor,cumulative_pnl,max_drawdown,max_drawdown_pct,sharpe_ratio,max_consecutive_losses,avg_consecutive_losses,longest_loss_streak,number_of_loss_streaks_2_plus,worst_trade,worst_day,stop_hit_rate,target_hit_rate,time_exit_rate,time_exit_count,time_exit_win_rate,time_exit_loss_rate,time_exit_pnl_usd,eod_exit_rate,proportion_filtered_out,trade_count_after_filters,percent_of_days_traded,percent_days_traded,avg_R,median_R,pnl_to_risk_ratio,average_loss_streak_length,count_loss_streaks_2_plus,daily_sharpe_basis,n_sessions,raw_signal_count
is,837,0.46833930704898447,221.87882653061226,-170.78442437923252,-170.78442437923252,13.523297491039427,1.149608432739649,11319.0,-2659.5,0.05319,0.7208791125331983,9,1.9865470852017937,9,117,-250.0,-250.0,0.44205495818399043,0.1863799283154122,0.36917562724014336,309,0.7605177993527508,0.23300970873786409,26776.5,0.0023894862604540022,0.0,837,0.5625,0.5625,0.08000329652530637,-0.07692307692307693,0.0698992793315754,1.9865470852017937,117,daily_pnl_over_static_capital,1488,0
oos,288,0.4409722222222222,237.40944881889763,-165.00625,-165.00625,13.020833333333334,1.1420400742396122,3750.0,-1879.0,0.03758,0.6128727383638527,6,2.051282051282051,6,42,-250.0,-250.0,0.4722222222222222,0.20833333333333334,0.3090277777777778,89,0.7191011235955056,0.2696629213483146,6692.5,0.010416666666666666,0.0,288,0.4507042253521127,0.4507042253521127,0.058096447028906345,-0.29385462307605886,0.06864548724566846,2.051282051282051,42,daily_pnl_over_static_capital,639,0
