variant,variant_label,overall_pnl,overall_trades,overall_win_rate,overall_profit_factor,overall_expectancy,overall_sharpe,overall_max_drawdown,is_pnl,is_trades,is_win_rate,is_profit_factor,is_expectancy,is_sharpe,is_max_drawdown,oos_pnl,oos_trades,oos_win_rate,oos_profit_factor,oos_expectancy,oos_sharpe,oos_max_drawdown,challenge_target_return_pct,challenge_drawdown_limit_pct,challenge_drawdown_limit_usd,challenge_target_usd,challenge_horizon_days,challenge_bootstrap_paths,challenge_pass_rate,challenge_success_count,challenge_median_days_to_target,challenge_mean_days_to_target,challenge_p25_days_to_target,challenge_p75_days_to_target,historical_path_pass,historical_days_to_target
baseline,1_baseline,4457.5,261,0.4482758620689655,1.326246066017712,17.078544061302683,0.7224577538117302,-934.5,2743.5,205,0.44878048780487806,1.256270141516043,13.382926829268293,0.623333210786667,-934.5,1714.0,56,0.44642857142857145,1.5795435333896872,30.607142857142858,0.9708653391700993,-779.0,0.06,0.04,2000.0,3000.0,529,5000,0.173,865,423.0,406.957225433526,355.0,478.0,False,
half_after_2_losses,2_half_after_2_losses,533.5,66,0.3939393939393939,1.1542130365659777,8.083333333333334,0.18455264391512613,-934.5,595.0,65,0.4,1.1751030017657444,9.153846153846153,0.24648354890601779,-934.5,-61.5,1,0.0,0.0,-61.5,-0.6908492797077577,-61.5,0.06,0.04,2000.0,3000.0,529,5000,0.0,0,,,,,False,
skip_day_after_3_losses,3_skip_after_3_losses,4580.5,260,0.45,1.3382939438700148,17.61730769230769,0.7434694598217493,-934.5,2866.5,204,0.45098039215686275,1.270871722182849,14.051470588235293,0.6525724658394776,-934.5,1714.0,56,0.44642857142857145,1.5795435333896872,30.607142857142858,0.9708653391700993,-779.0,0.06,0.04,2000.0,3000.0,529,5000,0.173,865,423.0,406.957225433526,355.0,478.0,False,
local_drawdown_scaling,4_local_drawdown_scaling,-156.0,44,0.4090909090909091,0.9281602578862538,-3.5454545454545454,-0.08217278808101007,-695.0,-94.5,43,0.4186046511627907,0.95521327014218,-2.197674418604651,-0.05973173146122877,-633.5,-61.5,1,0.0,0.0,-61.5,-0.6908492797077577,-61.5,0.06,0.04,2000.0,3000.0,529,5000,0.0,0,,,,,False,
