scope,total_trades,n_trades,net_pnl,gross_pnl,gross_profit,gross_loss_abs,sharpe_ratio,sortino_ratio,profit_factor,hit_rate,expectancy_per_trade,expectancy_per_day,avg_win,avg_loss,avg_gain_loss_ratio,max_drawdown,return_over_max_drawdown,calmar_ratio,ulcer_index,annualized_vol,mean_trades_per_day,median_trades_per_day,max_trades_per_day,avg_time_in_position_min,avg_exposure_pct,long_trade_share,short_trade_share,worst_losing_trades_streak,worst_losing_days_streak,median_recovery_days,max_recovery_days,rolling_sharpe_20d_median,rolling_expectancy_20d_median,rolling_hit_rate_20d_median,top_1_day_contribution_pct,top_3_day_contribution_pct,top_5_day_contribution_pct,top_10_day_contribution_pct,bottom_1_day_contribution_pct,bottom_3_day_contribution_pct,bottom_5_day_contribution_pct,bottom_10_day_contribution_pct,pnl_excluding_top_1_day,pnl_excluding_top_3_days,pnl_excluding_top_5_days,pnl_excluding_best_month,top_day_contribution_ratio,reference_r_usd,worst_daily_loss_usd,days_below_neg_0p25r_freq,days_below_neg_0p5r_freq,days_below_neg_1r_freq,red_streak_ge_2_freq,red_streak_ge_3_freq,red_streak_ge_4_freq,red_streak_ge_5_freq,trade_loss_streak_ge_3_freq,trade_loss_streak_ge_4_freq,trade_loss_streak_ge_5_freq,trade_loss_streak_ge_6_freq,daily_loss_limit_breach_freq,trailing_drawdown_breach_freq,profit_to_drawdown_ratio
overall,324,324,-2182.063541666573,-1372.0635416665732,5279.27187499999,6651.335416666563,-1.6740711516548479,-1.0398567315405058,0.6933294899133735,0.42592592592592593,-6.734764017489423,-4.338098492378873,35.74834692028976,-38.25449148745462,0.9344875733615035,-2198.5135416665726,-0.9925176717412759,-0.4972454339538798,1.4510499798171255,0.013060386579134687,0.6441351888667992,0.0,4,35.69444444444444,0.058953968496712035,0.6388888888888888,0.3611111111111111,7,6,502.0,502.0,-2.0353230247882994,-2.5413020833327664,0.42105263157894735,-0.10723221186367418,-0.2710579292059641,-0.39765970762576747,-0.6390639403355441,0.17345965998355867,0.3712407168100312,0.5087577173938755,0.7889693481085157,-2416.051041666563,-2773.529166666547,-3049.78229166655,-2430.1781249999367,0.6390639403355441,32.72708333333185,-378.50000000000364,0.2286282306163022,0.20675944333996024,0.11530815109343936,0.40789473684210525,0.17105263157894737,0.05263157894736842,0.02631578947368421,0.358974358974359,0.21794871794871795,0.14102564102564102,0.05128205128205128,0.0,0.003976143141153081,-0.9925176717412759
is,239,239,-420.1114583330559,177.3885416669441,3323.1781250000677,3145.7895833331236,-0.6991517379396737,-0.5335796946973203,0.8791842185515184,0.4435146443514644,-1.7577885285901922,-1.1934984611734543,28.84130306603834,-26.145034461151276,1.103127368559924,-883.4395833331218,-0.47554067788995924,-0.3404438943984935,1.0049634540664072,0.008603614806194235,0.6789772727272727,0.0,4,35.64853556485355,0.062062937062937064,0.6234309623430963,0.37656903765690375,7,6,351.0,351.0,-1.283225870464482,-1.2316145833319752,0.4444444444444444,-0.45467100744624483,-1.074900757984117,-1.4299776596994265,-2.19154391071958,0.20345791171501282,0.5974109053404505,0.9379752892963195,1.6861497568859483,-611.1239583330575,-871.6895833330705,-1020.8614583330723,-668.226041666419,2.19154391071958,29.91458333333412,-85.47499999999218,0.22727272727272727,0.20170454545454544,0.10511363636363637,0.38181818181818183,0.16363636363636364,0.05454545454545454,0.01818181818181818,0.31666666666666665,0.2,0.1,0.03333333333333333,0.0,0.0,-0.47554067788995924
oos,85,85,-1761.9520833335173,-1549.4520833335173,1956.0937499999227,3505.54583333344,-2.985958124370491,-1.6918316537112246,0.5156872221922807,0.3764705882352941,-20.72884803921785,-11.668556843268327,58.627929687497584,-68.6423742138385,0.8541069617559649,-1859.4770833335497,-0.947552459304744,-1.5813458261244735,1.5905208888519093,0.01969536210507667,0.5629139072847682,0.0,4,35.8235294117647,0.05170657157412124,0.6823529411764706,0.3176470588235294,7,5,74.5,112.0,-3.6418618720014546,-7.571119791666206,0.38461538461538464,-0.13280014945542543,-0.303252074817535,-0.42508959641111665,-0.6338548508578069,0.21481855470433808,0.45975758421348456,0.6300634830922044,0.9770874397122638,-1995.9395833335066,-2296.2677083334847,-2510.9395833334884,-1815.2729166668678,0.6338548508578069,56.06666666667479,-378.50000000000364,0.2251655629139073,0.2052980132450331,0.13245033112582782,0.47619047619047616,0.19047619047619047,0.047619047619047616,0.047619047619047616,0.5,0.2777777777777778,0.2777777777777778,0.1111111111111111,0.0,0.0,-0.947552459304744
