weekday,days,net_pnl_usd,avg_day_pnl_usd,green_day_pct
Monday,355,18374.339285714253,51.758702213279584,0.5070422535211268
Tuesday,359,21384.275000000034,59.566225626741044,0.5041782729805014
Wednesday,355,15212.960714285711,42.85341046277665,0.4394366197183099
Thursday,356,23450.982142857167,65.8735453451044,0.46348314606741575
Friday,322,18367.85357142864,57.043023513753546,0.45652173913043476
