signal_index,session_date,signal_time,signal,atr_14,pass__narrow_q25_30__q90_95__atr14_q25_q90,pass__narrow_q25_30__q90_95__atr14_q25_q95,pass__narrow_q25_30__q90_95__atr14_q30_q90,pass__narrow_q25_30__q90_95__atr14_q30_q95,score__narrow_q25_30__q90_95,pass__point_q25_q90,pass__point_q30_q90
617,2019-05-06,2019-05-06 09:57:00-04:00,1,7.017857142857143,False,False,False,False,0.0,False,False
3052,2019-05-08,2019-05-08 09:48:00-04:00,1,12.303571428571429,True,True,True,True,1.0,True,True
4478,2019-05-09,2019-05-09 12:31:00-04:00,1,8.875,True,True,True,True,1.0,True,True
5612,2019-05-10,2019-05-10 09:46:00-04:00,1,8.875,True,True,True,True,1.0,True,True
8276,2019-05-14,2019-05-14 10:17:00-04:00,1,7.732142857142857,True,True,False,False,0.5,True,False
9544,2019-05-15,2019-05-15 09:47:00-04:00,1,8.571428571428571,True,True,False,False,0.5,True,False
10878,2019-05-16,2019-05-16 09:50:00-04:00,1,5.571428571428571,False,False,False,False,0.0,False,False
12215,2019-05-17,2019-05-17 09:47:00-04:00,1,7.660714285714286,True,True,False,False,0.5,True,False
13585,2019-05-20,2019-05-20 10:25:00-04:00,1,8.642857142857142,True,True,True,True,1.0,True,True
14937,2019-05-21,2019-05-21 10:45:00-04:00,1,5.125,False,False,False,False,0.0,False,False
16217,2019-05-22,2019-05-22 09:54:00-04:00,1,7.017857142857143,False,False,False,False,0.0,False,False
20338,2019-05-27,2019-05-27 18:01:00-04:00,1,1.9642857142857142,False,False,False,False,0.0,False,False
22596,2019-05-29,2019-05-29 10:15:00-04:00,1,5.982142857142857,False,False,False,False,0.0,False,False
23902,2019-05-30,2019-05-30 09:47:00-04:00,1,5.714285714285714,False,False,False,False,0.0,False,False
25304,2019-05-31,2019-05-31 10:49:00-04:00,1,5.785714285714286,False,False,False,False,0.0,False,False
27994,2019-06-04,2019-06-04 10:22:00-04:00,1,7.482142857142857,False,False,False,False,0.0,False,False
30768,2019-06-06,2019-06-06 11:29:00-04:00,1,4.071428571428571,False,False,False,False,0.0,False,False
32008,2019-06-07,2019-06-07 09:57:00-04:00,1,6.089285714285714,False,False,False,False,0.0,False,False
33361,2019-06-10,2019-06-10 10:05:00-04:00,1,5.875,False,False,False,False,0.0,False,False
37326,2019-06-13,2019-06-13 09:46:00-04:00,1,6.732142857142857,False,False,False,False,0.0,False,False
38702,2019-06-14,2019-06-14 10:49:00-04:00,1,4.714285714285714,False,False,False,False,0.0,False,False
39703,2019-06-17,2019-06-17 09:48:00-04:00,1,5.892857142857143,False,False,False,False,0.0,False,False
40703,2019-06-18,2019-06-18 09:48:00-04:00,1,12.25,True,True,True,True,1.0,True,True
42179,2019-06-19,2019-06-19 14:01:00-04:00,1,8.107142857142858,True,True,False,False,0.5,True,False
44638,2019-06-21,2019-06-21 09:56:00-04:00,1,6.375,False,False,False,False,0.0,False,False
46544,2019-06-24,2019-06-24 21:01:00-04:00,1,1.4642857142857142,False,False,False,False,0.0,False,False
49998,2019-06-27,2019-06-27 09:56:00-04:00,1,5.321428571428571,False,False,False,False,0.0,False,False
51694,2019-06-28,2019-06-28 16:04:00-04:00,1,6.410714285714286,False,False,False,False,0.0,False,False
54058,2019-07-02,2019-07-02 10:29:00-04:00,1,3.3214285714285716,False,False,False,False,0.0,False,False
55356,2019-07-03,2019-07-03 09:47:00-04:00,1,4.321428571428571,False,False,False,False,0.0,False,False
56457,2019-07-04,2019-07-04 10:54:00-04:00,1,1.2857142857142858,False,False,False,False,0.0,False,False
57611,2019-07-05,2019-07-05 12:36:00-04:00,1,2.4642857142857144,False,False,False,False,0.0,False,False
60145,2019-07-09,2019-07-09 10:00:00-04:00,1,4.660714285714286,False,False,False,False,0.0,False,False
61471,2019-07-10,2019-07-10 09:48:00-04:00,1,7.821428571428571,True,True,False,False,0.5,True,False
62820,2019-07-11,2019-07-11 10:00:00-04:00,1,4.803571428571429,False,False,False,False,0.0,False,False
64158,2019-07-12,2019-07-12 09:45:00-04:00,1,4.821428571428571,False,False,False,False,0.0,False,False
65813,2019-07-15,2019-07-15 15:00:00-04:00,1,1.5892857142857142,False,False,False,False,0.0,False,False
69574,2019-07-18,2019-07-18 10:21:00-04:00,1,3.75,False,False,False,False,0.0,False,False
72255,2019-07-22,2019-07-22 09:47:00-04:00,1,5.857142857142857,False,False,False,False,0.0,False,False
73947,2019-07-23,2019-07-23 15:30:00-04:00,1,2.8035714285714284,False,False,False,False,0.0,False,False
